#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>施設</b> <br> この施設は公共のものです。	[sound:s-0492_この施設は公共のものです。.mp3] <br> このしせつはこうきょうのものです。 <br>This facility is public.
<b>設置</b> <br> その街に新しい遊び場が設置されました。	[sound:s-0493_その街に新しい遊び場が設置されました。.mp3] <br> そのまちにあたらしいあそびばがせっちされました。 <br>A new playground was installed in the town.
<b>設備</b> <br> この施設は最新の設備を備えています。	[sound:s-0494_この施設は最新の設備を備えています。.mp3] <br> このしせつはさいしんのせつびをそなえています。 <br>This facility is equipped with state-of-the-art facilities.
<b>設計</b> <br> この建物の設計は非常にモダンです。	[sound:s-0495_この建物の設計は非常にモダンです。.mp3] <br> このたてもののせっけいはひじょうにモダンです。 <br>The design of this building is very modern.
<b>設立</b> <br> 彼は新しい会社を設立しました。	[sound:s-0496_彼は新しい会社を設立しました。.mp3] <br> かれはあたらしいかいしゃをせつりつしました。 <br>He established a new company.
<b>設定</b> <br> 彼は目標を達成するために計画を設定しました。	[sound:s-0497_彼は目標を達成するために計画を設定しました。.mp3] <br> かれはもくひょうをたっせいするためにけいかくをせっていしました。 <br>He set up a plan to achieve the goal.
<b>創設</b> <br> その慈善団体は数十年前に創設されました。	[sound:s-0498_その慈善団体は数十年前に創設されました。.mp3] <br> そのじぜんだんたいはすうじゅうねんまえにそうせつされました。 <br>The charity organization was founded several decades ago.
<b>建設省</b> <br> 建設省は新しい橋の建設を計画しています。	[sound:s-0499_建設省は新しい橋の建設を計画しています。.mp3] <br> けんせつしょうはあたらしいはしのけんせつをけいかくしています。 <br>The Ministry of Construction is planning to build a new bridge.
<b>開設</b> <br> 彼は新しい店舗を開設しました。	[sound:s-0500_彼は新しい店舗を開設しました。.mp3] <br> かれはあたらしいてんぽをかいせつしました。 <br>He opened a new store.
<b>保する</b> <br> 安全を保するために必要な対策を講じています。	[sound:s-0501_安全を保するために必要な対策を講じています。.mp3] <br> あんぜんをほするためにひつようなたいさくをこうじています。 <br>Necessary measures are being taken to ensure safety.
<b>安保</b> <br> その国は安保政策を強化しています。	[sound:s-0502_その国は安保政策を強化しています。.mp3] <br> そのくにはあんぽせいさくをきょうかしています。 <br>The country is strengthening its security policy.
<b>保護</b> <br> 子供たちの保護が最優先です。	[sound:s-0503_子供たちの保護が最優先です。.mp3] <br> こどもたちのほごがさいゆうせんです。 <br>Protecting children is the top priority.
<b>安全保障</b> <br> その条約は地域の安全保障を確保します。	[sound:s-0504_その条約は地域の安全保障を確保します。.mp3] <br> そのじょうやくはちいきのあんぜんほしょうをかくほします。 <br>The treaty ensures regional security.
<b>確保</b> <br> 資料の安全を確保するためにセキュリティを強化しました。	[sound:s-0505_資料の安全を確保するためにセキュリティを強化しました。.mp3] <br> しりょうのあんぜんをかくほするためにせきゅりてぃをきょうかしました。 <br>Security has been strengthened to ensure the safety of the documents.
<b>保険</b> <br> 保険に加入することは重要です。	[sound:s-0506_保険に加入することは重要です。.mp3] <br> ほけんにかにゅうすることはじゅうようです。 <br>It is important to enroll in insurance.
<b>保守</b> <br> 彼は保守的な考え方を持っています。	[sound:s-0507_彼は保守的な考え方を持っています。.mp3] <br> かれはほしゅてきなかんがえかたをもっています。 <br>He has conservative views.
<b>保全</b> <br> その動物園は絶滅危惧種の保全活動を行っています。	[sound:s-0508_その動物園は絶滅危惧種の保全活動を行っています。.mp3] <br> そのどうぶつえんはぜつめつきぐしゅのほぜんかつどうをおこなっています。 <br>The zoo is engaged in conservation efforts for endangered species.
<b>保証</b> <br> 購入者に製品の品質を保証します。	[sound:s-0509_購入者に製品の品質を保証します。.mp3] <br> こうにゅうしゃにせいひんのひんしつをほしょうします。 <br>The quality of the product is guaranteed to the buyer.
<b>担保</b> <br> 彼はローンのために家を担保にしました。	[sound:s-0510_彼はローンのために家を担保にしました。.mp3] <br> かれはろーんのためにいえをたんぽにしました。 <br>He used his house as collateral for the loan.
<b>改革</b> <br> その政府は教育制度の改革を進めています。	[sound:s-0511_その政府は教育制度の改革を進めています。.mp3] <br> そのせいふはきょういくせいどのかいかくをすすめています。 <br>The government is pushing forward with education system reforms.
<b>改正</b> <br> 法律が改正されました。	[sound:s-0512_法律が改正されました。.mp3] <br> ほうりつがかいせいされました。 <br>The law has been amended.
<b>改善</b> <br> 彼はサービスの改善に取り組んでいます。	[sound:s-0513_彼はサービスの改善に取り組んでいます。.mp3] <br> かれはさーびすのかいぜんにとりくんでいます。 <br>He is working on improving the service.
<b>改造</b> <br> 彼は古い家を改造してホテルにした。	[sound:s-0514_彼は古い家を改造してホテルにした。.mp3] <br> かれはふるいいえをかいぞうしてほてるにした。 <br>He converted an old house into a hotel.
<b>改める</b> <br> 彼は態度を改めました。	[sound:s-0515_彼は態度を改めました。.mp3] <br> かれはたいどをあらためました。 <br>He changed his attitude.
<b>改定</b> <br> その計画は改定されました。	[sound:s-0516_その計画は改定されました。.mp3] <br> そのけいかくはかいていされました。 <br>The plan has been revised.
<b>改憲</b> <br> 政府は憲法の改憲を検討しています。	[sound:s-0517_政府は憲法の改憲を検討しています。.mp3] <br> せいふはけんぽうのかいけんをけんとうしています。 <br>The government is considering an amendment to the constitution.
<b>改良</b> <br> 彼は製品を改良して市場に出しました。	[sound:s-0518_彼は製品を改良して市場に出しました。.mp3] <br> かれはせいひんをかいりょうしてしじょうにだしました。 <br>He improved the product and released it to the market.
<b>改選</b> <br> その地域では新しい議員の改選が行われました。	[sound:s-0519_その地域では新しい議員の改選が行われました。.mp3] <br> そのちいきではあたらしいぎいんのかいせんがおこなわれました。 <br>The area conducted a new election for the members of parliament.
<b>改修</b> <br> この建物は改修工事中です。	[sound:s-0520_この建物は改修工事中です。.mp3] <br> このたてものはかいしゅうこうじちゅうです。 <br>This building is undergoing renovation.
<b>数</b> <br> 数が足りません。	[sound:s-0521_数が足りません。.mp3] <br> かずがたりません。 <br>There are not enough numbers.
<b>数字</b> <br> 彼は数字の計算が得意です。	[sound:s-0522_彼は数字の計算が得意です。.mp3] <br> かれはすうじのけいさんがとくいです。 <br>He is good at calculating numbers.
<b>多数</b> <br> 多数の人々がその提案に賛成しました。	[sound:s-0523_多数の人々がその提案に賛成しました。.mp3] <br> たすうのひとびとがそのていあんにさんせいしました。 <br>A majority of people supported the proposal.
<b>定数</b> <br> その部屋の定数は10人です。	[sound:s-0524_その部屋の定数は10人です。.mp3] <br> そのへやのていすうは10にんです。 <br>The capacity of the room is 10 people.
<b>少数</b> <br> 少数の人々がその意見に反対しました。	[sound:s-0525_少数の人々がその意見に反対しました。.mp3] <br> しょうすうのひとびとがそのいけんにはんたいしました。 <br>A minority of people opposed the opinion.
<b>複数</b> <br> 複数の選択肢があります。	[sound:s-0526_複数の選択肢があります。.mp3] <br> ふくすうのせんたくしゃがあります。 <br>There are multiple choices.
<b>過半数</b> <br> この案を通すためには過半数の賛成が必要です。	[sound:s-0527_この案を通すためには過半数の賛成が必要です。.mp3] <br> このあんをとおすためにはかはんすうのさんせいがひつようです。 <br>A majority vote is needed to pass this proposal.
<b>半数</b> <br> 半数以上の票を獲得する必要があります。	[sound:s-0528_半数以上の票を獲得する必要があります。.mp3] <br> はんすういじょうのひょうをかくとくするひつようがあります。 <br>You need to win more than half the votes.
(回数) 会議は毎週一回行われます。	かいぎはまいしゅういっかいおこなわれます。	s-0529_かいぎはまいしゅういっかいおこなわれます。.mp3
<b>指数</b> <br> その指数は急速に上昇しています。	[sound:s-0530_その指数は急速に上昇しています。.mp3] <br> そのしすうはきゅうそくにじょうしょうしています。 <br>The index is rising rapidly.
<b>記事</b> <br> 彼の新しい記事が雑誌に掲載されました。	[sound:s-0531_彼の新しい記事が雑誌に掲載されました。.mp3] <br> かれのあたらしいきじがざっしにけいさいされました。 <br>His new article was published in the magazine.
<b>記者</b> <br> 彼女は地元の新聞社の記者です。	[sound:s-0532_彼女は地元の新聞社の記者です。.mp3] <br> かのじょはじもとのしんぶんしゃのきしゃです。 <br>She is a reporter for the local newspaper.
<b>記録</b> <br> 彼は新記録を樹立しました。	[sound:s-0533_彼は新記録を樹立しました。.mp3] <br> かれはしんきろくをじゅりつしました。 <br>He set a new record.
<b>書記</b> <br> 彼は会議の書記を務めています。	[sound:s-0534_彼は会議の書記を務めています。.mp3] <br> かれはかいぎのしょきをつとめています。 <br>He is serving as the secretary of the meeting.
<b>記念</b> <br> その記念碑は市民によって建てられました。	[sound:s-0535_その記念碑は市民によって建てられました。.mp3] <br> そのきねんひはしみんによってたてられました。 <br>The monument was erected by the citizens.
<b>記憶</b> <br> 彼はその日の出来事をよく記憶しています。	[sound:s-0536_彼はその日の出来事をよく記憶しています。.mp3] <br> かれはそのひのできごとをよくきおくしています。 <br>He remembers the events of that day well.
<b>記す</b> <br> その出来事を日記に記しました。	[sound:s-0537_その出来事を日記に記しました。.mp3] <br> そのできごとをにっきにしるしました。 <br>I recorded the event in my diary.
<b>記述</b> <br> 彼の論文は詳細に記述されています。	[sound:s-0538_彼の論文は詳細に記述されています。.mp3] <br> かれのろんぶんはしょうさいにきじゅつされています。 <br>His paper is described in detail.
<b>記念日</b> <br> 彼らは結婚記念日を祝っています。	[sound:s-0539_彼らは結婚記念日を祝っています。.mp3] <br> かれらはけっこんきねんびをいわっています。 <br>They are celebrating their wedding anniversary.
<b>日記</b> <br> 彼女は毎日日記をつけています。	[sound:s-0540_彼女は毎日日記をつけています。.mp3] <br> かのじょはまいにちにっきをつけています。 <br>She keeps a diary every day.
<b>参院</b> <br> 参院選挙は来月行われます。	[sound:s-0541_参院選挙は来月行われます。.mp3] <br> さんいんせんきょはらいげつおこなわれます。 <br>The Upper House election will be held next month.
<b>衆院</b> <br> 衆院選挙の投票日が決まりました。	[sound:s-0542_衆院選挙の投票日が決まりました。.mp3] <br> しゅういんせんきょのとうひょうびがきまりました。 <br>The voting day for the Lower House election has been decided.
<b>病院</b> <br> 彼は病院で働いています。	[sound:s-0543_彼は病院で働いています。.mp3] <br> かれはびょういんではたらいています。 <br>He works at the hospital.
<b>下院</b> <br> 下院は新しい法案を審議しています。	[sound:s-0544_下院は新しい法案を審議しています。.mp3] <br> かいんはあたらしいほうあんをしんぎしています。 <br>The Lower House is deliberating on a new bill.
<b>上院</b> <br> 上院での議論は熱を帯びています。	[sound:s-0545_上院での議論は熱を帯びています。.mp3] <br> じょういんでのぎろんはあつをおびています。 <br>The debate in the Upper House is heating up.
<b>学院</b> <br> 彼は医学院に通っています。	[sound:s-0546_彼は医学院に通っています。.mp3] <br> かれはいがくいんにかよっています。 <br>He attends medical school.
<b>大学院</b> <br> 彼女は大学院で修士号を取得しました。	[sound:s-0547_彼女は大学院で修士号を取得しました。.mp3] <br> かのじょはだいがくいんでしゅうしごうをしゅとくしました。 <br>She obtained a master's degree at graduate school.
<b>入院</b> <br> 父は入院しています。	[sound:s-0548_父は入院しています。.mp3] <br> ちちはにゅういんしています。 <br>My father is in the hospital.
<b>両院</b> <br> この法案は両院で可決されました。	[sound:s-0549_この法案は両院で可決されました。.mp3] <br> このほうあんはりょういんでかけつされました。 <br>This bill was passed by both houses.    
その病院の院長は有名です。	そのびょういんのいんちょうはゆうめいです。	s-0550_そのびょういんのいんちょうはゆうめいです。.mp3
その店の店員はみんな女性です。	そのみせのてんいんはみんなおんなせいです。	s-0551_そのみせのてんいんはみんなおんなせいです。.mp3
学校の女子は明日試合があります。	がっこうのじょしはあしたしあいがあります。	s-0552_がっこうのじょしはあしたしあいがあります。.mp3
その会社のCEOは女性です。	そのかいしゃのCEOはじょせいです。	s-0553_そのかいしゃのCEOはじょせいです。.mp3
そのイベントは男女共にオープンです。	そのイベントはだんじょともにオープンです。	s-0554_そのイベントはだんじょともにオープンです。.mp3
彼女は毎日公園で犬と散歩します。	かのじょはまいにちこうえんでいぬとさんぽします。	s-0555_かのじょはまいにちこうえんでいぬとさんぽします。.mp3
その女優は映画で素晴らしい演技を見せました。	そのじょゆうはえいがですばらしいえんぎをみせました。	s-0556_そのじょゆうはえいがですばらしいえんぎをみせました。.mp3
彼の家族には長女と次女がいます。	かれのかぞくにはちょうじょとじじょがいます。	s-0557_かれのかぞくにはちょうじょとじじょがいます。.mp3
その少女は夢中で本を読んでいました。	そのしょうじょはむちゅうでほんをよんでいました。	s-0558_そのしょうじょはむちゅうでほんをよんでいました。.mp3
彼女は有名な女子大学で学んでいます。	かのじょはゆうめいなじょしだいがくでまなんでいます。	s-0559_かのじょはゆうめいなじょしだいがくでまなんでいます。.mp3
公園でたくさんの女の子が遊んでいます。	こうえんでたくさんのおんなのこがあそんでいます。	s-0560_こうえんでたくさんのおんなのこがあそんでいます。.mp3
彼の初恋は中学生の時でした。	かれのはつこいはちゅうがくせいのときでした。	s-0561_かれのはつこいはちゅうがくせいのときでした。.mp3
その映画の最初のシーンが印象的でした。	そのえいがのさいしょのしーんがいんしょうてきでした。	s-0562_そのえいがのさいしょのしーんがいんしょうてきでした。.mp3
当初の計画とは違う方向に進みました。	とうしょのけいかくとはちがうほうこうにすすみました。	s-0563_とうしょのけいかくとはちがうほうこうにすすみました。.mp3
映画の初日にはたくさんの人が来ました。	えいがのしょにちにはたくさんのひとがきました。	s-0564_えいがのしょにちにはたくさんのひとがきました。.mp3
その商品は初期の段階では人気がありませんでした。	そのしょうひんはしょきのだんかいではにんきがありませんでした。	s-0565_そのしょうひんはしょきのだんかいではにんきがありませんでした。.mp3
その家の初代は有名な政治家でした。	そのいえのしょだいはゆうめいなせいじかでした。	s-0566_そのいえのしょだいはゆうめいなせいじかでした。.mp3
彼は初戦で大きな勝利を収めました。	かれはしょせんでおおきなしょうりをおさめました。	s-0567_かれはしょせんでおおきなしょうりをおさめました。.mp3
その劇は昨日初演されました。	そのげきはきのうしょえんされました。	s-0568_そのげきはきのうしょえんされました。.mp3
今月の初旬は天気が良かったです。	こんげつのしょじゅんはてんきがよかったです。	s-0569_こんげつのしょじゅんはてんきがよかったです。.mp3
彼は初場所で優勝しました。	かれははつばしょでゆうしょうしました。	s-0570_かれははつばしょでゆうしょうしました。.mp3
その山の北側に家が建っています。	そのやまのきたがわにいえがたっています。	s-0571_そのやまのきたがわにいえがたっています。.mp3
北海道は日本の最北の島です。	ほっかいどうはにほんのさいほくのしまです。	s-0572_ほっかいどうはにほんのさいほくのしまです。.mp3
北京には多くの歴史的な建造物があります。	ぺきんにはおおくのれきしてきなけんぞうぶつがあります。	s-0573_ぺきんにはおおくのれきしてきなけんぞうぶつがあります。.mp3
北朝鮮は国際的な注目を集めています。	きたちょうせんはこくさいてきなちゅうもくをあつめています。	s-0574_きたちょうせんはこくさいてきなちゅうもくをあつめています。.mp3
東北地方は自然が豊かです。	とうほくちほうはしぜんがゆたかです。	s-0575_とうほくちほうはしぜんがゆたかです。.mp3
その線は南北に走っています。	そのせんはなんぼくにはしっています。	s-0576_そのせんはなんぼくにはしっています。.mp3
この地域は北方からの風が強いです。	このちいきはほっぽうからのかぜがつよいです。	s-0577_このちいきはほっぽうからのかぜがつよいです。.mp3
その国の北部には山が多いです。	そのくにのほくぶにはやまがおおいです。	s-0578_そのくにのほくぶにはやまがおおいです。.mp3
その船は北東に向かっています。	そのふねはほくとうにむかっています。	s-0579_そのふねはほくとうにむかっています。.mp3
<b>敗北</b> <br> 戦いで敗北を喫した。	[sound:s-0580_戦いで敗北を喫した。.mp3] <br> たたかいではいぼくをきっした。 <br>They suffered defeat in battle.
<b>午後</b> <br> 午後に友達と会う。	[sound:s-0581_午後に友達と会う。.mp3] <br> ごごにともだちとあう。 <br>I will meet my friend in the afternoon.
<b>午前</b> <br> 午前の散歩は気持ちがいいです。	[sound:s-0582_午前の散歩は気持ちがいいです。.mp3] <br> ごぜんのさんぽはきもちがいいです。 <br>Morning walks are pleasant.
<b>正午</b> <br> 正午に昼食をとります。	[sound:s-0583_正午に昼食をとります。.mp3] <br> しょうごにちゅうしょくをとります。 <br>We'll have lunch at noon.
<b>午</b> <br> 午に昼食を取ります。	[sound:s-0584_午に昼食を取ります。.mp3] <br> ごにちゅうしょくをとります。 <br>We eat lunch at midday.
<b>子午線</b> <br> 子午線は地球を分割します。	[sound:s-0585_子午線は地球を分割します。.mp3] <br> しごせんはちきゅうをぶんかつします。 <br>The meridian divides the Earth.
<b>端午</b> <br> 端午の節句には鯉のぼりが飾られます。	[sound:s-0586_端午の節句には鯉のぼりが飾られます。.mp3] <br> たんごのせっくにはこいのぼりがかざられます。 <br>Carp streamers are displayed during the Dragon Boat Festival.
<b>午過ぎ</b> <br> 午過ぎに会議があります。	[sound:s-0587_午過ぎに会議があります。.mp3] <br> ごすぎにかいぎがあります。 <br>There's a meeting in the late afternoon.
<b>午后</b> <br> 午后に嵐がやってきた。	[sound:s-0588_午后に嵐がやってきた。.mp3] <br> ごこうにあらし がやってきた。 <br>A storm came in the afternoon.
<b>午後中</b> <br> 午後中雨が降り続いた。	[sound:s-0589_午後中雨が降り続いた。.mp3] <br> ごごちゅうあめがふりつづいた。 <br>It rained throughout the afternoon.
<b>指</b> <br> 指先で細かい作業をします。	[sound:s-0590_指先で細かい作業をします。.mp3] <br> ゆびさきでこまかいさぎょうをします。 <br>I do fine work with my fingers.
<b>指導</b> <br> 先生は生徒に熱心な指導をしています。	[sound:s-0591_先生は生徒に熱心な指導をしています。.mp3] <br> せんせいはせいとにねっしんなしどうをしています。 <br>The teacher is providing enthusiastic guidance to the students.
<b>指揮</b> <br> 指揮官は部隊を率いて戦場に向かった。	[sound:s-0592_指揮官は部隊を率いて戦場に向かった。.mp3] <br> しきかんはぶたいをひきいてせんじょうにむかった。 <br>The commander led the troops to the battlefield.
<b>指定</b> <br> その席は指定席です。	[sound:s-0593_その席は指定席です。.mp3] <br> そのせきはしていせきです。 <br>That seat is reserved.
<b>指名</b> <br> 彼はキャプテンに指名されました。	[sound:s-0594_彼はキャプテンに指名されました。.mp3] <br> かれはきゃぷてんにしめいされました。 <br>He was nominated as captain.
<b>指示</b> <br> マネージャーが指示を出しました。	[sound:s-0595_マネージャーが指示を出しました。.mp3] <br> まねーじゃーがしじをだしました。 <br>The manager gave instructions.
<b>指摘</b> <br> 先生は間違いを指摘しました。	[sound:s-0596_先生は間違いを指摘しました。.mp3] <br> せんせいはまちがいをしてきしました。 <br>The teacher pointed out the mistake.
<b>指数</b> <br> 経済指数は上昇しています。	[sound:s-0597_経済指数は上昇しています。.mp3] <br> けいざいしすうはじょうしょうしています。 <br>Economic indices are rising.
<b>指標</b> <br> GDPは経済の指標の一つです。	[sound:s-0598_GDPは経済の指標の一つです。.mp3] <br> GDPはけいざいのしひょうのひとつです。 <br>GDP is one of the indicators of the economy.
<b>指針</b> <br> その計画には明確な指針が必要です。	[sound:s-0599_その計画には明確な指針が必要です。.mp3] <br> そのけいかくにはめいかくなしせんがひつようです。 <br>Clear guidelines are needed for the plan.
<b>政権</b> <br> 新しい政権が発足しました。	[sound:s-0600_新しい政権が発足しました。.mp3] <br> あたらしいせいけんがほっそくしました。 <br>A new administration has taken office.
<b>選手権</b> <br> その大会はバスケットボールの選手権です。	[sound:s-0601_その大会はバスケットボールの選手権です。.mp3] <br> そのたいかいはバスケットボールのせんしゅけんです。 <br>The tournament is the basketball championship.
<b>権利</b> <br> 人々は権利を主張しています。	[sound:s-0602_人々は権利を主張しています。.mp3] <br> ひとびとはけんりをしゅちょうしています。 <br>People are asserting their rights.
<b>権力</b> <br> 権力を持つ者には責任が伴います。	[sound:s-0603_権力を持つ者には責任が伴います。.mp3] <br> けんりょくをもつものにはせきにんがともないます。 <br>Those who hold authority have responsibilities.
<b>人権</b> <br> 人権は尊重されるべきです。	[sound:s-0604_人権は尊重されるべきです。.mp3] <br> じんけんはそんちょうされるべきです。 <br>Human rights should be respected.
<b>権限</b> <br> そのプロジェクトの権限は限られています。	[sound:s-0605_そのプロジェクトの権限は限られています。.mp3] <br> そのぷろじぇくとのけんげんはかぎられています。 <br>The authority of that project is limited.
<b>債権</b> <br> 彼は多くの債権を持っています。	[sound:s-0606_彼は多くの債権を持っています。.mp3] <br> かれはおおくのさいけんをもっています。 <br>He holds many credits.
<b>有権者</b> <br> 有権者は次の選挙で重要な役割を果たします。	[sound:s-0607_有権者は次の選挙で重要な役割を果たします。.mp3] <br> ゆうけんしゃはつぎのせんきょでじゅうようなやくわりをはたします。 <br>Voters play a crucial role in the next election.
<b>主権</b> <br> 国家は主権を持っています。	[sound:s-0608_国家は主権を持っています。.mp3] <br> こっかはしゅけんをもっています。 <br>The state holds sovereignty.
<b>権</b> <br> 彼は強い権を持っています。	[sound:s-0609_彼は強い権を持っています。.mp3] <br> かれはつよいけんをもっています。 <br>He holds great power.
<b>関心</b> <br> 彼女は環境問題に関心があります。	[sound:s-0610_彼女は環境問題に関心があります。.mp3] <br> かのじょはかんきょうもんだいにかんしんがあります。 <br>She is interested in environmental issues.
<b>中心</b> <br> 都市の中心には高いビルが立っている。	[sound:s-0611_都市の中心には高いビルが立っている。.mp3] <br> としのちゅうしんにはたかいビルがたっている。 <br>Tall buildings stand in the center of the city.
<b>心不全</b> <br> 心不全の治療が必要です。	[sound:s-0612_心不全の治療が必要です。.mp3] <br> しんふぜんのちりょうがひつようです。 <br>Treatment for heart failure is necessary.
<b>心から</b> <br> 彼女は心から感謝しています。	[sound:s-0613_彼女は心から感謝しています。.mp3] <br> かのじょはこころからかんしゃしています。 <br>She is sincerely grateful.
<b>心臓</b> <br> 心臓の健康は重要です。	[sound:s-0614_心臓の健康は重要です。.mp3] <br> しんぞうのけんこうはじゅうようです。 <br>Heart health is important.
<b>心配</b> <br> 彼女の安全を心配しています。	[sound:s-0615_彼女の安全を心配しています。.mp3] <br> かのじょのあんぜんをしんぱいしています。 <br>I'm worried about her safety.
<b>心理</b> <br> 彼の行動の背後には心理的な要因があります。	[sound:s-0616_彼の行動の背後には心理的な要因があります。.mp3] <br> かれのこうどうのはいごにはしんりてきなよういんがあります。 <br>There are psychological factors behind his actions.
<b>安心</b> <br> 安心して眠れるようになった。	[sound:s-0617_安心して眠れるようになった。.mp3] <br> あんしんしてねむれるようになった。 <br>I can sleep peacefully now.
<b>都心</b> <br> このホテルは都心に位置しています。	[sound:s-0618_このホテルは都心に位置しています。.mp3] <br> このホテルはとしんにいちしています。 <br>This hotel is located in the city center.
<b>熱心</b> <br> 彼は熱心な読者です。	[sound:s-0619_彼は熱心な読者です。.mp3] <br> かれはねっしんなどくしゃです。 <br>He is an enthusiastic reader.
<b>業界</b> <br> 彼女はファッション業界で働いています。	[sound:s-0620_彼女はファッション業界で働いています。.mp3] <br> かのじょはファッションぎょうかいではたらいています。 <br>She works in the fashion industry.
<b>世界</b> <br> 世界中でその話が広まった。	[sound:s-0621_世界中でその話が広まった。.mp3] <br> せかいじゅうでそのはなしがひろまった。 <br>The story spread worldwide.
<b>政界</b> <br> 彼は政界の重要人物です。	[sound:s-0622_彼は政界の重要人物です。.mp3] <br> かれはせいかいのじゅうようじんぶつです。 <br>He is an important figure in the political world.
<b>財界</b> <br> 彼は財界で成功したビジネスマンです。	[sound:s-0623_彼は財界で成功したビジネスマンです。.mp3] <br> かれはざいかいでせいこうしたビジネスマンです。 <br>He is a successful businessman in the financial world.
<b>限界</b> <br> 体力の限界を超えてしまった。	[sound:s-0624_体力の限界を超えてしまった。.mp3] <br> たいりょくのげんかいをこえてしまった。 <br>I exceeded the limits of my physical strength.
<b>世界的</b> <br> 彼女は世界的な有名人です。	[sound:s-0625_彼女は世界的な有名人です。.mp3] <br> かのじょはせかいてきなゆうめいじんです。 <br>She is a globally famous person.
<b>経済界</b> <br> 彼は経済界の専門家です。	[sound:s-0626_彼は経済界の専門家です。.mp3] <br> かれはけいざいかいのせんもんかです。 <br>He is an expert in the economic world.
<b>産業界</b> <br> 彼は産業界で成功した起業家です。	[sound:s-0627_彼は産業界で成功した起業家です。.mp3] <br> かれはさんぎょうかいでせいこうしたきぎょうかです。 <br>He is a successful entrepreneur in the industrial world.
<b>世界一</b> <br> この店は世界一のチーズケーキを提供しています。	[sound:s-0628_この店は世界一のチーズケーキを提供しています。.mp3] <br> このみせはせかいいちのチーズケーキをていきょうしています。 <br>This shop offers the best cheesecake in the world.
<b>境界</b> <br> この川が国の境界です。	[sound:s-0629_この川が国の境界です。.mp3] <br> このかわがくにのきょうかいです。 <br>This river is the boundary of the country.
<b>支援</b> <br> 彼らは被災者に支援を提供しています。	[sound:s-0630_彼らは被災者に支援を提供しています。.mp3] <br> かれらはひさいしゃにしえんをていきょうしています。 <br>They are providing support to the victims.
<b>支持</b> <br> 彼の提案には多くの人々の支持があります。	[sound:s-0631_彼の提案には多くの人々の支持があります。.mp3] <br> かれのていあんにはおおくのひとびとのしじがあります。 <br>His proposal has the support of many people.
<b>支局</b> <br> その企業は地域に支局を持っています。	[sound:s-0632_その企業は地域に支局を持っています。.mp3] <br> そのきぎょうはちいきにしきょくをもっています。 <br>The company has a branch office in the region.
<b>支店</b> <br> この銀行は市内に数多くの支店を持っています。	[sound:s-0633_この銀行は市内に数多くの支店を持っています。.mp3] <br> このぎんこうはしないにすうおおくのしてんをもっています。 <br>This bank has numerous branch stores in the city.
<b>支配</b> <br> 彼はその地域を支配しています。	[sound:s-0634_彼はその地域を支配しています。.mp3] <br> かれはそのちいきをしはいしています。 <br>He controls the region.
<b>支部</b> <br> 私たちは学校の文芸部の支部です。	[sound:s-0635_私たちは学校の文芸部の支部です。.mp3] <br> わたしたちはがっこうのぶんげいぶのしぶです。 <br>We are a branch of the school's literary club.
<b>収支</b> <br> この会社の収支が良くなりました。	[sound:s-0636_この会社の収支が良くなりました。.mp3] <br> このかいしゃのしゅうし がよくなりました。 <br>The balance of income and expenditure of this company has improved.
<b>支払い</b> <br> 明日までに請求書の支払いを完了する必要があります。	[sound:s-0637_明日までに請求書の支払いを完了する必要があります。.mp3] <br> あしたまでにせいきゅうしょのしはらいをかんりょうするひつようがあります。 <br>The invoice payment must be completed by tomorrow.
<b>支出</b> <br> 家計の支出を節約する必要があります。	[sound:s-0638_家計の支出を節約する必要があります。.mp3] <br> かけいのししゅつをせつやくするひつようがあります。 <br>It's necessary to save on household expenses.
<b>支給</b> <br> その団体は避難民に食料を支給しています。	[sound:s-0639_その団体は避難民に食料を支給しています。.mp3] <br> そのだんたいはひなんみんにしょくりょうをしきゅうしています。 <br>The organization provides food to refugees.
<b>次第に</b> <br> 彼の健康は次第に改善しています。	[sound:s-0640_彼の健康は次第に改善しています。.mp3] <br> かれのけんこうはしだいにかいぜんしています。 <br>His health is gradually improving.
<b>第一歩</b> <br> これは私たちにとって成功への第一歩です。	[sound:s-0641_これは私たちにとって成功への第一歩です。.mp3] <br> これはわたしたちにとってせいこうへのだいいっぽです。 <br>This is the first step towards success for us.
<b>第三者</b> <br> 問題の解決には第三者の介入が必要です。	[sound:s-0642_問題の解決には第三者の介入が必要です。.mp3] <br> もんだいのかいけつにはだいさんしゃのかいにゅうがひつようです。 <br>The intervention of a third party is necessary for resolving the issue.
<b>第一人者</b> <br> 彼はその分野の第一人者です。	[sound:s-0643_彼はその分野の第一人者です。.mp3] <br> かれはそのぶんやのだいいちにんしゃです。 <br>He is a leading figure in that field.
<b>第二次世界大戦</b> <br> 第二次世界大戦は大きな影響を与えました。	[sound:s-0644_第二次世界大戦は大きな影響を与えました。.mp3] <br> だいにじせかいたいせんはおおきなえいきょうをあたえました。 <br>World War II had a significant impact.
<b>第一線</b> <br> 彼は今もなお医療の第一線で働いています。	[sound:s-0645_彼は今もなお医療の第一線で働いています。.mp3] <br> かれはいまもなおいりょうのだいいっせんではたらいています。 <br>He is still working on the medical frontline.
