national policy	<b>国策</b> <br> こくさく <br> [sound:4c-k-国策.mp3]
この任務は非常に重要です。 <br><br> (任務)	<b>このにんむはひじょうにじゅうようです。</b> <br> This mission is very important. <br> [sound:4c-s-この任務は非常に重要です。.mp3]
This mission is very important.	<b>この任務は非常に重要です。</b> <br> このにんむはひじょうにじゅうようです。 <br><br> (任務) <br> [sound:4c-s-この任務は非常に重要です。.mp3]
[sound:4c-k-取引.mp3]	<b>取引</b> <br> とりひき <br> transactions, dealings, business
取引	<b>とりひき</b> <br> transactions, dealings, business <br> [sound:4c-k-取引.mp3]
transactions, dealings, business	<b>取引</b> <br> とりひき <br> [sound:4c-k-取引.mp3]
[sound:4c-s-新しい取引を結びました。.mp3]	<b>新しい取引を結びました。</b> <br> あたらしいとりひきをむすびました。 <br><br> (取引) <br> I made a new deal.
新しい取引を結びました。 <br><br> (取引)	<b>あたらしいとりひきをむすびました。</b> <br> I made a new deal. <br> [sound:4c-s-新しい取引を結びました。.mp3]
I made a new deal.	<b>新しい取引を結びました。</b> <br> あたらしいとりひきをむすびました。 <br><br> (取引) <br> [sound:4c-s-新しい取引を結びました。.mp3]
[sound:4c-k-引き下げ.mp3]	<b>引き下げ</b> <br> ひきさげ <br> reduction, cut
引き下げ	<b>ひきさげ</b> <br> reduction, cut <br> [sound:4c-k-引き下げ.mp3]
reduction, cut	<b>引き下げ</b> <br> ひきさげ <br> [sound:4c-k-引き下げ.mp3]
[sound:4c-s-料金の引き下げが発表されました。.mp3]	<b>料金の引き下げが発表されました。</b> <br> りょうきんのひきさげがはっぴょうされました。 <br><br> (引き下げ) <br> A reduction in fees was announced.
料金の引き下げが発表されました。 <br><br> (引き下げ)	<b>りょうきんのひきさげがはっぴょうされました。</b> <br> A reduction in fees was announced. <br> [sound:4c-s-料金の引き下げが発表されました。.mp3]
A reduction in fees was announced.	<b>料金の引き下げが発表されました。</b> <br> りょうきんのひきさげがはっぴょうされました。 <br><br> (引き下げ) <br> [sound:4c-s-料金の引き下げが発表されました。.mp3]
[sound:4c-k-引き続き.mp3]	<b>引き続き</b> <br> ひきつづき <br> continuing for a long time, in succession, without a break
引き続き	<b>ひきつづき</b> <br> continuing for a long time, in succession, without a break <br> [sound:4c-k-引き続き.mp3]
continuing for a long time, in succession, without a break	<b>引き続き</b> <br> ひきつづき <br> [sound:4c-k-引き続き.mp3]
[sound:4c-s-引き続きお待ちください。.mp3]	<b>引き続きお待ちください。</b> <br> ひきつづきおまちください。 <br><br> (引き続き) <br> Please wait a moment longer.
引き続きお待ちください。 <br><br> (引き続き)	<b>ひきつづきおまちください。</b> <br> Please wait a moment longer. <br> [sound:4c-s-引き続きお待ちください。.mp3]
Please wait a moment longer.	<b>引き続きお待ちください。</b> <br> ひきつづきおまちください。 <br><br> (引き続き) <br> [sound:4c-s-引き続きお待ちください。.mp3]
[sound:4c-k-割引.mp3]	<b>割引</b> <br> わりびき <br> discount, reduction, rebate, tenths discounted
割引	<b>わりびき</b> <br> discount, reduction, rebate, tenths discounted <br> [sound:4c-k-割引.mp3]
discount, reduction, rebate, tenths discounted	<b>割引</b> <br> わりびき <br> [sound:4c-k-割引.mp3]
[sound:4c-s-割引セールが開催されています。.mp3]	<b>割引セールが開催されています。</b> <br> わりびきせーるがかいさいされています。 <br><br> (割引) <br> A discount sale is being held.
割引セールが開催されています。 <br><br> (割引)	<b>わりびきせーるがかいさいされています。</b> <br> A discount sale is being held. <br> [sound:4c-s-割引セールが開催されています。.mp3]
A discount sale is being held.	<b>割引セールが開催されています。</b> <br> わりびきせーるがかいさいされています。 <br><br> (割引) <br> [sound:4c-s-割引セールが開催されています。.mp3]
[sound:4c-k-使わす.mp3]	<b>使わす</b> <br> つかわす <br> to send, to dispatch, to despatch
使わす	<b>つかわす</b> <br> to send, to dispatch, to despatch <br> [sound:4c-k-使わす.mp3]
to send, to dispatch, to despatch	<b>使わす</b> <br> つかわす <br> [sound:4c-k-使わす.mp3]
[sound:4c-s-彼は私にお金を使わせました。.mp3]	<b>彼は私にお金を使わせました。</b> <br> かれはわたしにおかねをつかわせました。 <br><br> (使わす) <br> He made me spend money.
彼は私にお金を使わせました。 <br><br> (使わす)	<b>かれはわたしにおかねをつかわせました。</b> <br> He made me spend money. <br> [sound:4c-s-彼は私にお金を使わせました。.mp3]
He made me spend money.	<b>彼は私にお金を使わせました。</b> <br> かれはわたしにおかねをつかわせました。 <br><br> (使わす) <br> [sound:4c-s-彼は私にお金を使わせました。.mp3]
[sound:4c-k-使う.mp3]	<b>使う</b> <br> つかう <br> to use (a thing, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak; to take (one's lunch), to circulate (bad money)
使う	<b>つかう</b> <br> to use (a thing, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak; to take (one's lunch), to circulate (bad money) <br> [sound:4c-k-使う.mp3]
to use (a thing, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak; to take (one's lunch), to circulate (bad money)	<b>使う</b> <br> つかう <br> [sound:4c-k-使う.mp3]
[sound:4c-s-この道具を使うのは初めてです。.mp3]	<b>この道具を使うのは初めてです。</b> <br> このどうぐをつかうのははじめてです。 <br><br> (使う) <br> This is my first time using this tool.
この道具を使うのは初めてです。 <br><br> (使う)	<b>このどうぐをつかうのははじめてです。</b> <br> This is my first time using this tool. <br> [sound:4c-s-この道具を使うのは初めてです。.mp3]
This is my first time using this tool.	<b>この道具を使うのは初めてです。</b> <br> このどうぐをつかうのははじめてです。 <br><br> (使う) <br> [sound:4c-s-この道具を使うのは初めてです。.mp3]
[sound:4c-k-特使.mp3]	<b>特使</b> <br> とくし <br> special envoy
特使	<b>とくし</b> <br> special envoy <br> [sound:4c-k-特使.mp3]
special envoy	<b>特使</b> <br> とくし <br> [sound:4c-k-特使.mp3]
[sound:4c-s-彼は特使として海外に派遣されました。.mp3]	<b>彼は特使として海外に派遣されました。</b> <br> かれはとくしとしてかいがいにはけんされました。 <br><br> (特使) <br> He was sent abroad as a special envoy.
彼は特使として海外に派遣されました。 <br><br> (特使)	<b>かれはとくしとしてかいがいにはけんされました。</b> <br> He was sent abroad as a special envoy. <br> [sound:4c-s-彼は特使として海外に派遣されました。.mp3]
He was sent abroad as a special envoy.	<b>彼は特使として海外に派遣されました。</b> <br> かれはとくしとしてかいがいにはけんされました。 <br><br> (特使) <br> [sound:4c-s-彼は特使として海外に派遣されました。.mp3]
[sound:4c-k-労使.mp3]	<b>労使</b> <br> ろうし <br> labour and management, labor and management
労使	<b>ろうし</b> <br> labour and management, labor and management <br> [sound:4c-k-労使.mp3]
labour and management, labor and management	<b>労使</b> <br> ろうし <br> [sound:4c-k-労使.mp3]
[sound:4c-s-労使交渉が始まりました。.mp3]	<b>労使交渉が始まりました。</b> <br> ろうしこうしょうがはじまりました。 <br><br> (労使) <br> Labor-management negotiations have started.
労使交渉が始まりました。 <br><br> (労使)	<b>ろうしこうしょうがはじまりました。</b> <br> Labor-management negotiations have started. <br> [sound:4c-s-労使交渉が始まりました。.mp3]
Labor-management negotiations have started.	<b>労使交渉が始まりました。</b> <br> ろうしこうしょうがはじまりました。 <br><br> (労使) <br> [sound:4c-s-労使交渉が始まりました。.mp3]
[sound:4c-k-要求.mp3]	<b>要求</b> <br> ようきゅう <br> demand, firm request, requisition, requirement, desire
要求	<b>ようきゅう</b> <br> demand, firm request, requisition, requirement, desire <br> [sound:4c-k-要求.mp3]
demand, firm request, requisition, requirement, desire	<b>要求</b> <br> ようきゅう <br> [sound:4c-k-要求.mp3]
[sound:4c-s-彼は給料の増額を要求しました。.mp3]	<b>彼は給料の増額を要求しました。</b> <br> かれはきゅうりょうのぞうがくをようきゅうしました。 <br><br> (要求) <br> He demanded a salary increase.
彼は給料の増額を要求しました。 <br><br> (要求)	<b>かれはきゅうりょうのぞうがくをようきゅうしました。</b> <br> He demanded a salary increase. <br> [sound:4c-s-彼は給料の増額を要求しました。.mp3]
He demanded a salary increase.	<b>彼は給料の増額を要求しました。</b> <br> かれはきゅうりょうのぞうがくをようきゅうしました。 <br><br> (要求) <br> [sound:4c-s-彼は給料の増額を要求しました。.mp3]
[sound:4c-k-請求.mp3]	<b>請求</b> <br> せいきゅう <br> claim, demand, charge, application, request, billing (for a service)
請求	<b>せいきゅう</b> <br> claim, demand, charge, application, request, billing (for a service) <br> [sound:4c-k-請求.mp3]
claim, demand, charge, application, request, billing (for a service)	<b>請求</b> <br> せいきゅう <br> [sound:4c-k-請求.mp3]
[sound:4c-s-電気代の請求が届きました。.mp3]	<b>電気代の請求が届きました。</b> <br> でんきだいのせいきゅうがとどきました。 <br><br> (請求) <br> I received the electricity bill.
電気代の請求が届きました。 <br><br> (請求)	<b>でんきだいのせいきゅうがとどきました。</b> <br> I received the electricity bill. <br> [sound:4c-s-電気代の請求が届きました。.mp3]
I received the electricity bill.	<b>電気代の請求が届きました。</b> <br> でんきだいのせいきゅうがとどきました。 <br><br> (請求) <br> [sound:4c-s-電気代の請求が届きました。.mp3]
[sound:4c-k-追求.mp3]	<b>追求</b> <br> ついきゅう <br> pursuing (goal), pursuit, seeking, search; to pursue (e.g. goal), to seek
追求	<b>ついきゅう</b> <br> pursuing (goal), pursuit, seeking, search; to pursue (e.g. goal), to seek <br> [sound:4c-k-追求.mp3]
pursuing (goal), pursuit, seeking, search; to pursue (e.g. goal), to seek	<b>追求</b> <br> ついきゅう <br> [sound:4c-k-追求.mp3]
[sound:4c-s-彼は真実を追求しています。.mp3]	<b>彼は真実を追求しています。</b> <br> かれはしんじつをついきゅうしています。 <br><br> (追求) <br> He is pursuing the truth.
彼は真実を追求しています。 <br><br> (追求)	<b>かれはしんじつをついきゅうしています。</b> <br> He is pursuing the truth. <br> [sound:4c-s-彼は真実を追求しています。.mp3]
He is pursuing the truth.	<b>彼は真実を追求しています。</b> <br> かれはしんじつをついきゅうしています。 <br><br> (追求) <br> [sound:4c-s-彼は真実を追求しています。.mp3]
[sound:4c-k-求職.mp3]	<b>求職</b> <br> きゅうしょく <br> job hunting, seeking employment
求職	<b>きゅうしょく</b> <br> job hunting, seeking employment <br> [sound:4c-k-求職.mp3]
job hunting, seeking employment	<b>求職</b> <br> きゅうしょく <br> [sound:4c-k-求職.mp3]
[sound:4c-s-彼は現在、求職中です。.mp3]	<b>彼は現在、求職中です。</b> <br> かれはげんざい、きゅうしょくちゅうです。 <br><br> (求職) <br> He is currently looking for a job.
彼は現在、求職中です。 <br><br> (求職)	<b>かれはげんざい、きゅうしょくちゅうです。</b> <br> He is currently looking for a job. <br> [sound:4c-s-彼は現在、求職中です。.mp3]
He is currently looking for a job.	<b>彼は現在、求職中です。</b> <br> かれはげんざい、きゅうしょくちゅうです。 <br><br> (求職) <br> [sound:4c-s-彼は現在、求職中です。.mp3]
[sound:4c-k-事務所.mp3]	<b>事務所</b> <br> じむしょ <br> office
事務所	<b>じむしょ</b> <br> office <br> [sound:4c-k-事務所.mp3]
office	<b>事務所</b> <br> じむしょ <br> [sound:4c-k-事務所.mp3]
[sound:4c-s-このビルの事務所に行きました。.mp3]	<b>このビルの事務所に行きました。</b> <br> このびるのじむしょにいきました。 <br><br> (事務所) <br> I went to the office in this building.
このビルの事務所に行きました。 <br><br> (事務所)	<b>このびるのじむしょにいきました。</b> <br> I went to the office in this building. <br> [sound:4c-s-このビルの事務所に行きました。.mp3]
I went to the office in this building.	<b>このビルの事務所に行きました。</b> <br> このびるのじむしょにいきました。 <br><br> (事務所) <br> [sound:4c-s-このビルの事務所に行きました。.mp3]
[sound:4c-k-場所.mp3]	<b>場所</b> <br> ばしょ <br> place, location
場所	<b>ばしょ</b> <br> place, location <br> [sound:4c-k-場所.mp3]
place, location	<b>場所</b> <br> ばしょ <br> [sound:4c-k-場所.mp3]
[sound:4c-s-会議の場所はまだ決まっていません。.mp3]	<b>会議の場所はまだ決まっていません。</b> <br> かいぎのばしょはまだきまっていません。 <br><br> (場所) <br> The location for the meeting has not been decided yet.
会議の場所はまだ決まっていません。 <br><br> (場所)	<b>かいぎのばしょはまだきまっていません。</b> <br> The location for the meeting has not been decided yet. <br> [sound:4c-s-会議の場所はまだ決まっていません。.mp3]
The location for the meeting has not been decided yet.	<b>会議の場所はまだ決まっていません。</b> <br> かいぎのばしょはまだきまっていません。 <br><br> (場所) <br> [sound:4c-s-会議の場所はまだ決まっていません。.mp3]
[sound:4c-k-所属.mp3]	<b>所属</b> <br> しょぞく <br> attached to, belong to, member
所属	<b>しょぞく</b> <br> attached to, belong to, member <br> [sound:4c-k-所属.mp3]
attached to, belong to, member	<b>所属</b> <br> しょぞく <br> [sound:4c-k-所属.mp3]
[sound:4c-s-私はマーケティング部に所属しています。.mp3]	<b>私はマーケティング部に所属しています。</b> <br> わたしはまーけてぃんぐぶにしょぞくしています。 <br><br> (所属) <br> I belong to the marketing department.
私はマーケティング部に所属しています。 <br><br> (所属)	<b>わたしはまーけてぃんぐぶにしょぞくしています。</b> <br> I belong to the marketing department. <br> [sound:4c-s-私はマーケティング部に所属しています。.mp3]
I belong to the marketing department.	<b>私はマーケティング部に所属しています。</b> <br> わたしはまーけてぃんぐぶにしょぞくしています。 <br><br> (所属) <br> [sound:4c-s-私はマーケティング部に所属しています。.mp3]
[sound:4c-k-無所属.mp3]	<b>無所属</b> <br> むしょぞく <br> independent
無所属	<b>むしょぞく</b> <br> independent <br> [sound:4c-k-無所属.mp3]
independent	<b>無所属</b> <br> むしょぞく <br> [sound:4c-k-無所属.mp3]
[sound:4c-s-彼は無所属の議員です。.mp3]	<b>彼は無所属の議員です。</b> <br> かれはむしょぞくのぎいんです。 <br><br> (無所属) <br> He is an independent member of parliament.
彼は無所属の議員です。 <br><br> (無所属)	<b>かれはむしょぞくのぎいんです。</b> <br> He is an independent member of parliament. <br> [sound:4c-s-彼は無所属の議員です。.mp3]
He is an independent member of parliament.	<b>彼は無所属の議員です。</b> <br> かれはむしょぞくのぎいんです。 <br><br> (無所属) <br> [sound:4c-s-彼は無所属の議員です。.mp3]
[sound:4c-k-次官.mp3]	<b>次官</b> <br> じかん <br> vice-minister, undersecretary
次官	<b>じかん</b> <br> vice-minister, undersecretary <br> [sound:4c-k-次官.mp3]
vice-minister, undersecretary	<b>次官</b> <br> じかん <br> [sound:4c-k-次官.mp3]
[sound:4c-s-次官が会議に出席しました。.mp3]	<b>次官が会議に出席しました。</b> <br> じかんがかいぎにしゅっせきしました。 <br><br> (次官) <br> The vice minister attended the meeting.
次官が会議に出席しました。 <br><br> (次官)	<b>じかんがかいぎにしゅっせきしました。</b> <br> The vice minister attended the meeting. <br> [sound:4c-s-次官が会議に出席しました。.mp3]
The vice minister attended the meeting.	<b>次官が会議に出席しました。</b> <br> じかんがかいぎにしゅっせきしました。 <br><br> (次官) <br> [sound:4c-s-次官が会議に出席しました。.mp3]
[sound:4c-k-事務次官.mp3]	<b>事務次官</b> <br> じむじかん <br> permanent vice-president, undersecretary, vice-minister
事務次官	<b>じむじかん</b> <br> permanent vice-president, undersecretary, vice-minister <br> [sound:4c-k-事務次官.mp3]
permanent vice-president, undersecretary, vice-minister	<b>事務次官</b> <br> じむじかん <br> [sound:4c-k-事務次官.mp3]
[sound:4c-s-事務次官は重要な役割を担っています。.mp3]	<b>事務次官は重要な役割を担っています。</b> <br> じむじかんはじゅうようなやくわりをになっています。 <br><br> (事務次官) <br> The permanent secretary plays an important role.
事務次官は重要な役割を担っています。 <br><br> (事務次官)	<b>じむじかんはじゅうようなやくわりをになっています。</b> <br> The permanent secretary plays an important role. <br> [sound:4c-s-事務次官は重要な役割を担っています。.mp3]
The permanent secretary plays an important role.	<b>事務次官は重要な役割を担っています。</b> <br> じむじかんはじゅうようなやくわりをになっています。 <br><br> (事務次官) <br> [sound:4c-s-事務次官は重要な役割を担っています。.mp3]
[sound:4c-k-政務次官.mp3]	<b>政務次官</b> <br> せいむじかん <br> parliamentary vice-minister
政務次官	<b>せいむじかん</b> <br> parliamentary vice-minister <br> [sound:4c-k-政務次官.mp3]
parliamentary vice-minister	<b>政務次官</b> <br> せいむじかん <br> [sound:4c-k-政務次官.mp3]
[sound:4c-s-政務次官が政府の方針を発表しました。.mp3]	<b>政務次官が政府の方針を発表しました。</b> <br> せいむじかんがせいふのほうしんをはっぴょうしました。 <br><br> (政務次官) <br> The parliamentary secretary announced the government’s policy.
政務次官が政府の方針を発表しました。 <br><br> (政務次官)	<b>せいむじかんがせいふのほうしんをはっぴょうしました。</b> <br> The parliamentary secretary announced the government’s policy. <br> [sound:4c-s-政務次官が政府の方針を発表しました。.mp3]
The parliamentary secretary announced the government’s policy.	<b>政務次官が政府の方針を発表しました。</b> <br> せいむじかんがせいふのほうしんをはっぴょうしました。 <br><br> (政務次官) <br> [sound:4c-s-政務次官が政府の方針を発表しました。.mp3]
[sound:4c-k-五十三次.mp3]	<b>五十三次</b> <br> ごじゅうさんつぎ <br> the 53 Toukaidou stages
五十三次	<b>ごじゅうさんつぎ</b> <br> the 53 Toukaidou stages <br> [sound:4c-k-五十三次.mp3]
the 53 Toukaidou stages	<b>五十三次</b> <br> ごじゅうさんつぎ <br> [sound:4c-k-五十三次.mp3]
[sound:4c-s-五十三次を歩いて旅をしました。.mp3]	<b>五十三次を歩いて旅をしました。</b> <br> ごじゅうさんじをあるいてたびをしました。 <br><br> (五十三次) <br> I traveled by walking along the fifty-three stations.
五十三次を歩いて旅をしました。 <br><br> (五十三次)	<b>ごじゅうさんじをあるいてたびをしました。</b> <br> I traveled by walking along the fifty-three stations. <br> [sound:4c-s-五十三次を歩いて旅をしました。.mp3]
I traveled by walking along the fifty-three stations.	<b>五十三次を歩いて旅をしました。</b> <br> ごじゅうさんじをあるいてたびをしました。 <br><br> (五十三次) <br> [sound:4c-s-五十三次を歩いて旅をしました。.mp3]
[sound:4c-k-水.mp3]	<b>水</b> <br> みず <br> water (cold, fresh)
水	<b>みず</b> <br> water (cold, fresh) <br> [sound:4c-k-水.mp3]
water (cold, fresh)	<b>水</b> <br> みず <br> [sound:4c-k-水.mp3]
[sound:4c-s-水は生きるために必要です。.mp3]	<b>水は生きるために必要です。</b> <br> みずはいきるためにひつようです。 <br><br> (水) <br> Water is essential for life.
水は生きるために必要です。 <br><br> (水)	<b>みずはいきるためにひつようです。</b> <br> Water is essential for life. <br> [sound:4c-s-水は生きるために必要です。.mp3]
Water is essential for life.	<b>水は生きるために必要です。</b> <br> みずはいきるためにひつようです。 <br><br> (水) <br> [sound:4c-s-水は生きるために必要です。.mp3]
[sound:4c-k-水準.mp3]	<b>水準</b> <br> すいじゅん <br> level, standard; water level
水準	<b>すいじゅん</b> <br> level, standard; water level <br> [sound:4c-k-水準.mp3]
level, standard; water level	<b>水準</b> <br> すいじゅん <br> [sound:4c-k-水準.mp3]
[sound:4c-s-その商品の品質は高い水準にあります。.mp3]	<b>その商品の品質は高い水準にあります。</b> <br> そのしょうひんのひんしつはたかいすいじゅんにあります。 <br><br> (水準) <br> The quality of that product is at a high level.
その商品の品質は高い水準にあります。 <br><br> (水準)	<b>そのしょうひんのひんしつはたかいすいじゅんにあります。</b> <br> The quality of that product is at a high level. <br> [sound:4c-s-その商品の品質は高い水準にあります。.mp3]
The quality of that product is at a high level.	<b>その商品の品質は高い水準にあります。</b> <br> そのしょうひんのひんしつはたかいすいじゅんにあります。 <br><br> (水準) <br> [sound:4c-s-その商品の品質は高い水準にあります。.mp3]
[sound:4c-k-水質.mp3]	<b>水質</b> <br> すいしつ <br> water quality
水質	<b>すいしつ</b> <br> water quality <br> [sound:4c-k-水質.mp3]
water quality	<b>水質</b> <br> すいしつ <br> [sound:4c-k-水質.mp3]
[sound:4c-s-湖の水質は改善されました。.mp3]	<b>湖の水質は改善されました。</b> <br> みずうみのすいしつはかいぜんされました。 <br><br> (水質) <br> The water quality of the lake has improved.
湖の水質は改善されました。 <br><br> (水質)	<b>みずうみのすいしつはかいぜんされました。</b> <br> The water quality of the lake has improved. <br> [sound:4c-s-湖の水質は改善されました。.mp3]
The water quality of the lake has improved.	<b>湖の水質は改善されました。</b> <br> みずうみのすいしつはかいぜんされました。 <br><br> (水質) <br> [sound:4c-s-湖の水質は改善されました。.mp3]
[sound:4c-k-下水道.mp3]	<b>下水道</b> <br> げすいどう <br> drain, sewer, drainage system
下水道	<b>げすいどう</b> <br> drain, sewer, drainage system <br> [sound:4c-k-下水道.mp3]
drain, sewer, drainage system	<b>下水道</b> <br> げすいどう <br> [sound:4c-k-下水道.mp3]
[sound:4c-s-下水道の工事が行われています。.mp3]	<b>下水道の工事が行われています。</b> <br> げすいどうのこうじがおこなわれています。 <br><br> (下水道) <br> Sewer work is being conducted.
下水道の工事が行われています。 <br><br> (下水道)	<b>げすいどうのこうじがおこなわれています。</b> <br> Sewer work is being conducted. <br> [sound:4c-s-下水道の工事が行われています。.mp3]
Sewer work is being conducted.	<b>下水道の工事が行われています。</b> <br> げすいどうのこうじがおこなわれています。 <br><br> (下水道) <br> [sound:4c-s-下水道の工事が行われています。.mp3]
[sound:4c-k-半.mp3]	<b>半</b> <br> はん <br> half
半	<b>はん</b> <br> half <br> [sound:4c-k-半.mp3]
half	<b>半</b> <br> はん <br> [sound:4c-k-半.mp3]
[sound:4c-s-試合は半分が終了しました。.mp3]	<b>試合は半分が終了しました。</b> <br> しあいははんぶんがしゅうりょうしました。 <br><br> (半) <br> The game has completed half of its duration.
試合は半分が終了しました。 <br><br> (半)	<b>しあいははんぶんがしゅうりょうしました。</b> <br> The game has completed half of its duration. <br> [sound:4c-s-試合は半分が終了しました。.mp3]
The game has completed half of its duration.	<b>試合は半分が終了しました。</b> <br> しあいははんぶんがしゅうりょうしました。 <br><br> (半) <br> [sound:4c-s-試合は半分が終了しました。.mp3]
[sound:4c-k-時半.mp3]	<b>時半</b> <br> じはん <br> about an hour, short time; half past (the hour)
時半	<b>じはん</b> <br> about an hour, short time; half past (the hour) <br> [sound:4c-k-時半.mp3]
about an hour, short time; half past (the hour)	<b>時半</b> <br> じはん <br> [sound:4c-k-時半.mp3]
[sound:4c-s-会議は三時半に始まります。.mp3]	<b>会議は三時半に始まります。</b> <br> かいぎはさんじはんにはじまります。 <br><br> (時半) <br> The meeting starts at 3:30.
会議は三時半に始まります。 <br><br> (時半)	<b>かいぎはさんじはんにはじまります。</b> <br> The meeting starts at 3:30. <br> [sound:4c-s-会議は三時半に始まります。.mp3]
The meeting starts at 3:30.	<b>会議は三時半に始まります。</b> <br> かいぎはさんじはんにはじまります。 <br><br> (時半) <br> [sound:4c-s-会議は三時半に始まります。.mp3]
[sound:4c-k-朝鮮半島.mp3]	<b>朝鮮半島</b> <br> ちょうせんはんとう <br> Korean peninsula
朝鮮半島	<b>ちょうせんはんとう</b> <br> Korean peninsula <br> [sound:4c-k-朝鮮半島.mp3]
Korean peninsula	<b>朝鮮半島</b> <br> ちょうせんはんとう <br> [sound:4c-k-朝鮮半島.mp3]
[sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]	<b>朝鮮半島は歴史的に重要な地域です。</b> <br> ちょうせんはんとうはれきしてきにじゅうようなちいきです。 <br><br> (朝鮮半島) <br> The Korean Peninsula is a historically significant region.
朝鮮半島は歴史的に重要な地域です。 <br><br> (朝鮮半島)	<b>ちょうせんはんとうはれきしてきにじゅうようなちいきです。</b> <br> The Korean Peninsula is a historically significant region. <br> [sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]
The Korean Peninsula is a historically significant region.	<b>朝鮮半島は歴史的に重要な地域です。</b> <br> ちょうせんはんとうはれきしてきにじゅうようなちいきです。 <br><br> (朝鮮半島) <br> [sound:4c-s-朝鮮半島は歴史的に重要な地域です。.mp3]
[sound:4c-k-半数.mp3]	<b>半数</b> <br> はんすう <br> half the number; haploid
半数	<b>はんすう</b> <br> half the number; haploid <br> [sound:4c-k-半数.mp3]
half the number; haploid	<b>半数</b> <br> はんすう <br> [sound:4c-k-半数.mp3]
[sound:4c-s-投票の半数が賛成しました。.mp3]	<b>投票の半数が賛成しました。</b> <br> とうひょうのはんすうがさんせいしました。 <br><br> (半数) <br> Half of the votes were in favor.
投票の半数が賛成しました。 <br><br> (半数)	<b>とうひょうのはんすうがさんせいしました。</b> <br> Half of the votes were in favor. <br> [sound:4c-s-投票の半数が賛成しました。.mp3]
Half of the votes were in favor.	<b>投票の半数が賛成しました。</b> <br> とうひょうのはんすうがさんせいしました。 <br><br> (半数) <br> [sound:4c-s-投票の半数が賛成しました。.mp3]
[sound:4c-k-作品.mp3]	<b>作品</b> <br> さくひん <br> work (e.g. book, film, composition, etc.), opus, performance, production
作品	<b>さくひん</b> <br> work (e.g. book, film, composition, etc.), opus, performance, production <br> [sound:4c-k-作品.mp3]
work (e.g. book, film, composition, etc.), opus, performance, production	<b>作品</b> <br> さくひん <br> [sound:4c-k-作品.mp3]
[sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]	<b>彼の最新の作品は非常に評価されています。</b> <br> かれのさいしんのさくひんはひじょうにひょうかされています。 <br><br> (作品) <br> His latest work is highly praised.
彼の最新の作品は非常に評価されています。 <br><br> (作品)	<b>かれのさいしんのさくひんはひじょうにひょうかされています。</b> <br> His latest work is highly praised. <br> [sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]
His latest work is highly praised.	<b>彼の最新の作品は非常に評価されています。</b> <br> かれのさいしんのさくひんはひじょうにひょうかされています。 <br><br> (作品) <br> [sound:4c-s-彼の最新の作品は非常に評価されています。.mp3]
[sound:4c-k-商品.mp3]	<b>商品</b> <br> しょうひん <br> commodity, article of commerce, goods, stock, merchandise
商品	<b>しょうひん</b> <br> commodity, article of commerce, goods, stock, merchandise <br> [sound:4c-k-商品.mp3]
commodity, article of commerce, goods, stock, merchandise	<b>商品</b> <br> しょうひん <br> [sound:4c-k-商品.mp3]
[sound:4c-s-新しい商品が店に並びました。.mp3]	<b>新しい商品が店に並びました。</b> <br> あたらしいしょうひんがみせにならびました。 <br><br> (商品) <br> New products have been displayed in the store.
新しい商品が店に並びました。 <br><br> (商品)	<b>あたらしいしょうひんがみせにならびました。</b> <br> New products have been displayed in the store. <br> [sound:4c-s-新しい商品が店に並びました。.mp3]
New products have been displayed in the store.	<b>新しい商品が店に並びました。</b> <br> あたらしいしょうひんがみせにならびました。 <br><br> (商品) <br> [sound:4c-s-新しい商品が店に並びました。.mp3]
[sound:4c-k-品種.mp3]	<b>品種</b> <br> ひんしゅ <br> kind (of goods), brand; (taxonomical) form; breed, cultivar
品種	<b>ひんしゅ</b> <br> kind (of goods), brand; (taxonomical) form; breed, cultivar <br> [sound:4c-k-品種.mp3]
kind (of goods), brand; (taxonomical) form; breed, cultivar	<b>品種</b> <br> ひんしゅ <br> [sound:4c-k-品種.mp3]
[sound:4c-s-この花の品種は非常に珍しいです。.mp3]	<b>この花の品種は非常に珍しいです。</b> <br> このはなのひんしゅはひじょうにめずらしいです。 <br><br> (品種) <br> This type of flower is very rare.
この花の品種は非常に珍しいです。 <br><br> (品種)	<b>このはなのひんしゅはひじょうにめずらしいです。</b> <br> This type of flower is very rare. <br> [sound:4c-s-この花の品種は非常に珍しいです。.mp3]
This type of flower is very rare.	<b>この花の品種は非常に珍しいです。</b> <br> このはなのひんしゅはひじょうにめずらしいです。 <br><br> (品種) <br> [sound:4c-s-この花の品種は非常に珍しいです。.mp3]
[sound:4c-k-品目.mp3]	<b>品目</b> <br> ひんもく <br> list of articles
品目	<b>ひんもく</b> <br> list of articles <br> [sound:4c-k-品目.mp3]
