the said person, he, she, same person	<b>同氏</b> <br> どうし <br> [sound:4c-k-同氏.mp3]
August is hot.	<b>八月は暑いです。</b> <br> はちがつはあついです。 <br><br> (八月) <br> [sound:4c-s-八月は暑いです。.mp3]
[sound:4c-k-八十.mp3]	<b>八十</b> <br> はちじゅう, やそ <br> eighty
八十	<b>はちじゅう, やそ</b> <br> eighty <br> [sound:4c-k-八十.mp3]
eighty	<b>八十</b> <br> はちじゅう, やそ <br> [sound:4c-k-八十.mp3]
[sound:4c-s-彼のおじいさんは八十歳です。.mp3]	<b>彼のおじいさんは八十歳です。</b> <br> かれのおじいさんははちじゅっさいです。 <br><br> (八十) <br> His grandfather is eighty years old.
彼のおじいさんは八十歳です。 <br><br> (八十)	<b>かれのおじいさんははちじゅっさいです。</b> <br> His grandfather is eighty years old. <br> [sound:4c-s-彼のおじいさんは八十歳です。.mp3]
His grandfather is eighty years old.	<b>彼のおじいさんは八十歳です。</b> <br> かれのおじいさんははちじゅっさいです。 <br><br> (八十) <br> [sound:4c-s-彼のおじいさんは八十歳です。.mp3]
[sound:4c-k-六.mp3]	<b>六</b> <br> ろく, む, むう <br> six
六	<b>ろく, む, むう</b> <br> six <br> [sound:4c-k-六.mp3]
six	<b>六</b> <br> ろく, む, むう <br> [sound:4c-k-六.mp3]
[sound:4c-s-六時に起きます。.mp3]	<b>六時に起きます。</b> <br> ろくじにおきます。 <br><br> (六) <br> I wake up at six o'clock.
六時に起きます。 <br><br> (六)	<b>ろくじにおきます。</b> <br> I wake up at six o'clock. <br> [sound:4c-s-六時に起きます。.mp3]
I wake up at six o'clock.	<b>六時に起きます。</b> <br> ろくじにおきます。 <br><br> (六) <br> [sound:4c-s-六時に起きます。.mp3]
[sound:4c-k-六月.mp3]	<b>六月</b> <br> ろくがつ <br> June
六月	<b>ろくがつ</b> <br> June <br> [sound:4c-k-六月.mp3]
June	<b>六月</b> <br> ろくがつ <br> [sound:4c-k-六月.mp3]
[sound:4c-s-六月は梅雨の季節です。.mp3]	<b>六月は梅雨の季節です。</b> <br> ろくがつはつゆのきせつです。 <br><br> (六月) <br> June is the rainy season.
六月は梅雨の季節です。 <br><br> (六月)	<b>ろくがつはつゆのきせつです。</b> <br> June is the rainy season. <br> [sound:4c-s-六月は梅雨の季節です。.mp3]
June is the rainy season.	<b>六月は梅雨の季節です。</b> <br> ろくがつはつゆのきせつです。 <br><br> (六月) <br> [sound:4c-s-六月は梅雨の季節です。.mp3]
[sound:4c-k-六十.mp3]	<b>六十</b> <br> ろくじゅう, むそ <br> sixty
六十	<b>ろくじゅう, むそ</b> <br> sixty <br> [sound:4c-k-六十.mp3]
sixty	<b>六十</b> <br> ろくじゅう, むそ <br> [sound:4c-k-六十.mp3]
[sound:4c-s-彼は六十歳で退職しました。.mp3]	<b>彼は六十歳で退職しました。</b> <br> かれはろくじゅっさいでたいしょくしました。 <br><br> (六十) <br> He retired at sixty years old.
彼は六十歳で退職しました。 <br><br> (六十)	<b>かれはろくじゅっさいでたいしょくしました。</b> <br> He retired at sixty years old. <br> [sound:4c-s-彼は六十歳で退職しました。.mp3]
He retired at sixty years old.	<b>彼は六十歳で退職しました。</b> <br> かれはろくじゅっさいでたいしょくしました。 <br><br> (六十) <br> [sound:4c-s-彼は六十歳で退職しました。.mp3]
[sound:4c-k-六十四分音符.mp3]	<b>六十四分音符</b> <br> ろくじゅうしぶおんぷ <br> 64th note
六十四分音符	<b>ろくじゅうしぶおんぷ</b> <br> 64th note <br> [sound:4c-k-六十四分音符.mp3]
64th note	<b>六十四分音符</b> <br> ろくじゅうしぶおんぷ <br> [sound:4c-k-六十四分音符.mp3]
[sound:4c-s-六十四分音符はとても短い音符です。.mp3]	<b>六十四分音符はとても短い音符です。</b> <br> ろくじゅうよんぶおんぷはとてもみじかいおんぷです。 <br><br> (六十四分音符) <br> A sixty-fourth note is a very short note.
六十四分音符はとても短い音符です。 <br><br> (六十四分音符)	<b>ろくじゅうよんぶおんぷはとてもみじかいおんぷです。</b> <br> A sixty-fourth note is a very short note. <br> [sound:4c-s-六十四分音符はとても短い音符です。.mp3]
A sixty-fourth note is a very short note.	<b>六十四分音符はとても短い音符です。</b> <br> ろくじゅうよんぶおんぷはとてもみじかいおんぷです。 <br><br> (六十四分音符) <br> [sound:4c-s-六十四分音符はとても短い音符です。.mp3]
[sound:4c-k-契約.mp3]	<b>契約</b> <br> けいやく <br> contract, compact, agreement
契約	<b>けいやく</b> <br> contract, compact, agreement <br> [sound:4c-k-契約.mp3]
contract, compact, agreement	<b>契約</b> <br> けいやく <br> [sound:4c-k-契約.mp3]
[sound:4c-s-新しい契約を結びました。.mp3]	<b>新しい契約を結びました。</b> <br> あたらしいけいやくをむすびました。 <br><br> (契約) <br> I signed a new contract.
新しい契約を結びました。 <br><br> (契約)	<b>あたらしいけいやくをむすびました。</b> <br> I signed a new contract. <br> [sound:4c-s-新しい契約を結びました。.mp3]
I signed a new contract.	<b>新しい契約を結びました。</b> <br> あたらしいけいやくをむすびました。 <br><br> (契約) <br> [sound:4c-s-新しい契約を結びました。.mp3]
[sound:4c-k-条約.mp3]	<b>条約</b> <br> じょうやく <br> treaty, pact
条約	<b>じょうやく</b> <br> treaty, pact <br> [sound:4c-k-条約.mp3]
treaty, pact	<b>条約</b> <br> じょうやく <br> [sound:4c-k-条約.mp3]
[sound:4c-s-その国々は条約を締結しました。.mp3]	<b>その国々は条約を締結しました。</b> <br> そのくにぐにはじょうやくをていけつしました。 <br><br> (条約) <br> The countries signed a treaty.
その国々は条約を締結しました。 <br><br> (条約)	<b>そのくにぐにはじょうやくをていけつしました。</b> <br> The countries signed a treaty. <br> [sound:4c-s-その国々は条約を締結しました。.mp3]
The countries signed a treaty.	<b>その国々は条約を締結しました。</b> <br> そのくにぐにはじょうやくをていけつしました。 <br><br> (条約) <br> [sound:4c-s-その国々は条約を締結しました。.mp3]
[sound:4c-k-公約.mp3]	<b>公約</b> <br> こうやく <br> public commitment or promise
公約	<b>こうやく</b> <br> public commitment or promise <br> [sound:4c-k-公約.mp3]
public commitment or promise	<b>公約</b> <br> こうやく <br> [sound:4c-k-公約.mp3]
[sound:4c-s-彼は公約を守りました。.mp3]	<b>彼は公約を守りました。</b> <br> かれはこうやくをまもりました。 <br><br> (公約) <br> He kept his campaign promise.
彼は公約を守りました。 <br><br> (公約)	<b>かれはこうやくをまもりました。</b> <br> He kept his campaign promise. <br> [sound:4c-s-彼は公約を守りました。.mp3]
He kept his campaign promise.	<b>彼は公約を守りました。</b> <br> かれはこうやくをまもりました。 <br><br> (公約) <br> [sound:4c-s-彼は公約を守りました。.mp3]
[sound:4c-k-約束.mp3]	<b>約束</b> <br> やくそく <br> arrangement, promise, appointment, pact, engagement; convention, rule
約束	<b>やくそく</b> <br> arrangement, promise, appointment, pact, engagement; convention, rule <br> [sound:4c-k-約束.mp3]
arrangement, promise, appointment, pact, engagement; convention, rule	<b>約束</b> <br> やくそく <br> [sound:4c-k-約束.mp3]
[sound:4c-s-友達と約束をしました。.mp3]	<b>友達と約束をしました。</b> <br> ともだちとやくそくをしました。 <br><br> (約束) <br> I made a promise with my friend.
友達と約束をしました。 <br><br> (約束)	<b>ともだちとやくそくをしました。</b> <br> I made a promise with my friend. <br> [sound:4c-s-友達と約束をしました。.mp3]
I made a promise with my friend.	<b>友達と約束をしました。</b> <br> ともだちとやくそくをしました。 <br><br> (約束) <br> [sound:4c-s-友達と約束をしました。.mp3]
[sound:4c-k-主に.mp3]	<b>主に</b> <br> おもに <br> mainly, primarily
主に	<b>おもに</b> <br> mainly, primarily <br> [sound:4c-k-主に.mp3]
mainly, primarily	<b>主に</b> <br> おもに <br> [sound:4c-k-主に.mp3]
[sound:4c-s-この本は主に学生向けです。.mp3]	<b>この本は主に学生向けです。</b> <br> このほんはおもにがくせいむけです。 <br><br> (主に) <br> This book is mainly for students.
この本は主に学生向けです。 <br><br> (主に)	<b>このほんはおもにがくせいむけです。</b> <br> This book is mainly for students. <br> [sound:4c-s-この本は主に学生向けです。.mp3]
This book is mainly for students.	<b>この本は主に学生向けです。</b> <br> このほんはおもにがくせいむけです。 <br><br> (主に) <br> [sound:4c-s-この本は主に学生向けです。.mp3]
[sound:4c-k-喪主.mp3]	<b>喪主</b> <br> もしゅ <br> chief mourner
喪主	<b>もしゅ</b> <br> chief mourner <br> [sound:4c-k-喪主.mp3]
chief mourner	<b>喪主</b> <br> もしゅ <br> [sound:4c-k-喪主.mp3]
[sound:4c-s-喪主が挨拶をしました。.mp3]	<b>喪主が挨拶をしました。</b> <br> もしゅがあいさつをしました。 <br><br> (喪主) <br> The chief mourner gave a speech.
喪主が挨拶をしました。 <br><br> (喪主)	<b>もしゅがあいさつをしました。</b> <br> The chief mourner gave a speech. <br> [sound:4c-s-喪主が挨拶をしました。.mp3]
The chief mourner gave a speech.	<b>喪主が挨拶をしました。</b> <br> もしゅがあいさつをしました。 <br><br> (喪主) <br> [sound:4c-s-喪主が挨拶をしました。.mp3]
[sound:4c-k-民主.mp3]	<b>民主</b> <br> みんしゅ <br> democracy, popular sovereignty; democratic
民主	<b>みんしゅ</b> <br> democracy, popular sovereignty; democratic <br> [sound:4c-k-民主.mp3]
democracy, popular sovereignty; democratic	<b>民主</b> <br> みんしゅ <br> [sound:4c-k-民主.mp3]
[sound:4c-s-民主主義は重要です。.mp3]	<b>民主主義は重要です。</b> <br> みんしゅしゅぎはじゅうようです。 <br><br> (民主) <br> Democracy is important.
民主主義は重要です。 <br><br> (民主)	<b>みんしゅしゅぎはじゅうようです。</b> <br> Democracy is important. <br> [sound:4c-s-民主主義は重要です。.mp3]
Democracy is important.	<b>民主主義は重要です。</b> <br> みんしゅしゅぎはじゅうようです。 <br><br> (民主) <br> [sound:4c-s-民主主義は重要です。.mp3]
[sound:4c-k-主義.mp3]	<b>主義</b> <br> しゅぎ <br> doctrine, rule, principle
主義	<b>しゅぎ</b> <br> doctrine, rule, principle <br> [sound:4c-k-主義.mp3]
doctrine, rule, principle	<b>主義</b> <br> しゅぎ <br> [sound:4c-k-主義.mp3]
[sound:4c-s-彼は平和主義を支持しています。.mp3]	<b>彼は平和主義を支持しています。</b> <br> かれはへいわしゅぎをしじしています。 <br><br> (主義) <br> He supports pacifism.
彼は平和主義を支持しています。 <br><br> (主義)	<b>かれはへいわしゅぎをしじしています。</b> <br> He supports pacifism. <br> [sound:4c-s-彼は平和主義を支持しています。.mp3]
He supports pacifism.	<b>彼は平和主義を支持しています。</b> <br> かれはへいわしゅぎをしじしています。 <br><br> (主義) <br> [sound:4c-s-彼は平和主義を支持しています。.mp3]
[sound:4c-k-課題.mp3]	<b>課題</b> <br> かだい <br> subject, theme, task, challenge, issue
課題	<b>かだい</b> <br> subject, theme, task, challenge, issue <br> [sound:4c-k-課題.mp3]
subject, theme, task, challenge, issue	<b>課題</b> <br> かだい <br> [sound:4c-k-課題.mp3]
[sound:4c-s-課題を解決する必要があります。.mp3]	<b>課題を解決する必要があります。</b> <br> かだいをかいけつするひつようがあります。 <br><br> (課題) <br> We need to solve the issue.
課題を解決する必要があります。 <br><br> (課題)	<b>かだいをかいけつするひつようがあります。</b> <br> We need to solve the issue. <br> [sound:4c-s-課題を解決する必要があります。.mp3]
We need to solve the issue.	<b>課題を解決する必要があります。</b> <br> かだいをかいけつするひつようがあります。 <br><br> (課題) <br> [sound:4c-s-課題を解決する必要があります。.mp3]
[sound:4c-k-問題.mp3]	<b>問題</b> <br> もんだい <br> problem, question
問題	<b>もんだい</b> <br> problem, question <br> [sound:4c-k-問題.mp3]
problem, question	<b>問題</b> <br> もんだい <br> [sound:4c-k-問題.mp3]
[sound:4c-s-この問題は難しいです。.mp3]	<b>この問題は難しいです。</b> <br> このもんだいはむずかしいです。 <br><br> (問題) <br> This problem is difficult.
この問題は難しいです。 <br><br> (問題)	<b>このもんだいはむずかしいです。</b> <br> This problem is difficult. <br> [sound:4c-s-この問題は難しいです。.mp3]
This problem is difficult.	<b>この問題は難しいです。</b> <br> このもんだいはむずかしいです。 <br><br> (問題) <br> [sound:4c-s-この問題は難しいです。.mp3]
[sound:4c-k-話題.mp3]	<b>話題</b> <br> わだい <br> topic, subject
話題	<b>わだい</b> <br> topic, subject <br> [sound:4c-k-話題.mp3]
topic, subject	<b>話題</b> <br> わだい <br> [sound:4c-k-話題.mp3]
[sound:4c-s-その映画は話題になっています。.mp3]	<b>その映画は話題になっています。</b> <br> そのえいがはわだいになっています。 <br><br> (話題) <br> That movie is a hot topic.
その映画は話題になっています。 <br><br> (話題)	<b>そのえいがはわだいになっています。</b> <br> That movie is a hot topic. <br> [sound:4c-s-その映画は話題になっています。.mp3]
That movie is a hot topic.	<b>その映画は話題になっています。</b> <br> そのえいがはわだいになっています。 <br><br> (話題) <br> [sound:4c-s-その映画は話題になっています。.mp3]
[sound:4c-k-題.mp3]	<b>題</b> <br> だい <br> title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)
題	<b>だい</b> <br> title, subject, theme, topic; problem (on a test), question; counter for questions (on a test) <br> [sound:4c-k-題.mp3]
title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)	<b>題</b> <br> だい <br> [sound:4c-k-題.mp3]
[sound:4c-s-この本の題は何ですか？.mp3]	<b>この本の題は何ですか？</b> <br> このほんのだいはなんですか？  <br><br> (題) <br> What is the title of this book?
この本の題は何ですか？ <br><br> (題)	<b>このほんのだいはなんですか？ </b> <br> What is the title of this book? <br> [sound:4c-s-この本の題は何ですか？.mp3]
What is the title of this book?	<b>この本の題は何ですか？</b> <br> このほんのだいはなんですか？  <br><br> (題) <br> [sound:4c-s-この本の題は何ですか？.mp3]
[sound:4c-k-下.mp3]	<b>下</b> <br> もと <br> under (esp. influence or guidance)
下	<b>もと</b> <br> under (esp. influence or guidance) <br> [sound:4c-k-下.mp3]
under (esp. influence or guidance)	<b>下</b> <br> もと <br> [sound:4c-k-下.mp3]
[sound:4c-s-机の下に猫がいます。.mp3]	<b>机の下に猫がいます。</b> <br> つくえのしたにねこがいます。 <br><br> (下) <br> There is a cat under the desk.
机の下に猫がいます。 <br><br> (下)	<b>つくえのしたにねこがいます。</b> <br> There is a cat under the desk. <br> [sound:4c-s-机の下に猫がいます。.mp3]
There is a cat under the desk.	<b>机の下に猫がいます。</b> <br> つくえのしたにねこがいます。 <br><br> (下) <br> [sound:4c-s-机の下に猫がいます。.mp3]
[sound:4c-k-下げる.mp3]	<b>下げる</b> <br> さげる <br> to hang, to lower, to move back, to wear, to dismiss, to grant
下げる	<b>さげる</b> <br> to hang, to lower, to move back, to wear, to dismiss, to grant <br> [sound:4c-k-下げる.mp3]
to hang, to lower, to move back, to wear, to dismiss, to grant	<b>下げる</b> <br> さげる <br> [sound:4c-k-下げる.mp3]
[sound:4c-s-温度を下げてください。.mp3]	<b>温度を下げてください。</b> <br> おんどをさげてください。 <br><br> (下げる) <br> Please lower the temperature.
温度を下げてください。 <br><br> (下げる)	<b>おんどをさげてください。</b> <br> Please lower the temperature. <br> [sound:4c-s-温度を下げてください。.mp3]
Please lower the temperature.	<b>温度を下げてください。</b> <br> おんどをさげてください。 <br><br> (下げる) <br> [sound:4c-s-温度を下げてください。.mp3]
[sound:4c-k-引き下げ.mp3]	<b>引き下げ</b> <br> ひきさげ <br> reduction, cut
引き下げ	<b>ひきさげ</b> <br> reduction, cut <br> [sound:4c-k-引き下げ.mp3]
reduction, cut	<b>引き下げ</b> <br> ひきさげ <br> [sound:4c-k-引き下げ.mp3]
[sound:4c-s-税金の引き下げが議論されています。.mp3]	<b>税金の引き下げが議論されています。</b> <br> ぜいきんのひきさげがぎろんされています。 <br><br> (引き下げ) <br> A tax reduction is being discussed.
税金の引き下げが議論されています。 <br><br> (引き下げ)	<b>ぜいきんのひきさげがぎろんされています。</b> <br> A tax reduction is being discussed. <br> [sound:4c-s-税金の引き下げが議論されています。.mp3]
A tax reduction is being discussed.	<b>税金の引き下げが議論されています。</b> <br> ぜいきんのひきさげがぎろんされています。 <br><br> (引き下げ) <br> [sound:4c-s-税金の引き下げが議論されています。.mp3]
[sound:4c-k-下り.mp3]	<b>下り</b> <br> くだり <br> down-train (going away from Tokyo); down-slope, downward going
下り	<b>くだり</b> <br> down-train (going away from Tokyo); down-slope, downward going <br> [sound:4c-k-下り.mp3]
down-train (going away from Tokyo); down-slope, downward going	<b>下り</b> <br> くだり <br> [sound:4c-k-下り.mp3]
[sound:4c-s-山を下りるのは危険です。.mp3]	<b>山を下りるのは危険です。</b> <br> やまをおりるのはきけんです。 <br><br> (下り) <br> Descending the mountain is dangerous.
山を下りるのは危険です。 <br><br> (下り)	<b>やまをおりるのはきけんです。</b> <br> Descending the mountain is dangerous. <br> [sound:4c-s-山を下りるのは危険です。.mp3]
Descending the mountain is dangerous.	<b>山を下りるのは危険です。</b> <br> やまをおりるのはきけんです。 <br><br> (下り) <br> [sound:4c-s-山を下りるのは危険です。.mp3]
[sound:4c-k-首.mp3]	<b>首</b> <br> くび, クビ <br> neck; head; unemployed person
首	<b>くび, クビ</b> <br> neck; head; unemployed person <br> [sound:4c-k-首.mp3]
neck; head; unemployed person	<b>首</b> <br> くび, クビ <br> [sound:4c-k-首.mp3]
[sound:4c-s-彼は首を痛めました。.mp3]	<b>彼は首を痛めました。</b> <br> かれはくびをいためました。 <br><br> (首) <br> He hurt his neck.
彼は首を痛めました。 <br><br> (首)	<b>かれはくびをいためました。</b> <br> He hurt his neck. <br> [sound:4c-s-彼は首を痛めました。.mp3]
He hurt his neck.	<b>彼は首を痛めました。</b> <br> かれはくびをいためました。 <br><br> (首) <br> [sound:4c-s-彼は首を痛めました。.mp3]
[sound:4c-k-首相.mp3]	<b>首相</b> <br> しゅしょう <br> Prime Minister, Chancellor (Germany, Austria, etc.), Premier
首相	<b>しゅしょう</b> <br> Prime Minister, Chancellor (Germany, Austria, etc.), Premier <br> [sound:4c-k-首相.mp3]
Prime Minister, Chancellor (Germany, Austria, etc.), Premier	<b>首相</b> <br> しゅしょう <br> [sound:4c-k-首相.mp3]
[sound:4c-s-日本の首相が演説しました。.mp3]	<b>日本の首相が演説しました。</b> <br> にほんのしゅしょうがえんぜつしました。 <br><br> (首相) <br> The Prime Minister of Japan gave a speech.
日本の首相が演説しました。 <br><br> (首相)	<b>にほんのしゅしょうがえんぜつしました。</b> <br> The Prime Minister of Japan gave a speech. <br> [sound:4c-s-日本の首相が演説しました。.mp3]
The Prime Minister of Japan gave a speech.	<b>日本の首相が演説しました。</b> <br> にほんのしゅしょうがえんぜつしました。 <br><br> (首相) <br> [sound:4c-s-日本の首相が演説しました。.mp3]
[sound:4c-k-首脳.mp3]	<b>首脳</b> <br> しゅのう <br> head, brains, leading spirit
首脳	<b>しゅのう</b> <br> head, brains, leading spirit <br> [sound:4c-k-首脳.mp3]
head, brains, leading spirit	<b>首脳</b> <br> しゅのう <br> [sound:4c-k-首脳.mp3]
[sound:4c-s-首脳会談が行われました。.mp3]	<b>首脳会談が行われました。</b> <br> しゅのうかいだんがおこなわれました。 <br><br> (首脳) <br> A summit meeting was held.
首脳会談が行われました。 <br><br> (首脳)	<b>しゅのうかいだんがおこなわれました。</b> <br> A summit meeting was held. <br> [sound:4c-s-首脳会談が行われました。.mp3]
A summit meeting was held.	<b>首脳会談が行われました。</b> <br> しゅのうかいだんがおこなわれました。 <br><br> (首脳) <br> [sound:4c-s-首脳会談が行われました。.mp3]
[sound:4c-k-首都.mp3]	<b>首都</b> <br> しゅと <br> capital city, metropolis
首都	<b>しゅと</b> <br> capital city, metropolis <br> [sound:4c-k-首都.mp3]
capital city, metropolis	<b>首都</b> <br> しゅと <br> [sound:4c-k-首都.mp3]
[sound:4c-s-東京は日本の首都です。.mp3]	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (首都) <br> Tokyo is the capital of Japan.
東京は日本の首都です。 <br><br> (首都)	<b>とうきょうはにほんのしゅとです。</b> <br> Tokyo is the capital of Japan. <br> [sound:4c-s-東京は日本の首都です。.mp3]
Tokyo is the capital of Japan.	<b>東京は日本の首都です。</b> <br> とうきょうはにほんのしゅとです。 <br><br> (首都) <br> [sound:4c-s-東京は日本の首都です。.mp3]
[sound:4c-k-意見.mp3]	<b>意見</b> <br> いけん <br> opinion, view
意見	<b>いけん</b> <br> opinion, view <br> [sound:4c-k-意見.mp3]
opinion, view	<b>意見</b> <br> いけん <br> [sound:4c-k-意見.mp3]
[sound:4c-s-彼の意見はとても参考になります。.mp3]	<b>彼の意見はとても参考になります。</b> <br> かれのいけんはとてもさんこうになります。 <br><br> (意見) <br> His opinion is very helpful.
彼の意見はとても参考になります。 <br><br> (意見)	<b>かれのいけんはとてもさんこうになります。</b> <br> His opinion is very helpful. <br> [sound:4c-s-彼の意見はとても参考になります。.mp3]
His opinion is very helpful.	<b>彼の意見はとても参考になります。</b> <br> かれのいけんはとてもさんこうになります。 <br><br> (意見) <br> [sound:4c-s-彼の意見はとても参考になります。.mp3]
[sound:4c-k-意味.mp3]	<b>意味</b> <br> いみ <br> meaning, significance
意味	<b>いみ</b> <br> meaning, significance <br> [sound:4c-k-意味.mp3]
meaning, significance	<b>意味</b> <br> いみ <br> [sound:4c-k-意味.mp3]
[sound:4c-s-この言葉の意味を教えてください。.mp3]	<b>この言葉の意味を教えてください。</b> <br> このことばのいみをおしえてください。 <br><br> (意味) <br> Please tell me the meaning of this word.
この言葉の意味を教えてください。 <br><br> (意味)	<b>このことばのいみをおしえてください。</b> <br> Please tell me the meaning of this word. <br> [sound:4c-s-この言葉の意味を教えてください。.mp3]
Please tell me the meaning of this word.	<b>この言葉の意味を教えてください。</b> <br> このことばのいみをおしえてください。 <br><br> (意味) <br> [sound:4c-s-この言葉の意味を教えてください。.mp3]
[sound:4c-k-合意.mp3]	<b>合意</b> <br> ごうい <br> agreement, consent, mutual understanding
合意	<b>ごうい</b> <br> agreement, consent, mutual understanding <br> [sound:4c-k-合意.mp3]
agreement, consent, mutual understanding	<b>合意</b> <br> ごうい <br> [sound:4c-k-合意.mp3]
[sound:4c-s-両者は合意に達しました。.mp3]	<b>両者は合意に達しました。</b> <br> りょうしゃはごういにたっしました。 <br><br> (合意) <br> Both parties reached an agreement.
両者は合意に達しました。 <br><br> (合意)	<b>りょうしゃはごういにたっしました。</b> <br> Both parties reached an agreement. <br> [sound:4c-s-両者は合意に達しました。.mp3]
Both parties reached an agreement.	<b>両者は合意に達しました。</b> <br> りょうしゃはごういにたっしました。 <br><br> (合意) <br> [sound:4c-s-両者は合意に達しました。.mp3]
[sound:4c-k-意向.mp3]	<b>意向</b> <br> いこう <br> intention, idea, inclination
意向	<b>いこう</b> <br> intention, idea, inclination <br> [sound:4c-k-意向.mp3]
intention, idea, inclination	<b>意向</b> <br> いこう <br> [sound:4c-k-意向.mp3]
[sound:4c-s-彼の意向を確認しました。.mp3]	<b>彼の意向を確認しました。</b> <br> かれのいこうをかくにんしました。 <br><br> (意向) <br> I confirmed his intention.
彼の意向を確認しました。 <br><br> (意向)	<b>かれのいこうをかくにんしました。</b> <br> I confirmed his intention. <br> [sound:4c-s-彼の意向を確認しました。.mp3]
I confirmed his intention.	<b>彼の意向を確認しました。</b> <br> かれのいこうをかくにんしました。 <br><br> (意向) <br> [sound:4c-s-彼の意向を確認しました。.mp3]
[sound:4c-k-憲法.mp3]	<b>憲法</b> <br> けんぽう <br> constitution
憲法	<b>けんぽう</b> <br> constitution <br> [sound:4c-k-憲法.mp3]
constitution	<b>憲法</b> <br> けんぽう <br> [sound:4c-k-憲法.mp3]
[sound:4c-s-憲法改正が議論されています。.mp3]	<b>憲法改正が議論されています。</b> <br> けんぽうかいせいがぎろんされています。 <br><br> (憲法) <br> Constitutional amendments are being discussed.
憲法改正が議論されています。 <br><br> (憲法)	<b>けんぽうかいせいがぎろんされています。</b> <br> Constitutional amendments are being discussed. <br> [sound:4c-s-憲法改正が議論されています。.mp3]
Constitutional amendments are being discussed.	<b>憲法改正が議論されています。</b> <br> けんぽうかいせいがぎろんされています。 <br><br> (憲法) <br> [sound:4c-s-憲法改正が議論されています。.mp3]
[sound:4c-k-方法.mp3]	<b>方法</b> <br> ほうほう <br> method, process, manner, way, means, technique
方法	<b>ほうほう</b> <br> method, process, manner, way, means, technique <br> [sound:4c-k-方法.mp3]
method, process, manner, way, means, technique	<b>方法</b> <br> ほうほう <br> [sound:4c-k-方法.mp3]
[sound:4c-s-良い方法を見つけました。.mp3]	<b>良い方法を見つけました。</b> <br> よいほうほうをみつけました。 <br><br> (方法) <br> I found a good method.
良い方法を見つけました。 <br><br> (方法)	<b>よいほうほうをみつけました。</b> <br> I found a good method. <br> [sound:4c-s-良い方法を見つけました。.mp3]
I found a good method.	<b>良い方法を見つけました。</b> <br> よいほうほうをみつけました。 <br><br> (方法) <br> [sound:4c-s-良い方法を見つけました。.mp3]
[sound:4c-k-法案.mp3]	<b>法案</b> <br> ほうあん <br> bill (law)
法案	<b>ほうあん</b> <br> bill (law) <br> [sound:4c-k-法案.mp3]
bill (law)	<b>法案</b> <br> ほうあん <br> [sound:4c-k-法案.mp3]
[sound:4c-s-新しい法案が提出されました。.mp3]	<b>新しい法案が提出されました。</b> <br> あたらしいほうあんがていしゅつされました。 <br><br> (法案) <br> A new bill was submitted.
新しい法案が提出されました。 <br><br> (法案)	<b>あたらしいほうあんがていしゅつされました。</b> <br> A new bill was submitted. <br> [sound:4c-s-新しい法案が提出されました。.mp3]
A new bill was submitted.	<b>新しい法案が提出されました。</b> <br> あたらしいほうあんがていしゅつされました。 <br><br> (法案) <br> [sound:4c-s-新しい法案が提出されました。.mp3]
[sound:4c-k-法人.mp3]	<b>法人</b> <br> ほうじん <br> corporate body, corporation, (legal) person, (juridical) person
法人	<b>ほうじん</b> <br> corporate body, corporation, (legal) person, (juridical) person <br> [sound:4c-k-法人.mp3]
corporate body, corporation, (legal) person, (juridical) person	<b>法人</b> <br> ほうじん <br> [sound:4c-k-法人.mp3]
[sound:4c-s-法人税が引き上げられました。.mp3]	<b>法人税が引き上げられました。</b> <br> ほうじんぜいがひきあげられました。 <br><br> (法人) <br> Corporate taxes were raised.
法人税が引き上げられました。 <br><br> (法人)	<b>ほうじんぜいがひきあげられました。</b> <br> Corporate taxes were raised. <br> [sound:4c-s-法人税が引き上げられました。.mp3]
Corporate taxes were raised.	<b>法人税が引き上げられました。</b> <br> ほうじんぜいがひきあげられました。 <br><br> (法人) <br> [sound:4c-s-法人税が引き上げられました。.mp3]
[sound:4c-k-不動産.mp3]	<b>不動産</b> <br> ふどうさん <br> real estate
不動産	<b>ふどうさん</b> <br> real estate <br> [sound:4c-k-不動産.mp3]
real estate	<b>不動産</b> <br> ふどうさん <br> [sound:4c-k-不動産.mp3]
[sound:4c-s-不動産を購入しました。.mp3]	<b>不動産を購入しました。</b> <br> ふどうさんをこうにゅうしました。 <br><br> (不動産) <br> I purchased real estate.
不動産を購入しました。 <br><br> (不動産)	<b>ふどうさんをこうにゅうしました。</b> <br> I purchased real estate. <br> [sound:4c-s-不動産を購入しました。.mp3]
I purchased real estate.	<b>不動産を購入しました。</b> <br> ふどうさんをこうにゅうしました。 <br><br> (不動産) <br> [sound:4c-s-不動産を購入しました。.mp3]
[sound:4c-k-不満.mp3]	<b>不満</b> <br> ふまん <br> dissatisfaction, displeasure, discontent, complaints, unhappiness, disgruntled
不満	<b>ふまん</b> <br> dissatisfaction, displeasure, discontent, complaints, unhappiness, disgruntled <br> [sound:4c-k-不満.mp3]
dissatisfaction, displeasure, discontent, complaints, unhappiness, disgruntled	<b>不満</b> <br> ふまん <br> [sound:4c-k-不満.mp3]
