[sound:4c-k-着工.mp3]	<b>着工</b> <br> ちゃっこう <br> start of (construction) work
leukemia	<b>白血病</b> <br> はっけつびょう <br> [sound:4c-k-白血病.mp3]
[sound:4c-s-白血病は血液の癌の一種です。.mp3]	<b>白血病は血液の癌の一種です。</b> <br> びょうじょうがあっかしています。 <br><br> (白血病) <br> His condition is worsening.
白血病は血液の癌の一種です。 <br><br> (白血病)	<b>びょうじょうがあっかしています。</b> <br> His condition is worsening. <br> [sound:4c-s-白血病は血液の癌の一種です。.mp3]
His condition is worsening.	<b>白血病は血液の癌の一種です。</b> <br> びょうじょうがあっかしています。 <br><br> (白血病) <br> [sound:4c-s-白血病は血液の癌の一種です。.mp3]
[sound:4c-k-病状.mp3]	<b>病状</b> <br> びょうじょう <br> condition of a disease (patient)
病状	<b>びょうじょう</b> <br> condition of a disease (patient) <br> [sound:4c-k-病状.mp3]
condition of a disease (patient)	<b>病状</b> <br> びょうじょう <br> [sound:4c-k-病状.mp3]
[sound:4c-s-病状が悪化しています。.mp3]	<b>病状が悪化しています。</b> <br> びょうとうにはおおくのかんじゃがにゅういんしています。 <br><br> (病状) <br> There are many patients in the hospital ward.
病状が悪化しています。 <br><br> (病状)	<b>びょうとうにはおおくのかんじゃがにゅういんしています。</b> <br> There are many patients in the hospital ward. <br> [sound:4c-s-病状が悪化しています。.mp3]
There are many patients in the hospital ward.	<b>病状が悪化しています。</b> <br> びょうとうにはおおくのかんじゃがにゅういんしています。 <br><br> (病状) <br> [sound:4c-s-病状が悪化しています。.mp3]
[sound:4c-k-病棟.mp3]	<b>病棟</b> <br> びょうとう <br> (hospital) ward
病棟	<b>びょうとう</b> <br> (hospital) ward <br> [sound:4c-k-病棟.mp3]
(hospital) ward	<b>病棟</b> <br> びょうとう <br> [sound:4c-k-病棟.mp3]
[sound:4c-s-病棟には多くの患者が入院しています。.mp3]	<b>病棟には多くの患者が入院しています。</b> <br> のうきょうはちいきののうぎょうをしえんしています。 <br><br> (病棟) <br> The agricultural cooperative supports local farming.
病棟には多くの患者が入院しています。 <br><br> (病棟)	<b>のうきょうはちいきののうぎょうをしえんしています。</b> <br> The agricultural cooperative supports local farming. <br> [sound:4c-s-病棟には多くの患者が入院しています。.mp3]
The agricultural cooperative supports local farming.	<b>病棟には多くの患者が入院しています。</b> <br> のうきょうはちいきののうぎょうをしえんしています。 <br><br> (病棟) <br> [sound:4c-s-病棟には多くの患者が入院しています。.mp3]
[sound:4c-k-農協.mp3]	<b>農協</b> <br> のうきょう <br> agricultural cooperative
農協	<b>のうきょう</b> <br> agricultural cooperative <br> [sound:4c-k-農協.mp3]
agricultural cooperative	<b>農協</b> <br> のうきょう <br> [sound:4c-k-農協.mp3]
[sound:4c-s-農協は地域の農業を支援しています。.mp3]	<b>農協は地域の農業を支援しています。</b> <br> のうそんでのせいかつはとてもしずかです。 <br><br> (農協) <br> Life in the rural village is very quiet.
農協は地域の農業を支援しています。 <br><br> (農協)	<b>のうそんでのせいかつはとてもしずかです。</b> <br> Life in the rural village is very quiet. <br> [sound:4c-s-農協は地域の農業を支援しています。.mp3]
Life in the rural village is very quiet.	<b>農協は地域の農業を支援しています。</b> <br> のうそんでのせいかつはとてもしずかです。 <br><br> (農協) <br> [sound:4c-s-農協は地域の農業を支援しています。.mp3]
[sound:4c-k-農村.mp3]	<b>農村</b> <br> のうそん <br> agricultural community, farm village, rural
農村	<b>のうそん</b> <br> agricultural community, farm village, rural <br> [sound:4c-k-農村.mp3]
agricultural community, farm village, rural	<b>農村</b> <br> のうそん <br> [sound:4c-k-農村.mp3]
[sound:4c-s-農村での生活はとても静かです。.mp3]	<b>農村での生活はとても静かです。</b> <br> のうみんはしゅうかくのきせつをたのしみにしています。 <br><br> (農村) <br> Farmers are looking forward to the harvest season.
農村での生活はとても静かです。 <br><br> (農村)	<b>のうみんはしゅうかくのきせつをたのしみにしています。</b> <br> Farmers are looking forward to the harvest season. <br> [sound:4c-s-農村での生活はとても静かです。.mp3]
Farmers are looking forward to the harvest season.	<b>農村での生活はとても静かです。</b> <br> のうみんはしゅうかくのきせつをたのしみにしています。 <br><br> (農村) <br> [sound:4c-s-農村での生活はとても静かです。.mp3]
[sound:4c-k-農民.mp3]	<b>農民</b> <br> のうみん <br> farmers, peasants
農民	<b>のうみん</b> <br> farmers, peasants <br> [sound:4c-k-農民.mp3]
farmers, peasants	<b>農民</b> <br> のうみん <br> [sound:4c-k-農民.mp3]
[sound:4c-s-農民は収穫の季節を楽しみにしています。.mp3]	<b>農民は収穫の季節を楽しみにしています。</b> <br> のうやくはさくもつのせいちょうをたすけます。 <br><br> (農民) <br> Pesticides help the growth of crops.
農民は収穫の季節を楽しみにしています。 <br><br> (農民)	<b>のうやくはさくもつのせいちょうをたすけます。</b> <br> Pesticides help the growth of crops. <br> [sound:4c-s-農民は収穫の季節を楽しみにしています。.mp3]
Pesticides help the growth of crops.	<b>農民は収穫の季節を楽しみにしています。</b> <br> のうやくはさくもつのせいちょうをたすけます。 <br><br> (農民) <br> [sound:4c-s-農民は収穫の季節を楽しみにしています。.mp3]
[sound:4c-k-農薬.mp3]	<b>農薬</b> <br> のうやく <br> agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical
農薬	<b>のうやく</b> <br> agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical <br> [sound:4c-k-農薬.mp3]
agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical	<b>農薬</b> <br> のうやく <br> [sound:4c-k-農薬.mp3]
[sound:4c-s-農薬は作物の成長を助けます。.mp3]	<b>農薬は作物の成長を助けます。</b> <br> しゅうとはそのしゅうのせいじてきちゅうしんです。 <br><br> (農薬) <br> The state capital is the political center of the state.
農薬は作物の成長を助けます。 <br><br> (農薬)	<b>しゅうとはそのしゅうのせいじてきちゅうしんです。</b> <br> The state capital is the political center of the state. <br> [sound:4c-s-農薬は作物の成長を助けます。.mp3]
The state capital is the political center of the state.	<b>農薬は作物の成長を助けます。</b> <br> しゅうとはそのしゅうのせいじてきちゅうしんです。 <br><br> (農薬) <br> [sound:4c-s-農薬は作物の成長を助けます。.mp3]
[sound:4c-k-州都.mp3]	<b>州都</b> <br> しゅうと <br> capital (city) of a state
州都	<b>しゅうと</b> <br> capital (city) of a state <br> [sound:4c-k-州都.mp3]
capital (city) of a state	<b>州都</b> <br> しゅうと <br> [sound:4c-k-州都.mp3]
[sound:4c-s-州都はその州の政治的中心です。.mp3]	<b>州都はその州の政治的中心です。</b> <br> しゅうせいふはきょういくにおおくのよさんをわりあてています。 <br><br> (州都) <br> The state government allocates a large budget to education.
州都はその州の政治的中心です。 <br><br> (州都)	<b>しゅうせいふはきょういくにおおくのよさんをわりあてています。</b> <br> The state government allocates a large budget to education. <br> [sound:4c-s-州都はその州の政治的中心です。.mp3]
The state government allocates a large budget to education.	<b>州都はその州の政治的中心です。</b> <br> しゅうせいふはきょういくにおおくのよさんをわりあてています。 <br><br> (州都) <br> [sound:4c-s-州都はその州の政治的中心です。.mp3]
[sound:4c-k-州政府.mp3]	<b>州政府</b> <br> しゅうせいふ <br> state government
州政府	<b>しゅうせいふ</b> <br> state government <br> [sound:4c-k-州政府.mp3]
state government	<b>州政府</b> <br> しゅうせいふ <br> [sound:4c-k-州政府.mp3]
[sound:4c-s-州政府は教育に多くの予算を割り当てています。.mp3]	<b>州政府は教育に多くの予算を割り当てています。</b> <br> こうしゅうはちゅうごくのじゅうようなしょうぎょうとしです。 <br><br> (州政府) <br> Guangzhou is an important commercial city in China.
州政府は教育に多くの予算を割り当てています。 <br><br> (州政府)	<b>こうしゅうはちゅうごくのじゅうようなしょうぎょうとしです。</b> <br> Guangzhou is an important commercial city in China. <br> [sound:4c-s-州政府は教育に多くの予算を割り当てています。.mp3]
Guangzhou is an important commercial city in China.	<b>州政府は教育に多くの予算を割り当てています。</b> <br> こうしゅうはちゅうごくのじゅうようなしょうぎょうとしです。 <br><br> (州政府) <br> [sound:4c-s-州政府は教育に多くの予算を割り当てています。.mp3]
[sound:4c-k-広州.mp3]	<b>広州</b> <br> こうしゅう <br> Guangzhou (China), Canton
広州	<b>こうしゅう</b> <br> Guangzhou (China), Canton <br> [sound:4c-k-広州.mp3]
Guangzhou (China), Canton	<b>広州</b> <br> こうしゅう <br> [sound:4c-k-広州.mp3]
[sound:4c-s-広州は中国の重要な商業都市です。.mp3]	<b>広州は中国の重要な商業都市です。</b> <br> えんかいしゅうはうみにめんしたちいきです。 <br><br> (広州) <br> The coastal states are regions facing the sea.
広州は中国の重要な商業都市です。 <br><br> (広州)	<b>えんかいしゅうはうみにめんしたちいきです。</b> <br> The coastal states are regions facing the sea. <br> [sound:4c-s-広州は中国の重要な商業都市です。.mp3]
The coastal states are regions facing the sea.	<b>広州は中国の重要な商業都市です。</b> <br> えんかいしゅうはうみにめんしたちいきです。 <br><br> (広州) <br> [sound:4c-s-広州は中国の重要な商業都市です。.mp3]
[sound:4c-k-沿海州.mp3]	<b>沿海州</b> <br> えんかいしゅう <br> (Russian) maritime provinces
沿海州	<b>えんかいしゅう</b> <br> (Russian) maritime provinces <br> [sound:4c-k-沿海州.mp3]
(Russian) maritime provinces	<b>沿海州</b> <br> えんかいしゅう <br> [sound:4c-k-沿海州.mp3]
[sound:4c-s-沿海州は海に面した地域です。.mp3]	<b>沿海州は海に面した地域です。</b> <br> ぶどうはにほんのでんとうてきなせんとうぎじゅつです。 <br><br> (沿海州) <br> Martial arts are traditional Japanese combat techniques.
沿海州は海に面した地域です。 <br><br> (沿海州)	<b>ぶどうはにほんのでんとうてきなせんとうぎじゅつです。</b> <br> Martial arts are traditional Japanese combat techniques. <br> [sound:4c-s-沿海州は海に面した地域です。.mp3]
Martial arts are traditional Japanese combat techniques.	<b>沿海州は海に面した地域です。</b> <br> ぶどうはにほんのでんとうてきなせんとうぎじゅつです。 <br><br> (沿海州) <br> [sound:4c-s-沿海州は海に面した地域です。.mp3]
[sound:4c-k-武道.mp3]	<b>武道</b> <br> ぶどう <br> martial arts, military arts, Bushido
武道	<b>ぶどう</b> <br> martial arts, military arts, Bushido <br> [sound:4c-k-武道.mp3]
martial arts, military arts, Bushido	<b>武道</b> <br> ぶどう <br> [sound:4c-k-武道.mp3]
[sound:4c-s-武道は日本の伝統的な戦闘技術です。.mp3]	<b>武道は日本の伝統的な戦闘技術です。</b> <br> ぶしはちゅうぎをおもんじました。 <br><br> (武道) <br> Samurai valued loyalty above all.
武道は日本の伝統的な戦闘技術です。 <br><br> (武道)	<b>ぶしはちゅうぎをおもんじました。</b> <br> Samurai valued loyalty above all. <br> [sound:4c-s-武道は日本の伝統的な戦闘技術です。.mp3]
Samurai valued loyalty above all.	<b>武道は日本の伝統的な戦闘技術です。</b> <br> ぶしはちゅうぎをおもんじました。 <br><br> (武道) <br> [sound:4c-s-武道は日本の伝統的な戦闘技術です。.mp3]
[sound:4c-k-武士.mp3]	<b>武士</b> <br> ぶし, ぶふ, もののふ <br> warrior, samurai
武士	<b>ぶし, ぶふ, もののふ</b> <br> warrior, samurai <br> [sound:4c-k-武士.mp3]
warrior, samurai	<b>武士</b> <br> ぶし, ぶふ, もののふ <br> [sound:4c-k-武士.mp3]
[sound:4c-s-武士は忠義を重んじました。.mp3]	<b>武士は忠義を重んじました。</b> <br> かくぶそうはこくさいてきなぎろんをよんでいます。 <br><br> (武士) <br> Nuclear armament is causing international debate.
武士は忠義を重んじました。 <br><br> (武士)	<b>かくぶそうはこくさいてきなぎろんをよんでいます。</b> <br> Nuclear armament is causing international debate. <br> [sound:4c-s-武士は忠義を重んじました。.mp3]
Nuclear armament is causing international debate.	<b>武士は忠義を重んじました。</b> <br> かくぶそうはこくさいてきなぎろんをよんでいます。 <br><br> (武士) <br> [sound:4c-s-武士は忠義を重んじました。.mp3]
[sound:4c-k-核武装.mp3]	<b>核武装</b> <br> かくぶそう <br> nuclear arms
核武装	<b>かくぶそう</b> <br> nuclear arms <br> [sound:4c-k-核武装.mp3]
nuclear arms	<b>核武装</b> <br> かくぶそう <br> [sound:4c-k-核武装.mp3]
[sound:4c-s-核武装は国際的な議論を呼んでいます。.mp3]	<b>核武装は国際的な議論を呼んでいます。</b> <br> むしゃはいくさにでるじゅんびをととのえました。 <br><br> (核武装) <br> The warrior prepared for battle.
核武装は国際的な議論を呼んでいます。 <br><br> (核武装)	<b>むしゃはいくさにでるじゅんびをととのえました。</b> <br> The warrior prepared for battle. <br> [sound:4c-s-核武装は国際的な議論を呼んでいます。.mp3]
The warrior prepared for battle.	<b>核武装は国際的な議論を呼んでいます。</b> <br> むしゃはいくさにでるじゅんびをととのえました。 <br><br> (核武装) <br> [sound:4c-s-核武装は国際的な議論を呼んでいます。.mp3]
[sound:4c-k-武者.mp3]	<b>武者</b> <br> むしゃ <br> warrior
武者	<b>むしゃ</b> <br> warrior <br> [sound:4c-k-武者.mp3]
warrior	<b>武者</b> <br> むしゃ <br> [sound:4c-k-武者.mp3]
[sound:4c-s-武者は戦に出る準備を整えました。.mp3]	<b>武者は戦に出る準備を整えました。</b> <br> すたじあむはかんせいにすつまれました。 <br><br> (武者) <br> The stadium was filled with cheers.
武者は戦に出る準備を整えました。 <br><br> (武者)	<b>すたじあむはかんせいにすつまれました。</b> <br> The stadium was filled with cheers. <br> [sound:4c-s-武者は戦に出る準備を整えました。.mp3]
The stadium was filled with cheers.	<b>武者は戦に出る準備を整えました。</b> <br> すたじあむはかんせいにすつまれました。 <br><br> (武者) <br> [sound:4c-s-武者は戦に出る準備を整えました。.mp3]
[sound:4c-k-歓声.mp3]	<b>歓声</b> <br> かんせい <br> cheer, shout of joy
歓声	<b>かんせい</b> <br> cheer, shout of joy <br> [sound:4c-k-歓声.mp3]
cheer, shout of joy	<b>歓声</b> <br> かんせい <br> [sound:4c-k-歓声.mp3]
[sound:4c-s-スタジアムは歓声に包まれました。.mp3]	<b>スタジアムは歓声に包まれました。</b> <br> かれはせいえんをうけてしあいにのぞみました。 <br><br> (歓声) <br> He entered the match with encouragement from the crowd.
スタジアムは歓声に包まれました。 <br><br> (歓声)	<b>かれはせいえんをうけてしあいにのぞみました。</b> <br> He entered the match with encouragement from the crowd. <br> [sound:4c-s-スタジアムは歓声に包まれました。.mp3]
He entered the match with encouragement from the crowd.	<b>スタジアムは歓声に包まれました。</b> <br> かれはせいえんをうけてしあいにのぞみました。 <br><br> (歓声) <br> [sound:4c-s-スタジアムは歓声に包まれました。.mp3]
[sound:4c-k-声援.mp3]	<b>声援</b> <br> せいえん <br> encouragement, cheering, support
声援	<b>せいえん</b> <br> encouragement, cheering, support <br> [sound:4c-k-声援.mp3]
encouragement, cheering, support	<b>声援</b> <br> せいえん <br> [sound:4c-k-声援.mp3]
[sound:4c-s-彼は声援を受けて試合に臨みました。.mp3]	<b>彼は声援を受けて試合に臨みました。</b> <br> せいがくはおんがくのいちじゃんるです。 <br><br> (声援) <br> Vocal music is a genre of music.
彼は声援を受けて試合に臨みました。 <br><br> (声援)	<b>せいがくはおんがくのいちじゃんるです。</b> <br> Vocal music is a genre of music. <br> [sound:4c-s-彼は声援を受けて試合に臨みました。.mp3]
Vocal music is a genre of music.	<b>彼は声援を受けて試合に臨みました。</b> <br> せいがくはおんがくのいちじゃんるです。 <br><br> (声援) <br> [sound:4c-s-彼は声援を受けて試合に臨みました。.mp3]
[sound:4c-k-声楽.mp3]	<b>声楽</b> <br> せいがく <br> vocal music
声楽	<b>せいがく</b> <br> vocal music <br> [sound:4c-k-声楽.mp3]
vocal music	<b>声楽</b> <br> せいがく <br> [sound:4c-k-声楽.mp3]
[sound:4c-s-声楽は音楽の一ジャンルです。.mp3]	<b>声楽は音楽の一ジャンルです。</b> <br> かれのだいいっせいはおどろきのひょうじょうでした。 <br><br> (声楽) <br> His first words were full of surprise.
声楽は音楽の一ジャンルです。 <br><br> (声楽)	<b>かれのだいいっせいはおどろきのひょうじょうでした。</b> <br> His first words were full of surprise. <br> [sound:4c-s-声楽は音楽の一ジャンルです。.mp3]
His first words were full of surprise.	<b>声楽は音楽の一ジャンルです。</b> <br> かれのだいいっせいはおどろきのひょうじょうでした。 <br><br> (声楽) <br> [sound:4c-s-声楽は音楽の一ジャンルです。.mp3]
[sound:4c-k-第一声.mp3]	<b>第一声</b> <br> だいいっせい <br> first tone, first speech
第一声	<b>だいいっせい</b> <br> first tone, first speech <br> [sound:4c-k-第一声.mp3]
first tone, first speech	<b>第一声</b> <br> だいいっせい <br> [sound:4c-k-第一声.mp3]
[sound:4c-s-彼の第一声は驚きの表情でした。.mp3]	<b>彼の第一声は驚きの表情でした。</b> <br> ぶっしつのじょうたいはおんどによってへんかします。 <br><br> (第一声) <br> The state of matter changes depending on the temperature.
彼の第一声は驚きの表情でした。 <br><br> (第一声)	<b>ぶっしつのじょうたいはおんどによってへんかします。</b> <br> The state of matter changes depending on the temperature. <br> [sound:4c-s-彼の第一声は驚きの表情でした。.mp3]
The state of matter changes depending on the temperature.	<b>彼の第一声は驚きの表情でした。</b> <br> ぶっしつのじょうたいはおんどによってへんかします。 <br><br> (第一声) <br> [sound:4c-s-彼の第一声は驚きの表情でした。.mp3]
[sound:4c-k-物質.mp3]	<b>物質</b> <br> ぶっしつ <br> material, substance
物質	<b>ぶっしつ</b> <br> material, substance <br> [sound:4c-k-物質.mp3]
material, substance	<b>物質</b> <br> ぶっしつ <br> [sound:4c-k-物質.mp3]
[sound:4c-s-物質の状態は温度によって変化します。.mp3]	<b>物質の状態は温度によって変化します。</b> <br> じっしつてきなせいかはまだありません。 <br><br> (物質) <br> There is still no tangible outcome.
物質の状態は温度によって変化します。 <br><br> (物質)	<b>じっしつてきなせいかはまだありません。</b> <br> There is still no tangible outcome. <br> [sound:4c-s-物質の状態は温度によって変化します。.mp3]
There is still no tangible outcome.	<b>物質の状態は温度によって変化します。</b> <br> じっしつてきなせいかはまだありません。 <br><br> (物質) <br> [sound:4c-s-物質の状態は温度によって変化します。.mp3]
[sound:4c-k-実質的.mp3]	<b>実質的</b> <br> じっしつてき <br> substantial
実質的	<b>じっしつてき</b> <br> substantial <br> [sound:4c-k-実質的.mp3]
substantial	<b>実質的</b> <br> じっしつてき <br> [sound:4c-k-実質的.mp3]
[sound:4c-s-実質的な成果はまだありません。.mp3]	<b>実質的な成果はまだありません。</b> <br> かれはあれるぎーたいしつです。 <br><br> (実質的) <br> He has an allergy-prone constitution.
実質的な成果はまだありません。 <br><br> (実質的)	<b>かれはあれるぎーたいしつです。</b> <br> He has an allergy-prone constitution. <br> [sound:4c-s-実質的な成果はまだありません。.mp3]
He has an allergy-prone constitution.	<b>実質的な成果はまだありません。</b> <br> かれはあれるぎーたいしつです。 <br><br> (実質的) <br> [sound:4c-s-実質的な成果はまだありません。.mp3]
[sound:4c-k-体質.mp3]	<b>体質</b> <br> たいしつ <br> constitution (physical), genetic make-up, predisposition (to disease)
体質	<b>たいしつ</b> <br> constitution (physical), genetic make-up, predisposition (to disease) <br> [sound:4c-k-体質.mp3]
constitution (physical), genetic make-up, predisposition (to disease)	<b>体質</b> <br> たいしつ <br> [sound:4c-k-体質.mp3]
[sound:4c-s-彼はアレルギー体質です。.mp3]	<b>彼はアレルギー体質です。</b> <br> しつぎおうとうのじかんがはじまりました。 <br><br> (体質) <br> The Q&A session has started.
彼はアレルギー体質です。 <br><br> (体質)	<b>しつぎおうとうのじかんがはじまりました。</b> <br> The Q&A session has started. <br> [sound:4c-s-彼はアレルギー体質です。.mp3]
The Q&A session has started.	<b>彼はアレルギー体質です。</b> <br> しつぎおうとうのじかんがはじまりました。 <br><br> (体質) <br> [sound:4c-s-彼はアレルギー体質です。.mp3]
[sound:4c-k-質疑.mp3]	<b>質疑</b> <br> しつぎ <br> question; interpellation
質疑	<b>しつぎ</b> <br> question; interpellation <br> [sound:4c-k-質疑.mp3]
question; interpellation	<b>質疑</b> <br> しつぎ <br> [sound:4c-k-質疑.mp3]
[sound:4c-s-質疑応答の時間が始まりました。.mp3]	<b>質疑応答の時間が始まりました。</b> <br> ざんねんながら、そのいべんとはちゅうしされました。 <br><br> (質疑) <br> Unfortunately, the event has been canceled.
質疑応答の時間が始まりました。 <br><br> (質疑)	<b>ざんねんながら、そのいべんとはちゅうしされました。</b> <br> Unfortunately, the event has been canceled. <br> [sound:4c-s-質疑応答の時間が始まりました。.mp3]
Unfortunately, the event has been canceled.	<b>質疑応答の時間が始まりました。</b> <br> ざんねんながら、そのいべんとはちゅうしされました。 <br><br> (質疑) <br> [sound:4c-s-質疑応答の時間が始まりました。.mp3]
[sound:4c-k-残念.mp3]	<b>残念</b> <br> ざんねん <br> deplorable, bad luck, regret, disappointment
残念	<b>ざんねん</b> <br> deplorable, bad luck, regret, disappointment <br> [sound:4c-k-残念.mp3]
deplorable, bad luck, regret, disappointment	<b>残念</b> <br> ざんねん <br> [sound:4c-k-残念.mp3]
[sound:4c-s-残念ながら、そのイベントは中止されました。.mp3]	<b>残念ながら、そのイベントは中止されました。</b> <br> かれのりねんはへいわとせいぎです。 <br><br> (残念) <br> His philosophy is peace and justice.
残念ながら、そのイベントは中止されました。 <br><br> (残念)	<b>かれのりねんはへいわとせいぎです。</b> <br> His philosophy is peace and justice. <br> [sound:4c-s-残念ながら、そのイベントは中止されました。.mp3]
His philosophy is peace and justice.	<b>残念ながら、そのイベントは中止されました。</b> <br> かれのりねんはへいわとせいぎです。 <br><br> (残念) <br> [sound:4c-s-残念ながら、そのイベントは中止されました。.mp3]
[sound:4c-k-理念.mp3]	<b>理念</b> <br> りねん <br> idea
理念	<b>りねん</b> <br> idea <br> [sound:4c-k-理念.mp3]
idea	<b>理念</b> <br> りねん <br> [sound:4c-k-理念.mp3]
[sound:4c-s-彼の理念は平和と正義です。.mp3]	<b>彼の理念は平和と正義です。</b> <br> ねんとうにおくべきだいじなことはこれです。 <br><br> (理念) <br> This is the most important thing to keep in mind.
彼の理念は平和と正義です。 <br><br> (理念)	<b>ねんとうにおくべきだいじなことはこれです。</b> <br> This is the most important thing to keep in mind. <br> [sound:4c-s-彼の理念は平和と正義です。.mp3]
This is the most important thing to keep in mind.	<b>彼の理念は平和と正義です。</b> <br> ねんとうにおくべきだいじなことはこれです。 <br><br> (理念) <br> [sound:4c-s-彼の理念は平和と正義です。.mp3]
[sound:4c-k-念頭.mp3]	<b>念頭</b> <br> ねんとう <br> mind
念頭	<b>ねんとう</b> <br> mind <br> [sound:4c-k-念頭.mp3]
mind	<b>念頭</b> <br> ねんとう <br> [sound:4c-k-念頭.mp3]
[sound:4c-s-念頭に置くべき大事なことはこれです。.mp3]	<b>念頭に置くべき大事なことはこれです。</b> <br> あたらしいがいねんをりかいするのはむずかしいです。 <br><br> (念頭) <br> Understanding a new concept is difficult.
念頭に置くべき大事なことはこれです。 <br><br> (念頭)	<b>あたらしいがいねんをりかいするのはむずかしいです。</b> <br> Understanding a new concept is difficult. <br> [sound:4c-s-念頭に置くべき大事なことはこれです。.mp3]
Understanding a new concept is difficult.	<b>念頭に置くべき大事なことはこれです。</b> <br> あたらしいがいねんをりかいするのはむずかしいです。 <br><br> (念頭) <br> [sound:4c-s-念頭に置くべき大事なことはこれです。.mp3]
[sound:4c-k-概念.mp3]	<b>概念</b> <br> がいねん <br> general idea, concept, notion
概念	<b>がいねん</b> <br> general idea, concept, notion <br> [sound:4c-k-概念.mp3]
general idea, concept, notion	<b>概念</b> <br> がいねん <br> [sound:4c-k-概念.mp3]
[sound:4c-s-新しい概念を理解するのは難しいです。.mp3]	<b>新しい概念を理解するのは難しいです。</b> <br> えきでともだちをまっています。 <br><br> (概念) <br> I’m waiting for my friend at the station.
新しい概念を理解するのは難しいです。 <br><br> (概念)	<b>えきでともだちをまっています。</b> <br> I’m waiting for my friend at the station. <br> [sound:4c-s-新しい概念を理解するのは難しいです。.mp3]
I’m waiting for my friend at the station.	<b>新しい概念を理解するのは難しいです。</b> <br> えきでともだちをまっています。 <br><br> (概念) <br> [sound:4c-s-新しい概念を理解するのは難しいです。.mp3]
[sound:4c-k-待ち.mp3]	<b>待ち</b> <br> まち <br> waiting, waiting time
待ち	<b>まち</b> <br> waiting, waiting time <br> [sound:4c-k-待ち.mp3]
waiting, waiting time	<b>待ち</b> <br> まち <br> [sound:4c-k-待ち.mp3]
[sound:4c-s-駅で友達を待っています。.mp3]	<b>駅で友達を待っています。</b> <br> かれはせったいをうけることがおおいです。 <br><br> (待ち) <br> He is often entertained by others.
駅で友達を待っています。 <br><br> (待ち)	<b>かれはせったいをうけることがおおいです。</b> <br> He is often entertained by others. <br> [sound:4c-s-駅で友達を待っています。.mp3]
He is often entertained by others.	<b>駅で友達を待っています。</b> <br> かれはせったいをうけることがおおいです。 <br><br> (待ち) <br> [sound:4c-s-駅で友達を待っています。.mp3]
[sound:4c-k-接待.mp3]	<b>接待</b> <br> せったい <br> reception, welcome, serving (food); business entertainment
接待	<b>せったい</b> <br> reception, welcome, serving (food); business entertainment <br> [sound:4c-k-接待.mp3]
reception, welcome, serving (food); business entertainment	<b>接待</b> <br> せったい <br> [sound:4c-k-接待.mp3]
[sound:4c-s-彼は接待を受けることが多いです。.mp3]	<b>彼は接待を受けることが多いです。</b> <br> そのえいがにはおおきなきたいかんがあります。 <br><br> (接待) <br> There is a lot of anticipation for the movie.
彼は接待を受けることが多いです。 <br><br> (接待)	<b>そのえいがにはおおきなきたいかんがあります。</b> <br> There is a lot of anticipation for the movie. <br> [sound:4c-s-彼は接待を受けることが多いです。.mp3]
There is a lot of anticipation for the movie.	<b>彼は接待を受けることが多いです。</b> <br> そのえいがにはおおきなきたいかんがあります。 <br><br> (接待) <br> [sound:4c-s-彼は接待を受けることが多いです。.mp3]
[sound:4c-k-期待感.mp3]	<b>期待感</b> <br> きたいかん <br> feeling of expectation
期待感	<b>きたいかん</b> <br> feeling of expectation <br> [sound:4c-k-期待感.mp3]
feeling of expectation	<b>期待感</b> <br> きたいかん <br> [sound:4c-k-期待感.mp3]
[sound:4c-s-その映画には大きな期待感があります。.mp3]	<b>その映画には大きな期待感があります。</b> <br> どうぶつぎゃくたいはゆるされません。 <br><br> (期待感) <br> Animal abuse is unacceptable.
その映画には大きな期待感があります。 <br><br> (期待感)	<b>どうぶつぎゃくたいはゆるされません。</b> <br> Animal abuse is unacceptable. <br> [sound:4c-s-その映画には大きな期待感があります。.mp3]
Animal abuse is unacceptable.	<b>その映画には大きな期待感があります。</b> <br> どうぶつぎゃくたいはゆるされません。 <br><br> (期待感) <br> [sound:4c-s-その映画には大きな期待感があります。.mp3]
[sound:4c-k-虐待.mp3]	<b>虐待</b> <br> ぎゃくたい <br> ill-treatment, oppression
虐待	<b>ぎゃくたい</b> <br> ill-treatment, oppression <br> [sound:4c-k-虐待.mp3]
ill-treatment, oppression	<b>虐待</b> <br> ぎゃくたい <br> [sound:4c-k-虐待.mp3]
[sound:4c-s-動物虐待は許されません。.mp3]	<b>動物虐待は許されません。</b> <br> にゅうしのけっかはらいしゅうはっぴょうされます。 <br><br> (虐待) <br> The entrance exam results will be announced next week.
動物虐待は許されません。 <br><br> (虐待)	<b>にゅうしのけっかはらいしゅうはっぴょうされます。</b> <br> The entrance exam results will be announced next week. <br> [sound:4c-s-動物虐待は許されません。.mp3]
The entrance exam results will be announced next week.	<b>動物虐待は許されません。</b> <br> にゅうしのけっかはらいしゅうはっぴょうされます。 <br><br> (虐待) <br> [sound:4c-s-動物虐待は許されません。.mp3]
[sound:4c-k-入試.mp3]	<b>入試</b> <br> にゅうし <br> entrance examination
入試	<b>にゅうし</b> <br> entrance examination <br> [sound:4c-k-入試.mp3]
entrance examination	<b>入試</b> <br> にゅうし <br> [sound:4c-k-入試.mp3]
