tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
ストレスを解消するために運動をしています。 <br><br> (解消)	<b>かれはしょうきょくてきなたいどをとっています。</b> <br> He is taking a passive attitude. <br> [sound:4c-s-ストレスを解消するために運動をしています。.mp3]
He is taking a passive attitude.	<b>ストレスを解消するために運動をしています。</b> <br> かれはしょうきょくてきなたいどをとっています。 <br><br> (解消) <br> [sound:4c-s-ストレスを解消するために運動をしています。.mp3]
[sound:4c-k-消極的.mp3]	<b>消極的</b> <br> しょうきょくてき <br> negative, half-hearted, passive, unmotivated
消極的	<b>しょうきょくてき</b> <br> negative, half-hearted, passive, unmotivated <br> [sound:4c-k-消極的.mp3]
negative, half-hearted, passive, unmotivated	<b>消極的</b> <br> しょうきょくてき <br> [sound:4c-k-消極的.mp3]
[sound:4c-s-彼は消極的な態度を取っています。.mp3]	<b>彼は消極的な態度を取っています。</b> <br> しょうぼうたいはかじのげんばにむかっています。 <br><br> (消極的) <br> The fire brigade is heading to the fire scene.
彼は消極的な態度を取っています。 <br><br> (消極的)	<b>しょうぼうたいはかじのげんばにむかっています。</b> <br> The fire brigade is heading to the fire scene. <br> [sound:4c-s-彼は消極的な態度を取っています。.mp3]
The fire brigade is heading to the fire scene.	<b>彼は消極的な態度を取っています。</b> <br> しょうぼうたいはかじのげんばにむかっています。 <br><br> (消極的) <br> [sound:4c-s-彼は消極的な態度を取っています。.mp3]
[sound:4c-k-消防.mp3]	<b>消防</b> <br> しょうぼう <br> fire fighting, fire department
消防	<b>しょうぼう</b> <br> fire fighting, fire department <br> [sound:4c-k-消防.mp3]
fire fighting, fire department	<b>消防</b> <br> しょうぼう <br> [sound:4c-k-消防.mp3]
[sound:4c-s-消防隊は火事の現場に向かっています。.mp3]	<b>消防隊は火事の現場に向かっています。</b> <br> えんぴつでかいたもじをけしごむでけしました。 <br><br> (消防) <br> I erased the pencil-written text with an eraser.
消防隊は火事の現場に向かっています。 <br><br> (消防)	<b>えんぴつでかいたもじをけしごむでけしました。</b> <br> I erased the pencil-written text with an eraser. <br> [sound:4c-s-消防隊は火事の現場に向かっています。.mp3]
I erased the pencil-written text with an eraser.	<b>消防隊は火事の現場に向かっています。</b> <br> えんぴつでかいたもじをけしごむでけしました。 <br><br> (消防) <br> [sound:4c-s-消防隊は火事の現場に向かっています。.mp3]
[sound:4c-k-消しゴム.mp3]	<b>消しゴム</b> <br> けしゴム <br> eraser, India rubber
消しゴム	<b>けしゴム</b> <br> eraser, India rubber <br> [sound:4c-k-消しゴム.mp3]
eraser, India rubber	<b>消しゴム</b> <br> けしゴム <br> [sound:4c-k-消しゴム.mp3]
[sound:4c-s-鉛筆で書いた文字を消しゴムで消しました。.mp3]	<b>鉛筆で書いた文字を消しゴムで消しました。</b> <br> かんきょうちょうはあたらしいかんきょうせいさくをはっぴょうしました。 <br><br> (消しゴム) <br> The Environmental Agency announced new environmental policies.
鉛筆で書いた文字を消しゴムで消しました。 <br><br> (消しゴム)	<b>かんきょうちょうはあたらしいかんきょうせいさくをはっぴょうしました。</b> <br> The Environmental Agency announced new environmental policies. <br> [sound:4c-s-鉛筆で書いた文字を消しゴムで消しました。.mp3]
The Environmental Agency announced new environmental policies.	<b>鉛筆で書いた文字を消しゴムで消しました。</b> <br> かんきょうちょうはあたらしいかんきょうせいさくをはっぴょうしました。 <br><br> (消しゴム) <br> [sound:4c-s-鉛筆で書いた文字を消しゴムで消しました。.mp3]
[sound:4c-k-環境庁.mp3]	<b>環境庁</b> <br> かんきょうちょう <br> Environment Agency
環境庁	<b>かんきょうちょう</b> <br> Environment Agency <br> [sound:4c-k-環境庁.mp3]
Environment Agency	<b>環境庁</b> <br> かんきょうちょう <br> [sound:4c-k-環境庁.mp3]
[sound:4c-s-環境庁は新しい環境政策を発表しました。.mp3]	<b>環境庁は新しい環境政策を発表しました。</b> <br> かのじょはげんざい、ふくざつなしんきょうにあります。 <br><br> (環境庁) <br> She is currently in a complex emotional state.
環境庁は新しい環境政策を発表しました。 <br><br> (環境庁)	<b>かのじょはげんざい、ふくざつなしんきょうにあります。</b> <br> She is currently in a complex emotional state. <br> [sound:4c-s-環境庁は新しい環境政策を発表しました。.mp3]
She is currently in a complex emotional state.	<b>環境庁は新しい環境政策を発表しました。</b> <br> かのじょはげんざい、ふくざつなしんきょうにあります。 <br><br> (環境庁) <br> [sound:4c-s-環境庁は新しい環境政策を発表しました。.mp3]
[sound:4c-k-心境.mp3]	<b>心境</b> <br> しんきょう <br> mental state
心境	<b>しんきょう</b> <br> mental state <br> [sound:4c-k-心境.mp3]
mental state	<b>心境</b> <br> しんきょう <br> [sound:4c-k-心境.mp3]
[sound:4c-s-彼女は現在、複雑な心境にあります。.mp3]	<b>彼女は現在、複雑な心境にあります。</b> <br> くにとくにのあいだにめいかくなきょうかいがあります。 <br><br> (心境) <br> There is a clear boundary between countries.
彼女は現在、複雑な心境にあります。 <br><br> (心境)	<b>くにとくにのあいだにめいかくなきょうかいがあります。</b> <br> There is a clear boundary between countries. <br> [sound:4c-s-彼女は現在、複雑な心境にあります。.mp3]
There is a clear boundary between countries.	<b>彼女は現在、複雑な心境にあります。</b> <br> くにとくにのあいだにめいかくなきょうかいがあります。 <br><br> (心境) <br> [sound:4c-s-彼女は現在、複雑な心境にあります。.mp3]
[sound:4c-k-境界.mp3]	<b>境界</b> <br> きょうかい <br> boundary
境界	<b>きょうかい</b> <br> boundary <br> [sound:4c-k-境界.mp3]
boundary	<b>境界</b> <br> きょうかい <br> [sound:4c-k-境界.mp3]
[sound:4c-s-国と国の間に明確な境界があります。.mp3]	<b>国と国の間に明確な境界があります。</b> <br> けいざいてきなくきょうにちょくめんしています。 <br><br> (境界) <br> We are facing a difficult economic situation.
国と国の間に明確な境界があります。 <br><br> (境界)	<b>けいざいてきなくきょうにちょくめんしています。</b> <br> We are facing a difficult economic situation. <br> [sound:4c-s-国と国の間に明確な境界があります。.mp3]
We are facing a difficult economic situation.	<b>国と国の間に明確な境界があります。</b> <br> けいざいてきなくきょうにちょくめんしています。 <br><br> (境界) <br> [sound:4c-s-国と国の間に明確な境界があります。.mp3]
[sound:4c-k-苦境.mp3]	<b>苦境</b> <br> くきょう <br> trouble, crisis, predicament, squeeze, pinch
苦境	<b>くきょう</b> <br> trouble, crisis, predicament, squeeze, pinch <br> [sound:4c-k-苦境.mp3]
trouble, crisis, predicament, squeeze, pinch	<b>苦境</b> <br> くきょう <br> [sound:4c-k-苦境.mp3]
[sound:4c-s-経済的な苦境に直面しています。.mp3]	<b>経済的な苦境に直面しています。</b> <br> かれはしんけいしつなせいかくです。 <br><br> (苦境) <br> He has a nervous personality.
経済的な苦境に直面しています。 <br><br> (苦境)	<b>かれはしんけいしつなせいかくです。</b> <br> He has a nervous personality. <br> [sound:4c-s-経済的な苦境に直面しています。.mp3]
He has a nervous personality.	<b>経済的な苦境に直面しています。</b> <br> かれはしんけいしつなせいかくです。 <br><br> (苦境) <br> [sound:4c-s-経済的な苦境に直面しています。.mp3]
[sound:4c-k-神経.mp3]	<b>神経</b> <br> しんけい <br> nerve, sensitivity
神経	<b>しんけい</b> <br> nerve, sensitivity <br> [sound:4c-k-神経.mp3]
nerve, sensitivity	<b>神経</b> <br> しんけい <br> [sound:4c-k-神経.mp3]
[sound:4c-s-彼は神経質な性格です。.mp3]	<b>彼は神経質な性格です。</b> <br> そのじんじゃはとてもれきしてきなばしょです。 <br><br> (神経) <br> This shrine is a very historical site.
彼は神経質な性格です。 <br><br> (神経)	<b>そのじんじゃはとてもれきしてきなばしょです。</b> <br> This shrine is a very historical site. <br> [sound:4c-s-彼は神経質な性格です。.mp3]
This shrine is a very historical site.	<b>彼は神経質な性格です。</b> <br> そのじんじゃはとてもれきしてきなばしょです。 <br><br> (神経) <br> [sound:4c-s-彼は神経質な性格です。.mp3]
[sound:4c-k-神社.mp3]	<b>神社</b> <br> じんじゃ <br> Shinto shrine
神社	<b>じんじゃ</b> <br> Shinto shrine <br> [sound:4c-k-神社.mp3]
Shinto shrine	<b>神社</b> <br> じんじゃ <br> [sound:4c-k-神社.mp3]
[sound:4c-s-その神社はとても歴史的な場所です。.mp3]	<b>その神社はとても歴史的な場所です。</b> <br> せいしんてきなさぽーとがひつようです。 <br><br> (神社) <br> Mental support is necessary.
その神社はとても歴史的な場所です。 <br><br> (神社)	<b>せいしんてきなさぽーとがひつようです。</b> <br> Mental support is necessary. <br> [sound:4c-s-その神社はとても歴史的な場所です。.mp3]
Mental support is necessary.	<b>その神社はとても歴史的な場所です。</b> <br> せいしんてきなさぽーとがひつようです。 <br><br> (神社) <br> [sound:4c-s-その神社はとても歴史的な場所です。.mp3]
[sound:4c-k-精神的.mp3]	<b>精神的</b> <br> せいしんてき <br> mental, emotional
精神的	<b>せいしんてき</b> <br> mental, emotional <br> [sound:4c-k-精神的.mp3]
mental, emotional	<b>精神的</b> <br> せいしんてき <br> [sound:4c-k-精神的.mp3]
[sound:4c-s-精神的なサポートが必要です。.mp3]	<b>精神的なサポートが必要です。</b> <br> いせじんぐうはにほんで最もゆうめいなじんじゃのひとつです。 <br><br> (精神的) <br> Ise Jingu is one of the most famous shrines in Japan.
精神的なサポートが必要です。 <br><br> (精神的)	<b>いせじんぐうはにほんで最もゆうめいなじんじゃのひとつです。</b> <br> Ise Jingu is one of the most famous shrines in Japan. <br> [sound:4c-s-精神的なサポートが必要です。.mp3]
Ise Jingu is one of the most famous shrines in Japan.	<b>精神的なサポートが必要です。</b> <br> いせじんぐうはにほんで最もゆうめいなじんじゃのひとつです。 <br><br> (精神的) <br> [sound:4c-s-精神的なサポートが必要です。.mp3]
[sound:4c-k-神宮.mp3]	<b>神宮</b> <br> じんぐう <br> Shinto shrine
神宮	<b>じんぐう</b> <br> Shinto shrine <br> [sound:4c-k-神宮.mp3]
Shinto shrine	<b>神宮</b> <br> じんぐう <br> [sound:4c-k-神宮.mp3]
[sound:4c-s-伊勢神宮は日本で最も有名な神社の一つです。.mp3]	<b>伊勢神宮は日本で最も有名な神社の一つです。</b> <br> きょうはほんばんのしあいです。 <br><br> (神宮) <br> Today is the real match.
伊勢神宮は日本で最も有名な神社の一つです。 <br><br> (神宮)	<b>きょうはほんばんのしあいです。</b> <br> Today is the real match. <br> [sound:4c-s-伊勢神宮は日本で最も有名な神社の一つです。.mp3]
Today is the real match.	<b>伊勢神宮は日本で最も有名な神社の一つです。</b> <br> きょうはほんばんのしあいです。 <br><br> (神宮) <br> [sound:4c-s-伊勢神宮は日本で最も有名な神社の一つです。.mp3]
[sound:4c-k-本番.mp3]	<b>本番</b> <br> ほんばん <br> performance, take, going before an audience or on-air; game, season, crucial moment; actual sexual intercourse (i.e. not simulated)
本番	<b>ほんばん</b> <br> performance, take, going before an audience or on-air; game, season, crucial moment; actual sexual intercourse (i.e. not simulated) <br> [sound:4c-k-本番.mp3]
performance, take, going before an audience or on-air; game, season, crucial moment; actual sexual intercourse (i.e. not simulated)	<b>本番</b> <br> ほんばん <br> [sound:4c-k-本番.mp3]
[sound:4c-s-今日は本番の試合です。.mp3]	<b>今日は本番の試合です。</b> <br> つぎのばんてはかれです。 <br><br> (本番) <br> He is next in line.
今日は本番の試合です。 <br><br> (本番)	<b>つぎのばんてはかれです。</b> <br> He is next in line. <br> [sound:4c-s-今日は本番の試合です。.mp3]
He is next in line.	<b>今日は本番の試合です。</b> <br> つぎのばんてはかれです。 <br><br> (本番) <br> [sound:4c-s-今日は本番の試合です。.mp3]
[sound:4c-k-番手.mp3]	<b>番手</b> <br> ばんて <br> (yarn) count; n-th place (e.g. in a race), n-th in position (e.g. a starting lineup)
番手	<b>ばんて</b> <br> (yarn) count; n-th place (e.g. in a race), n-th in position (e.g. a starting lineup) <br> [sound:4c-k-番手.mp3]
(yarn) count; n-th place (e.g. in a race), n-th in position (e.g. a starting lineup)	<b>番手</b> <br> ばんて <br> [sound:4c-k-番手.mp3]
[sound:4c-s-次の番手は彼です。.mp3]	<b>次の番手は彼です。</b> <br> つぎはあなたの出ばんです。 <br><br> (番手) <br> Next is your turn.
次の番手は彼です。 <br><br> (番手)	<b>つぎはあなたの出ばんです。</b> <br> Next is your turn. <br> [sound:4c-s-次の番手は彼です。.mp3]
Next is your turn.	<b>次の番手は彼です。</b> <br> つぎはあなたの出ばんです。 <br><br> (番手) <br> [sound:4c-s-次の番手は彼です。.mp3]
[sound:4c-k-出番.mp3]	<b>出番</b> <br> でばん <br> one's turn
出番	<b>でばん</b> <br> one's turn <br> [sound:4c-k-出番.mp3]
one's turn	<b>出番</b> <br> でばん <br> [sound:4c-k-出番.mp3]
[sound:4c-s-次はあなたの出番です。.mp3]	<b>次はあなたの出番です。</b> <br> わたしはいつもにばんをえらびます。 <br><br> (出番) <br> I always choose number two.
次はあなたの出番です。 <br><br> (出番)	<b>わたしはいつもにばんをえらびます。</b> <br> I always choose number two. <br> [sound:4c-s-次はあなたの出番です。.mp3]
I always choose number two.	<b>次はあなたの出番です。</b> <br> わたしはいつもにばんをえらびます。 <br><br> (出番) <br> [sound:4c-s-次はあなたの出番です。.mp3]
[sound:4c-k-二番.mp3]	<b>二番</b> <br> にばん <br> second, number two, runner-up
二番	<b>にばん</b> <br> second, number two, runner-up <br> [sound:4c-k-二番.mp3]
second, number two, runner-up	<b>二番</b> <br> にばん <br> [sound:4c-k-二番.mp3]
[sound:4c-s-私はいつも二番を選びます。.mp3]	<b>私はいつも二番を選びます。</b> <br> そのぷろじぇくとはだいきぼなものです。 <br><br> (二番) <br> The project is on a large scale.
私はいつも二番を選びます。 <br><br> (二番)	<b>そのぷろじぇくとはだいきぼなものです。</b> <br> The project is on a large scale. <br> [sound:4c-s-私はいつも二番を選びます。.mp3]
The project is on a large scale.	<b>私はいつも二番を選びます。</b> <br> そのぷろじぇくとはだいきぼなものです。 <br><br> (二番) <br> [sound:4c-s-私はいつも二番を選びます。.mp3]
[sound:4c-k-大規模.mp3]	<b>大規模</b> <br> だいきぼ <br> large-scale
大規模	<b>だいきぼ</b> <br> large-scale <br> [sound:4c-k-大規模.mp3]
large-scale	<b>大規模</b> <br> だいきぼ <br> [sound:4c-k-大規模.mp3]
[sound:4c-s-そのプロジェクトは大規模なものです。.mp3]	<b>そのプロジェクトは大規模なものです。</b> <br> しんきのこきゃくがふえています。 <br><br> (大規模) <br> The number of new customers is increasing.
そのプロジェクトは大規模なものです。 <br><br> (大規模)	<b>しんきのこきゃくがふえています。</b> <br> The number of new customers is increasing. <br> [sound:4c-s-そのプロジェクトは大規模なものです。.mp3]
The number of new customers is increasing.	<b>そのプロジェクトは大規模なものです。</b> <br> しんきのこきゃくがふえています。 <br><br> (大規模) <br> [sound:4c-s-そのプロジェクトは大規模なものです。.mp3]
[sound:4c-k-新規.mp3]	<b>新規</b> <br> しんき <br> new, fresh; new customer; new rules or regulations
新規	<b>しんき</b> <br> new, fresh; new customer; new rules or regulations <br> [sound:4c-k-新規.mp3]
new, fresh; new customer; new rules or regulations	<b>新規</b> <br> しんき <br> [sound:4c-k-新規.mp3]
[sound:4c-s-新規の顧客が増えています。.mp3]	<b>新規の顧客が増えています。</b> <br> このがっこうにはきびしいきそくがあります。 <br><br> (新規) <br> This school has strict rules.
新規の顧客が増えています。 <br><br> (新規)	<b>このがっこうにはきびしいきそくがあります。</b> <br> This school has strict rules. <br> [sound:4c-s-新規の顧客が増えています。.mp3]
This school has strict rules.	<b>新規の顧客が増えています。</b> <br> このがっこうにはきびしいきそくがあります。 <br><br> (新規) <br> [sound:4c-s-新規の顧客が増えています。.mp3]
[sound:4c-k-規則.mp3]	<b>規則</b> <br> きそく <br> rules, regulations, conventions
規則	<b>きそく</b> <br> rules, regulations, conventions <br> [sound:4c-k-規則.mp3]
rules, regulations, conventions	<b>規則</b> <br> きそく <br> [sound:4c-k-規則.mp3]
[sound:4c-s-この学校には厳しい規則があります。.mp3]	<b>この学校には厳しい規則があります。</b> <br> このせいひんはこくさいきかくにじゅんきょしています。 <br><br> (規則) <br> This product meets international standards.
この学校には厳しい規則があります。 <br><br> (規則)	<b>このせいひんはこくさいきかくにじゅんきょしています。</b> <br> This product meets international standards. <br> [sound:4c-s-この学校には厳しい規則があります。.mp3]
This product meets international standards.	<b>この学校には厳しい規則があります。</b> <br> このせいひんはこくさいきかくにじゅんきょしています。 <br><br> (規則) <br> [sound:4c-s-この学校には厳しい規則があります。.mp3]
[sound:4c-k-規格.mp3]	<b>規格</b> <br> きかく <br> standard, norm
規格	<b>きかく</b> <br> standard, norm <br> [sound:4c-k-規格.mp3]
standard, norm	<b>規格</b> <br> きかく <br> [sound:4c-k-規格.mp3]
[sound:4c-s-この製品は国際規格に準拠しています。.mp3]	<b>この製品は国際規格に準拠しています。</b> <br> しゅじゅつはぶじにおわりました。 <br><br> (規格) <br> The surgery went smoothly.
この製品は国際規格に準拠しています。 <br><br> (規格)	<b>しゅじゅつはぶじにおわりました。</b> <br> The surgery went smoothly. <br> [sound:4c-s-この製品は国際規格に準拠しています。.mp3]
The surgery went smoothly.	<b>この製品は国際規格に準拠しています。</b> <br> しゅじゅつはぶじにおわりました。 <br><br> (規格) <br> [sound:4c-s-この製品は国際規格に準拠しています。.mp3]
[sound:4c-k-手術.mp3]	<b>手術</b> <br> しゅじゅつ <br> surgical operation
手術	<b>しゅじゅつ</b> <br> surgical operation <br> [sound:4c-k-手術.mp3]
surgical operation	<b>手術</b> <br> しゅじゅつ <br> [sound:4c-k-手術.mp3]
[sound:4c-s-手術は無事に終わりました。.mp3]	<b>手術は無事に終わりました。</b> <br> びじゅつかんにはおおくのすばらしいかいががあります。 <br><br> (手術) <br> The art museum has many wonderful paintings.
手術は無事に終わりました。 <br><br> (手術)	<b>びじゅつかんにはおおくのすばらしいかいががあります。</b> <br> The art museum has many wonderful paintings. <br> [sound:4c-s-手術は無事に終わりました。.mp3]
The art museum has many wonderful paintings.	<b>手術は無事に終わりました。</b> <br> びじゅつかんにはおおくのすばらしいかいががあります。 <br><br> (手術) <br> [sound:4c-s-手術は無事に終わりました。.mp3]
[sound:4c-k-美術館.mp3]	<b>美術館</b> <br> びじゅつかん <br> art gallery, art museum
美術館	<b>びじゅつかん</b> <br> art gallery, art museum <br> [sound:4c-k-美術館.mp3]
art gallery, art museum	<b>美術館</b> <br> びじゅつかん <br> [sound:4c-k-美術館.mp3]
[sound:4c-s-美術館には多くの素晴らしい絵画があります。.mp3]	<b>美術館には多くの素晴らしい絵画があります。</b> <br> かれのせんじゅつはひじょうにこうかてきです。 <br><br> (美術館) <br> His tactics are very effective.
美術館には多くの素晴らしい絵画があります。 <br><br> (美術館)	<b>かれのせんじゅつはひじょうにこうかてきです。</b> <br> His tactics are very effective. <br> [sound:4c-s-美術館には多くの素晴らしい絵画があります。.mp3]
His tactics are very effective.	<b>美術館には多くの素晴らしい絵画があります。</b> <br> かれのせんじゅつはひじょうにこうかてきです。 <br><br> (美術館) <br> [sound:4c-s-美術館には多くの素晴らしい絵画があります。.mp3]
[sound:4c-k-戦術.mp3]	<b>戦術</b> <br> せんじゅつ <br> tactics
戦術	<b>せんじゅつ</b> <br> tactics <br> [sound:4c-k-戦術.mp3]
tactics	<b>戦術</b> <br> せんじゅつ <br> [sound:4c-k-戦術.mp3]
[sound:4c-s-彼の戦術は非常に効果的です。.mp3]	<b>彼の戦術は非常に効果的です。</b> <br> そのぎじゅつしゃはさいしんのてくのろじーにせいつうしています。 <br><br> (戦術) <br> The engineer is well-versed in the latest technology.
彼の戦術は非常に効果的です。 <br><br> (戦術)	<b>そのぎじゅつしゃはさいしんのてくのろじーにせいつうしています。</b> <br> The engineer is well-versed in the latest technology. <br> [sound:4c-s-彼の戦術は非常に効果的です。.mp3]
The engineer is well-versed in the latest technology.	<b>彼の戦術は非常に効果的です。</b> <br> そのぎじゅつしゃはさいしんのてくのろじーにせいつうしています。 <br><br> (戦術) <br> [sound:4c-s-彼の戦術は非常に効果的です。.mp3]
[sound:4c-k-技術者.mp3]	<b>技術者</b> <br> ぎじゅつしゃ <br> engineer, technical expert, technician, crafts-person
技術者	<b>ぎじゅつしゃ</b> <br> engineer, technical expert, technician, crafts-person <br> [sound:4c-k-技術者.mp3]
engineer, technical expert, technician, crafts-person	<b>技術者</b> <br> ぎじゅつしゃ <br> [sound:4c-k-技術者.mp3]
[sound:4c-s-その技術者は最新のテクノロジーに精通しています。.mp3]	<b>その技術者は最新のテクノロジーに精通しています。</b> <br> かいごしせつではたらいています。 <br><br> (技術者) <br> I work at a nursing home.
その技術者は最新のテクノロジーに精通しています。 <br><br> (技術者)	<b>かいごしせつではたらいています。</b> <br> I work at a nursing home. <br> [sound:4c-s-その技術者は最新のテクノロジーに精通しています。.mp3]
I work at a nursing home.	<b>その技術者は最新のテクノロジーに精通しています。</b> <br> かいごしせつではたらいています。 <br><br> (技術者) <br> [sound:4c-s-その技術者は最新のテクノロジーに精通しています。.mp3]
[sound:4c-k-介護.mp3]	<b>介護</b> <br> かいご <br> nursing
介護	<b>かいご</b> <br> nursing <br> [sound:4c-k-介護.mp3]
nursing	<b>介護</b> <br> かいご <br> [sound:4c-k-介護.mp3]
[sound:4c-s-介護施設で働いています。.mp3]	<b>介護施設で働いています。</b> <br> かんごしはかんじゃをていねいにみまもっています。 <br><br> (介護) <br> The nurse is carefully watching over the patient.
介護施設で働いています。 <br><br> (介護)	<b>かんごしはかんじゃをていねいにみまもっています。</b> <br> The nurse is carefully watching over the patient. <br> [sound:4c-s-介護施設で働いています。.mp3]
The nurse is carefully watching over the patient.	<b>介護施設で働いています。</b> <br> かんごしはかんじゃをていねいにみまもっています。 <br><br> (介護) <br> [sound:4c-s-介護施設で働いています。.mp3]
[sound:4c-k-看護.mp3]	<b>看護</b> <br> かんご <br> nursing, (army) nurse
看護	<b>かんご</b> <br> nursing, (army) nurse <br> [sound:4c-k-看護.mp3]
nursing, (army) nurse	<b>看護</b> <br> かんご <br> [sound:4c-k-看護.mp3]
[sound:4c-s-看護師は患者を丁寧に見守っています。.mp3]	<b>看護師は患者を丁寧に見守っています。</b> <br> かれはべんごにんとしてほうていにたちました。 <br><br> (看護) <br> He stood in court as the defense attorney.
看護師は患者を丁寧に見守っています。 <br><br> (看護)	<b>かれはべんごにんとしてほうていにたちました。</b> <br> He stood in court as the defense attorney. <br> [sound:4c-s-看護師は患者を丁寧に見守っています。.mp3]
He stood in court as the defense attorney.	<b>看護師は患者を丁寧に見守っています。</b> <br> かれはべんごにんとしてほうていにたちました。 <br><br> (看護) <br> [sound:4c-s-看護師は患者を丁寧に見守っています。.mp3]
[sound:4c-k-弁護.mp3]	<b>弁護</b> <br> べんご <br> defense, defence, pleading, advocacy
弁護	<b>べんご</b> <br> defense, defence, pleading, advocacy <br> [sound:4c-k-弁護.mp3]
defense, defence, pleading, advocacy	<b>弁護</b> <br> べんご <br> [sound:4c-k-弁護.mp3]
[sound:4c-s-彼は弁護人として法廷に立ちました。.mp3]	<b>彼は弁護人として法廷に立ちました。</b> <br> かれはごけんかつどうにさんかしています。 <br><br> (弁護) <br> He is participating in constitutional protection activities.
彼は弁護人として法廷に立ちました。 <br><br> (弁護)	<b>かれはごけんかつどうにさんかしています。</b> <br> He is participating in constitutional protection activities. <br> [sound:4c-s-彼は弁護人として法廷に立ちました。.mp3]
He is participating in constitutional protection activities.	<b>彼は弁護人として法廷に立ちました。</b> <br> かれはごけんかつどうにさんかしています。 <br><br> (弁護) <br> [sound:4c-s-彼は弁護人として法廷に立ちました。.mp3]
[sound:4c-k-護憲.mp3]	<b>護憲</b> <br> ごけん <br> protecting the constitution
護憲	<b>ごけん</b> <br> protecting the constitution <br> [sound:4c-k-護憲.mp3]
protecting the constitution	<b>護憲</b> <br> ごけん <br> [sound:4c-k-護憲.mp3]
[sound:4c-s-彼は護憲活動に参加しています。.mp3]	<b>彼は護憲活動に参加しています。</b> <br> はくぶつかんでびじゅつひんのてんじがおこなわれています。 <br><br> (護憲) <br> An exhibition of art pieces is being held at the museum.
彼は護憲活動に参加しています。 <br><br> (護憲)	<b>はくぶつかんでびじゅつひんのてんじがおこなわれています。</b> <br> An exhibition of art pieces is being held at the museum. <br> [sound:4c-s-彼は護憲活動に参加しています。.mp3]
An exhibition of art pieces is being held at the museum.	<b>彼は護憲活動に参加しています。</b> <br> はくぶつかんでびじゅつひんのてんじがおこなわれています。 <br><br> (護憲) <br> [sound:4c-s-彼は護憲活動に参加しています。.mp3]
[sound:4c-k-展示.mp3]	<b>展示</b> <br> てんじ <br> exhibition, display
展示	<b>てんじ</b> <br> exhibition, display <br> [sound:4c-k-展示.mp3]
exhibition, display	<b>展示</b> <br> てんじ <br> [sound:4c-k-展示.mp3]
[sound:4c-s-博物館で美術品の展示が行われています。.mp3]	<b>博物館で美術品の展示が行われています。</b> <br> さんちょうからのてんぼうはすばらしいです。 <br><br> (展示) <br> The view from the mountaintop is magnificent.
博物館で美術品の展示が行われています。 <br><br> (展示)	<b>さんちょうからのてんぼうはすばらしいです。</b> <br> The view from the mountaintop is magnificent. <br> [sound:4c-s-博物館で美術品の展示が行われています。.mp3]
The view from the mountaintop is magnificent.	<b>博物館で美術品の展示が行われています。</b> <br> さんちょうからのてんぼうはすばらしいです。 <br><br> (展示) <br> [sound:4c-s-博物館で美術品の展示が行われています。.mp3]
[sound:4c-k-展望.mp3]	<b>展望</b> <br> てんぼう <br> view, outlook, prospect
展望	<b>てんぼう</b> <br> view, outlook, prospect <br> [sound:4c-k-展望.mp3]
view, outlook, prospect	<b>展望</b> <br> てんぼう <br> [sound:4c-k-展望.mp3]
[sound:4c-s-山頂からの展望は素晴らしいです。.mp3]	<b>山頂からの展望は素晴らしいです。</b> <br> そのがかのてんらんかいはだいせいきょうでした。 <br><br> (展望) <br> The artist's exhibition was a huge success.
山頂からの展望は素晴らしいです。 <br><br> (展望)	<b>そのがかのてんらんかいはだいせいきょうでした。</b> <br> The artist's exhibition was a huge success. <br> [sound:4c-s-山頂からの展望は素晴らしいです。.mp3]
The artist's exhibition was a huge success.	<b>山頂からの展望は素晴らしいです。</b> <br> そのがかのてんらんかいはだいせいきょうでした。 <br><br> (展望) <br> [sound:4c-s-山頂からの展望は素晴らしいです。.mp3]
[sound:4c-k-展覧会.mp3]	<b>展覧会</b> <br> てんらんかい <br> exhibition
展覧会	<b>てんらんかい</b> <br> exhibition <br> [sound:4c-k-展覧会.mp3]
exhibition	<b>展覧会</b> <br> てんらんかい <br> [sound:4c-k-展覧会.mp3]
[sound:4c-s-その画家の展覧会は大盛況でした。.mp3]	<b>その画家の展覧会は大盛況でした。</b> <br> かれはらいげつ、こてんをひらきます。 <br><br> (展覧会) <br> He will hold a solo exhibition next month.
その画家の展覧会は大盛況でした。 <br><br> (展覧会)	<b>かれはらいげつ、こてんをひらきます。</b> <br> He will hold a solo exhibition next month. <br> [sound:4c-s-その画家の展覧会は大盛況でした。.mp3]
He will hold a solo exhibition next month.	<b>その画家の展覧会は大盛況でした。</b> <br> かれはらいげつ、こてんをひらきます。 <br><br> (展覧会) <br> [sound:4c-s-その画家の展覧会は大盛況でした。.mp3]
[sound:4c-k-個展.mp3]	<b>個展</b> <br> こてん <br> one-man exhibition, one-woman exhibition
個展	<b>こてん</b> <br> one-man exhibition, one-woman exhibition <br> [sound:4c-k-個展.mp3]
one-man exhibition, one-woman exhibition	<b>個展</b> <br> こてん <br> [sound:4c-k-個展.mp3]
[sound:4c-s-彼は来月、個展を開きます。.mp3]	<b>彼は来月、個展を開きます。</b> <br> かのじょはひじょうにせっきょくてきなたいどをとっています。 <br><br> (個展) <br> She is taking a very proactive attitude.
