この都市は活気があります。 <br><br> (都市)	<b>このとしはかっきがあります。</b> <br> This city is vibrant. <br> [sound:4c-s-この都市は活気があります。.mp3]
新たな挑戦が始まりました。 <br><br> (新た)	<b>あらたなちょうせんがはじまりました。</b> <br> A new challenge has begun. <br> [sound:4c-s-新たな挑戦が始まりました。.mp3]
A new challenge has begun.	<b>新たな挑戦が始まりました。</b> <br> あらたなちょうせんがはじまりました。 <br><br> (新た) <br> [sound:4c-s-新たな挑戦が始まりました。.mp3]
[sound:4c-k-新党.mp3]	<b>新党</b> <br> しんとう <br> new (political) party
新党	<b>しんとう</b> <br> new (political) party <br> [sound:4c-k-新党.mp3]
new (political) party	<b>新党</b> <br> しんとう <br> [sound:4c-k-新党.mp3]
[sound:4c-s-新党が結成されました。.mp3]	<b>新党が結成されました。</b> <br> しんとうがけっせいされました。 <br><br> (新党) <br> A new political party was formed.
新党が結成されました。 <br><br> (新党)	<b>しんとうがけっせいされました。</b> <br> A new political party was formed. <br> [sound:4c-s-新党が結成されました。.mp3]
A new political party was formed.	<b>新党が結成されました。</b> <br> しんとうがけっせいされました。 <br><br> (新党) <br> [sound:4c-s-新党が結成されました。.mp3]
[sound:4c-k-新聞.mp3]	<b>新聞</b> <br> しんぶん <br> newspaper
新聞	<b>しんぶん</b> <br> newspaper <br> [sound:4c-k-新聞.mp3]
newspaper	<b>新聞</b> <br> しんぶん <br> [sound:4c-k-新聞.mp3]
[sound:4c-s-新聞の記事を読みました。.mp3]	<b>新聞の記事を読みました。</b> <br> しんぶんのきじをよみました。 <br><br> (新聞) <br> I read a newspaper article.
新聞の記事を読みました。 <br><br> (新聞)	<b>しんぶんのきじをよみました。</b> <br> I read a newspaper article. <br> [sound:4c-s-新聞の記事を読みました。.mp3]
I read a newspaper article.	<b>新聞の記事を読みました。</b> <br> しんぶんのきじをよみました。 <br><br> (新聞) <br> [sound:4c-s-新聞の記事を読みました。.mp3]
[sound:4c-k-新人.mp3]	<b>新人</b> <br> しんじん <br> new face, newcomer; modern humans (from Cro-Magnon man onwards)
新人	<b>しんじん</b> <br> new face, newcomer; modern humans (from Cro-Magnon man onwards) <br> [sound:4c-k-新人.mp3]
new face, newcomer; modern humans (from Cro-Magnon man onwards)	<b>新人</b> <br> しんじん <br> [sound:4c-k-新人.mp3]
[sound:4c-s-新人がチームに加わりました。.mp3]	<b>新人がチームに加わりました。</b> <br> しんじんがチームにくわわりました。 <br><br> (新人) <br> A new employee joined the team.
新人がチームに加わりました。 <br><br> (新人)	<b>しんじんがチームにくわわりました。</b> <br> A new employee joined the team. <br> [sound:4c-s-新人がチームに加わりました。.mp3]
A new employee joined the team.	<b>新人がチームに加わりました。</b> <br> しんじんがチームにくわわりました。 <br><br> (新人) <br> [sound:4c-s-新人がチームに加わりました。.mp3]
[sound:4c-k-現場.mp3]	<b>現場</b> <br> げんば, げんじょう <br> actual spot, scene, scene of the crime
現場	<b>げんば, げんじょう</b> <br> actual spot, scene, scene of the crime <br> [sound:4c-k-現場.mp3]
actual spot, scene, scene of the crime	<b>現場</b> <br> げんば, げんじょう <br> [sound:4c-k-現場.mp3]
[sound:4c-s-現場で調査を行いました。.mp3]	<b>現場で調査を行いました。</b> <br> げんばでちょうさをおこないました。 <br><br> (現場) <br> I conducted an investigation at the scene.
現場で調査を行いました。 <br><br> (現場)	<b>げんばでちょうさをおこないました。</b> <br> I conducted an investigation at the scene. <br> [sound:4c-s-現場で調査を行いました。.mp3]
I conducted an investigation at the scene.	<b>現場で調査を行いました。</b> <br> げんばでちょうさをおこないました。 <br><br> (現場) <br> [sound:4c-s-現場で調査を行いました。.mp3]
[sound:4c-k-市場.mp3]	<b>市場</b> <br> いちば <br> (town) market; (the) marketplace
市場	<b>いちば</b> <br> (town) market; (the) marketplace <br> [sound:4c-k-市場.mp3]
(town) market; (the) marketplace	<b>市場</b> <br> いちば <br> [sound:4c-k-市場.mp3]
[sound:4c-s-市場の動向を分析しています。.mp3]	<b>市場の動向を分析しています。</b> <br> しじょうのどうこうをぶんせきしています。 <br><br> (市場) <br> I am analyzing market trends.
市場の動向を分析しています。 <br><br> (市場)	<b>しじょうのどうこうをぶんせきしています。</b> <br> I am analyzing market trends. <br> [sound:4c-s-市場の動向を分析しています。.mp3]
I am analyzing market trends.	<b>市場の動向を分析しています。</b> <br> しじょうのどうこうをぶんせきしています。 <br><br> (市場) <br> [sound:4c-s-市場の動向を分析しています。.mp3]
[sound:4c-k-場所.mp3]	<b>場所</b> <br> ばしょ <br> place, location
場所	<b>ばしょ</b> <br> place, location <br> [sound:4c-k-場所.mp3]
place, location	<b>場所</b> <br> ばしょ <br> [sound:4c-k-場所.mp3]
[sound:4c-s-会議の場所を変更しました。.mp3]	<b>会議の場所を変更しました。</b> <br> かいぎのばしょをへんこうしました。 <br><br> (場所) <br> I changed the meeting location.
会議の場所を変更しました。 <br><br> (場所)	<b>かいぎのばしょをへんこうしました。</b> <br> I changed the meeting location. <br> [sound:4c-s-会議の場所を変更しました。.mp3]
I changed the meeting location.	<b>会議の場所を変更しました。</b> <br> かいぎのばしょをへんこうしました。 <br><br> (場所) <br> [sound:4c-s-会議の場所を変更しました。.mp3]
[sound:4c-k-立場.mp3]	<b>立場</b> <br> たちば <br> standpoint, position, situation
立場	<b>たちば</b> <br> standpoint, position, situation <br> [sound:4c-k-立場.mp3]
standpoint, position, situation	<b>立場</b> <br> たちば <br> [sound:4c-k-立場.mp3]
[sound:4c-s-彼の立場を考えて決定しました。.mp3]	<b>彼の立場を考えて決定しました。</b> <br> かれのたちばをかんがえてけっていしました。 <br><br> (立場) <br> I made the decision considering his position.
彼の立場を考えて決定しました。 <br><br> (立場)	<b>かれのたちばをかんがえてけっていしました。</b> <br> I made the decision considering his position. <br> [sound:4c-s-彼の立場を考えて決定しました。.mp3]
I made the decision considering his position.	<b>彼の立場を考えて決定しました。</b> <br> かれのたちばをかんがえてけっていしました。 <br><br> (立場) <br> [sound:4c-s-彼の立場を考えて決定しました。.mp3]
[sound:4c-k-お金.mp3]	<b>お金</b> <br> おかね <br> money
お金	<b>おかね</b> <br> money <br> [sound:4c-k-お金.mp3]
money	<b>お金</b> <br> おかね <br> [sound:4c-k-お金.mp3]
[sound:4c-s-お金を貯めています。.mp3]	<b>お金を貯めています。</b> <br> おかねをためています。 <br><br> (お金) <br> I'm saving money.
お金を貯めています。 <br><br> (お金)	<b>おかねをためています。</b> <br> I'm saving money. <br> [sound:4c-s-お金を貯めています。.mp3]
I'm saving money.	<b>お金を貯めています。</b> <br> おかねをためています。 <br><br> (お金) <br> [sound:4c-s-お金を貯めています。.mp3]
[sound:4c-k-金融.mp3]	<b>金融</b> <br> きんゆう <br> financing, credit transacting, loaning of money, circulation of money
金融	<b>きんゆう</b> <br> financing, credit transacting, loaning of money, circulation of money <br> [sound:4c-k-金融.mp3]
financing, credit transacting, loaning of money, circulation of money	<b>金融</b> <br> きんゆう <br> [sound:4c-k-金融.mp3]
[sound:4c-s-金融市場が変動しています。.mp3]	<b>金融市場が変動しています。</b> <br> きんゆうしじょうがへんどうしています。 <br><br> (金融) <br> The financial market is fluctuating.
金融市場が変動しています。 <br><br> (金融)	<b>きんゆうしじょうがへんどうしています。</b> <br> The financial market is fluctuating. <br> [sound:4c-s-金融市場が変動しています。.mp3]
The financial market is fluctuating.	<b>金融市場が変動しています。</b> <br> きんゆうしじょうがへんどうしています。 <br><br> (金融) <br> [sound:4c-s-金融市場が変動しています。.mp3]
[sound:4c-k-金利.mp3]	<b>金利</b> <br> きんり <br> interest rates
金利	<b>きんり</b> <br> interest rates <br> [sound:4c-k-金利.mp3]
interest rates	<b>金利</b> <br> きんり <br> [sound:4c-k-金利.mp3]
[sound:4c-s-銀行の金利が変更されました。.mp3]	<b>銀行の金利が変更されました。</b> <br> ぎんこうのきんりがへんこうされました。 <br><br> (金利) <br> The bank's interest rates have been changed.
銀行の金利が変更されました。 <br><br> (金利)	<b>ぎんこうのきんりがへんこうされました。</b> <br> The bank's interest rates have been changed. <br> [sound:4c-s-銀行の金利が変更されました。.mp3]
The bank's interest rates have been changed.	<b>銀行の金利が変更されました。</b> <br> ぎんこうのきんりがへんこうされました。 <br><br> (金利) <br> [sound:4c-s-銀行の金利が変更されました。.mp3]
[sound:4c-k-献金.mp3]	<b>献金</b> <br> けんきん <br> donation, contribution, offering
献金	<b>けんきん</b> <br> donation, contribution, offering <br> [sound:4c-k-献金.mp3]
donation, contribution, offering	<b>献金</b> <br> けんきん <br> [sound:4c-k-献金.mp3]
[sound:4c-s-政治家に献金が行われました。.mp3]	<b>政治家に献金が行われました。</b> <br> せいじかにけんきんがおこなわれました。 <br><br> (献金) <br> A donation was made to the politician.
政治家に献金が行われました。 <br><br> (献金)	<b>せいじかにけんきんがおこなわれました。</b> <br> A donation was made to the politician. <br> [sound:4c-s-政治家に献金が行われました。.mp3]
A donation was made to the politician.	<b>政治家に献金が行われました。</b> <br> せいじかにけんきんがおこなわれました。 <br><br> (献金) <br> [sound:4c-s-政治家に献金が行われました。.mp3]
[sound:4c-k-委員.mp3]	<b>委員</b> <br> いいん <br> committee member
委員	<b>いいん</b> <br> committee member <br> [sound:4c-k-委員.mp3]
committee member	<b>委員</b> <br> いいん <br> [sound:4c-k-委員.mp3]
[sound:4c-s-委員が会議で提案をしました。.mp3]	<b>委員が会議で提案をしました。</b> <br> いいんがかいぎでていあんをしました。 <br><br> (委員) <br> A committee member made a proposal at the meeting.
委員が会議で提案をしました。 <br><br> (委員)	<b>いいんがかいぎでていあんをしました。</b> <br> A committee member made a proposal at the meeting. <br> [sound:4c-s-委員が会議で提案をしました。.mp3]
A committee member made a proposal at the meeting.	<b>委員が会議で提案をしました。</b> <br> いいんがかいぎでていあんをしました。 <br><br> (委員) <br> [sound:4c-s-委員が会議で提案をしました。.mp3]
[sound:4c-k-委員会.mp3]	<b>委員会</b> <br> いいんかい <br> committee, commission, board, panel, committee meeting
委員会	<b>いいんかい</b> <br> committee, commission, board, panel, committee meeting <br> [sound:4c-k-委員会.mp3]
committee, commission, board, panel, committee meeting	<b>委員会</b> <br> いいんかい <br> [sound:4c-k-委員会.mp3]
[sound:4c-s-委員会で新しい規則が決まりました。.mp3]	<b>委員会で新しい規則が決まりました。</b> <br> いいんかいであたらしいきそくがきまりました。 <br><br> (委員会) <br> The committee decided on new regulations.
委員会で新しい規則が決まりました。 <br><br> (委員会)	<b>いいんかいであたらしいきそくがきまりました。</b> <br> The committee decided on new regulations. <br> [sound:4c-s-委員会で新しい規則が決まりました。.mp3]
The committee decided on new regulations.	<b>委員会で新しい規則が決まりました。</b> <br> いいんかいであたらしいきそくがきまりました。 <br><br> (委員会) <br> [sound:4c-s-委員会で新しい規則が決まりました。.mp3]
[sound:4c-k-委員長.mp3]	<b>委員長</b> <br> いいんちょう <br> committee chairman
委員長	<b>いいんちょう</b> <br> committee chairman <br> [sound:4c-k-委員長.mp3]
committee chairman	<b>委員長</b> <br> いいんちょう <br> [sound:4c-k-委員長.mp3]
[sound:4c-s-委員長が計画を説明しました。.mp3]	<b>委員長が計画を説明しました。</b> <br> いいんちょうがけいかくをせつめいしました。 <br><br> (委員長) <br> The committee chairperson explained the plan.
委員長が計画を説明しました。 <br><br> (委員長)	<b>いいんちょうがけいかくをせつめいしました。</b> <br> The committee chairperson explained the plan. <br> [sound:4c-s-委員長が計画を説明しました。.mp3]
The committee chairperson explained the plan.	<b>委員長が計画を説明しました。</b> <br> いいんちょうがけいかくをせつめいしました。 <br><br> (委員長) <br> [sound:4c-s-委員長が計画を説明しました。.mp3]
[sound:4c-k-会員.mp3]	<b>会員</b> <br> かいいん <br> member, the membership
会員	<b>かいいん</b> <br> member, the membership <br> [sound:4c-k-会員.mp3]
member, the membership	<b>会員</b> <br> かいいん <br> [sound:4c-k-会員.mp3]
[sound:4c-s-会員だけがイベントに参加できます。.mp3]	<b>会員だけがイベントに参加できます。</b> <br> かいいんだけがイベントにさんかできます。 <br><br> (会員) <br> Only members can participate in the event.
会員だけがイベントに参加できます。 <br><br> (会員)	<b>かいいんだけがイベントにさんかできます。</b> <br> Only members can participate in the event. <br> [sound:4c-s-会員だけがイベントに参加できます。.mp3]
Only members can participate in the event.	<b>会員だけがイベントに参加できます。</b> <br> かいいんだけがイベントにさんかできます。 <br><br> (会員) <br> [sound:4c-s-会員だけがイベントに参加できます。.mp3]
[sound:4c-k-九.mp3]	<b>九</b> <br> きゅう, く, ここの, この, ここ <br> nine
九	<b>きゅう, く, ここの, この, ここ</b> <br> nine <br> [sound:4c-k-九.mp3]
nine	<b>九</b> <br> きゅう, く, ここの, この, ここ <br> [sound:4c-k-九.mp3]
[sound:4c-s-九時に会議が始まります。.mp3]	<b>九時に会議が始まります。</b> <br> くじにかいぎがはじまります。 <br><br> (九) <br> The meeting starts at nine o’clock.
九時に会議が始まります。 <br><br> (九)	<b>くじにかいぎがはじまります。</b> <br> The meeting starts at nine o’clock. <br> [sound:4c-s-九時に会議が始まります。.mp3]
The meeting starts at nine o’clock.	<b>九時に会議が始まります。</b> <br> くじにかいぎがはじまります。 <br><br> (九) <br> [sound:4c-s-九時に会議が始まります。.mp3]
[sound:4c-k-九月.mp3]	<b>九月</b> <br> くがつ <br> September
九月	<b>くがつ</b> <br> September <br> [sound:4c-k-九月.mp3]
September	<b>九月</b> <br> くがつ <br> [sound:4c-k-九月.mp3]
[sound:4c-s-九月は秋の始まりです。.mp3]	<b>九月は秋の始まりです。</b> <br> くがつはあきのはじまりです。 <br><br> (九月) <br> September is the beginning of autumn.
九月は秋の始まりです。 <br><br> (九月)	<b>くがつはあきのはじまりです。</b> <br> September is the beginning of autumn. <br> [sound:4c-s-九月は秋の始まりです。.mp3]
September is the beginning of autumn.	<b>九月は秋の始まりです。</b> <br> くがつはあきのはじまりです。 <br><br> (九月) <br> [sound:4c-s-九月は秋の始まりです。.mp3]
[sound:4c-k-十九.mp3]	<b>十九</b> <br> じゅうきゅう <br> 19, nineteen
十九	<b>じゅうきゅう</b> <br> 19, nineteen <br> [sound:4c-k-十九.mp3]
19, nineteen	<b>十九</b> <br> じゅうきゅう <br> [sound:4c-k-十九.mp3]
[sound:4c-s-彼は十九歳になりました。.mp3]	<b>彼は十九歳になりました。</b> <br> かれはじゅうきゅうさいになりました。 <br><br> (十九) <br> He turned nineteen years old.
彼は十九歳になりました。 <br><br> (十九)	<b>かれはじゅうきゅうさいになりました。</b> <br> He turned nineteen years old. <br> [sound:4c-s-彼は十九歳になりました。.mp3]
He turned nineteen years old.	<b>彼は十九歳になりました。</b> <br> かれはじゅうきゅうさいになりました。 <br><br> (十九) <br> [sound:4c-s-彼は十九歳になりました。.mp3]
[sound:4c-k-九州.mp3]	<b>九州</b> <br> きゅうしゅう <br> Kyushu (southernmost of the four main islands of Japan)
九州	<b>きゅうしゅう</b> <br> Kyushu (southernmost of the four main islands of Japan) <br> [sound:4c-k-九州.mp3]
Kyushu (southernmost of the four main islands of Japan)	<b>九州</b> <br> きゅうしゅう <br> [sound:4c-k-九州.mp3]
[sound:4c-s-九州には美しい温泉があります。.mp3]	<b>九州には美しい温泉があります。</b> <br> きゅうしゅうにはうつくしいおんせんがあります。 <br><br> (九州) <br> Kyushu has beautiful hot springs.
九州には美しい温泉があります。 <br><br> (九州)	<b>きゅうしゅうにはうつくしいおんせんがあります。</b> <br> Kyushu has beautiful hot springs. <br> [sound:4c-s-九州には美しい温泉があります。.mp3]
Kyushu has beautiful hot springs.	<b>九州には美しい温泉があります。</b> <br> きゅうしゅうにはうつくしいおんせんがあります。 <br><br> (九州) <br> [sound:4c-s-九州には美しい温泉があります。.mp3]
[sound:4c-k-入り.mp3]	<b>入り</b> <br> いり <br> entering; setting (of the sun); containing, content, audience; income; beginning
入り	<b>いり</b> <br> entering; setting (of the sun); containing, content, audience; income; beginning <br> [sound:4c-k-入り.mp3]
entering; setting (of the sun); containing, content, audience; income; beginning	<b>入り</b> <br> いり <br> [sound:4c-k-入り.mp3]
[sound:4c-s-彼は部屋に入りました。.mp3]	<b>彼は部屋に入りました。</b> <br> かれはへやにはいりました。 <br><br> (入り) <br> He entered the room.
彼は部屋に入りました。 <br><br> (入り)	<b>かれはへやにはいりました。</b> <br> He entered the room. <br> [sound:4c-s-彼は部屋に入りました。.mp3]
He entered the room.	<b>彼は部屋に入りました。</b> <br> かれはへやにはいりました。 <br><br> (入り) <br> [sound:4c-s-彼は部屋に入りました。.mp3]
[sound:4c-k-輸入.mp3]	<b>輸入</b> <br> ゆにゅう, しゅにゅう <br> importation, import, introduction
輸入	<b>ゆにゅう, しゅにゅう</b> <br> importation, import, introduction <br> [sound:4c-k-輸入.mp3]
importation, import, introduction	<b>輸入</b> <br> ゆにゅう, しゅにゅう <br> [sound:4c-k-輸入.mp3]
[sound:4c-s-日本は多くの食品を輸入しています。.mp3]	<b>日本は多くの食品を輸入しています。</b> <br> にほんはおおくのしょくひんをゆにゅうしています。 <br><br> (輸入) <br> Japan imports a lot of food.
日本は多くの食品を輸入しています。 <br><br> (輸入)	<b>にほんはおおくのしょくひんをゆにゅうしています。</b> <br> Japan imports a lot of food. <br> [sound:4c-s-日本は多くの食品を輸入しています。.mp3]
Japan imports a lot of food.	<b>日本は多くの食品を輸入しています。</b> <br> にほんはおおくのしょくひんをゆにゅうしています。 <br><br> (輸入) <br> [sound:4c-s-日本は多くの食品を輸入しています。.mp3]
[sound:4c-k-購入.mp3]	<b>購入</b> <br> こうにゅう <br> purchase, buy
購入	<b>こうにゅう</b> <br> purchase, buy <br> [sound:4c-k-購入.mp3]
purchase, buy	<b>購入</b> <br> こうにゅう <br> [sound:4c-k-購入.mp3]
[sound:4c-s-新しい車を購入しました。.mp3]	<b>新しい車を購入しました。</b> <br> あたらしいくるまをこうにゅうしました。 <br><br> (購入) <br> I purchased a new car.
新しい車を購入しました。 <br><br> (購入)	<b>あたらしいくるまをこうにゅうしました。</b> <br> I purchased a new car. <br> [sound:4c-s-新しい車を購入しました。.mp3]
I purchased a new car.	<b>新しい車を購入しました。</b> <br> あたらしいくるまをこうにゅうしました。 <br><br> (購入) <br> [sound:4c-s-新しい車を購入しました。.mp3]
[sound:4c-k-収入.mp3]	<b>収入</b> <br> しゅうにゅう <br> income, receipts, revenue
収入	<b>しゅうにゅう</b> <br> income, receipts, revenue <br> [sound:4c-k-収入.mp3]
income, receipts, revenue	<b>収入</b> <br> しゅうにゅう <br> [sound:4c-k-収入.mp3]
[sound:4c-s-収入を増やしたいです。.mp3]	<b>収入を増やしたいです。</b> <br> しゅうにゅうをふやしたいです。 <br><br> (収入) <br> I want to increase my income.
収入を増やしたいです。 <br><br> (収入)	<b>しゅうにゅうをふやしたいです。</b> <br> I want to increase my income. <br> [sound:4c-s-収入を増やしたいです。.mp3]
I want to increase my income.	<b>収入を増やしたいです。</b> <br> しゅうにゅうをふやしたいです。 <br><br> (収入) <br> [sound:4c-s-収入を増やしたいです。.mp3]
[sound:4c-k-選.mp3]	<b>選</b> <br> せん <br> selection, choice, election; compilation, editing
選	<b>せん</b> <br> selection, choice, election; compilation, editing <br> [sound:4c-k-選.mp3]
selection, choice, election; compilation, editing	<b>選</b> <br> せん <br> [sound:4c-k-選.mp3]
[sound:4c-s-最適な方法を選びます。.mp3]	<b>最適な方法を選びます。</b> <br> さいてきなほうほうをえらびます。 <br><br> (選) <br> I will choose the best method.
最適な方法を選びます。 <br><br> (選)	<b>さいてきなほうほうをえらびます。</b> <br> I will choose the best method. <br> [sound:4c-s-最適な方法を選びます。.mp3]
I will choose the best method.	<b>最適な方法を選びます。</b> <br> さいてきなほうほうをえらびます。 <br><br> (選) <br> [sound:4c-s-最適な方法を選びます。.mp3]
[sound:4c-k-選ぶ.mp3]	<b>選ぶ</b> <br> えらぶ <br> to choose, to select
選ぶ	<b>えらぶ</b> <br> to choose, to select <br> [sound:4c-k-選ぶ.mp3]
to choose, to select	<b>選ぶ</b> <br> えらぶ <br> [sound:4c-k-選ぶ.mp3]
[sound:4c-s-好きな料理を選んでください。.mp3]	<b>好きな料理を選んでください。</b> <br> すきなりょうりをえらんでください。 <br><br> (選ぶ) <br> Please choose your favorite dish.
好きな料理を選んでください。 <br><br> (選ぶ)	<b>すきなりょうりをえらんでください。</b> <br> Please choose your favorite dish. <br> [sound:4c-s-好きな料理を選んでください。.mp3]
Please choose your favorite dish.	<b>好きな料理を選んでください。</b> <br> すきなりょうりをえらんでください。 <br><br> (選ぶ) <br> [sound:4c-s-好きな料理を選んでください。.mp3]
[sound:4c-k-選挙.mp3]	<b>選挙</b> <br> せんきょ <br> election
選挙	<b>せんきょ</b> <br> election <br> [sound:4c-k-選挙.mp3]
election	<b>選挙</b> <br> せんきょ <br> [sound:4c-k-選挙.mp3]
[sound:4c-s-選挙で新しい市長が選ばれました。.mp3]	<b>選挙で新しい市長が選ばれました。</b> <br> せんきょであたらしいしちょうがえらばれました。 <br><br> (選挙) <br> A new mayor was elected in the election.
選挙で新しい市長が選ばれました。 <br><br> (選挙)	<b>せんきょであたらしいしちょうがえらばれました。</b> <br> A new mayor was elected in the election. <br> [sound:4c-s-選挙で新しい市長が選ばれました。.mp3]
A new mayor was elected in the election.	<b>選挙で新しい市長が選ばれました。</b> <br> せんきょであたらしいしちょうがえらばれました。 <br><br> (選挙) <br> [sound:4c-s-選挙で新しい市長が選ばれました。.mp3]
[sound:4c-k-選手.mp3]	<b>選手</b> <br> せんしゅ <br> player (in game), team member
選手	<b>せんしゅ</b> <br> player (in game), team member <br> [sound:4c-k-選手.mp3]
player (in game), team member	<b>選手</b> <br> せんしゅ <br> [sound:4c-k-選手.mp3]
[sound:4c-s-彼は優秀な選手です。.mp3]	<b>彼は優秀な選手です。</b> <br> かれはゆうしゅうなせんしゅです。 <br><br> (選手) <br> He is an excellent athlete.
彼は優秀な選手です。 <br><br> (選手)	<b>かれはゆうしゅうなせんしゅです。</b> <br> He is an excellent athlete. <br> [sound:4c-s-彼は優秀な選手です。.mp3]
He is an excellent athlete.	<b>彼は優秀な選手です。</b> <br> かれはゆうしゅうなせんしゅです。 <br><br> (選手) <br> [sound:4c-s-彼は優秀な選手です。.mp3]
[sound:4c-k-立場.mp3]	<b>立場</b> <br> たちば <br> standpoint, position, situation
立場	<b>たちば</b> <br> standpoint, position, situation <br> [sound:4c-k-立場.mp3]
standpoint, position, situation	<b>立場</b> <br> たちば <br> [sound:4c-k-立場.mp3]
[sound:4c-s-彼の立場を考えて決定しました。.mp3]	<b>彼の立場を考えて決定しました。</b> <br> かれのたちばをかんがえてけっていしました。 <br><br> (立場) <br> I made the decision considering his position.
彼の立場を考えて決定しました。 <br><br> (立場)	<b>かれのたちばをかんがえてけっていしました。</b> <br> I made the decision considering his position. <br> [sound:4c-s-彼の立場を考えて決定しました。.mp3]
I made the decision considering his position.	<b>彼の立場を考えて決定しました。</b> <br> かれのたちばをかんがえてけっていしました。 <br><br> (立場) <br> [sound:4c-s-彼の立場を考えて決定しました。.mp3]
[sound:4c-k-連立.mp3]	<b>連立</b> <br> れんりつ <br> alliance, coalition
連立	<b>れんりつ</b> <br> alliance, coalition <br> [sound:4c-k-連立.mp3]
alliance, coalition	<b>連立</b> <br> れんりつ <br> [sound:4c-k-連立.mp3]
[sound:4c-s-二つの政党が連立を組みました。.mp3]	<b>二つの政党が連立を組みました。</b> <br> ふたつのせいとうがれんりつをくみました。 <br><br> (連立) <br> Two political parties formed a coalition.
二つの政党が連立を組みました。 <br><br> (連立)	<b>ふたつのせいとうがれんりつをくみました。</b> <br> Two political parties formed a coalition. <br> [sound:4c-s-二つの政党が連立を組みました。.mp3]
Two political parties formed a coalition.	<b>二つの政党が連立を組みました。</b> <br> ふたつのせいとうがれんりつをくみました。 <br><br> (連立) <br> [sound:4c-s-二つの政党が連立を組みました。.mp3]
[sound:4c-k-国立.mp3]	<b>国立</b> <br> こくりつ <br> national
国立	<b>こくりつ</b> <br> national <br> [sound:4c-k-国立.mp3]
national	<b>国立</b> <br> こくりつ <br> [sound:4c-k-国立.mp3]
[sound:4c-s-彼は国立大学に通っています。.mp3]	<b>彼は国立大学に通っています。</b> <br> かれはこくりつだいがくにかよっています。 <br><br> (国立) <br> He attends a national university.
彼は国立大学に通っています。 <br><br> (国立)	<b>かれはこくりつだいがくにかよっています。</b> <br> He attends a national university. <br> [sound:4c-s-彼は国立大学に通っています。.mp3]
He attends a national university.	<b>彼は国立大学に通っています。</b> <br> かれはこくりつだいがくにかよっています。 <br><br> (国立) <br> [sound:4c-s-彼は国立大学に通っています。.mp3]
[sound:4c-k-成立.mp3]	<b>成立</b> <br> せいりつ <br> coming into existence, arrangements, establishment, conclusion, completion
成立	<b>せいりつ</b> <br> coming into existence, arrangements, establishment, conclusion, completion <br> [sound:4c-k-成立.mp3]
coming into existence, arrangements, establishment, conclusion, completion	<b>成立</b> <br> せいりつ <br> [sound:4c-k-成立.mp3]
[sound:4c-s-新しい法律が成立しました。.mp3]	<b>新しい法律が成立しました。</b> <br> あたらしいほうりつがせいりつしました。 <br><br> (成立) <br> A new law has been enacted.
新しい法律が成立しました。 <br><br> (成立)	<b>あたらしいほうりつがせいりつしました。</b> <br> A new law has been enacted. <br> [sound:4c-s-新しい法律が成立しました。.mp3]
A new law has been enacted.	<b>新しい法律が成立しました。</b> <br> あたらしいほうりつがせいりつしました。 <br><br> (成立) <br> [sound:4c-s-新しい法律が成立しました。.mp3]
[sound:4c-k-開発.mp3]	<b>開発</b> <br> かいはつ <br> development, exploitation
開発	<b>かいはつ</b> <br> development, exploitation <br> [sound:4c-k-開発.mp3]
development, exploitation	<b>開発</b> <br> かいはつ <br> [sound:4c-k-開発.mp3]
[sound:4c-s-新しい技術を開発しました。.mp3]	<b>新しい技術を開発しました。</b> <br> あたらしいぎじゅつをかいはつしました。 <br><br> (開発) <br> I developed new technology.
新しい技術を開発しました。 <br><br> (開発)	<b>あたらしいぎじゅつをかいはつしました。</b> <br> I developed new technology. <br> [sound:4c-s-新しい技術を開発しました。.mp3]
I developed new technology.	<b>新しい技術を開発しました。</b> <br> あたらしいぎじゅつをかいはつしました。 <br><br> (開発) <br> [sound:4c-s-新しい技術を開発しました。.mp3]
[sound:4c-k-開催.mp3]	<b>開催</b> <br> かいさい <br> holding a meeting, open an exhibition
開催	<b>かいさい</b> <br> holding a meeting, open an exhibition <br> [sound:4c-k-開催.mp3]
holding a meeting, open an exhibition	<b>開催</b> <br> かいさい <br> [sound:4c-k-開催.mp3]
[sound:4c-s-イベントが来月開催されます。.mp3]	<b>イベントが来月開催されます。</b> <br> イベントがらいげつかいさいされます。 <br><br> (開催) <br> The event will be held next month.
イベントが来月開催されます。 <br><br> (開催)	<b>イベントがらいげつかいさいされます。</b> <br> The event will be held next month. <br> [sound:4c-s-イベントが来月開催されます。.mp3]
The event will be held next month.	<b>イベントが来月開催されます。</b> <br> イベントがらいげつかいさいされます。 <br><br> (開催) <br> [sound:4c-s-イベントが来月開催されます。.mp3]
[sound:4c-k-開始.mp3]	<b>開始</b> <br> かいし <br> start, commencement, beginning, initiation
開始	<b>かいし</b> <br> start, commencement, beginning, initiation <br> [sound:4c-k-開始.mp3]
start, commencement, beginning, initiation	<b>開始</b> <br> かいし <br> [sound:4c-k-開始.mp3]
[sound:4c-s-会議は午後二時に開始します。.mp3]	<b>会議は午後二時に開始します。</b> <br> かいぎはごごにじにかいしします。 <br><br> (開始) <br> The meeting will start at 2 PM.
会議は午後二時に開始します。 <br><br> (開始)	<b>かいぎはごごにじにかいしします。</b> <br> The meeting will start at 2 PM. <br> [sound:4c-s-会議は午後二時に開始します。.mp3]
The meeting will start at 2 PM.	<b>会議は午後二時に開始します。</b> <br> かいぎはごごにじにかいしします。 <br><br> (開始) <br> [sound:4c-s-会議は午後二時に開始します。.mp3]
