[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
(<b>対話</b>) 平和を目指すためには対話が重要です。	[sound:s-2320_平和を目指すためには対話が重要です。.mp3] <br> へいわをめざすためにはたいわがじゅうようです。 <br> Dialogue is crucial for achieving peace.
[sound:s-2310_年間を通して彼は多くの成果を上げました。.mp3]	(<b>年間</b>) 年間を通して彼は多くの成果を上げました。<br> ねんかんをつうしてかれはおおくのせいかをあげました。 <br>He achieved many successes throughout the year.	
感覚	[sound:k-2321_感覚.mp3]<br>かんかく <br> sense, sensation, feeling
sense, sensation, feeling	<b>感覚<b> <br> かんかく <br>[sound:k-2321_感覚.mp3]
[sound:k-2321_感覚.mp3]	sense, sensation, feeling<br> <b>感覚</b> <br> (かんかく)
(<b>対日</b>) その国は対日貿易を拡大したいと考えています。	[sound:s-2321_その国は対日貿易を拡大したいと考えています。.mp3] <br> そのくにはたいにちぼうえきをかくだいしたいとかんがえています。 <br> The country wishes to expand its trade with Japan.
[sound:s-2311_その企業は民間の投資家から資金を調達しました。.mp3]	(<b>民間</b>) その企業は民間の投資家から資金を調達しました。<br> そのきぎょうはみんかんのとうしかからしきんをちょうたつしました。 <br>The company raised funds from private investors.	
感染	[sound:k-2322_感染.mp3]<br>かんせん <br> infection, contagion
infection, contagion	<b>感染<b> <br> かんせん <br>[sound:k-2322_感染.mp3]
[sound:k-2322_感染.mp3]	infection, contagion<br> <b>感染</b> <br> (かんせん)
(<b>国対</b>) 国対戦は国内外で大きな注目を集めています。	[sound:s-2322_国対戦は国内外で大きな注目を集めています。.mp3] <br> こくたいせんはこくないがいでおおきなちゅうもくをあつめています。 <br> The national competition is attracting significant attention domestically and internationally.
[sound:s-2312_彼は中間テストで高い成績を取りました。.mp3]	(<b>中間</b>) 彼は中間テストで高い成績を取りました。<br> かれはちゅうかんテストでたかいせいせきをとりました。 <br>He scored high marks in the midterm test.	
感じる	[sound:k-2323_感じる.mp3]<br>かんじる <br> to feel, to sense, to experience
to feel, to sense, to experience	<b>感じる<b> <br> かんじる <br>[sound:k-2323_感じる.mp3]
[sound:k-2323_感じる.mp3]	to feel, to sense, to experience<br> <b>感じる</b> <br> (かんじる)
(<b>絶対</b>) 彼の成功は努力と絶対の信念によるものです。	[sound:s-2323_彼の成功は努力と絶対の信念によるものです。.mp3] <br> かれのせいこうはどりょくとぜったいのしんねんによるものです。 <br> His success is due to effort and unwavering belief.
[sound:s-2313_彼は仲間と一緒にプロジェクトを進めています。.mp3]	(<b>仲間</b>) 彼は仲間と一緒にプロジェクトを進めています。<br> かれはなかまといっしょにプロジェクトをすすめています。 <br>He is progressing the project with his colleagues.	
感情	[sound:k-2324_感情.mp3]<br>かんじょう <br> emotion, feeling, feelings, sentiment
emotion, feeling, feelings, sentiment	<b>感情<b> <br> かんじょう <br>[sound:k-2324_感情.mp3]
[sound:k-2324_感情.mp3]	emotion, feeling, feelings, sentiment<br> <b>感情</b> <br> (かんじょう)
(<b>対外</b>) 彼は対外交渉でその国の利益を守ります。	[sound:s-2324_彼は対外交渉でその国の利益を守ります。.mp3] <br> かれはたいがいこうしょうでそのくにのりえきをまもります。 <br> He protects the interests of his country in foreign negotiations.
[sound:s-2314_彼女の部屋はとても広い空間です。.mp3]	(<b>空間</b>) 彼女の部屋はとても広い空間です。<br> かのじょのへやはとてもひろいくうかんです。 <br>Her room is a very spacious area.	
感想	[sound:k-2325_感想.mp3]<br>かんそう <br> impressions, thoughts
impressions, thoughts	<b>感想<b> <br> かんそう <br>[sound:k-2325_感想.mp3]
[sound:k-2325_感想.mp3]	impressions, thoughts<br> <b>感想</b> <br> (かんそう)
(<b>上がったり</b>) 気温が上がったり下がったりしています。	[sound:s-2325_気温が上がったり下がったりしています。.mp3] <br> きおんがあがったりさがったりしています。 <br> The temperature is fluctuating up and down.
[sound:s-2315_その会社は顧客の要求に迅速に対応しています。.mp3]	(<b>対応</b>) その会社は顧客の要求に迅速に対応しています。<br> そのかいしゃはこきゃくのようきゅうにじんそくにたいおうしています。 <br>The company responds promptly to customer demands.	
感動	[sound:k-2326_感動.mp3]<br>かんどう <br> being deeply moved emotionally, excitement, passion, deep emotion, impression
being deeply moved emotionally, excitement, passion, deep emotion, impression	<b>感動<b> <br> かんどう <br>[sound:k-2326_感動.mp3]
[sound:k-2326_感動.mp3]	being deeply moved emotionally, excitement, passion, deep emotion, impression<br> <b>感動</b> <br> (かんどう)
(<b>史上</b>) この大会は史上最高の記録を生み出しました。	[sound:s-2326_この大会は史上最高の記録を生み出しました。.mp3] <br> このたいかいはしじょうさいこうのきろくをうみだしました。 <br> This tournament produced the best records in history.
[sound:s-2316_地震対策のために建物が補強されました。.mp3]	(<b>対策</b>) 地震対策のために建物が補強されました。<br> じしんたいさくのためにたてものがほきょうされました。 <br>Buildings were reinforced for earthquake preparedness.	
感謝	[sound:k-2327_感謝.mp3]<br>かんしゃ <br> thanks, gratitude
thanks, gratitude	<b>感謝<b> <br> かんしゃ <br>[sound:k-2327_感謝.mp3]
[sound:k-2327_感謝.mp3]	thanks, gratitude<br> <b>感謝</b> <br> (かんしゃ)
(<b>事実上</b>) 事実上、彼がそのプロジェクトのリーダーです。	[sound:s-2327_事実上、彼がそのプロジェクトのリーダーです。.mp3] <br> じじつじょう、かれがそのプロジェクトのリーダーです。 <br> In fact, he is the leader of the project.
[sound:s-2317_このプログラムは子供たちを対象にしています。.mp3]	(<b>対象</b>) このプログラムは子供たちを対象にしています。<br> このプログラムはこどもたちをたいしょうにしています。 <br>This program targets children.	
感性	[sound:k-2328_感性.mp3]<br>かんせい <br> sensitivity, sensitiveness, sense
sensitivity, sensitiveness, sense	<b>感性<b> <br> かんせい <br>[sound:k-2328_感性.mp3]
[sound:k-2328_感性.mp3]	sensitivity, sensitiveness, sense<br> <b>感性</b> <br> (かんせい)
(<b>上げ</b>) 彼の言葉には多くの人々が手を上げました。	[sound:s-2328_彼の言葉には多くの人々が手を上げました。.mp3] <br> かれのことばにはおおくのひとびとがてをあげました。 <br> Many people raised their hands to his words.
[sound:s-2318_彼は私の提案に反対しています。.mp3]	(<b>反対</b>) 彼は私の提案に反対しています。<br> かれはわたしのていあんにはんたいしています。 <br>He opposes my proposal.	
実感	[sound:k-2329_実感.mp3]<br>じっかん <br> feelings (actual, true)
feelings (actual, true)	<b>実感<b> <br> じっかん <br>[sound:k-2329_実感.mp3]
[sound:k-2329_実感.mp3]	feelings<br> <b>actual, true) (実感</b> <br> (じっかん)
(<b>上昇</b>) 株価は急速に上昇しています。	[sound:s-2329_株価は急速に上昇しています。.mp3] <br> かぶかはきゅうそくにじょうしょうしています。 <br> Stock prices are rising rapidly.
[sound:s-2319_両者の意見の対立が明らかになりました。.mp3]	(<b>対立</b>) 両者の意見の対立が明らかになりました。<br> りょうしゃのいけんのたいりつがあきらかになりました。 <br>The opposition of opinions between the two parties became clear.	
特に	[sound:k-2330_特に.mp3]<br>とくに <br> particularly, especially
particularly, especially	<b>特に<b> <br> とくに <br>[sound:k-2330_特に.mp3]
[sound:k-2330_特に.mp3]	particularly, especially<br> <b>特に</b> <br> (とくに)
(<b>向上</b>) 教育は人々の生活水準を向上させます。	[sound:s-2330_教育は人々の生活水準を向上させます。.mp3] <br> きょういくはひとびとのせいかつすいじゅんをこうじょうさせます。 <br> Education improves people's living standards.
[sound:s-2320_平和を目指すためには対話が重要です。.mp3]	(<b>対話</b>) 平和を目指すためには対話が重要です。<br> へいわをめざすためにはたいわがじゅうようです。 <br>Dialogue is crucial for achieving peace.	
特別	[sound:k-2331_特別.mp3]<br>とくべつ <br> special
special	<b>特別<b> <br> とくべつ <br>[sound:k-2331_特別.mp3]
[sound:k-2331_特別.mp3]	special<br> <b>特別</b> <br> (とくべつ)
(<b>上がり</b>) 売上がりは前年と比べて増加しました。	[sound:s-2331_売上がりは前年と比べて増加しました。.mp3] <br> うりあがりはぜんねんとくらべてぞうかしました。 <br> Sales revenue increased compared to the previous year.
[sound:s-2321_その国は対日貿易を拡大したいと考えています。.mp3]	(<b>対日</b>) その国は対日貿易を拡大したいと考えています。<br> そのくにはたいにちぼうえきをかくだいしたいとかんがえています。 <br>The country wishes to expand its trade with Japan.	
特徴	[sound:k-2332_特徴.mp3]<br>とくちょう <br> feature, trait, characteristic, pecularity
feature, trait, characteristic, pecularity	<b>特徴<b> <br> とくちょう <br>[sound:k-2332_特徴.mp3]
[sound:k-2332_特徴.mp3]	feature, trait, characteristic, pecularity<br> <b>特徴</b> <br> (とくちょう)
(<b>上位</b>) 彼は大会で上位に入ることができました。	[sound:s-2332_彼は大会で上位に入ることができました。.mp3] <br> かれはたいかいでじょういにはいることができました。 <br> He was able to rank high in the competition.
[sound:s-2322_国対戦は国内外で大きな注目を集めています。.mp3]	(<b>国対</b>) 国対戦は国内外で大きな注目を集めています。<br> こくたいせんはこくないがいでおおきなちゅうもくをあつめています。 <br>The national competition is attracting significant attention domestically and internationally.	
特定	[sound:k-2333_特定.mp3]<br>とくてい <br> specific, special, particular
specific, special, particular	<b>特定<b> <br> とくてい <br>[sound:k-2333_特定.mp3]
[sound:k-2333_特定.mp3]	specific, special, particular<br> <b>特定</b> <br> (とくてい)
(<b>地上</b>) 地上から見た夜空は美しいです。	[sound:s-2333_地上から見た夜空は美しいです。.mp3] <br> ちじょうからみたよぞらはうつくしいです。 <br> The night sky seen from the ground is beautiful.
[sound:s-2323_彼の成功は努力と絶対の信念によるものです。.mp3]	(<b>絶対</b>) 彼の成功は努力と絶対の信念によるものです。<br> かれのせいこうはどりょくとぜったいのしんねんによるものです。 <br>His success is due to effort and unwavering belief.	
特捜	[sound:k-2334_特捜.mp3]<br>とくそう <br> special investigation
special investigation	<b>特捜<b> <br> とくそう <br>[sound:k-2334_特捜.mp3]
[sound:k-2334_特捜.mp3]	special investigation<br> <b>特捜</b> <br> (とくそう)
(<b>途上国</b>) 途上国は貧困と闘っています。	[sound:s-2334_途上国は貧困と闘っています。.mp3] <br> とじょうこくはひんこんとたたかっています。 <br> Developing countries are fighting against poverty.
[sound:s-2324_彼は対外交渉でその国の利益を守ります。.mp3]	(<b>対外</b>) 彼は対外交渉でその国の利益を守ります。<br> かれはたいがいこうしょうでそのくにのりえきをまもります。 <br>He protects the interests of his country in foreign negotiations.	
特殊	[sound:k-2335_特殊.mp3]<br>とくしゅ <br> special, unique
special, unique	<b>特殊<b> <br> とくしゅ <br>[sound:k-2335_特殊.mp3]
[sound:k-2335_特殊.mp3]	special, unique<br> <b>特殊</b> <br> (とくしゅ)
(<b>一部</b>) 彼の意見は一部の人々にしか受け入れられません。	[sound:s-2335_彼の意見は一部の人々にしか受け入れられません。.mp3] <br> かれのいけんはいちぶのひとびとにしかうけいれられません。 <br> His opinion is accepted only by some people.
[sound:s-2325_気温が上がったり下がったりしています。.mp3]	(<b>上がったり</b>) 気温が上がったり下がったりしています。<br> きおんがあがったりさがったりしています。 <br>The temperature is fluctuating up and down.	
特例	[sound:k-2336_特例.mp3]<br>とくれい <br> special case, exception
special case, exception	<b>特例<b> <br> とくれい <br>[sound:k-2336_特例.mp3]
[sound:k-2336_特例.mp3]	special case, exception<br> <b>特例</b> <br> (とくれい)
(<b>幹部</b>) 会社の幹部は新しい方針を発表しました。	[sound:s-2336_会社の幹部は新しい方針を発表しました。.mp3] <br> かいしゃのかんぶはあたらしいほうしんをはっぴょうしました。 <br> The company executives announced a new policy.
[sound:s-2326_この大会は史上最高の記録を生み出しました。.mp3]	(<b>史上</b>) この大会は史上最高の記録を生み出しました。<br> このたいかいはしじょうさいこうのきろくをうみだしました。 <br>This tournament produced the best records in history.	
独特	[sound:k-2337_独特.mp3]<br>どくとく <br> peculiarity, uniqueness, characteristic
peculiarity, uniqueness, characteristic	<b>独特<b> <br> どくとく <br>[sound:k-2337_独特.mp3]
[sound:k-2337_独特.mp3]	peculiarity, uniqueness, characteristic<br> <b>独特</b> <br> (どくとく)
(<b>部長</b>) 部長は部署の運営を担当しています。	[sound:s-2337_部長は部署の運営を担当しています。.mp3] <br> ぶちょうはぶしょのうんえいをたんとうしています。 <br> The department head is in charge of department operations.
[sound:s-2327_事実上、彼がそのプロジェクトのリーダーです。.mp3]	(<b>事実上</b>) 事実上、彼がそのプロジェクトのリーダーです。<br> じじつじょう、かれがそのプロジェクトのリーダーです。 <br>In fact, he is the leader of the project.	
特使	[sound:k-2338_特使.mp3]<br>とくし <br> special envoy
special envoy	<b>特使<b> <br> とくし <br>[sound:k-2338_特使.mp3]
[sound:k-2338_特使.mp3]	special envoy<br> <b>特使</b> <br> (とくし)
(<b>部分</b>) 彼の話の一部分を理解できませんでした。	[sound:s-2338_彼の話の一部分を理解できませんでした。.mp3] <br> かれのはなしのいちぶぶんをりかいできませんでした。 <br> I couldn't understand part of his story.
[sound:s-2328_彼の言葉には多くの人々が手を上げました。.mp3]	(<b>上げ</b>) 彼の言葉には多くの人々が手を上げました。<br> かれのことばにはおおくのひとびとがてをあげました。 <br>Many people raised their hands to his words.	
特集	[sound:k-2339_特集.mp3]<br>とくしゅう <br> feature (e.g. newspaper), special edition, report
feature (e.g. newspaper), special edition, report	<b>特集<b> <br> とくしゅう <br>[sound:k-2339_特集.mp3]
[sound:k-2339_特集.mp3]	feature<br> <b>e.g. newspaper), special edition, report (特集</b> <br> (とくしゅう)
(<b>部門</b>) その会社はいくつかの部門に分かれています。	[sound:s-2339_その会社はいくつかの部門に分かれています。.mp3] <br> そのかいしゃはいくつかのぶもんにわかれています。 <br> The company is divided into several departments.
[sound:s-2329_株価は急速に上昇しています。.mp3]	(<b>上昇</b>) 株価は急速に上昇しています。<br> かぶかはきゅうそくにじょうしょうしています。 <br>Stock prices are rising rapidly.	
情	[sound:k-2340_情.mp3]<br>じょう <br> feelings, emotion, passion
feelings, emotion, passion	<b>情<b> <br> じょう <br>[sound:k-2340_情.mp3]
[sound:k-2340_情.mp3]	feelings, emotion, passion<br> <b>情</b> <br> (じょう)
(<b>本部</b>) 本部は全国にいくつかの支社を持っています。	[sound:s-2340_本部は全国にいくつかの支社を持っています。.mp3] <br> ほんぶはぜんこくにいくつかのししゃをもっています。 <br> The headquarters has several branch offices nationwide.
[sound:s-2330_教育は人々の生活水準を向上させます。.mp3]	(<b>向上</b>) 教育は人々の生活水準を向上させます。<br> きょういくはひとびとのせいかつすいじゅんをこうじょうさせます。 <br>Education improves people's living standards.	
事情	[sound:k-2341_事情.mp3]<br>じじょう <br> circumstances, consideration, conditions, situation, reasons
circumstances, consideration, conditions, situation, reasons	<b>事情<b> <br> じじょう <br>[sound:k-2341_事情.mp3]
[sound:k-2341_事情.mp3]	circumstances, consideration, conditions, situation, reasons<br> <b>事情</b> <br> (じじょう)
(<b>学部</b>) 彼女は大学で心理学部に在籍しています。	[sound:s-2341_彼女は大学で心理学部に在籍しています。.mp3] <br> かのじょはだいがくでしんりがくぶにざいせきしています。 <br> She is enrolled in the psychology department at the university.
[sound:s-2331_売上がりは前年と比べて増加しました。.mp3]	(<b>上がり</b>) 売上がりは前年と比べて増加しました。<br> うりあがりはぜんねんとくらべてぞうかしました。 <br>Sales revenue increased compared to the previous year.	
情勢	[sound:k-2342_情勢.mp3]<br>じょうせい <br> state of things, state of affairs, condition, situation, circumstances
state of things, state of affairs, condition, situation, circumstances	<b>情勢<b> <br> じょうせい <br>[sound:k-2342_情勢.mp3]
[sound:k-2342_情勢.mp3]	state of things, state of affairs, condition, situation, circumstances<br> <b>情勢</b> <br> (じょうせい)
(<b>内部</b>) その問題は会社の内部で解決されます。	[sound:s-2342_その問題は会社の内部で解決されます。.mp3] <br> そのもんだいはかいしゃのないぶでかいけつされます。 <br> The issue will be resolved within the company.
[sound:s-2332_彼は大会で上位に入ることができました。.mp3]	(<b>上位</b>) 彼は大会で上位に入ることができました。<br> かれはたいかいでじょういにはいることができました。 <br>He was able to rank high in the competition.	
情報	[sound:k-2343_情報.mp3]<br>じょうほう <br> news, gossip, (military) intelligence; information (data contained in characters, signals, code, etc.)
news, gossip, (military) intelligence; information (data contained in characters, signals, code, etc.)	<b>情報<b> <br> じょうほう <br>[sound:k-2343_情報.mp3]
[sound:k-2343_情報.mp3]	news, gossip,<br> <b>military) intelligence; information (data contained in characters, signals, code, etc.) (情報</b> <br> (じょうほう)
(<b>部屋</b>) 彼の部屋はとても整頓されています。	[sound:s-2343_彼の部屋はとても整頓されています。.mp3] <br> かれのへやはとてもせいとんされています。 <br> His room is very tidy.
[sound:s-2333_地上から見た夜空は美しいです。.mp3]	(<b>地上</b>) 地上から見た夜空は美しいです。<br> ちじょうからみたよぞらはうつくしいです。 <br>The night sky seen from the ground is beautiful.	
表情	[sound:k-2344_表情.mp3]<br>ひょうじょう <br> facial expression
facial expression	<b>表情<b> <br> ひょうじょう <br>[sound:k-2344_表情.mp3]
[sound:k-2344_表情.mp3]	facial expression<br> <b>表情</b> <br> (ひょうじょう)
(<b>部隊</b>) その部隊は敵に奇襲攻撃を仕掛けた。	[sound:s-2344_その部隊は敵に奇襲攻撃を仕掛けた。.mp3] <br> そのぶたいはてきにきしゅうこうげきをしかけた。 <br> The unit launched a surprise attack on the enemy.
[sound:s-2334_途上国は貧困と闘っています。.mp3]	(<b>途上国</b>) 途上国は貧困と闘っています。<br> とじょうこくはひんこんとたたかっています。 <br>Developing countries are fighting against poverty.	
感情	[sound:k-2345_感情.mp3]<br>かんじょう <br> emotion, feeling, feelings, sentiment
emotion, feeling, feelings, sentiment	<b>感情<b> <br> かんじょう <br>[sound:k-2345_感情.mp3]
[sound:k-2345_感情.mp3]	emotion, feeling, feelings, sentiment<br> <b>感情</b> <br> (かんじょう)
(<b>東</b>) 東の空に朝日が昇っている。	[sound:s-2345_東の空に朝日が昇っている。.mp3] <br> ひがしのそらにあさひがのぼっている。 <br> The morning sun is rising in the east sky.
[sound:s-2335_彼の意見は一部の人々にしか受け入れられません。.mp3]	(<b>一部</b>) 彼の意見は一部の人々にしか受け入れられません。<br> かれのいけんはいちぶのひとびとにしかうけいれられません。 <br>His opinion is accepted only by some people.	
実情	[sound:k-2346_実情.mp3]<br>じつじょう <br> real condition, actual circumstances, actual state of affairs
real condition, actual circumstances, actual state of affairs	<b>実情<b> <br> じつじょう <br>[sound:k-2346_実情.mp3]
[sound:k-2346_実情.mp3]	real condition, actual circumstances, actual state of affairs<br> <b>実情</b> <br> (じつじょう)
(<b>東京</b>) 東京は日本の首都です。	[sound:s-2346_東京は日本の首都です。.mp3] <br> とうきょうはにほんのしゅとです。 <br> Tokyo is the capital of Japan.
[sound:s-2336_会社の幹部は新しい方針を発表しました。.mp3]	(<b>幹部</b>) 会社の幹部は新しい方針を発表しました。<br> かいしゃのかんぶはあたらしいほうしんをはっぴょうしました。 <br>The company executives announced a new policy.	
苦情	[sound:k-2347_苦情.mp3]<br>くじょう <br> complaint, troubles, objection, grievance
complaint, troubles, objection, grievance	<b>苦情<b> <br> くじょう <br>[sound:k-2347_苦情.mp3]
[sound:k-2347_苦情.mp3]	complaint, troubles, objection, grievance<br> <b>苦情</b> <br> (くじょう)
(<b>中東</b>) 中東地域では石油が豊富に産出されている。	[sound:s-2347_中東地域では石油が豊富に産出されている。.mp3] <br> ちゅうとうちいきではせきゆがほうふにさんしゅつされている。 <br> Oil is abundantly produced in the Middle East region.
[sound:s-2337_部長は部署の運営を担当しています。.mp3]	(<b>部長</b>) 部長は部署の運営を担当しています。<br> ぶちょうはぶしょのうんえいをたんとうしています。 <br>The department head is in charge of department operations.	
情熱	[sound:k-2348_情熱.mp3]<br>じょうねつ <br> passion, enthusiasm, zeal
passion, enthusiasm, zeal	<b>情熱<b> <br> じょうねつ <br>[sound:k-2348_情熱.mp3]
[sound:k-2348_情熱.mp3]	passion, enthusiasm, zeal<br> <b>情熱</b> <br> (じょうねつ)
(<b>東海</b>) 東海地域には美しいビーチがたくさんあります。	[sound:s-2348_東海地域には美しいビーチがたくさんあります。.mp3] <br> とうかいちいきにはうつくしいビーチがたくさんあります。 <br> The Tokai region has many beautiful beaches.
[sound:s-2338_彼の話の一部分を理解できませんでした。.mp3]	(<b>部分</b>) 彼の話の一部分を理解できませんでした。<br> かれのはなしのいちぶぶんをりかいできませんでした。 <br>I couldn't understand part of his story.	
愛情	[sound:k-2349_愛情.mp3]<br>あいじょう <br> love, affection
love, affection	<b>愛情<b> <br> あいじょう <br>[sound:k-2349_愛情.mp3]
[sound:k-2349_愛情.mp3]	love, affection<br> <b>愛情</b> <br> (あいじょう)
(<b>東北</b>) 東北地方では冬には雪がよく降ります。	[sound:s-2349_東北地方では冬には雪がよく降ります。.mp3] <br> とうほくちほうではふゆにはゆきがよくふります。 <br> Snowfall is frequent in winter in the Tohoku region.
[sound:s-2339_その会社はいくつかの部門に分かれています。.mp3]	(<b>部門</b>) その会社はいくつかの部門に分かれています。<br> そのかいしゃはいくつかのぶもんにわかれています。 <br>The company is divided into several departments.	
投資	[sound:k-2350_投資.mp3]<br>とうし <br> investment
investment	<b>投資<b> <br> とうし <br>[sound:k-2350_投資.mp3]
[sound:k-2350_投資.mp3]	investment<br> <b>投資</b> <br> (とうし)
(<b>東欧</b>) 東欧諸国の文化は多様で豊かです。	[sound:s-2350_東欧諸国の文化は多様で豊かです。.mp3] <br> とうおうしょこくのぶんかはたようでゆたかです。 <br> The culture of Eastern European countries is diverse and rich.
[sound:s-2340_本部は全国にいくつかの支社を持っています。.mp3]	(<b>本部</b>) 本部は全国にいくつかの支社を持っています。<br> ほんぶはぜんこくにいくつかのししゃをもっています。 <br>The headquarters has several branch offices nationwide.	
投手	[sound:k-2351_投手.mp3]<br>とうしゅ <br> (baseball) pitcher
(baseball) pitcher	<b>投手<b> <br> とうしゅ <br>[sound:k-2351_投手.mp3]
[sound:k-2351_投手.mp3]	(baseball) pitcher<br> <b>投手</b> <br> (とうしゅ)
(<b>東西</b>) 東西の文化の違いを研究しています。	[sound:s-2351_東西の文化の違いを研究しています。.mp3] <br> とうざいのぶんかのちがいをけんきゅうしています。 <br> I am researching the differences between Eastern and Western cultures.
[sound:s-2341_彼女は大学で心理学部に在籍しています。.mp3]	(<b>学部</b>) 彼女は大学で心理学部に在籍しています。<br> かのじょはだいがくでしんりがくぶにざいせきしています。 <br>She is enrolled in the psychology department at the university.	
投票	[sound:k-2352_投票.mp3]<br>とうひょう <br> voting, poll
voting, poll	<b>投票<b> <br> とうひょう <br>[sound:k-2352_投票.mp3]
[sound:k-2352_投票.mp3]	voting, poll<br> <b>投票</b> <br> (とうひょう)
(<b>東南</b>) その国は東南アジアに位置しています。	[sound:s-2352_その国は東南アジアに位置しています。.mp3] <br> そのくにはとうなんアジアにいちしています。 <br> The country is located in Southeast Asia.
[sound:s-2342_その問題は会社の内部で解決されます。.mp3]	(<b>内部</b>) その問題は会社の内部で解決されます。<br> そのもんだいはかいしゃのないぶでかいけつされます。 <br>The issue will be resolved within the company.	
国民投票	[sound:k-2353_国民投票.mp3]<br>こくみんとうひょう <br> national referendum
national referendum	<b>国民投票<b> <br> こくみんとうひょう <br>[sound:k-2353_国民投票.mp3]
[sound:k-2353_国民投票.mp3]	national referendum<br> <b>国民投票</b> <br> (こくみんとうひょう)
(<b>東芝</b>) 東芝は電化製品の製造で有名です。	[sound:s-2353_東芝は電化製品の製造で有名です。.mp3] <br> とうしばはでんかせいひんのせいぞうでゆうめいです。 <br> Toshiba is famous for manufacturing electrical appliances.
[sound:s-2343_彼の部屋はとても整頓されています。.mp3]	(<b>部屋</b>) 彼の部屋はとても整頓されています。<br> かれのへやはとてもせいとんされています。 <br>His room is very tidy.	
投球	[sound:k-2354_投球.mp3]<br>とうきゅう <br> pitching, throwing a ball, bowling (in cricket), pitched ball
pitching, throwing a ball, bowling (in cricket), pitched ball	<b>投球<b> <br> とうきゅう <br>[sound:k-2354_投球.mp3]
[sound:k-2354_投球.mp3]	pitching, throwing a ball, bowling<br> <b>in cricket), pitched ball (投球</b> <br> (とうきゅう)
(<b>東洋</b>) 東洋の文化には古い伝統が根付いています。	[sound:s-2354_東洋の文化には古い伝統が根付いています。.mp3] <br> とうようのぶんかにはふるいでんとうがねづいています。 <br> Eastern culture is rooted in ancient traditions.
[sound:s-2344_その部隊は敵に奇襲攻撃を仕掛けた。.mp3]	(<b>部隊</b>) その部隊は敵に奇襲攻撃を仕掛けた。<br> そのぶたいはてきにきしゅうこうげきをしかけた。 <br>The unit launched a surprise attack on the enemy.	
完投	[sound:k-2355_完投.mp3]<br>かんとう <br> going the whole distance, pitching a whole game
going the whole distance, pitching a whole game	<b>完投<b> <br> かんとう <br>[sound:k-2355_完投.mp3]
[sound:k-2355_完投.mp3]	going the whole distance, pitching a whole game<br> <b>完投</b> <br> (かんとう)
(<b>患者</b>) 病院にはたくさんの患者がいる。	[sound:s-2355_病院にはたくさんの患者がいる。.mp3] <br> びょういんにはたくさんのかんじゃがいる。 <br> There are many patients in the hospital.
[sound:s-2345_東の空に朝日が昇っている。.mp3]	(<b>東</b>) 東の空に朝日が昇っている。<br> ひがしのそらにあさひがのぼっている。 <br>The morning sun is rising in the east sky.	
継投	[sound:k-2356_継投.mp3]<br>けいとう <br> relieving the (starting) pitcher
relieving the (starting) pitcher	<b>継投<b> <br> けいとう <br>[sound:k-2356_継投.mp3]
[sound:k-2356_継投.mp3]	relieving the<br> <b>starting) pitcher (継投</b> <br> (けいとう)
(<b>関係者</b>) 会議には関係者だけが参加できます。	[sound:s-2356_会議には関係者だけが参加できます。.mp3] <br> かいぎにはかんけいしゃだけがさんかできます。 <br> Only stakeholders can participate in the meeting.
[sound:s-2346_東京は日本の首都です。.mp3]	(<b>東京</b>) 東京は日本の首都です。<br> とうきょうはにほんのしゅとです。 <br>Tokyo is the capital of Japan.	
好投	[sound:k-2357_好投.mp3]<br>こうとう <br> good (nice) pitching
good (nice) pitching	<b>好投<b> <br> こうとう <br>[sound:k-2357_好投.mp3]
[sound:k-2357_好投.mp3]	good<br> <b>nice) pitching (好投</b> <br> (こうとう)
(<b>記者</b>) 彼は新聞社の記者です。	[sound:s-2357_彼は新聞社の記者です。.mp3] <br> かれはしんぶんしゃのきしゃです。 <br> He is a journalist for a newspaper company.
[sound:s-2347_中東地域では石油が豊富に産出されている。.mp3]	(<b>中東</b>) 中東地域では石油が豊富に産出されている。<br> ちゅうとうちいきではせきゆがほうふにさんしゅつされている。 <br>Oil is abundantly produced in the Middle East region.	
投機	[sound:k-2358_投機.mp3]<br>とうき <br> speculation, venture, stockjobbing, gambling (on stocks)
speculation, venture, stockjobbing, gambling (on stocks)	<b>投機<b> <br> とうき <br>[sound:k-2358_投機.mp3]
[sound:k-2358_投機.mp3]	speculation, venture, stockjobbing, gambling<br> <b>on stocks) (投機</b> <br> (とうき)
(<b>業者</b>) 彼は地元の業者と取引しています。	[sound:s-2358_彼は地元の業者と取引しています。.mp3] <br> かれはじもとのぎょうしゃととりひきしています。 <br> He is doing business with local vendors.
[sound:s-2348_東海地域には美しいビーチがたくさんあります。.mp3]	(<b>東海</b>) 東海地域には美しいビーチがたくさんあります。<br> とうかいちいきにはうつくしいビーチがたくさんあります。 <br>The Tokai region has many beautiful beaches.	
投棄	[sound:k-2359_投棄.mp3]<br>とうき <br> abandonment, giving up, throwing away
abandonment, giving up, throwing away	<b>投棄<b> <br> とうき <br>[sound:k-2359_投棄.mp3]
[sound:k-2359_投棄.mp3]	abandonment, giving up, throwing away<br> <b>投棄</b> <br> (とうき)
(<b>容疑者</b>) 彼は殺人容疑で逮捕されました。	[sound:s-2359_彼は殺人容疑で逮捕されました。.mp3] <br> かれはさつじんようぎでたいほされました。 <br> He was arrested on suspicion of murder.
