[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
[sound:k-3170_割り.mp3]	rate, ratio, proportion, percentage; profit; assignment; 10%, unit of ten percent; sumo match, schedule of sumo matches; diluted with<br> <b>of drinks), mixed with (割り</b> <br> (わり)
(<b>合</b>) 彼らは手を合わせて祈りました。	[sound:s-3170_彼らは手を合わせて祈りました。.mp3] <br> かれらはてをあわせていのりました。 <br> They clasped their hands together and prayed.
[sound:s-3160_防衛のために新しい施設が建設されました。.mp3]	(<b>防衛</b>) 防衛のために新しい施設が建設されました。<br> ぼうえいのためにあたらしいしせつがけんせつされました。 <br>New facilities have been built for defense purposes.	
役割	[sound:k-3171_役割.mp3]<br>やくわり <br> part, assigning (allotment of) parts, role, duties
part, assigning (allotment of) parts, role, duties	<b>役割<b> <br> やくわり <br>[sound:k-3171_役割.mp3]
[sound:k-3171_役割.mp3]	part, assigning<br> <b>allotment of) parts, role, duties (役割</b> <br> (やくわり)
(<b>合意</b>) 交渉の結果、両者は合意に達した。	[sound:s-3171_交渉の結果、両者は合意に達した。.mp3] <br> こうしょうのけっか、りょうしゃはごういにたっした。 <br> As a result of negotiations, both parties reached an agreement.
[sound:s-3161_衛星は地球の周りを回っています。.mp3]	(<b>衛星</b>) 衛星は地球の周りを回っています。<br> えいせいはちきゅうのまわりをまわっています。 <br>Satellites orbit the Earth.	
割合	[sound:k-3172_割合.mp3]<br>わりあい <br> rate, ratio, percentage, proportion; comparatively; contrary to expectations
rate, ratio, percentage, proportion; comparatively; contrary to expectations	<b>割合<b> <br> わりあい <br>[sound:k-3172_割合.mp3]
[sound:k-3172_割合.mp3]	rate, ratio, percentage, proportion; comparatively; contrary to expectations<br> <b>割合</b> <br> (わりあい)
(<b>試合</b>) 明日、サッカーの試合があります。	[sound:s-3172_明日、サッカーの試合があります。.mp3] <br> あした、さっかーのしあいがあります。 <br> There's a soccer match tomorrow.
[sound:s-3162_防衛庁は国の安全保障に関する政策を策定しています。.mp3]	(<b>防衛庁</b>) 防衛庁は国の安全保障に関する政策を策定しています。<br> ぼうえいちょうはくにのあんぜんほしょうにかんするせいさくをさくていしています。 <br>The Defense Agency formulates policies related to national security.	
分割	[sound:k-3173_分割.mp3]<br>ぶんかつ <br> partition, division, separation, segmenting, splitting
partition, division, separation, segmenting, splitting	<b>分割<b> <br> ぶんかつ <br>[sound:k-3173_分割.mp3]
[sound:k-3173_分割.mp3]	partition, division, separation, segmenting, splitting<br> <b>分割</b> <br> (ぶんかつ)
(<b>連合</b>) 労働組合は連合して行動します。	[sound:s-3173_労働組合は連合して行動します。.mp3] <br> ろうどうくみあいはれんごうしてこうどうします。 <br> Labor unions collaborate and take action together.
[sound:s-3163_衛生には十分な注意が必要です。.mp3]	(<b>衛生</b>) 衛生には十分な注意が必要です。<br> えいせいにはじゅうぶんなちゅういがひつようです。 <br>Proper hygiene requires careful attention.	
割引	[sound:k-3174_割引.mp3]<br>わりびき <br> discount, reduction, rebate, tenths discounted
discount, reduction, rebate, tenths discounted	<b>割引<b> <br> わりびき <br>[sound:k-3174_割引.mp3]
[sound:k-3174_割引.mp3]	discount, reduction, rebate, tenths discounted<br> <b>割引</b> <br> (わりびき)
(<b>総合</b>) この報告書は総合的な分析を提供しています。	[sound:s-3174_この報告書は総合的な分析を提供しています。.mp3] <br> このほうこくしょはそうごうてきなぶんせきをていきょうしています。 <br> This report provides a comprehensive analysis.
[sound:s-3164_彼らは自衛のために武器を持っています。.mp3]	(<b>自衛</b>) 彼らは自衛のために武器を持っています。<br> かれらはじえいのためにぶきをもっています。 <br>They have weapons for self-defense.	
割高	[sound:k-3175_割高.mp3]<br>わりだか <br> comparatively high, fairly expensive
comparatively high, fairly expensive	<b>割高<b> <br> わりだか <br>[sound:k-3175_割高.mp3]
[sound:k-3175_割高.mp3]	comparatively high, fairly expensive<br> <b>割高</b> <br> (わりだか)
(<b>問い合わせ</b>) 質問や疑問があれば、お問い合わせください。	[sound:s-3175_質問や疑問があれば、お問い合わせください。.mp3] <br> しつもんやぎもんがあれば、おといあわせください。 <br> If you have any questions or concerns, please inquire.
[sound:s-3165_自衛官は日々国の安全を守っています。.mp3]	(<b>自衛官</b>) 自衛官は日々国の安全を守っています。<br> じえいかんはひびくにのあんぜんをまもっています。 <br>Self-Defense Forces personnel protect the country's security every day.	
割安	[sound:k-3176_割安.mp3]<br>わりやす <br> economical, comparatively cheap
economical, comparatively cheap	<b>割安<b> <br> わりやす <br>[sound:k-3176_割安.mp3]
[sound:k-3176_割安.mp3]	economical, comparatively cheap<br> <b>割安</b> <br> (わりやす)
(<b>会合</b>) 今夜は友人との会合があります。	[sound:s-3176_今夜は友人との会合があります。.mp3] <br> こんやはゆうじんとのかいごうがあります。 <br> There's a gathering with friends tonight.
[sound:s-3166_陸上自衛隊は陸上での国防を担当しています。.mp3]	(<b>陸上自衛隊</b>) 陸上自衛隊は陸上での国防を担当しています。<br> りくじょうじえいたいはりくじょうでのこくぼうをたんとうしています。 <br>The Ground Self-Defense Forces are responsible for defense on land.	
割引債	[sound:k-3177_割引債.mp3]<br>わりびきさい <br> discount bond
discount bond	<b>割引債<b> <br> わりびきさい <br>[sound:k-3177_割引債.mp3]
[sound:k-3177_割引債.mp3]	discount bond<br> <b>割引債</b> <br> (わりびきさい)
(<b>組合</b>) 労働組合は労働者の権利を守ります。	[sound:s-3177_労働組合は労働者の権利を守ります。.mp3] <br> ろうどうくみあいはろうどうしゃのけんりをまもります。 <br> Labor unions protect the rights of workers.
[sound:s-3167_通信衛星は地球上の通信網を支えています。.mp3]	(<b>通信衛星</b>) 通信衛星は地球上の通信網を支えています。<br> つうしんえいせいはちきゅうじょうのつうしんもうをささえています。 <br>Communication satellites support the communication network on Earth.	
割り当て	[sound:k-3178_割り当て.mp3]<br>わりあて, かっとう <br> allotment, assignment, allocation, quota, rationing; binding
allotment, assignment, allocation, quota, rationing; binding	<b>割り当て<b> <br> わりあて, かっとう <br>[sound:k-3178_割り当て.mp3]
[sound:k-3178_割り当て.mp3]	allotment, assignment, allocation, quota, rationing; binding<br> <b>割り当て</b> <br> (わりあて, かっとう)
(<b>統合</b>) 両社は統合して一つの会社となった。	[sound:s-3178_両社は統合して一つの会社となった。.mp3] <br> りょうしゃはとうごうしてひとつのかいしゃとなった。 <br> The two companies merged and became one corporation.
[sound:s-3168_海上自衛隊は海洋での安全を守る任務を担っています。.mp3]	(<b>海上自衛隊</b>) 海上自衛隊は海洋での安全を守る任務を担っています。<br> かいじょうじえいたいはかいようでのあんぜんをまもるにんむをたんっています。 <br>The Maritime Self-Defense Force is tasked with ensuring safety at sea.	
割り出す	[sound:k-3179_割り出す.mp3]<br>わりだす <br> to calculate, to compute, to infer
to calculate, to compute, to infer	<b>割り出す<b> <br> わりだす <br>[sound:k-3179_割り出す.mp3]
[sound:k-3179_割り出す.mp3]	to calculate, to compute, to infer<br> <b>割り出す</b> <br> (わりだす)
(<b>合う</b>) この服は彼に合っています。	[sound:s-3179_この服は彼に合っています。.mp3] <br> このふくはかれにあっています。 <br> This clothes suits him.
[sound:s-3169_地検は犯罪捜査を行います。.mp3]	(<b>地検</b>) 地検は犯罪捜査を行います。<br> ちけんははんざいそうさをおこないます。 <br>The district prosecutor's office conducts criminal investigations.	
聞かす	[sound:k-3180_聞かす.mp3]<br>きかす <br> to inform about, to read to, to sing for
to inform about, to read to, to sing for	<b>聞かす<b> <br> きかす <br>[sound:k-3180_聞かす.mp3]
[sound:k-3180_聞かす.mp3]	to inform about, to read to, to sing for<br> <b>聞かす</b> <br> (きかす)
(<b>市場</b>) 町の中心には市場があります。	[sound:s-3180_町の中心には市場があります。.mp3] <br> まちのちゅうしんにはいちばがあります。 <br> There is a market at the center of the town.
[sound:s-3170_彼らは手を合わせて祈りました。.mp3]	(<b>合</b>) 彼らは手を合わせて祈りました。<br> かれらはてをあわせていのりました。 <br>They clasped their hands together and prayed.	
新聞	[sound:k-3181_新聞.mp3]<br>しんぶん <br> newspaper
newspaper	<b>新聞<b> <br> しんぶん <br>[sound:k-3181_新聞.mp3]
[sound:k-3181_新聞.mp3]	newspaper<br> <b>新聞</b> <br> (しんぶん)
(<b>市内</b>) 地元の人々は市内で買い物をします。	[sound:s-3181_地元の人々は市内で買い物をします。.mp3] <br> じもとのひとびとはしないでかいものをします。 <br> Local people shop in the city.
[sound:s-3171_交渉の結果、両者は合意に達した。.mp3]	(<b>合意</b>) 交渉の結果、両者は合意に達した。<br> こうしょうのけっか、りょうしゃはごういにたっした。 <br>As a result of negotiations, both parties reached an agreement.	
新聞社	[sound:k-3182_新聞社.mp3]<br>しんぶんしゃ <br> newspaper company
newspaper company	<b>新聞社<b> <br> しんぶんしゃ <br>[sound:k-3182_新聞社.mp3]
[sound:k-3182_新聞社.mp3]	newspaper company<br> <b>新聞社</b> <br> (しんぶんしゃ)
(<b>市民</b>) 市民は地方の発展に貢献します。	[sound:s-3182_市民は地方の発展に貢献します。.mp3] <br> しみんはちほうのはってんにこうけんします。 <br> Citizens contribute to the development of the region.
[sound:s-3172_明日、サッカーの試合があります。.mp3]	(<b>試合</b>) 明日、サッカーの試合があります。<br> あした、さっかーのしあいがあります。 <br>There's a soccer match tomorrow.	
聞き手	[sound:k-3183_聞き手.mp3]<br>ききて <br> hearer, listener, audience; interviewer, questioner
hearer, listener, audience; interviewer, questioner	<b>聞き手<b> <br> ききて <br>[sound:k-3183_聞き手.mp3]
[sound:k-3183_聞き手.mp3]	hearer, listener, audience; interviewer, questioner<br> <b>聞き手</b> <br> (ききて)
(<b>都市</b>) 東京は世界有数の大都市です。	[sound:s-3183_東京は世界有数の大都市です。.mp3] <br> とうきょうはせかいゆうすうのだいとしです。 <br> Tokyo is one of the world's largest cities.
[sound:s-3173_労働組合は連合して行動します。.mp3]	(<b>連合</b>) 労働組合は連合して行動します。<br> ろうどうくみあいはれんごうしてこうどうします。 <br>Labor unions collaborate and take action together.	
新聞紙	[sound:k-3184_新聞紙.mp3]<br>しんぶんし <br> newsprint, newspaper
newsprint, newspaper	<b>新聞紙<b> <br> しんぶんし <br>[sound:k-3184_新聞紙.mp3]
[sound:k-3184_新聞紙.mp3]	newsprint, newspaper<br> <b>新聞紙</b> <br> (しんぶんし)
(<b>同市</b>) 彼らは同市で会った。	[sound:s-3184_彼らは同市で会った。.mp3] <br> かれらはどうしであった。 <br> They met in the same city.
[sound:s-3174_この報告書は総合的な分析を提供しています。.mp3]	(<b>総合</b>) この報告書は総合的な分析を提供しています。<br> このほうこくしょはそうごうてきなぶんせきをていきょうしています。 <br>This report provides a comprehensive analysis.	
前代未聞	[sound:k-3185_前代未聞.mp3]<br>ぜんだいみもん <br> unheard-of, unprecedented, unparalleled in history (unparallelled), record-breaking
unheard-of, unprecedented, unparalleled in history (unparallelled), record-breaking	<b>前代未聞<b> <br> ぜんだいみもん <br>[sound:k-3185_前代未聞.mp3]
[sound:k-3185_前代未聞.mp3]	unheard-of, unprecedented, unparalleled in history<br> <b>unparallelled), record-breaking (前代未聞</b> <br> (ぜんだいみもん)
(<b>市長</b>) 彼は新しい市長に選ばれました。	[sound:s-3185_彼は新しい市長に選ばれました。.mp3] <br> かれはあたらしいしちょうにえらばれました。 <br> He was elected as the new mayor.
[sound:s-3175_質問や疑問があれば、お問い合わせください。.mp3]	(<b>問い合わせ</b>) 質問や疑問があれば、お問い合わせください。<br> しつもんやぎもんがあれば、おといあわせください。 <br>If you have any questions or concerns, please inquire.	
新聞記事	[sound:k-3186_新聞記事.mp3]<br>しんぶんきじ <br> newspaper story (article, account)
newspaper story (article, account)	<b>新聞記事<b> <br> しんぶんきじ <br>[sound:k-3186_新聞記事.mp3]
[sound:k-3186_新聞記事.mp3]	newspaper story<br> <b>article, account) (新聞記事</b> <br> (しんぶんきじ)
(<b>市町村</b>) この地域には多くの市町村があります。	[sound:s-3186_この地域には多くの市町村があります。.mp3] <br> このちいきにはおおくのしちょうそんがあります。 <br> There are many towns and villages in this area.
[sound:s-3176_今夜は友人との会合があります。.mp3]	(<b>会合</b>) 今夜は友人との会合があります。<br> こんやはゆうじんとのかいごうがあります。 <br>There's a gathering with friends tonight.	
聞き書き	[sound:k-3187_聞き書き.mp3]<br>ききがき <br> account of what one hears
account of what one hears	<b>聞き書き<b> <br> ききがき <br>[sound:k-3187_聞き書き.mp3]
[sound:k-3187_聞き書き.mp3]	account of what one hears<br> <b>聞き書き</b> <br> (ききがき)
(<b>市立</b>) その公園は市立のものです。	[sound:s-3187_その公園は市立のものです。.mp3] <br> そのこうえんはしりつのものです。 <br> The park is owned by the city.
[sound:s-3177_労働組合は労働者の権利を守ります。.mp3]	(<b>組合</b>) 労働組合は労働者の権利を守ります。<br> ろうどうくみあいはろうどうしゃのけんりをまもります。 <br>Labor unions protect the rights of workers.	
聞こえる	[sound:k-3188_聞こえる.mp3]<br>きこえる <br> to be heard, to be audible; to be said to be, to be reputed
to be heard, to be audible; to be said to be, to be reputed	<b>聞こえる<b> <br> きこえる <br>[sound:k-3188_聞こえる.mp3]
[sound:k-3188_聞こえる.mp3]	to be heard, to be audible; to be said to be, to be reputed<br> <b>聞こえる</b> <br> (きこえる)
(<b>市議</b>) 彼は市議会のメンバーです。	[sound:s-3188_彼は市議会のメンバーです。.mp3] <br> かれはしぎかいのメンバーです。 <br> He is a member of the city council.
[sound:s-3178_両社は統合して一つの会社となった。.mp3]	(<b>統合</b>) 両社は統合して一つの会社となった。<br> りょうしゃはとうごうしてひとつのかいしゃとなった。 <br>The two companies merged and became one corporation.	
聞き取り	[sound:k-3189_聞き取り.mp3]<br>ききとり <br> listening comprehension
listening comprehension	<b>聞き取り<b> <br> ききとり <br>[sound:k-3189_聞き取り.mp3]
[sound:k-3189_聞き取り.mp3]	listening comprehension<br> <b>聞き取り</b> <br> (ききとり)
(<b>市中</b>) 夜には市中が静かになります。	[sound:s-3189_夜には市中が静かになります。.mp3] <br> よるにはしちゅうがしずかになります。 <br> The city becomes quiet at night.
[sound:s-3179_この服は彼に合っています。.mp3]	(<b>合う</b>) この服は彼に合っています。<br> このふくはかれにあっています。 <br>This clothes suits him.	
身	[sound:k-3190_身.mp3]<br>み <br> body; oneself; one's place, one's position; main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container(as opposed to its lid)
body; oneself; one's place, one's position; main part, meat (as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container(as opposed to its lid)	<b>身<b> <br> み <br>[sound:k-3190_身.mp3]
[sound:k-3190_身.mp3]	body; oneself; one's place, one's position; main part, meat<br> <b>as opposed to bone, skin, etc.), wood (as opposed to bark), blade (as opposed to its handle), container(as opposed to its lid) (身</b> <br> (み)
(<b>業</b>) 彼は芸術の業に身を捧げている。	[sound:s-3190_彼は芸術の業に身を捧げている。.mp3] <br> かれはげいじゅつのわざにみをささげている。 <br> He has devoted himself to the art profession.
[sound:s-3180_町の中心には市場があります。.mp3]	(<b>市場</b>) 町の中心には市場があります。<br> まちのちゅうしんにはいちばがあります。 <br>There is a market at the center of the town.	
自身	[sound:k-3191_自身.mp3]<br>じしん <br> by oneself, personally
by oneself, personally	<b>自身<b> <br> じしん <br>[sound:k-3191_自身.mp3]
[sound:k-3191_自身.mp3]	by oneself, personally<br> <b>自身</b> <br> (じしん)
(<b>企業</b>) この地域には多くの大企業があります。	[sound:s-3191_この地域には多くの大企業があります。.mp3] <br> このちいきにはおおくのだいきぎょうがあります。 <br> There are many large corporations in this area.
[sound:s-3181_地元の人々は市内で買い物をします。.mp3]	(<b>市内</b>) 地元の人々は市内で買い物をします。<br> じもとのひとびとはしないでかいものをします。 <br>Local people shop in the city.	
出身	[sound:k-3192_出身.mp3]<br>しゅっしん <br> person's origin (town, city, country, etc.); institution from which one graduated; director in charge of employee relations
person's origin (town, city, country, etc.); institution from which one graduated; director in charge of employee relations	<b>出身<b> <br> しゅっしん <br>[sound:k-3192_出身.mp3]
[sound:k-3192_出身.mp3]	person's origin<br> <b>town, city, country, etc.); institution from which one graduated; director in charge of employee relations (出身</b> <br> (しゅっしん)
(<b>業界</b>) 彼はIT業界で成功しました。	[sound:s-3192_彼はIT業界で成功しました。.mp3] <br> かれはITぎょうかいでせいこうしました。 <br> He succeeded in the IT industry.
[sound:s-3182_市民は地方の発展に貢献します。.mp3]	(<b>市民</b>) 市民は地方の発展に貢献します。<br> しみんはちほうのはってんにこうけんします。 <br>Citizens contribute to the development of the region.	
中身	[sound:k-3193_中身.mp3]<br>なかみ <br> contents, interior, substance, filling, (sword) blade
contents, interior, substance, filling, (sword) blade	<b>中身<b> <br> なかみ <br>[sound:k-3193_中身.mp3]
[sound:k-3193_中身.mp3]	contents, interior, substance, filling,<br> <b>sword) blade (中身</b> <br> (なかみ)
(<b>業者</b>) その店は信頼できる業者です。	[sound:s-3193_その店は信頼できる業者です。.mp3] <br> そのみせはしんらいできるぎょうしゃです。 <br> That shop is a reliable business.
[sound:s-3183_東京は世界有数の大都市です。.mp3]	(<b>都市</b>) 東京は世界有数の大都市です。<br> とうきょうはせかいゆうすうのだいとしです。 <br>Tokyo is one of the world's largest cities.	
身長	[sound:k-3194_身長.mp3]<br>しんちょう <br> height (of body), stature
height (of body), stature	<b>身長<b> <br> しんちょう <br>[sound:k-3194_身長.mp3]
[sound:k-3194_身長.mp3]	height<br> <b>of body), stature (身長</b> <br> (しんちょう)
(<b>作業</b>) 彼らは一緒に作業を行いました。	[sound:s-3194_彼らは一緒に作業を行いました。.mp3] <br> かれらはいっしょにさぎょうをおこないました。 <br> They worked together.
[sound:s-3184_彼らは同市で会った。.mp3]	(<b>同市</b>) 彼らは同市で会った。<br> かれらはどうしであった。 <br>They met in the same city.	
全身	[sound:k-3195_全身.mp3]<br>ぜんしん <br> whole (body), full-length (e.g. portrait); systemic
whole (body), full-length (e.g. portrait); systemic	<b>全身<b> <br> ぜんしん <br>[sound:k-3195_全身.mp3]
[sound:k-3195_全身.mp3]	whole<br> <b>body), full-length (e.g. portrait); systemic (全身</b> <br> (ぜんしん)
(<b>産業</b>) 自動車産業はこの地域の主要産業です。	[sound:s-3195_自動車産業はこの地域の主要産業です。.mp3] <br> じどうしゃさんぎょうはこのちいきのしゅようさんぎょうです。 <br> The automobile industry is the main industry in this region.
[sound:s-3185_彼は新しい市長に選ばれました。.mp3]	(<b>市長</b>) 彼は新しい市長に選ばれました。<br> かれはあたらしいしちょうにえらばれました。 <br>He was elected as the new mayor.	
出身者	[sound:k-3196_出身者.mp3]<br>しゅっしんしゃ <br> alumnus (alumnae), graduate, old boy (girl); former member of an organization; former inhabitant (country, region, etc.)
alumnus (alumnae), graduate, old boy (girl); former member of an organization; former inhabitant (country, region, etc.)	<b>出身者<b> <br> しゅっしんしゃ <br>[sound:k-3196_出身者.mp3]
[sound:k-3196_出身者.mp3]	alumnus<br> <b>alumnae), graduate, old boy (girl); former member of an organization; former inhabitant (country, region, etc.) (出身者</b> <br> (しゅっしんしゃ)
(<b>事業</b>) 彼は新しい事業を立ち上げました。	[sound:s-3196_彼は新しい事業を立ち上げました。.mp3] <br> かれはあたらしいじぎょうをたちあげました。 <br> He started a new business.
[sound:s-3186_この地域には多くの市町村があります。.mp3]	(<b>市町村</b>) この地域には多くの市町村があります。<br> このちいきにはおおくのしちょうそんがあります。 <br>There are many towns and villages in this area.	
単身	[sound:k-3197_単身.mp3]<br>たんしん <br> alone, unaided, away from home
alone, unaided, away from home	<b>単身<b> <br> たんしん <br>[sound:k-3197_単身.mp3]
[sound:k-3197_単身.mp3]	alone, unaided, away from home<br> <b>単身</b> <br> (たんしん)
(<b>農業</b>) この地域は農業が盛んです。	[sound:s-3197_この地域は農業が盛んです。.mp3] <br> このちいきはのうぎょうがさかんです。 <br> Agriculture is thriving in this area.
[sound:s-3187_その公園は市立のものです。.mp3]	(<b>市立</b>) その公園は市立のものです。<br> そのこうえんはしりつのものです。 <br>The park is owned by the city.	
身元	[sound:k-3198_身元.mp3]<br>みもと <br> person's identity, ID, past, background
person's identity, ID, past, background	<b>身元<b> <br> みもと <br>[sound:k-3198_身元.mp3]
[sound:k-3198_身元.mp3]	person's identity, ID, past, background<br> <b>身元</b> <br> (みもと)
(<b>営業</b>) 彼女は営業部長です。	[sound:s-3198_彼女は営業部長です。.mp3] <br> かのじょはえいぎょうぶちょうです。 <br> She is the sales manager.
[sound:s-3188_彼は市議会のメンバーです。.mp3]	(<b>市議</b>) 彼は市議会のメンバーです。<br> かれはしぎかいのメンバーです。 <br>He is a member of the city council.	
独身	[sound:k-3199_独身.mp3]<br>どくしん <br> bachelorhood, single, unmarried, celibate
bachelorhood, single, unmarried, celibate	<b>独身<b> <br> どくしん <br>[sound:k-3199_独身.mp3]
[sound:k-3199_独身.mp3]	bachelorhood, single, unmarried, celibate<br> <b>独身</b> <br> (どくしん)
(<b>業務</b>) その会社は日々の業務を効率的に行っています。	[sound:s-3199_その会社は日々の業務を効率的に行っています。.mp3] <br> そのかいしゃはひびのぎょうむをこうりつてきにおこなっています。 <br> The company efficiently performs its daily operations.
[sound:s-3189_夜には市中が静かになります。.mp3]	(<b>市中</b>) 夜には市中が静かになります。<br> よるにはしちゅうがしずかになります。 <br>The city becomes quiet at night.	
消費	[sound:k-3200_消費.mp3]<br>しょうひ <br> consumption, expenditure
consumption, expenditure	<b>消費<b> <br> しょうひ <br>[sound:k-3200_消費.mp3]
[sound:k-3200_消費.mp3]	consumption, expenditure<br> <b>消費</b> <br> (しょうひ)
(<b>内</b>) 箱の中には何が入っていますか？	[sound:s-3200_箱の中には何が入っていますか？.mp3] <br> はこのなかにはなにがはいっていますか？	What's inside the box?
[sound:s-3190_彼は芸術の業に身を捧げている。.mp3]	(<b>業</b>) 彼は芸術の業に身を捧げている。<br> かれはげいじゅつのわざにみをささげている。 <br>He has devoted himself to the art profession.	
消費者	[sound:k-3201_消費者.mp3]<br>しょうひしゃ <br> consumer
consumer	<b>消費者<b> <br> しょうひしゃ <br>[sound:k-3201_消費者.mp3]
[sound:k-3201_消費者.mp3]	consumer<br> <b>消費者</b> <br> (しょうひしゃ)
(<b>国内</b>) この製品は国内で生産されています。	[sound:s-3201_この製品は国内で生産されています。.mp3] <br> このせいひんはこくないでせいさんされています。 <br> This product is manufactured domestically.
[sound:s-3191_この地域には多くの大企業があります。.mp3]	(<b>企業</b>) この地域には多くの大企業があります。<br> このちいきにはおおくのだいきぎょうがあります。 <br>There are many large corporations in this area.	
消費税	[sound:k-3202_消費税.mp3]<br>しょうひぜい <br> consumption tax (incl. sales tax, VAT, excise duty, etc.)
consumption tax (incl. sales tax, VAT, excise duty, etc.)	<b>消費税<b> <br> しょうひぜい <br>[sound:k-3202_消費税.mp3]
[sound:k-3202_消費税.mp3]	consumption tax<br> <b>incl. sales tax, VAT, excise duty, etc.) (消費税</b> <br> (しょうひぜい)
(<b>市内 (repeated)</b>) 町の中心には市内で買い物をします。	[sound:s-3202_町の中心には市内で買い物をします。.mp3] <br> まちのちゅうしんにはいちないでかいものをします。 <br> People shop within the city center.
[sound:s-3192_彼はIT業界で成功しました。.mp3]	(<b>業界</b>) 彼はIT業界で成功しました。<br> かれはITぎょうかいでせいこうしました。 <br>He succeeded in the IT industry.	
費用	[sound:k-3203_費用.mp3]<br>ひよう <br> cost, expense
cost, expense	<b>費用<b> <br> ひよう <br>[sound:k-3203_費用.mp3]
[sound:k-3203_費用.mp3]	cost, expense<br> <b>費用</b> <br> (ひよう)
(<b>都内</b>) 雨の日は都内の交通が混雑します。	[sound:s-3203_雨の日は都内の交通が混雑します。.mp3] <br> あめのひはとないのこうつうがこんざつします。 <br> Traffic in the city gets congested on rainy days.
[sound:s-3193_その店は信頼できる業者です。.mp3]	(<b>業者</b>) その店は信頼できる業者です。<br> そのみせはしんらいできるぎょうしゃです。 <br>That shop is a reliable business.	
経費	[sound:k-3204_経費.mp3]<br>けいひ <br> expenses, cost, outlay
expenses, cost, outlay	<b>経費<b> <br> けいひ <br>[sound:k-3204_経費.mp3]
[sound:k-3204_経費.mp3]	expenses, cost, outlay<br> <b>経費</b> <br> (けいひ)
(<b>内閣</b>) 内閣は政府の重要な部分です。	[sound:s-3204_内閣は政府の重要な部分です。.mp3] <br> ないかくはせいふのじゅうようなぶぶんです。 <br> The cabinet is an important part of the government.
[sound:s-3194_彼らは一緒に作業を行いました。.mp3]	(<b>作業</b>) 彼らは一緒に作業を行いました。<br> かれらはいっしょにさぎょうをおこないました。 <br>They worked together.	
人件費	[sound:k-3205_人件費.mp3]<br>じんけんひ <br> personnel expenses, labor cost, labour cost; indirect labour costs, indirect labor costs
personnel expenses, labor cost, labour cost; indirect labour costs, indirect labor costs	<b>人件費<b> <br> じんけんひ <br>[sound:k-3205_人件費.mp3]
[sound:k-3205_人件費.mp3]	personnel expenses, labor cost, labour cost; indirect labour costs, indirect labor costs<br> <b>人件費</b> <br> (じんけんひ)
(<b>内容</b>) この本の内容は非常に興味深いです。	[sound:s-3205_この本の内容は非常に興味深いです。.mp3] <br> このほんのないようはひじょうにきょうみぶかいです。 <br> The contents of this book are very interesting.
[sound:s-3195_自動車産業はこの地域の主要産業です。.mp3]	(<b>産業</b>) 自動車産業はこの地域の主要産業です。<br> じどうしゃさんぎょうはこのちいきのしゅようさんぎょうです。 <br>The automobile industry is the main industry in this region.	
会費	[sound:k-3206_会費.mp3]<br>かいひ <br> membership fee
membership fee	<b>会費<b> <br> かいひ <br>[sound:k-3206_会費.mp3]
[sound:k-3206_会費.mp3]	membership fee<br> <b>会費</b> <br> (かいひ)
(<b>以内</b>) 到着は10分以内に予定されています。	[sound:s-3206_到着は10分以内に予定されています。.mp3] <br> とうちゃくはじゅっぷんいないによていされています。 <br> Arrival is scheduled within 10 minutes.
[sound:s-3196_彼は新しい事業を立ち上げました。.mp3]	(<b>事業</b>) 彼は新しい事業を立ち上げました。<br> かれはあたらしいじぎょうをたちあげました。 <br>He started a new business.	
公費	[sound:k-3207_公費.mp3]<br>こうひ <br> public expenditure
public expenditure	<b>公費<b> <br> こうひ <br>[sound:k-3207_公費.mp3]
[sound:k-3207_公費.mp3]	public expenditure<br> <b>公費</b> <br> (こうひ)
(<b>党内</b>) 党内での議論が活発化しています。	[sound:s-3207_党内での議論が活発化しています。.mp3] <br> とうないでのぎろんがかっぱつかしています。 <br> Discussions within the party are becoming lively.
[sound:s-3197_この地域は農業が盛んです。.mp3]	(<b>農業</b>) この地域は農業が盛んです。<br> このちいきはのうぎょうがさかんです。 <br>Agriculture is thriving in this area.	
交際費	[sound:k-3208_交際費.mp3]<br>こうさいひ <br> entertainment expenses
entertainment expenses	<b>交際費<b> <br> こうさいひ <br>[sound:k-3208_交際費.mp3]
[sound:k-3208_交際費.mp3]	entertainment expenses<br> <b>交際費</b> <br> (こうさいひ)
(<b>内部</b>) システムの内部に問題が発生しました。	[sound:s-3208_システムの内部に問題が発生しました。.mp3] <br> しぜむのないぶにもんだいがはっせいしました。 <br> There was an issue within the system.
[sound:s-3198_彼女は営業部長です。.mp3]	(<b>営業</b>) 彼女は営業部長です。<br> かのじょはえいぎょうぶちょうです。 <br>She is the sales manager.	
工費	[sound:k-3209_工費.mp3]<br>こうひ <br> construction cost
construction cost	<b>工費<b> <br> こうひ <br>[sound:k-3209_工費.mp3]
[sound:k-3209_工費.mp3]	construction cost<br> <b>工費</b> <br> (こうひ)
(<b>県内</b>) 県内の交通網を改善する必要があります。	[sound:s-3209_県内の交通網を改善する必要があります。.mp3] <br> けんないのこうつうもうをかいぜんするひつようがあります。 <br> There is a need to improve the transportation network within the prefecture.
