[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
[sound:s-3715_このレポートの主要なポイントを教えてください。.mp3]	(<b>主要</b>) このレポートの主要なポイントを教えてください。<br> このれぽーとのしゅようなぽいんとをおしえてください。 <br>Please tell me the main points of this report.	
能楽	[sound:k-3726_能楽.mp3]<br>のうがく <br> Noh play
Noh play	<b>能楽<b> <br> のうがく <br>[sound:k-3726_能楽.mp3]
[sound:k-3726_能楽.mp3]	Noh play<br> <b>能楽</b> <br> (のうがく)
(<b>宿題</b>) 今日の宿題は数学の問題です。	[sound:s-3726_今日の宿題は数学の問題です。.mp3] <br> きょうのしゅくだいはすうがくのもんだいです。 <br> Today's homework is a math problem.
[sound:s-3716_朝鮮民主主義人民共和国の首都は平壌です。.mp3]	(<b>朝鮮民主主義人民共和国</b>) 朝鮮民主主義人民共和国の首都は平壌です。<br> ちょうせんみんしゅしゅぎじんみんきょうわこくのしゅとはへいじょうです。 <br>The capital of the Democratic People's Republic of Korea is Pyongyang.	
楽観	[sound:k-3727_楽観.mp3]<br>らっかん <br> optimism
optimism	<b>楽観<b> <br> らっかん <br>[sound:k-3727_楽観.mp3]
[sound:k-3727_楽観.mp3]	optimism<br> <b>楽観</b> <br> (らっかん)
(<b>下</b>) 机の下に何か落ちています。	[sound:s-3727_机の下に何か落ちています。.mp3] <br> つくえのしたになにかおちています。 <br> Something has fallen under the desk.
[sound:s-3717_その課題に取り組む方法を考えましょう。.mp3]	(<b>課題</b>) その課題に取り組む方法を考えましょう。<br> そのかだいにとりくむほうほうをかんがえましょう。 <br>Let's think about how to tackle this issue.	
楽しい	[sound:k-3728_楽しい.mp3]<br>たのしい <br> enjoyable, fun
enjoyable, fun	<b>楽しい<b> <br> たのしい <br>[sound:k-3728_楽しい.mp3]
[sound:k-3728_楽しい.mp3]	enjoyable, fun<br> <b>楽しい</b> <br> (たのしい)
(<b>下げる</b>) その箱を下げてください。	[sound:s-3728_その箱を下げてください。.mp3] <br> そのはこをさげてください。 <br> Please lower that box.
[sound:s-3718_その問題について討論しましょう。.mp3]	(<b>問題</b>) その問題について討論しましょう。<br> そのもんだいについてとうろんしましょう。 <br>Let's discuss the problem.	
楽しむ	[sound:k-3729_楽しむ.mp3]<br>たのしむ <br> to enjoy oneself
to enjoy oneself	<b>楽しむ<b> <br> たのしむ <br>[sound:k-3729_楽しむ.mp3]
[sound:k-3729_楽しむ.mp3]	to enjoy oneself<br> <b>楽しむ</b> <br> (たのしむ)
(<b>引き下げ</b>) 会議後、賃金引き下げが発表されました。	[sound:s-3729_会議後、賃金引き下げが発表されました。.mp3] <br> かいぎご、ちんぎんひきさげがはっぴょうされました。 <br> Wage cuts were announced after the meeting.
[sound:s-3719_彼女は常に最新の話題に詳しいです。.mp3]	(<b>話題</b>) 彼女は常に最新の話題に詳しいです。<br> かのじょはつねにさいしんのわだいにくわしいです。 <br>She is always well-informed about the latest topics.	
起訴	[sound:k-3730_起訴.mp3]<br>きそ <br> prosecution, indictment
prosecution, indictment	<b>起訴<b> <br> きそ <br>[sound:k-3730_起訴.mp3]
[sound:k-3730_起訴.mp3]	prosecution, indictment<br> <b>起訴</b> <br> (きそ)
(<b>下り</b>) その山の下りは危険です。	[sound:s-3730_その山の下りは危険です。.mp3] <br> そのやまのくだりはきけんです。 <br> The descent of that mountain is dangerous.
[sound:s-3720_その題は難しすぎます。.mp3]	(<b>題</b>) その題は難しすぎます。<br> そのだいはむずかしすぎます。 <br>That topic is too difficult.	
起こす	[sound:k-3731_起こす.mp3]<br>おこす <br> to raise, to cause, to wake someone
to raise, to cause, to wake someone	<b>起こす<b> <br> おこす <br>[sound:k-3731_起こす.mp3]
[sound:k-3731_起こす.mp3]	to raise, to cause, to wake someone<br> <b>起こす</b> <br> (おこす)
(<b>下院</b>) 彼は下院で政治活動をしています。	[sound:s-3731_彼は下院で政治活動をしています。.mp3] <br> かれはかいんでせいじかつどうをしています。 <br> He is involved in political activities in the lower house.
[sound:s-3721_その計画の問題点を洗い出しましょう。.mp3]	(<b>問題点</b>) その計画の問題点を洗い出しましょう。<br> そのけいかくのもんだいてんをあらいだしましょう。 <br>Let's identify the issues with that plan.	
起用	[sound:k-3732_起用.mp3]<br>きよう <br> appointment (to a position, job, etc.), being used for a role, promotion
appointment (to a position, job, etc.), being used for a role, promotion	<b>起用<b> <br> きよう <br>[sound:k-3732_起用.mp3]
[sound:k-3732_起用.mp3]	appointment<br> <b>to a position, job, etc.), being used for a role, promotion (起用</b> <br> (きよう)
(<b>下車</b>) 次の駅で下車します。	[sound:s-3732_次の駅で下車します。.mp3] <br> つぎのえきでげしゃします。 <br> I will get off at the next station.
[sound:s-3722_今日の会議の議題は何ですか。.mp3]	(<b>議題</b>) 今日の会議の議題は何ですか。<br> きょうのかいぎのぎだいはなんですか。 <br>What is the agenda for today's meeting?	
起こる	[sound:k-3733_起こる.mp3]<br>おこる <br> to occur, to happen
to occur, to happen	<b>起こる<b> <br> おこる <br>[sound:k-3733_起こる.mp3]
[sound:k-3733_起こる.mp3]	to occur, to happen<br> <b>起こる</b> <br> (おこる)
(<b>地下</b>) 地下には地下鉄が通っています。	[sound:s-3733_地下には地下鉄が通っています。.mp3] <br> ちかにはちかてつがとおっています。 <br> There is a subway running underground.
[sound:s-3723_その小説の題材は実際の事件です。.mp3]	(<b>題材</b>) その小説の題材は実際の事件です。<br> そのしょうせつのだいざいはじっさいのじけんです。 <br>The subject matter of that novel is based on a real event.	
提起	[sound:k-3734_提起.mp3]<br>ていき <br> bring suit, file a claim, raise a question
bring suit, file a claim, raise a question	<b>提起<b> <br> ていき <br>[sound:k-3734_提起.mp3]
[sound:k-3734_提起.mp3]	bring suit, file a claim, raise a question<br> <b>提起</b> <br> (ていき)
(<b>低下</b>) その産業の生産量が低下しています。	[sound:s-3734_その産業の生産量が低下しています。.mp3] <br> そのさんぎょうのせいさんりょうがていかしています。 <br> The production of that industry is declining.
[sound:s-3724_人種差別は重要な社会問題です。.mp3]	(<b>社会問題</b>) 人種差別は重要な社会問題です。<br> じんしゅさべつはじゅうようなしゃかいもんだいです。 <br>Racism is a significant social issue.	
躍起	[sound:k-3735_躍起.mp3]<br>やっき <br> desperation, eagerness
desperation, eagerness	<b>躍起<b> <br> やっき <br>[sound:k-3735_躍起.mp3]
[sound:k-3735_躍起.mp3]	desperation, eagerness<br> <b>躍起</b> <br> (やっき)
(<b>以下</b>) 二十歳以下の若者は無料です。	[sound:s-3735_二十歳以下の若者は無料です。.mp3] <br> にじゅっさいいかのわかものはむりょうです。 <br> People under 20 years old are free of charge.
[sound:s-3725_彼の講演の主題は平和でした。.mp3]	(<b>主題</b>) 彼の講演の主題は平和でした。<br> かれのこうえんのしゅだいはへいわでした。 <br>The theme of his lecture was peace.	
決起	[sound:k-3736_決起.mp3]<br>けっき <br> jump to one's feet, stand up against, rising to action
jump to one's feet, stand up against, rising to action	<b>決起<b> <br> けっき <br>[sound:k-3736_決起.mp3]
[sound:k-3736_決起.mp3]	jump to one's feet, stand up against, rising to action<br> <b>決起</b> <br> (けっき)
(<b>殿下</b>) 王様の殿下が宮殿に到着しました。	[sound:s-3736_王様の殿下が宮殿に到着しました。.mp3] <br> おうさまのでんかがきゅうでんにとうちゃくしました。 <br> His Majesty the King arrived at the palace.
[sound:s-3726_今日の宿題は数学の問題です。.mp3]	(<b>宿題</b>) 今日の宿題は数学の問題です。<br> きょうのしゅくだいはすうがくのもんだいです。 <br>Today's homework is a math problem.	
発起人	[sound:k-3737_発起人.mp3]<br>ほっきにん <br> originator, promoter
originator, promoter	<b>発起人<b> <br> ほっきにん <br>[sound:k-3737_発起人.mp3]
[sound:k-3737_発起人.mp3]	originator, promoter<br> <b>発起人</b> <br> (ほっきにん)
(<b>首</b>) 鳥の首が赤いです。	[sound:s-3737_鳥の首が赤いです。.mp3] <br> とりのくびがあかいです。 <br> The bird has a red neck.
[sound:s-3727_机の下に何か落ちています。.mp3]	(<b>下</b>) 机の下に何か落ちています。<br> つくえのしたになにかおちています。 <br>Something has fallen under the desk.	
起草	[sound:k-3738_起草.mp3]<br>きそう <br> drafting, draughting, drawing up a bill
drafting, draughting, drawing up a bill	<b>起草<b> <br> きそう <br>[sound:k-3738_起草.mp3]
[sound:k-3738_起草.mp3]	drafting, draughting, drawing up a bill<br> <b>起草</b> <br> (きそう)
(<b>首相</b>) 彼は新しい首相に選ばれました。	[sound:s-3738_彼は新しい首相に選ばれました。.mp3] <br> かれはあたらしいしゅしょうにえらばれました。 <br> He was elected as the new prime minister.
[sound:s-3728_その箱を下げてください。.mp3]	(<b>下げる</b>) その箱を下げてください。<br> そのはこをさげてください。 <br>Please lower that box.	
不起訴	[sound:k-3739_不起訴.mp3]<br>ふきそ <br> nonprosecution or indictment
nonprosecution or indictment	<b>不起訴<b> <br> ふきそ <br>[sound:k-3739_不起訴.mp3]
[sound:k-3739_不起訴.mp3]	nonprosecution or indictment<br> <b>不起訴</b> <br> (ふきそ)
(<b>首脳</b>) 両国の首脳が会談しました。	[sound:s-3739_両国の首脳が会談しました。.mp3] <br> りょうこくのしゅのうがかいだんしました。 <br> The leaders of both countries held talks.
[sound:s-3729_会議後、賃金引き下げが発表されました。.mp3]	(<b>引き下げ</b>) 会議後、賃金引き下げが発表されました。<br> かいぎご、ちんぎんひきさげがはっぴょうされました。 <br>Wage cuts were announced after the meeting.	
十万	[sound:k-3740_十万.mp3]<br>じゅうまん <br> 100,000, hundred thousand
100,000, hundred thousand	<b>十万<b> <br> じゅうまん <br>[sound:k-3740_十万.mp3]
[sound:k-3740_十万.mp3]	100,000, hundred thousand<br> <b>十万</b> <br> (じゅうまん)
(<b>首都</b>) 東京は日本の首都です。	[sound:s-3740_東京は日本の首都です。.mp3] <br> とうきょうはにほんのしゅとです。 <br> Tokyo is the capital of Japan.
[sound:s-3730_その山の下りは危険です。.mp3]	(<b>下り</b>) その山の下りは危険です。<br> そのやまのくだりはきけんです。 <br>The descent of that mountain is dangerous.	
百万	[sound:k-3741_百万.mp3]<br>ひゃくまん <br> 1,000,000, one million; many
1,000,000, one million; many	<b>百万<b> <br> ひゃくまん <br>[sound:k-3741_百万.mp3]
[sound:k-3741_百万.mp3]	1,000,000, one million; many<br> <b>百万</b> <br> (ひゃくまん)
(<b>党首</b>) 彼はその政党の党首です。	[sound:s-3741_彼はその政党の党首です。.mp3] <br> かれはそのせいとうのとうしゅです。 <br> He is the leader of the political party.
[sound:s-3731_彼は下院で政治活動をしています。.mp3]	(<b>下院</b>) 彼は下院で政治活動をしています。<br> かれはかいんでせいじかつどうをしています。 <br>He is involved in political activities in the lower house.	
万全	[sound:k-3742_万全.mp3]<br>ばんぜん <br> perfection, flawlessness
perfection, flawlessness	<b>万全<b> <br> ばんぜん <br>[sound:k-3742_万全.mp3]
[sound:k-3742_万全.mp3]	perfection, flawlessness<br> <b>万全</b> <br> (ばんぜん)
(<b>首都圏</b>) 東京首都圏は人口が密集しています。	[sound:s-3742_東京首都圏は人口が密集しています。.mp3] <br> とうきょうしゅとけんはじんこうがみっしゅうしています。 <br> The Tokyo metropolitan area has a dense population.
[sound:s-3732_次の駅で下車します。.mp3]	(<b>下車</b>) 次の駅で下車します。<br> つぎのえきでげしゃします。 <br>I will get off at the next station.	
数万	[sound:k-3743_数万.mp3]<br>すうまん <br> tens of thousands
tens of thousands	<b>数万<b> <br> すうまん <br>[sound:k-3743_数万.mp3]
[sound:k-3743_数万.mp3]	tens of thousands<br> <b>数万</b> <br> (すうまん)
(<b>首位</b>) 彼は競技で首位になりました。	[sound:s-3743_彼は競技で首位になりました。.mp3] <br> かれはきょうぎでしゅいになりました。 <br> He took first place in the competition.
[sound:s-3733_地下には地下鉄が通っています。.mp3]	(<b>地下</b>) 地下には地下鉄が通っています。<br> ちかにはちかてつがとおっています。 <br>There is a subway running underground.	
万里	[sound:k-3744_万里.mp3]<br>ばんり <br> thousands of miles
thousands of miles	<b>万里<b> <br> ばんり <br>[sound:k-3744_万里.mp3]
[sound:k-3744_万里.mp3]	thousands of miles<br> <b>万里</b> <br> (ばんり)
(<b>一首</b>) 彼女は一首の詩を読みました。	[sound:s-3744_彼女は一首の詩を読みました。.mp3] <br> かのじょはいっしゅのしをよみました。 <br> She read a poem.
[sound:s-3734_その産業の生産量が低下しています。.mp3]	(<b>低下</b>) その産業の生産量が低下しています。<br> そのさんぎょうのせいさんりょうがていかしています。 <br>The production of that industry is declining.	
万能	[sound:k-3745_万能.mp3]<br>ばんのう, まんのう <br> all-purpose, utility; almighty, omnipotent
all-purpose, utility; almighty, omnipotent	<b>万能<b> <br> ばんのう, まんのう <br>[sound:k-3745_万能.mp3]
[sound:k-3745_万能.mp3]	all-purpose, utility; almighty, omnipotent<br> <b>万能</b> <br> (ばんのう, まんのう)
(<b>元首</b>) 彼はその国の元首です。	[sound:s-3745_彼はその国の元首です。.mp3] <br> かれはそのくにのげんしゅです。 <br> He is the head of state of that country.
[sound:s-3735_二十歳以下の若者は無料です。.mp3]	(<b>以下</b>) 二十歳以下の若者は無料です。<br> にじゅっさいいかのわかものはむりょうです。 <br>People under 20 years old are free of charge.	
万一	[sound:k-3746_万一.mp3]<br>まんいち, まんいつ <br> by some chance, by some possibility, if by any chance, 10,000 to 1 odds
by some chance, by some possibility, if by any chance, 10,000 to 1 odds	<b>万一<b> <br> まんいち, まんいつ <br>[sound:k-3746_万一.mp3]
[sound:k-3746_万一.mp3]	by some chance, by some possibility, if by any chance, 10,000 to 1 odds<br> <b>万一</b> <br> (まんいち, まんいつ)
(<b>首長</b>) その町の首長は市民に人気があります。	[sound:s-3746_その町の首長は市民に人気があります。.mp3] <br> そのまちのしゅちょうはしみんににんきがあります。 <br> The mayor of the town is popular among the citizens.
[sound:s-3736_王様の殿下が宮殿に到着しました。.mp3]	(<b>殿下</b>) 王様の殿下が宮殿に到着しました。<br> おうさまのでんかがきゅうでんにとうちゃくしました。 <br>His Majesty the King arrived at the palace.	
万国	[sound:k-3747_万国.mp3]<br>ばんこく <br> all countries, the whole world, universal, all nations
all countries, the whole world, universal, all nations	<b>万国<b> <br> ばんこく <br>[sound:k-3747_万国.mp3]
[sound:k-3747_万国.mp3]	all countries, the whole world, universal, all nations<br> <b>万国</b> <br> (ばんこく)
(<b>意見</b>) 彼女は意見を述べました。	[sound:s-3747_彼女は意見を述べました。.mp3] <br> かのじょはいけんをのべました。 <br> She expressed her opinion.
[sound:s-3737_鳥の首が赤いです。.mp3]	(<b>首</b>) 鳥の首が赤いです。<br> とりのくびがあかいです。 <br>The bird has a red neck.	
万人	[sound:k-3748_万人.mp3]<br>ばんにん, ばんじん, まんにん <br> all people, everybody; ten thousand people
all people, everybody; ten thousand people	<b>万人<b> <br> ばんにん, ばんじん, まんにん <br>[sound:k-3748_万人.mp3]
[sound:k-3748_万人.mp3]	all people, everybody; ten thousand people<br> <b>万人</b> <br> (ばんにん, ばんじん, まんにん)
(<b>意味</b>) その単語の意味を知りません。	[sound:s-3748_その単語の意味を知りません。.mp3] <br> そのたんごのいみをしりません。 <br> I don't know the meaning of that word.
[sound:s-3738_彼は新しい首相に選ばれました。.mp3]	(<b>首相</b>) 彼は新しい首相に選ばれました。<br> かれはあたらしいしゅしょうにえらばれました。 <br>He was elected as the new prime minister.	
万歳	[sound:k-3749_万歳.mp3]<br>ばんざい, ばんぜい <br> crying "banzai" (or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer), hurrah (hooray, hurray)
crying "banzai" (or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer), hurrah (hooray, hurray)	<b>万歳<b> <br> ばんざい, ばんぜい <br>[sound:k-3749_万歳.mp3]
[sound:k-3749_万歳.mp3]	crying "banzai"<br> <b>or raising one's hands in the banzai gesture); something worthy of celebration; giving up; long time; eternal life (and prosperity); banzai (a celebratory cheer), hurrah (hooray, hurray) (万歳</b> <br> (ばんざい, ばんぜい)
(<b>合意</b>) 両国の間で合意が達成されました。	[sound:s-3749_両国の間で合意が達成されました。.mp3] <br> りょうこくのあいだでごういがたっせいされました。 <br> An agreement was reached between the two countries.
[sound:s-3739_両国の首脳が会談しました。.mp3]	(<b>首脳</b>) 両国の首脳が会談しました。<br> りょうこくのしゅのうがかいだんしました。 <br>The leaders of both countries held talks.	
決着	[sound:k-3750_決着.mp3]<br>けっちゃく <br> conclusion, decision, end, settlement
conclusion, decision, end, settlement	<b>決着<b> <br> けっちゃく <br>[sound:k-3750_決着.mp3]
[sound:k-3750_決着.mp3]	conclusion, decision, end, settlement<br> <b>決着</b> <br> (けっちゃく)
(<b>意向</b>) 彼の意向を尊重します。	[sound:s-3750_彼の意向を尊重します。.mp3] <br> かれのいこうをそんちょうします。 <br> We respect his intentions.
[sound:s-3740_東京は日本の首都です。.mp3]	(<b>首都</b>) 東京は日本の首都です。<br> とうきょうはにほんのしゅとです。 <br>Tokyo is the capital of Japan.	
着実	[sound:k-3751_着実.mp3]<br>ちゃくじつ <br> steady, sound, trustworthy, solid
steady, sound, trustworthy, solid	<b>着実<b> <br> ちゃくじつ <br>[sound:k-3751_着実.mp3]
[sound:k-3751_着実.mp3]	steady, sound, trustworthy, solid<br> <b>着実</b> <br> (ちゃくじつ)
(<b>意思</b>) 彼は自分の意思を通すことができる。	[sound:s-3751_彼は自分の意思を通すことができる。.mp3] <br> かれはじぶんのいしをとおすことができる。 <br> He can assert his will.
[sound:s-3741_彼はその政党の党首です。.mp3]	(<b>党首</b>) 彼はその政党の党首です。<br> かれはそのせいとうのとうしゅです。 <br>He is the leader of the political party.	
落ち着いた	[sound:k-3752_落ち着いた.mp3]<br>おちついた <br> quiet, calm, composed
quiet, calm, composed	<b>落ち着いた<b> <br> おちついた <br>[sound:k-3752_落ち着いた.mp3]
[sound:k-3752_落ち着いた.mp3]	quiet, calm, composed<br> <b>落ち着いた</b> <br> (おちついた)
(<b>意識</b>) 彼は環境問題に対する意識が高い。	[sound:s-3752_彼は環境問題に対する意識が高い。.mp3] <br> かれはかんきょうもんだいにたいするいしきがたかい。 <br> He is highly aware of environmental issues.
[sound:s-3742_東京首都圏は人口が密集しています。.mp3]	(<b>首都圏</b>) 東京首都圏は人口が密集しています。<br> とうきょうしゅとけんはじんこうがみっしゅうしています。 <br>The Tokyo metropolitan area has a dense population.	
癒着	[sound:k-3753_癒着.mp3]<br>ゆちゃく <br> adhesion
adhesion	<b>癒着<b> <br> ゆちゃく <br>[sound:k-3753_癒着.mp3]
[sound:k-3753_癒着.mp3]	adhesion<br> <b>癒着</b> <br> (ゆちゃく)
(<b>意欲</b>) 彼は成功への意欲が強い。	[sound:s-3753_彼は成功への意欲が強い。.mp3] <br> かれはせいこうへのいよくがつよい。 <br> He has a strong desire for success.
[sound:s-3743_彼は競技で首位になりました。.mp3]	(<b>首位</b>) 彼は競技で首位になりました。<br> かれはきょうぎでしゅいになりました。 <br>He took first place in the competition.	
着る	[sound:k-3754_着る.mp3]<br>きる <br> to wear (in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.)
to wear (in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.)	<b>着る<b> <br> きる <br>[sound:k-3754_着る.mp3]
[sound:k-3754_着る.mp3]	to wear<br> <b>in modern Japanese, from the shoulders down), to put on; to bear (guilt, etc.) (着る</b> <br> (きる)
(<b>決意</b>) 彼は新しい挑戦に向けて決意を固めた。	[sound:s-3754_彼は新しい挑戦に向けて決意を固めた。.mp3] <br> かれはあたらしいちょうせんにむけてけついをかためた。 <br> He solidified his determination for a new challenge.
[sound:s-3744_彼女は一首の詩を読みました。.mp3]	(<b>一首</b>) 彼女は一首の詩を読みました。<br> かのじょはいっしゅのしをよみました。 <br>She read a poem.	
着工	[sound:k-3755_着工.mp3]<br>ちゃっこう <br> start of (construction) work
start of (construction) work	<b>着工<b> <br> ちゃっこう <br>[sound:k-3755_着工.mp3]
[sound:k-3755_着工.mp3]	start of<br> <b>construction) work (着工</b> <br> (ちゃっこう)
(<b>意外</b>) 彼女の反応は私にとって意外でした。	[sound:s-3755_彼女の反応は私にとって意外でした。.mp3] <br> かのじょのはんのうはわたしにとっていがいでした。 <br> Her reaction was unexpected to me.
[sound:s-3745_彼はその国の元首です。.mp3]	(<b>元首</b>) 彼はその国の元首です。<br> かれはそのくにのげんしゅです。 <br>He is the head of state of that country.	
着陸	[sound:k-3756_着陸.mp3]<br>ちゃくりく <br> landing, alighting, touch down
landing, alighting, touch down	<b>着陸<b> <br> ちゃくりく <br>[sound:k-3756_着陸.mp3]
[sound:k-3756_着陸.mp3]	landing, alighting, touch down<br> <b>着陸</b> <br> (ちゃくりく)
(<b>意義</b>) この行動には深い意義があります。	[sound:s-3756_この行動には深い意義があります。.mp3] <br> このこうどうにはふかいいぎがあります。 <br> There is profound significance in this action.
[sound:s-3746_その町の首長は市民に人気があります。.mp3]	(<b>首長</b>) その町の首長は市民に人気があります。<br> そのまちのしゅちょうはしみんににんきがあります。 <br>The mayor of the town is popular among the citizens.	
到着	[sound:k-3757_到着.mp3]<br>とうちゃく <br> arrival
arrival	<b>到着<b> <br> とうちゃく <br>[sound:k-3757_到着.mp3]
[sound:k-3757_到着.mp3]	arrival<br> <b>到着</b> <br> (とうちゃく)
(<b>憲法</b>) 国の憲法は国民の権利を保護します。	[sound:s-3757_国の憲法は国民の権利を保護します。.mp3] <br> くにのけんぽうはこくみんのけんりをほごします。 <br> The constitution of the country protects the rights of the citizens.
[sound:s-3747_彼女は意見を述べました。.mp3]	(<b>意見</b>) 彼女は意見を述べました。<br> かのじょはいけんをのべました。 <br>She expressed her opinion.	
着物	[sound:k-3758_着物.mp3]<br>きもの <br> clothing, clothes; kimono (or other trad. Japanese clothing)
clothing, clothes; kimono (or other trad. Japanese clothing)	<b>着物<b> <br> きもの <br>[sound:k-3758_着物.mp3]
[sound:k-3758_着物.mp3]	clothing, clothes; kimono<br> <b>or other trad. Japanese clothing) (着物</b> <br> (きもの)
(<b>方法</b>) この問題にはいくつかの解決方法があります。	[sound:s-3758_この問題にはいくつかの解決方法があります。.mp3] <br> このもんだいにはいくつかのかいけつほうほうがあります。 <br> There are several methods for solving this problem.
[sound:s-3748_その単語の意味を知りません。.mp3]	(<b>意味</b>) その単語の意味を知りません。<br> そのたんごのいみをしりません。 <br>I don't know the meaning of that word.	
下着	[sound:k-3759_下着.mp3]<br>したぎ <br> underwear
underwear	<b>下着<b> <br> したぎ <br>[sound:k-3759_下着.mp3]
[sound:k-3759_下着.mp3]	underwear<br> <b>下着</b> <br> (したぎ)
(<b>法案</b>) 新しい法案が国会で審議されます。	[sound:s-3759_新しい法案が国会で審議されます。.mp3] <br> あたらしいほうあんがこっかいでしんぎされます。 <br> The new bill will be discussed in the parliament.
[sound:s-3749_両国の間で合意が達成されました。.mp3]	(<b>合意</b>) 両国の間で合意が達成されました。<br> りょうこくのあいだでごういがたっせいされました。 <br>An agreement was reached between the two countries.	
乗り	[sound:k-3760_乗り.mp3]<br>のり <br> riding, ride; spread (of paints); (two)-seater; mood (as in to pick up on and join in with someone's mood)
riding, ride; spread (of paints); (two)-seater; mood (as in to pick up on and join in with someone's mood)	<b>乗り<b> <br> のり <br>[sound:k-3760_乗り.mp3]
[sound:k-3760_乗り.mp3]	riding, ride; spread<br> <b>of paints); (two)-seater; mood (as in to pick up on and join in with someone's mood) (乗り</b> <br> (のり)
(<b>法人</b>) その企業は法人格を持っています。	[sound:s-3760_その企業は法人格を持っています。.mp3] <br> そのきぎょうはほうじんかくをもっています。 <br> The company has a legal personality.
[sound:s-3750_彼の意向を尊重します。.mp3]	(<b>意向</b>) 彼の意向を尊重します。<br> かれのいこうをそんちょうします。 <br>We respect his intentions.	
乗用車	[sound:k-3761_乗用車.mp3]<br>じょうようしゃ <br> passenger vehicle, automobile
passenger vehicle, automobile	<b>乗用車<b> <br> じょうようしゃ <br>[sound:k-3761_乗用車.mp3]
[sound:k-3761_乗用車.mp3]	passenger vehicle, automobile<br> <b>乗用車</b> <br> (じょうようしゃ)
(<b>法律</b>) 法律を守ることは重要です。	[sound:s-3761_法律を守ることは重要です。.mp3] <br> ほうりつをまもることはじゅうようです。 <br> It is important to obey the law.
[sound:s-3751_彼は自分の意思を通すことができる。.mp3]	(<b>意思</b>) 彼は自分の意思を通すことができる。<br> かれはじぶんのいしをとおすことができる。 <br>He can assert his will.	
乗客	[sound:k-3762_乗客.mp3]<br>じょうきゃく, じょうかく <br> passenger
passenger	<b>乗客<b> <br> じょうきゃく, じょうかく <br>[sound:k-3762_乗客.mp3]
[sound:k-3762_乗客.mp3]	passenger<br> <b>乗客</b> <br> (じょうきゃく, じょうかく)
(<b>司法</b>) 司法制度が公平であることが重要です。	[sound:s-3762_司法制度が公平であることが重要です。.mp3] <br> しほうせいどがこうへいであることがじゅうようです。 <br> It is important for the judicial system to be fair.
[sound:s-3752_彼は環境問題に対する意識が高い。.mp3]	(<b>意識</b>) 彼は環境問題に対する意識が高い。<br> かれはかんきょうもんだいにたいするいしきがたかい。 <br>He is highly aware of environmental issues.	
乗せる	[sound:k-3763_乗せる.mp3]<br>のせる <br> to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)
to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)	<b>乗せる<b> <br> のせる <br>[sound:k-3763_乗せる.mp3]
[sound:k-3763_乗せる.mp3]	to place on<br> <b>something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad) (乗せる</b> <br> (のせる)
(<b>手法</b>) その詐欺師の手法は巧妙です。	[sound:s-3763_その詐欺師の手法は巧妙です。.mp3] <br> そのさぎしのしゅほうはこうみょうです。 <br> The fraudster's methods are cunning.
[sound:s-3753_彼は成功への意欲が強い。.mp3]	(<b>意欲</b>) 彼は成功への意欲が強い。<br> かれはせいこうへのいよくがつよい。 <br>He has a strong desire for success.	
乗員	[sound:k-3764_乗員.mp3]<br>じょういん <br> crew
crew	<b>乗員<b> <br> じょういん <br>[sound:k-3764_乗員.mp3]
[sound:k-3764_乗員.mp3]	crew<br> <b>乗員</b> <br> (じょういん)
(<b>法廷</b>) 裁判は法廷で行われます。	[sound:s-3764_裁判は法廷で行われます。.mp3] <br> さいばんはほうていでおこなわれます。 <br> Trials are held in the courtroom.
[sound:s-3754_彼は新しい挑戦に向けて決意を固めた。.mp3]	(<b>決意</b>) 彼は新しい挑戦に向けて決意を固めた。<br> かれはあたらしいちょうせんにむけてけついをかためた。 <br>He solidified his determination for a new challenge.	
乗組員	[sound:k-3765_乗組員.mp3]<br>のりくみいん <br> crew
crew	<b>乗組員<b> <br> のりくみいん <br>[sound:k-3765_乗組員.mp3]
[sound:k-3765_乗組員.mp3]	crew<br> <b>乗組員</b> <br> (のりくみいん)
(<b>法的</b>) その問題は法的な解決を要します。	[sound:s-3765_その問題は法的な解決を要します。.mp3] <br> そのもんだいはほうてきなかいけつをいします。 <br> The issue requires a legal solution.
[sound:s-3755_彼女の反応は私にとって意外でした。.mp3]	(<b>意外</b>) 彼女の反応は私にとって意外でした。<br> かのじょのはんのうはわたしにとっていがいでした。 <br>Her reaction was unexpected to me.	
相乗り	[sound:k-3766_相乗り.mp3]<br>あいのり <br> riding together
riding together	<b>相乗り<b> <br> あいのり <br>[sound:k-3766_相乗り.mp3]
[sound:k-3766_相乗り.mp3]	riding together<br> <b>相乗り</b> <br> (あいのり)
(<b>立法</b>) 国会は法律を制定する権限があります。	[sound:s-3766_国会は法律を制定する権限があります。.mp3] <br> こっかいはほうりつをせいていするけんげんがあります。 <br> The parliament has the authority to enact laws.
