[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
[sound:s-0351_山の頂上に登るのが好きです。.mp3]	<b>山</b> <br> 山の頂上に登るのが好きです。<br> やまのちょうじょうにのぼるのがすきです <br>I like climbing to the top of mountains.
部長	[sound:k-0352_部長.mp3]<br>ぶちょう <br> head (chief, director) of a section or department; head of a (school) club, head of a (school) team
head (chief, director) of a section or department; head of a (school) club, head of a (school) team	<b>部長<b> <br> ぶちょう <br>[sound:k-0352_部長.mp3]
[sound:k-0352_部長.mp3]	head<br> <b>chief, director) of a section or department; head of a (school) club, head of a (school) team (部長</b> <br> (ぶちょう)
<b>火山</b> <br> その国には活火山が多いです。	[sound:s-0352_その国には活火山が多いです。.mp3] <br> そのくににはかっかざんがおおいです。 <br>There are many active volcanoes in that country.
[sound:s-0352_その国には活火山が多いです。.mp3]	<b>火山</b> <br> その国には活火山が多いです。<br> そのくににはかっかざんがおおいです <br>There are many active volcanoes in that country.
部分	[sound:k-0353_部分.mp3]<br>ぶぶん <br> portion, section, part
portion, section, part	<b>部分<b> <br> ぶぶん <br>[sound:k-0353_部分.mp3]
[sound:k-0353_部分.mp3]	portion, section, part<br> <b>部分</b> <br> (ぶぶん)
<b>青山</b> <br> 青山公園は美しい景色が広がっています。	[sound:s-0353_青山公園は美しい景色が広がっています。.mp3] <br> あおやまこうえんはうつくしいけしきがひろがっています。 <br>Aoyama Park offers beautiful scenery.
[sound:s-0353_青山公園は美しい景色が広がっています。.mp3]	<b>青山</b> <br> 青山公園は美しい景色が広がっています。<br> あおやまこうえんはうつくしいけしきがひろがっています <br>Aoyama Park offers beautiful scenery.
部門	[sound:k-0354_部門.mp3]<br>ぶもん <br> class, group, category, department, field, branch
class, group, category, department, field, branch	<b>部門<b> <br> ぶもん <br>[sound:k-0354_部門.mp3]
[sound:k-0354_部門.mp3]	class, group, category, department, field, branch<br> <b>部門</b> <br> (ぶもん)
<b>山形</b> <br> 山形県は四季折々の美しい風景が広がっています。	[sound:s-0354_山形県は四季折々の美しい風景が広がっています。.mp3] <br> やまがたけんはしきおりおりのうつくしいふうけいがひろがっています。 <br>Yamagata Prefecture offers beautiful landscapes throughout the four seasons.
[sound:s-0354_山形県は四季折々の美しい風景が広がっています。.mp3]	<b>山形</b> <br> 山形県は四季折々の美しい風景が広がっています。<br> やまがたけんはしきおりおりのうつくしいふうけいがひろがっています <br>Yamagata Prefecture offers beautiful landscapes throughout the four seasons.
本部	[sound:k-0355_本部.mp3]<br>ほんぶ <br> headquarters
headquarters	<b>本部<b> <br> ほんぶ <br>[sound:k-0355_本部.mp3]
[sound:k-0355_本部.mp3]	headquarters<br> <b>本部</b> <br> (ほんぶ)
<b>登山</b> <br> 彼は毎年、富士山に登山します。	[sound:s-0355_彼は毎年、富士山に登山します。.mp3] <br> かれはまいねん、ふじさんにとざんします。 <br>He climbs Mount Fuji every year.
[sound:s-0355_彼は毎年、富士山に登山します。.mp3]	<b>登山</b> <br> 彼は毎年、富士山に登山します。<br> かれはまいねん、ふじさんにとざんします <br>He climbs Mount Fuji every year.
学部	[sound:k-0356_学部.mp3]<br>がくぶ <br> department of a university; undergraduate (course, program, etc.)
department of a university; undergraduate (course, program, etc.)	<b>学部<b> <br> がくぶ <br>[sound:k-0356_学部.mp3]
[sound:k-0356_学部.mp3]	department of a university; undergraduate<br> <b>course, program, etc.) (学部</b> <br> (がくぶ)
<b>山岳</b> <br> 山岳地帯での登山には十分な準備が必要です。	[sound:s-0356_山岳地帯での登山には十分な準備が必要です。.mp3] <br> さんがくちたいでのとざんにはじゅうぶんなじゅんびがひつようです。 <br>Adequate preparation is necessary for mountain climbing in mountainous regions.
[sound:s-0356_山岳地帯での登山には十分な準備が必要です。.mp3]	<b>山岳</b> <br> 山岳地帯での登山には十分な準備が必要です。<br> さんがくちたいでのとざんにはじゅうぶんなじゅんびがひつようです <br>Adequate preparation is necessary for mountain climbing in mountainous regions.
内部	[sound:k-0357_内部.mp3]<br>ないぶ <br> interior, inside, internal
interior, inside, internal	<b>内部<b> <br> ないぶ <br>[sound:k-0357_内部.mp3]
[sound:k-0357_内部.mp3]	interior, inside, internal<br> <b>内部</b> <br> (ないぶ)
<b>小山</b> <br> その小さな村の近くに小山があります。	[sound:s-0357_その小さな村の近くに小山があります。.mp3] <br> そのちいさなむらのちかくにこやまがあります。 <br>There is a small hill near the village.
[sound:s-0357_その小さな村の近くに小山があります。.mp3]	<b>小山</b> <br> その小さな村の近くに小山があります。<br> そのちいさなむらのちかくにこやまがあります <br>There is a small hill near the village.
部屋	[sound:k-0358_部屋.mp3]<br>へや <br> room; sumo stable
room; sumo stable	<b>部屋<b> <br> へや <br>[sound:k-0358_部屋.mp3]
[sound:k-0358_部屋.mp3]	room; sumo stable<br> <b>部屋</b> <br> (へや)
<b>富士山</b> <br> 富士山は日本の象徴的な山です。	[sound:s-0358_富士山は日本の象徴的な山です。.mp3] <br> ふじさんはにほんのしょうちょうてきなやまです。 <br>Mount Fuji is a symbolic mountain of Japan.
[sound:s-0358_富士山は日本の象徴的な山です。.mp3]	<b>富士山</b> <br> 富士山は日本の象徴的な山です。<br> ふじさんはにほんのしょうちょうてきなやまです <br>Mount Fuji is a symbolic mountain of Japan.
部隊	[sound:k-0359_部隊.mp3]<br>ぶたい <br> force, unit, corps, echelon, element
force, unit, corps, echelon, element	<b>部隊<b> <br> ぶたい <br>[sound:k-0359_部隊.mp3]
[sound:k-0359_部隊.mp3]	force, unit, corps, echelon, element<br> <b>部隊</b> <br> (ぶたい)
<b>大山</b> <br> 大山は美しい景色が広がっています。	[sound:s-0359_大山は美しい景色が広がっています。.mp3] <br> おおやまはうつくしいけしきがひろがっています。 <br>Ooyama offers beautiful scenery.
[sound:s-0359_大山は美しい景色が広がっています。.mp3]	<b>大山</b> <br> 大山は美しい景色が広がっています。<br> おおやまはうつくしいけしきがひろがっています <br>Ooyama offers beautiful scenery.
東	[sound:k-0360_東.mp3]<br>ひがし, ひむかし, ひんがし <br> east
east	<b>東<b> <br> ひがし, ひむかし, ひんがし <br>[sound:k-0360_東.mp3]
[sound:k-0360_東.mp3]	east<br> <b>東</b> <br> (ひがし, ひむかし, ひんがし)
<b>山村</b> <br> 山村での生活は自然との調和が大切です。	[sound:s-0360_山村での生活は自然との調和が大切です。.mp3] <br> やまむらでのせいかつはしぜんとのちょうわがたいせつです。 <br>Living in a mountain village requires harmony with nature.
[sound:s-0360_山村での生活は自然との調和が大切です。.mp3]	<b>山村</b> <br> 山村での生活は自然との調和が大切です。<br> やまむらでのせいかつはしぜんとのちょうわがたいせつです <br>Living in a mountain village requires harmony with nature.
東京	[sound:k-0361_東京.mp3]<br>とうきょう <br> Tokyo (current capital of Japan)
Tokyo (current capital of Japan)	<b>東京<b> <br> とうきょう <br>[sound:k-0361_東京.mp3]
[sound:k-0361_東京.mp3]	Tokyo<br> <b>current capital of Japan) (東京</b> <br> (とうきょう)
<b>思わず</b> <br> その景色に感動して思わず涙が出ました。	[sound:s-0361_その景色に感動して思わず涙が出ました。.mp3] <br> そのけしきにかんどうしておもわずなみだがでました。 <br>"Moved by the scenery, tears came involuntarily."
[sound:s-0361_その景色に感動して思わず涙が出ました。.mp3]	<b>思わず</b> <br> その景色に感動して思わず涙が出ました。<br> そのけしきにかんどうしておもわずなみだがでました <br>Moved by the scenery, tears came involuntarily.
中東	[sound:k-0362_中東.mp3]<br>ちゅうとう <br> Middle East
Middle East	<b>中東<b> <br> ちゅうとう <br>[sound:k-0362_中東.mp3]
[sound:k-0362_中東.mp3]	Middle East<br> <b>中東</b> <br> (ちゅうとう)
<b>思い</b> <br> 彼女の優しさに心に温かい思いが湧きました。	[sound:s-0362_彼女の優しさに心に温かい思いが湧きました。.mp3] <br> かのじょのやさしさにこころにあたたかいおもいがわきました。 <br>Her kindness warmed my heart.
[sound:s-0362_彼女の優しさに心に温かい思いが湧きました。.mp3]	<b>思い</b> <br> 彼女の優しさに心に温かい思いが湧きました。<br> かのじょのやさしさにこころにあたたかいおもいがわきました <br>Her kindness warmed my heart.
東海	[sound:k-0363_東海.mp3]<br>とうかい <br> region south of Tokyo on Pacific Ocean side of Japan, eastern sea
region south of Tokyo on Pacific Ocean side of Japan, eastern sea	<b>東海<b> <br> とうかい <br>[sound:k-0363_東海.mp3]
[sound:k-0363_東海.mp3]	region south of Tokyo on Pacific Ocean side of Japan, eastern sea<br> <b>東海</b> <br> (とうかい)
<b>思う</b> <br> 彼は自分の未来について真剣に考えています。	[sound:s-0363_彼は自分の未来について真剣に考えています。.mp3] <br> かれはじぶんのみらいについてしんけんにかんがえています。 <br>He is seriously thinking about his future.
[sound:s-0363_彼は自分の未来について真剣に考えています。.mp3]	<b>思う</b> <br> 彼は自分の未来について真剣に考えています。<br> かれはじぶんのみらいについてしんけんにかんがえています <br>He is seriously thinking about his future.
東北	[sound:k-0364_東北.mp3]<br>とうほく, ひがしきた <br> north-east; Northern most six prefectures of Honshu
north-east; Northern most six prefectures of Honshu	<b>東北<b> <br> とうほく, ひがしきた <br>[sound:k-0364_東北.mp3]
[sound:k-0364_東北.mp3]	north-east; Northern most six prefectures of Honshu<br> <b>東北</b> <br> (とうほく, ひがしきた)
<b>意思</b> <br> 彼女は自分の意思を貫き通します。	[sound:s-0364_彼女は自分の意思を貫き通します。.mp3] <br> かのじょはじぶんのいしをぬきとおします。 <br>She sticks to her own will.
[sound:s-0364_彼女は自分の意思を貫き通します。.mp3]	<b>意思</b> <br> 彼女は自分の意思を貫き通します。<br> かのじょはじぶんのいしをぬきとおします <br>She sticks to her own will.
東欧	[sound:k-0365_東欧.mp3]<br>とうおう <br> Eastern Europe
Eastern Europe	<b>東欧<b> <br> とうおう <br>[sound:k-0365_東欧.mp3]
[sound:k-0365_東欧.mp3]	Eastern Europe<br> <b>東欧</b> <br> (とうおう)
<b>思想</b> <br> その本は哲学的な思想に基づいています。	[sound:s-0365_その本は哲学的な思想に基づいています。.mp3] <br> そのほんはてつがくてきなしそうにもとづいています。 <br>The book is based on philosophical thoughts.
[sound:s-0365_その本は哲学的な思想に基づいています。.mp3]	<b>思想</b> <br> その本は哲学的な思想に基づいています。<br> そのほんはてつがくてきなしそうにもとづいています <br>The book is based on philosophical thoughts.
東西	[sound:k-0366_東西.mp3]<br>とうざい <br> East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!
East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!	<b>東西<b> <br> とうざい <br>[sound:k-0366_東西.mp3]
[sound:k-0366_東西.mp3]	East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!<br> <b>東西</b> <br> (とうざい)
<b>思惑</b> <br> 彼の行動の裏には何か思惑があるようです。	[sound:s-0366_彼の行動の裏には何か思惑があるようです。.mp3] <br> かれのこうどうのうらにはなにかおもわくがあるようです。 <br>There seems to be some intention behind his actions.
[sound:s-0366_彼の行動の裏には何か思惑があるようです。.mp3]	<b>思惑</b> <br> 彼の行動の裏には何か思惑があるようです。<br> かれのこうどうのうらにはなにかおもわくがあるようです <br>There seems to be some intention behind his actions.
東南	[sound:k-0367_東南.mp3]<br>とうなん, ひがしみなみ <br> south-east
south-east	<b>東南<b> <br> とうなん, ひがしみなみ <br>[sound:k-0367_東南.mp3]
[sound:k-0367_東南.mp3]	south-east<br> <b>東南</b> <br> (とうなん, ひがしみなみ)
<b>思い切って</b> <br> 彼は思い切って辞表を提出した。	[sound:s-0367_彼は思い切って辞表を提出した。.mp3] <br> かれはおもいきってじひょうをていしゅつした。 <br>He plucked up the courage and submitted his resignation.
[sound:s-0367_彼は思い切って辞表を提出した。.mp3]	<b>思い切って</b> <br> 彼は思い切って辞表を提出した。<br> かれはおもいきってじひょうをていしゅつした <br>He plucked up the courage and submitted his resignation.
東芝	[sound:k-0368_東芝.mp3]<br>とうしば <br> Toshiba (company)
Toshiba (company)	<b>東芝<b> <br> とうしば <br>[sound:k-0368_東芝.mp3]
[sound:k-0368_東芝.mp3]	Toshiba<br> <b>company) (東芝</b> <br> (とうしば)
<b>思い出</b> <br> 子供時代の思い出を楽しむことが大切です。	[sound:s-0368_子供時代の思い出を楽しむことが大切です。.mp3] <br> こどもじだいのおもいでをたのしむことがたいせつです。 <br>It's important to cherish childhood memories.
[sound:s-0368_子供時代の思い出を楽しむことが大切です。.mp3]	<b>思い出</b> <br> 子供時代の思い出を楽しむことが大切です。<br> こどもじだいのおもいでをたのしむことがたいせつです <br>It's important to cherish childhood memories.
東洋	[sound:k-0369_東洋.mp3]<br>とうよう <br> Orient
Orient	<b>東洋<b> <br> とうよう <br>[sound:k-0369_東洋.mp3]
[sound:k-0369_東洋.mp3]	Orient<br> <b>東洋</b> <br> (とうよう)
<b>思いやり</b> <br> 彼の思いやりのある言葉に励まされました。	[sound:s-0369_彼の思いやりのある言葉に励まされました。.mp3] <br> かれのおもいやりのあることばにはげまされました。 <br>I was encouraged by his considerate words.
[sound:s-0369_彼の思いやりのある言葉に励まされました。.mp3]	<b>思いやり</b> <br> 彼の思いやりのある言葉に励まされました。<br> かれのおもいやりのあることばにはげまされました <br>I was encouraged by his considerate words.
患者	[sound:k-0370_患者.mp3]<br>かんじゃ <br> (a) patient
(a) patient	<b>患者<b> <br> かんじゃ <br>[sound:k-0370_患者.mp3]
[sound:k-0370_患者.mp3]	(a) patient<br> <b>患者</b> <br> (かんじゃ)
<b>思考</b> <br> 私たちは将来の計画について熟考しなければなりません。	[sound:s-0370_私たちは将来の計画について熟考しなければなりません。.mp3] <br> わたしたちはしょうらいのけいかくについてじゅっこうしなければなりません。 <br>We need to think carefully about our future plans.
[sound:s-0370_私たちは将来の計画について熟考しなければなりません。.mp3]	<b>思考</b> <br> 私たちは将来の計画について熟考しなければなりません。<br> わたしたちはしょうらいのけいかくについてじゅっこうしなければなりません <br>We need to think carefully about our future plans.
関係者	[sound:k-0371_関係者.mp3]<br>かんけいしゃ <br> authorized people, authorised people, person(s) concerned
authorized people, authorised people, person(s) concerned	<b>関係者<b> <br> かんけいしゃ <br>[sound:k-0371_関係者.mp3]
[sound:k-0371_関係者.mp3]	authorized people, authorised people, person(s) concerned<br> <b>関係者</b> <br> (かんけいしゃ)
<b>家族</b> <br> 彼は大家族で育ちました。	[sound:s-0371_彼は大家族で育ちました。.mp3] <br> かれはだいかぞくでそだちました。 <br>He grew up in a large family.
[sound:s-0371_彼は大家族で育ちました。.mp3]	<b>家族</b> <br> 彼は大家族で育ちました。<br> かれはだいかぞくでそだちました <br>He grew up in a large family.
記者	[sound:k-0372_記者.mp3]<br>きしゃ <br> reporter
reporter	<b>記者<b> <br> きしゃ <br>[sound:k-0372_記者.mp3]
[sound:k-0372_記者.mp3]	reporter<br> <b>記者</b> <br> (きしゃ)
<b>家庭</b> <br> 彼女は家庭的な雰囲気を大切にしています。	[sound:s-0372_彼女は家庭的な雰囲気を大切にしています。.mp3] <br> かのじょはかていてきなふんいきをたいせつにしています。 <br>She values a homely atmosphere.
[sound:s-0372_彼女は家庭的な雰囲気を大切にしています。.mp3]	<b>家庭</b> <br> 彼女は家庭的な雰囲気を大切にしています。<br> かのじょはかていてきなふんいきをたいせつにしています <br>She values a homely atmosphere.
業者	[sound:k-0373_業者.mp3]<br>ぎょうしゃ <br> trader, merchant
trader, merchant	<b>業者<b> <br> ぎょうしゃ <br>[sound:k-0373_業者.mp3]
[sound:k-0373_業者.mp3]	trader, merchant<br> <b>業者</b> <br> (ぎょうしゃ)
<b>国家</b> <br> 彼は国家の安全を守るために尽力しています。	[sound:s-0373_彼は国家の安全を守るために尽力しています。.mp3] <br> かれはこっかのあんぜんをまもるためにじんりょくしています。 <br>He is working hard to protect the security of the nation.
[sound:s-0373_彼は国家の安全を守るために尽力しています。.mp3]	<b>国家</b> <br> 彼は国家の安全を守るために尽力しています。<br> かれはこっかのあんぜんをまもるためにじんりょくしています <br>He is working hard to protect the security of the nation.
容疑者	[sound:k-0374_容疑者.mp3]<br>ようぎしゃ <br> suspect (person)
suspect (person)	<b>容疑者<b> <br> ようぎしゃ <br>[sound:k-0374_容疑者.mp3]
[sound:k-0374_容疑者.mp3]	suspect<br> <b>person) (容疑者</b> <br> (ようぎしゃ)
<b>政治家</b> <br> 彼は有名な政治家です。	[sound:s-0374_彼は有名な政治家です。.mp3] <br> かれはゆうめいなせいじかです。 <br>He is a famous politician.
[sound:s-0374_彼は有名な政治家です。.mp3]	<b>政治家</b> <br> 彼は有名な政治家です。<br> かれはゆうめいなせいじかです <br>He is a famous politician.
若者	[sound:k-0375_若者.mp3]<br>わかもの <br> young man, youth, lad
young man, youth, lad	<b>若者<b> <br> わかもの <br>[sound:k-0375_若者.mp3]
[sound:k-0375_若者.mp3]	young man, youth, lad<br> <b>若者</b> <br> (わかもの)
<b>作家</b> <br> 彼は有名な作家で、多くの小説を書いています。	[sound:s-0375_彼は有名な作家で、多くの小説を書いています。.mp3] <br> かれはゆうめいなさっかで、おおくのしょうせつをかいています。 <br>He is a famous writer who has written many novels.
[sound:s-0375_彼は有名な作家で、多くの小説を書いています。.mp3]	<b>作家</b> <br> 彼は有名な作家で、多くの小説を書いています。<br> かれはゆうめいなさっかで、おおくのしょうせつをかいています <br>He is a famous writer who has written many novels.
消費者	[sound:k-0376_消費者.mp3]<br>しょうひしゃ <br> consumer
consumer	<b>消費者<b> <br> しょうひしゃ <br>[sound:k-0376_消費者.mp3]
[sound:k-0376_消費者.mp3]	consumer<br> <b>消費者</b> <br> (しょうひしゃ)
<b>専門家</b> <br> この問題に対処するために専門家の助言が必要です。	[sound:s-0376_この問題に対処するために専門家の助言が必要です。.mp3] <br> このもんだいにたいしょするためにせんもんかのじょげんがひつようです。 <br>Expert advice is needed to address this issue.
[sound:s-0376_この問題に対処するために専門家の助言が必要です。.mp3]	<b>専門家</b> <br> この問題に対処するために専門家の助言が必要です。<br> このもんだいにたいしょするためにせんもんかのじょげんがひつようです <br>Expert advice is needed to address this issue.
労働者	[sound:k-0377_労働者.mp3]<br>ろうどうしゃ <br> laborer (labourer), blue-collar worker
laborer (labourer), blue-collar worker	<b>労働者<b> <br> ろうどうしゃ <br>[sound:k-0377_労働者.mp3]
[sound:k-0377_労働者.mp3]	laborer<br> <b>labourer), blue-collar worker (労働者</b> <br> (ろうどうしゃ)
<b>農家</b> <br> その町は農家が多いです。	[sound:s-0377_その町は農家が多いです。.mp3] <br> そのまちはのうかがおおいです。 <br>There are many farmers in that town.
[sound:s-0377_その町は農家が多いです。.mp3]	<b>農家</b> <br> その町は農家が多いです。<br> そのまちはのうかがおおいです <br>There are many farmers in that town.
学者	[sound:k-0378_学者.mp3]<br>がくしゃ <br> scholar
scholar	<b>学者<b> <br> がくしゃ <br>[sound:k-0378_学者.mp3]
[sound:k-0378_学者.mp3]	scholar<br> <b>学者</b> <br> (がくしゃ)
<b>評論家</b> <br> 彼は映画評論家として有名です。	[sound:s-0378_彼は映画評論家として有名です。.mp3] <br> かれはえいがひょうろんかとしてゆうめいです。 <br>He is famous as a movie critic.
[sound:s-0378_彼は映画評論家として有名です。.mp3]	<b>評論家</b> <br> 彼は映画評論家として有名です。<br> かれはえいがひょうろんかとしてゆうめいです <br>He is famous as a movie critic.
経営者	[sound:k-0379_経営者.mp3]<br>けいえいしゃ <br> manager, proprietor
manager, proprietor	<b>経営者<b> <br> けいえいしゃ <br>[sound:k-0379_経営者.mp3]
[sound:k-0379_経営者.mp3]	manager, proprietor<br> <b>経営者</b> <br> (けいえいしゃ)
<b>一家</b> <br> 彼は一家の大黒柱です。	[sound:s-0379_彼は一家の大黒柱です。.mp3] <br> かれはいっかのだいこくちゅうです。 <br>He is the mainstay of the family.
[sound:s-0379_彼は一家の大黒柱です。.mp3]	<b>一家</b> <br> 彼は一家の大黒柱です。<br> かれはいっかのだいこくちゅうです <br>He is the mainstay of the family.
党	[sound:k-0380_党.mp3]<br>とう <br> party (political); faction, -ite
party (political); faction, -ite	<b>党<b> <br> とう <br>[sound:k-0380_党.mp3]
[sound:k-0380_党.mp3]	party<br> <b>political); faction, -ite (党</b> <br> (とう)
<b>家電</b> <br> 新しい家電製品を買いました。	[sound:s-0380_新しい家電製品を買いました。.mp3] <br> あたらしいかでんせいひんをかいました。 <br>I bought a new home appliance.
[sound:s-0380_新しい家電製品を買いました。.mp3]	<b>家電</b> <br> 新しい家電製品を買いました。<br> あたらしいかでんせいひんをかいました <br>I bought a new home appliance.
共産党	[sound:k-0381_共産党.mp3]<br>きょうさんとう <br> Communist Party
Communist Party	<b>共産党<b> <br> きょうさんとう <br>[sound:k-0381_共産党.mp3]
[sound:k-0381_共産党.mp3]	Communist Party<br> <b>共産党</b> <br> (きょうさんとう)
<b>話</b> <br> 今日は面白い話がたくさん聞けました。	[sound:s-0381_今日は面白い話がたくさん聞けました。.mp3] <br> きょうはおもしろいはなしがたくさんきけました。 <br>I heard many interesting stories today.
[sound:s-0381_今日は面白い話がたくさん聞けました。.mp3]	<b>話</b> <br> 今日は面白い話がたくさん聞けました。<br> きょうはおもしろいはなしがたくさんきけました <br>I heard many interesting stories today.
社会党	[sound:k-0382_社会党.mp3]<br>しゃかいとう <br> Socialist Party
Socialist Party	<b>社会党<b> <br> しゃかいとう <br>[sound:k-0382_社会党.mp3]
[sound:k-0382_社会党.mp3]	Socialist Party<br> <b>社会党</b> <br> (しゃかいとう)
<b>電話</b> <br> 彼から電話がかかってきました。	[sound:s-0382_彼から電話がかかってきました。.mp3] <br> かれからでんわがかってきました。 <br>I received a phone call from him.
[sound:s-0382_彼から電話がかかってきました。.mp3]	<b>電話</b> <br> 彼から電話がかかってきました。<br> かれからでんわがかってきました <br>I received a phone call from him.
新党	[sound:k-0383_新党.mp3]<br>しんとう <br> new (political) party
new (political) party	<b>新党<b> <br> しんとう <br>[sound:k-0383_新党.mp3]
[sound:k-0383_新党.mp3]	new<br> <b>political) party (新党</b> <br> (しんとう)
<b>対話</b> <br> 対話を通じて問題を解決しましょう。	[sound:s-0383_対話を通じて問題を解決しましょう。.mp3] <br> たいわをつうじてもんだいをかいけつしましょう。 <br>Let's solve the problem through dialogue.
[sound:s-0383_対話を通じて問題を解決しましょう。.mp3]	<b>対話</b> <br> 対話を通じて問題を解決しましょう。<br> たいわをつうじてもんだいをかいけつしましょう <br>Let's solve the problem through dialogue.
政党	[sound:k-0384_政党.mp3]<br>せいとう <br> (member of) political party
(member of) political party	<b>政党<b> <br> せいとう <br>[sound:k-0384_政党.mp3]
[sound:k-0384_政党.mp3]	(member of) political party<br> <b>政党</b> <br> (せいとう)
<b>話題</b> <br> 最近のニュースが話題になっています。	[sound:s-0384_最近のニュースが話題になっています。.mp3] <br> さいきんのにゅーすがわだいになっています。 <br>Recent news has become a topic of conversation.
[sound:s-0384_最近のニュースが話題になっています。.mp3]	<b>話題</b> <br> 最近のニュースが話題になっています。<br> さいきんのにゅーすがわだいになっています <br>Recent news has become a topic of conversation.
野党	[sound:k-0385_野党.mp3]<br>やとう <br> opposition party, political opposition, opposition
opposition party, political opposition, opposition	<b>野党<b> <br> やとう <br>[sound:k-0385_野党.mp3]
[sound:k-0385_野党.mp3]	opposition party, political opposition, opposition<br> <b>野党</b> <br> (やとう)
<b>話し合い</b> <br> 二人で話し合って解決しました。	[sound:s-0385_二人で話し合って解決しました。.mp3] <br> ふたりではなしあってかいけつしました。 <br>We resolved it by talking it over together.
[sound:s-0385_二人で話し合って解決しました。.mp3]	<b>話し合い</b> <br> 二人で話し合って解決しました。<br> ふたりではなしあってかいけつしました <br>We resolved it by talking it over together.
与党	[sound:k-0386_与党.mp3]<br>よとう <br> government party, (ruling) party in power, government
government party, (ruling) party in power, government	<b>与党<b> <br> よとう <br>[sound:k-0386_与党.mp3]
[sound:k-0386_与党.mp3]	government party,<br> <b>ruling) party in power, government (与党</b> <br> (よとう)
<b>会話</b> <br> 日本語を使って会話を楽しみましょう。	[sound:s-0386_日本語を使って会話を楽しみましょう。.mp3] <br> にほんごをつかってかいわをたのしみましょう。 <br>Let's enjoy conversation using Japanese.
[sound:s-0386_日本語を使って会話を楽しみましょう。.mp3]	<b>会話</b> <br> 日本語を使って会話を楽しみましょう。<br> にほんごをつかってかいわをたのしみましょう <br>Let's enjoy conversation using Japanese.
自民党	[sound:k-0387_自民党.mp3]<br>じみんとう <br> Liberal Democratic Party, LDP
Liberal Democratic Party, LDP	<b>自民党<b> <br> じみんとう <br>[sound:k-0387_自民党.mp3]
[sound:k-0387_自民党.mp3]	Liberal Democratic Party, LDP<br> <b>自民党</b> <br> (じみんとう)
<b>世話</b> <br> 彼は母親にたくさん世話になっています。	[sound:s-0387_彼は母親にたくさん世話になっています。.mp3] <br> かれはははおやにたくさんせわになっています。 <br>He relies heavily on his mother's care.
[sound:s-0387_彼は母親にたくさん世話になっています。.mp3]	<b>世話</b> <br> 彼は母親にたくさん世話になっています。<br> かれはははおやにたくさんせわになっています <br>He relies heavily on his mother's care.
党首	[sound:k-0388_党首.mp3]<br>とうしゅ <br> party leader
party leader	<b>党首<b> <br> とうしゅ <br>[sound:k-0388_党首.mp3]
[sound:k-0388_党首.mp3]	party leader<br> <b>党首</b> <br> (とうしゅ)
<b>談話</b> <br> 会議の前に簡単な談話がありました。	[sound:s-0388_会議の前に簡単な談話がありました。.mp3] <br> かいぎのまえにかんたんなだんわがありました。 <br>There was a brief conversation before the meeting.
[sound:s-0388_会議の前に簡単な談話がありました。.mp3]	<b>談話</b> <br> 会議の前に簡単な談話がありました。<br> かいぎのまえにかんたんなだんわがありました <br>There was a brief conversation before the meeting.
党内	[sound:k-0389_党内.mp3]<br>とうない <br> party-internal
party-internal	<b>党内<b> <br> とうない <br>[sound:k-0389_党内.mp3]
[sound:k-0389_党内.mp3]	party-internal<br> <b>党内</b> <br> (とうない)
<b>通話</b> <br> スマートフォンで通話ができます。	[sound:s-0389_スマートフォンで通話ができます。.mp3] <br> すまーとふぉんでつうわができます。 <br>You can make phone calls on a smartphone.
[sound:s-0389_スマートフォンで通話ができます。.mp3]	<b>通話</b> <br> スマートフォンで通話ができます。<br> すまーとふぉんでつうわができます <br>You can make phone calls on a smartphone.
地	[sound:k-0390_地.mp3]<br>ち <br> earth, ground, land, soil; place; territory; bottom (of a package, book, etc.)
earth, ground, land, soil; place; territory; bottom (of a package, book, etc.)	<b>地<b> <br> ち <br>[sound:k-0390_地.mp3]
[sound:k-0390_地.mp3]	earth, ground, land, soil; place; territory; bottom<br> <b>of a package, book, etc.) (地</b> <br> (ち)
<b>神話</b> <br> 古代の神話は興味深いです。	[sound:s-0390_古代の神話は興味深いです。.mp3] <br> こだいのしんわはきょうみぶかいです。 <br>Ancient myths are fascinating.
[sound:s-0390_古代の神話は興味深いです。.mp3]	<b>神話</b> <br> 古代の神話は興味深いです。<br> こだいのしんわはきょうみぶかいです <br>Ancient myths are fascinating.
現地	[sound:k-0391_現地.mp3]<br>げんち <br> actual place, local
actual place, local	<b>現地<b> <br> げんち <br>[sound:k-0391_現地.mp3]
[sound:k-0391_現地.mp3]	actual place, local<br> <b>現地</b> <br> (げんち)
<b>世</b> <br> 世の中にはいろいろな人がいます。	[sound:s-0391_世の中にはいろいろな人がいます。.mp3] <br> よのなかにはいろいろなひとがいます。 <br>There are various kinds of people in the world.
[sound:s-0391_世の中にはいろいろな人がいます。.mp3]	<b>世</b> <br> 世の中にはいろいろな人がいます。<br> よのなかにはいろいろなひとがいます <br>There are various kinds of people in the world.
地域	[sound:k-0392_地域.mp3]<br>ちいき <br> area, region
area, region	<b>地域<b> <br> ちいき <br>[sound:k-0392_地域.mp3]
[sound:k-0392_地域.mp3]	area, region<br> <b>地域</b> <br> (ちいき)
