presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
[sound:k-2598_伊勢丹.mp3]	Isetan<br> <b>department store) (伊勢丹</b> <br> (いせたん)
<b>比べ</b> <br> 二つのグラフを比べて、違いを見つけよう。	[sound:s-2598_二つのグラフを比べて、違いを見つけよう。.mp3] <br> ふたつのグラフをくらべて、ちがいをみつけよう。 <br>Let's compare the two graphs and find the differences.
[sound:s-2598_二つのグラフを比べて、違いを見つけよう。.mp3]	<b>比べ</b> <br> 二つのグラフを比べて、違いを見つけよう。<br> ふたつのグラフをくらべて、ちがいをみつけよう <br>Let's compare the two graphs and find the differences.
優勢	[sound:k-2599_優勢.mp3]<br>ゆうせい <br> superiority, superior power, predominance, preponderance
superiority, superior power, predominance, preponderance	<b>優勢<b> <br> ゆうせい <br>[sound:k-2599_優勢.mp3]
[sound:k-2599_優勢.mp3]	superiority, superior power, predominance, preponderance<br> <b>優勢</b> <br> (ゆうせい)
<b>比</b> <br> 数学の授業で比の問題を解いた。	[sound:s-2599_数学の授業で比の問題を解いた。.mp3] <br> すうがくのじゅぎょうでひのもんだいをといた。 <br>Solved problems on ratios in math class.
[sound:s-2599_数学の授業で比の問題を解いた。.mp3]	<b>比</b> <br> 数学の授業で比の問題を解いた。<br> すうがくのじゅぎょうでひのもんだいをといた <br>Solved problems on ratios in math class.
削減	[sound:k-2600_削減.mp3]<br>さくげん <br> cut, reduction, curtailment
cut, reduction, curtailment	<b>削減<b> <br> さくげん <br>[sound:k-2600_削減.mp3]
[sound:k-2600_削減.mp3]	cut, reduction, curtailment<br> <b>削減</b> <br> (さくげん)
<b>比重</b> <br> この問題の解決には時間の比重を考える必要がある。	[sound:s-2600_この問題の解決には時間の比重を考える必要がある。.mp3] <br> このもんだいのかいけつにはじかんのひじゅうをかんがえるひつようがある。 <br>We need to consider the time allocation for solving this problem.
[sound:s-2600_この問題の解決には時間の比重を考える必要がある。.mp3]	<b>比重</b> <br> この問題の解決には時間の比重を考える必要がある。<br> このもんだいのかいけつにはじかんのひじゅうをかんがえるひつようがある <br>We need to consider the time allocation for solving this problem.
減税	[sound:k-2601_減税.mp3]<br>げんぜい <br> tax reduction
tax reduction	<b>減税<b> <br> げんぜい <br>[sound:k-2601_減税.mp3]
[sound:k-2601_減税.mp3]	tax reduction<br> <b>減税</b> <br> (げんぜい)
<b>恵比寿</b> <br> 恵比寿神社で初詣をする。	[sound:s-2601_恵比寿神社で初詣をする。.mp3] <br> えびすじんじゃではつもうでをする。 <br>Visit Ebisu Shrine for New Year's.
[sound:s-2601_恵比寿神社で初詣をする。.mp3]	<b>恵比寿</b> <br> 恵比寿神社で初詣をする。<br> えびすじんじゃではつもうでをする <br>Visit Ebisu Shrine for New Year's.
減少	[sound:k-2602_減少.mp3]<br>げんしょう <br> decrease, reduction, decline
decrease, reduction, decline	<b>減少<b> <br> げんしょう <br>[sound:k-2602_減少.mp3]
[sound:k-2602_減少.mp3]	decrease, reduction, decline<br> <b>減少</b> <br> (げんしょう)
<b>対比</b> <br> 両者の違いを対比して説明する。	[sound:s-2602_両者の違いを対比して説明する。.mp3] <br> りょうしゃのちがいをたいひしてせつめいする。 <br>Explain the differences between the two sides in comparison.
[sound:s-2602_両者の違いを対比して説明する。.mp3]	<b>対比</b> <br> 両者の違いを対比して説明する。<br> りょうしゃのちがいをたいひしてせつめいする <br>Explain the differences between the two sides in comparison.
減益	[sound:k-2603_減益.mp3]<br>げんえき <br> decrease in profits
decrease in profits	<b>減益<b> <br> げんえき <br>[sound:k-2603_減益.mp3]
[sound:k-2603_減益.mp3]	decrease in profits<br> <b>減益</b> <br> (げんえき)
<b>反比例</b> <br> 温度と気圧は反比例の関係にある。	[sound:s-2603_温度と気圧は反比例の関係にある。.mp3] <br> おんどときあつははんぴれいのかんけいにある。 <br>Temperature and pressure are inversely proportional.
[sound:s-2603_温度と気圧は反比例の関係にある。.mp3]	<b>反比例</b> <br> 温度と気圧は反比例の関係にある。<br> おんどときあつははんぴれいのかんけいにある <br>Temperature and pressure are inversely proportional.
減速	[sound:k-2604_減速.mp3]<br>げんそく <br> deceleration
deceleration	<b>減速<b> <br> げんそく <br>[sound:k-2604_減速.mp3]
[sound:k-2604_減速.mp3]	deceleration<br> <b>減速</b> <br> (げんそく)
<b>難</b> <br> その問題は難しそうだ。	[sound:s-2604_その問題は難しそうだ。.mp3] <br> そのもんだいはむずかしそうだ。 <br>That problem looks difficult.
[sound:s-2604_その問題は難しそうだ。.mp3]	<b>難</b> <br> その問題は難しそうだ。<br> そのもんだいはむずかしそうだ <br>That problem looks difficult.
軽減	[sound:k-2605_軽減.mp3]<br>けいげん <br> abatement, reduction
abatement, reduction	<b>軽減<b> <br> けいげん <br>[sound:k-2605_軽減.mp3]
[sound:k-2605_軽減.mp3]	abatement, reduction<br> <b>軽減</b> <br> (けいげん)
<b>難しい</b> <br> この問題は難しいので、時間がかかるかもしれません。	[sound:s-2605_この問題は難しいので、時間がかかるかもしれません。.mp3] <br> このもんだいはむずかしいので、じかんがかかるかもしれません。 <br>"This problem is difficult, so it might take some time."
[sound:s-2605_この問題は難しいので、時間がかかるかもしれません。.mp3]	<b>難しい</b> <br> この問題は難しいので、時間がかかるかもしれません。<br> このもんだいはむずかしいので、じかんがかかるかもしれません <br>This problem is difficult, so it might take some time.
減収	[sound:k-2606_減収.mp3]<br>げんしゅう <br> fall, decrease (in income)
fall, decrease (in income)	<b>減収<b> <br> げんしゅう <br>[sound:k-2606_減収.mp3]
[sound:k-2606_減収.mp3]	fall, decrease<br> <b>in income) (減収</b> <br> (げんしゅう)
<b>難民</b> <br> 戦争で多くの人々が難民になった。	[sound:s-2606_戦争で多くの人々が難民になった。.mp3] <br> せんそうでおおくのひとびとがなんみんになった。 <br>Many people became refugees due to the war.
[sound:s-2606_戦争で多くの人々が難民になった。.mp3]	<b>難民</b> <br> 戦争で多くの人々が難民になった。<br> せんそうでおおくのひとびとがなんみんになった <br>Many people became refugees due to the war.
減反	[sound:k-2607_減反.mp3]<br>げんたん <br> reduction (of crop size), reduction of acreage (under cultivation)
reduction (of crop size), reduction of acreage (under cultivation)	<b>減反<b> <br> げんたん <br>[sound:k-2607_減反.mp3]
[sound:k-2607_減反.mp3]	reduction<br> <b>of crop size), reduction of acreage (under cultivation) (減反</b> <br> (げんたん)
<b>困難</b> <br> そのプロジェクトは多くの困難に直面している。	[sound:s-2607_そのプロジェクトは多くの困難に直面している。.mp3] <br> そのプロジェクトはおおくのこんなんにちょくめんしている。 <br>The project is facing many difficulties.
[sound:s-2607_そのプロジェクトは多くの困難に直面している。.mp3]	<b>困難</b> <br> そのプロジェクトは多くの困難に直面している。<br> そのプロジェクトはおおくのこんなんにちょくめんしている <br>The project is facing many difficulties.
減額	[sound:k-2608_減額.mp3]<br>げんがく <br> reduction, diminution, abatement
reduction, diminution, abatement	<b>減額<b> <br> げんがく <br>[sound:k-2608_減額.mp3]
[sound:k-2608_減額.mp3]	reduction, diminution, abatement<br> <b>減額</b> <br> (げんがく)
<b>避難</b> <br> 自然災害の際には避難する必要がある。	[sound:s-2608_自然災害の際には避難する必要がある。.mp3] <br> しぜんさいがいのさいにはひなんするひつようがある。 <br>It's necessary to evacuate in case of a natural disaster.
[sound:s-2608_自然災害の際には避難する必要がある。.mp3]	<b>避難</b> <br> 自然災害の際には避難する必要がある。<br> しぜんさいがいのさいにはひなんするひつようがある <br>It's necessary to evacuate in case of a natural disaster.
減産	[sound:k-2609_減産.mp3]<br>げんさん <br> reduction in production
reduction in production	<b>減産<b> <br> げんさん <br>[sound:k-2609_減産.mp3]
[sound:k-2609_減産.mp3]	reduction in production<br> <b>減産</b> <br> (げんさん)
<b>非難</b> <br> 彼の行動には多くの非難が集まった。	[sound:s-2609_彼の行動には多くの非難が集まった。.mp3] <br> かれのこうどうにはおおくのひなんがあつまった。 <br>His actions gathered a lot of criticism.
[sound:s-2609_彼の行動には多くの非難が集まった。.mp3]	<b>非難</b> <br> 彼の行動には多くの非難が集まった。<br> かれのこうどうにはおおくのひなんがあつまった <br>His actions gathered a lot of criticism.
台	[sound:k-2610_台.mp3]<br>だい <br> stand, rack, table; support; belt; counter for machines, incl. vehicles; setting (e.g. in jewellery)
stand, rack, table; support; belt; counter for machines, incl. vehicles; setting (e.g. in jewellery)	<b>台<b> <br> だい <br>[sound:k-2610_台.mp3]
[sound:k-2610_台.mp3]	stand, rack, table; support; belt; counter for machines, incl. vehicles; setting<br> <b>e.g. in jewellery) (台</b> <br> (だい)
<b>難色</b> <br> 上司は提案に対して難色を示した。	[sound:s-2610_上司は提案に対して難色を示した。.mp3] <br> じょうしはていあんにたいしてなんしょくをしめした。 <br>The boss showed hesitation towards the proposal.
[sound:s-2610_上司は提案に対して難色を示した。.mp3]	<b>難色</b> <br> 上司は提案に対して難色を示した。<br> じょうしはていあんにたいしてなんしょくをしめした <br>The boss showed hesitation towards the proposal.
台湾	[sound:k-2611_台湾.mp3]<br>たいわん <br> Taiwan
Taiwan	<b>台湾<b> <br> たいわん <br>[sound:k-2611_台湾.mp3]
[sound:k-2611_台湾.mp3]	Taiwan<br> <b>台湾</b> <br> (たいわん)
<b>避難民</b> <br> 戦争により、多くの避難民が生まれた。	[sound:s-2611_戦争により、多くの避難民が生まれた。.mp3] <br> せんそうにより、おおくのひなんみんがうまれた。 <br>Many refugees were born due to the war.
[sound:s-2611_戦争により、多くの避難民が生まれた。.mp3]	<b>避難民</b> <br> 戦争により、多くの避難民が生まれた。<br> せんそうにより、おおくのひなんみんがうまれた <br>Many refugees were born due to the war.
舞台	[sound:k-2612_舞台.mp3]<br>ぶたい <br> stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)
stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)	<b>舞台<b> <br> ぶたい <br>[sound:k-2612_舞台.mp3]
[sound:k-2612_舞台.mp3]	stage<br> <b>theatre, theater); scene or setting (e.g. of novel, play, etc.) (舞台</b> <br> (ぶたい)
<b>難問</b> <br> この数学の問題は本当に難問だ。	[sound:s-2612_この数学の問題は本当に難問だ。.mp3] <br> このすうがくのもんだいはほんとうになんもんだ。 <br>This math problem is really challenging.
[sound:s-2612_この数学の問題は本当に難問だ。.mp3]	<b>難問</b> <br> この数学の問題は本当に難問だ。<br> このすうがくのもんだいはほんとうになんもんだ <br>This math problem is really challenging.
台風	[sound:k-2613_台風.mp3]<br>たいふう <br> typhoon, hurricane
typhoon, hurricane	<b>台風<b> <br> たいふう <br>[sound:k-2613_台風.mp3]
[sound:k-2613_台風.mp3]	typhoon, hurricane<br> <b>台風</b> <br> (たいふう)
<b>難航</b> <br> 交渉は難航している。	[sound:s-2613_交渉は難航している。.mp3] <br> こうしょうはなんこうしている。 <br>Negotiations are difficult.
[sound:s-2613_交渉は難航している。.mp3]	<b>難航</b> <br> 交渉は難航している。<br> こうしょうはなんこうしている <br>Negotiations are difficult.
台所	[sound:k-2614_台所.mp3]<br>だいどころ, だいどこ <br> kitchen
kitchen	<b>台所<b> <br> だいどころ, だいどこ <br>[sound:k-2614_台所.mp3]
[sound:k-2614_台所.mp3]	kitchen<br> <b>台所</b> <br> (だいどころ, だいどこ)
<b>防衛</b> <br> 彼は国の防衛に貢献しています。	[sound:s-2614_彼は国の防衛に貢献しています。.mp3] <br>  かれはくにのぼうえいにこうけんしています。 <br> He is contributing to the defense of the country.
[sound:s-2614_彼は国の防衛に貢献しています。.mp3]	<b>防衛</b> <br> 彼は国の防衛に貢献しています。<br>  かれはくにのぼうえいにこうけんしています <br> He is contributing to the defense of the country.
大台	[sound:k-2615_大台.mp3]<br>おおだい <br> (stock) 100-yen unit, high level (of stock prices)
(stock) 100-yen unit, high level (of stock prices)	<b>大台<b> <br> おおだい <br>[sound:k-2615_大台.mp3]
[sound:k-2615_大台.mp3]	(stock) 100-yen unit, high level<br> <b>of stock prices) (大台</b> <br> (おおだい)
<b>国防</b> <br> 国防政策は重要です。	[sound:s-2615_国防政策は重要です。.mp3] <br>  こくぼうせいさくはじゅうようです。 <br> National defense policy is important.
[sound:s-2615_国防政策は重要です。.mp3]	<b>国防</b> <br> 国防政策は重要です。<br>  こくぼうせいさくはじゅうようです <br> National defense policy is important.
台頭	[sound:k-2616_台頭.mp3]<br>たいとう <br> rise of, appearance of, (in the) forefront, prominence
rise of, appearance of, (in the) forefront, prominence	<b>台頭<b> <br> たいとう <br>[sound:k-2616_台頭.mp3]
[sound:k-2616_台頭.mp3]	rise of, appearance of,<br> <b>in the) forefront, prominence (台頭</b> <br> (たいとう)
<b>防止</b> <br> 予防は病気の拡大を防止します。	[sound:s-2616_予防は病気の拡大を防止します。.mp3] <br>  よぼうはびょうきのかくだいをぼうしさします。 <br> Prevention prevents the spread of diseases.
[sound:s-2616_予防は病気の拡大を防止します。.mp3]	<b>防止</b> <br> 予防は病気の拡大を防止します。<br>  よぼうはびょうきのかくだいをぼうしさします <br> Prevention prevents the spread of diseases.
台本	[sound:k-2617_台本.mp3]<br>だいほん <br> script, libretto, scenario
script, libretto, scenario	<b>台本<b> <br> だいほん <br>[sound:k-2617_台本.mp3]
[sound:k-2617_台本.mp3]	script, libretto, scenario<br> <b>台本</b> <br> (だいほん)
<b>防衛庁</b> <br> 防衛庁は国の安全を守っています。	[sound:s-2617_防衛庁は国の安全を守っています。.mp3] <br>  ぼうえいちょうはくにのあんぜんをまもっています。 <br> The Defense Agency is protecting the safety of the country.
[sound:s-2617_防衛庁は国の安全を守っています。.mp3]	<b>防衛庁</b> <br> 防衛庁は国の安全を守っています。<br>  ぼうえいちょうはくにのあんぜんをまもっています <br> The Defense Agency is protecting the safety of the country.
土台	[sound:k-2618_土台.mp3]<br>どだい <br> foundation, base, basis
foundation, base, basis	<b>土台<b> <br> どだい <br>[sound:k-2618_土台.mp3]
[sound:k-2618_土台.mp3]	foundation, base, basis<br> <b>土台</b> <br> (どだい)
<b>予防</b> <br> 予防接種は疾病を予防します。	[sound:s-2618_予防接種は疾病を予防します。.mp3] <br>  よぼうせっしゅはしっぺいをよぼうします。 <br> Vaccination prevents diseases.
[sound:s-2618_予防接種は疾病を予防します。.mp3]	<b>予防</b> <br> 予防接種は疾病を予防します。<br>  よぼうせっしゅはしっぺいをよぼうします <br> Vaccination prevents diseases.
屋台	[sound:k-2619_屋台.mp3]<br>やたい <br> cart, esp. food cart; (festival) float
cart, esp. food cart; (festival) float	<b>屋台<b> <br> やたい <br>[sound:k-2619_屋台.mp3]
[sound:k-2619_屋台.mp3]	cart, esp. food cart;<br> <b>festival) float (屋台</b> <br> (やたい)
<b>攻防</b> <br> 野球の試合は攻防が続いています。	[sound:s-2619_野球の試合は攻防が続いています。.mp3] <br>  やきゅうのしあいはこうぼうがつづいています。 <br> The baseball game continues with offense and defense.
[sound:s-2619_野球の試合は攻防が続いています。.mp3]	<b>攻防</b> <br> 野球の試合は攻防が続いています。<br>  やきゅうのしあいはこうぼうがつづいています <br> The baseball game continues with offense and defense.
広い	[sound:k-2620_広い.mp3]<br>ひろい <br> spacious, vast, wide
spacious, vast, wide	<b>広い<b> <br> ひろい <br>[sound:k-2620_広い.mp3]
[sound:k-2620_広い.mp3]	spacious, vast, wide<br> <b>広い</b> <br> (ひろい)
<b>消防</b> <br> 消防士は火災を鎮圧しています。	[sound:s-2620_消防士は火災を鎮圧しています。.mp3] <br>  しょうぼうしはかさいをちんあつしています。 <br> Firefighters are suppressing the fire.
[sound:s-2620_消防士は火災を鎮圧しています。.mp3]	<b>消防</b> <br> 消防士は火災を鎮圧しています。<br>  しょうぼうしはかさいをちんあつしています <br> Firefighters are suppressing the fire.
広がり	[sound:k-2621_広がり.mp3]<br>ひろがり <br> spread, span
spread, span	<b>広がり<b> <br> ひろがり <br>[sound:k-2621_広がり.mp3]
[sound:k-2621_広がり.mp3]	spread, span<br> <b>広がり</b> <br> (ひろがり)
<b>防災</b> <br> 防災対策は地震から人々を守ります。	[sound:s-2621_防災対策は地震から人々を守ります。.mp3] <br>  ぼうさいたいさくはじしんからひとびとをまもります。 <br> Disaster prevention measures protect people from earthquakes.
[sound:s-2621_防災対策は地震から人々を守ります。.mp3]	<b>防災</b> <br> 防災対策は地震から人々を守ります。<br>  ぼうさいたいさくはじしんからひとびとをまもります <br> Disaster prevention measures protect people from earthquakes.
広告	[sound:k-2622_広告.mp3]<br>こうこく <br> advertisement
advertisement	<b>広告<b> <br> こうこく <br>[sound:k-2622_広告.mp3]
[sound:k-2622_広告.mp3]	advertisement<br> <b>広告</b> <br> (こうこく)
<b>防御</b> <br> 防御力が強化されました。	[sound:s-2622_防御力が強化されました。.mp3] <br>  ぼうぎょりょくがきょうかされました。 <br> Defensive power has been reinforced.
[sound:s-2622_防御力が強化されました。.mp3]	<b>防御</b> <br> 防御力が強化されました。<br>  ぼうぎょりょくがきょうかされました <br> Defensive power has been reinforced.
広げる	[sound:k-2623_広げる.mp3]<br>ひろげる <br> to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll
to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll	<b>広げる<b> <br> ひろげる <br>[sound:k-2623_広げる.mp3]
[sound:k-2623_広げる.mp3]	to spread, to extend, to expand, to enlarge, to widen, to broaden, to unfold, to open, to unroll<br> <b>広げる</b> <br> (ひろげる)
<b>防護</b> <br> 警察は市民を防護する役割を果たしています。	[sound:s-2623_警察は市民を防護する役割を果たしています。.mp3] <br> けいさつはしみんをぼうごするやくわりをはたしています。 <br>The police are fulfilling the role of protecting citizens.
[sound:s-2623_警察は市民を防護する役割を果たしています。.mp3]	<b>防護</b> <br> 警察は市民を防護する役割を果たしています。<br> けいさつはしみんをぼうごするやくわりをはたしています <br>The police are fulfilling the role of protecting citizens.
広がった枝	[sound:k-2624_広がった枝.mp3]<br>ひろがったえだ <br> spreading branches
spreading branches	<b>広がった枝<b> <br> ひろがったえだ <br>[sound:k-2624_広がった枝.mp3]
[sound:k-2624_広がった枝.mp3]	spreading branches<br> <b>広がった枝</b> <br> (ひろがったえだ)
<b>候補</b> <br> 彼は新しいリーダーの候補です。	[sound:s-2624_彼は新しいリーダーの候補です。.mp3] <br> かれはあたらしいりーだーのこうほです。 <br>He is a candidate for the new leader.
[sound:s-2624_彼は新しいリーダーの候補です。.mp3]	<b>候補</b> <br> 彼は新しいリーダーの候補です。<br> かれはあたらしいりーだーのこうほです <br>He is a candidate for the new leader.
広さ	[sound:k-2625_広さ.mp3]<br>ひろさ <br> extent
extent	<b>広さ<b> <br> ひろさ <br>[sound:k-2625_広さ.mp3]
[sound:k-2625_広さ.mp3]	extent<br> <b>広さ</b> <br> (ひろさ)
<b>補助</b> <br> 学校で補助教材を使います。	[sound:s-2625_学校で補助教材を使います。.mp3] <br> がっこうでほじょきょうざいをつかいます。 <br>We use supplementary teaching materials at school.
[sound:s-2625_学校で補助教材を使います。.mp3]	<b>補助</b> <br> 学校で補助教材を使います。<br> がっこうでほじょきょうざいをつかいます <br>We use supplementary teaching materials at school.
広報	[sound:k-2626_広報.mp3]<br>こうほう <br> PR, public relations, publicity, information
PR, public relations, publicity, information	<b>広報<b> <br> こうほう <br>[sound:k-2626_広報.mp3]
[sound:k-2626_広報.mp3]	PR, public relations, publicity, information<br> <b>広報</b> <br> (こうほう)
<b>補償</b> <br> 補償金が支払われました。	[sound:s-2626_補償金が支払われました。.mp3] <br> ほしょうきんがしはらわれました。 <br>Compensation money has been paid.
[sound:s-2626_補償金が支払われました。.mp3]	<b>補償</b> <br> 補償金が支払われました。<br> ほしょうきんがしはらわれました <br>Compensation money has been paid.
広場	[sound:k-2627_広場.mp3]<br>ひろば <br> plaza
plaza	<b>広場<b> <br> ひろば <br>[sound:k-2627_広場.mp3]
[sound:k-2627_広場.mp3]	plaza<br> <b>広場</b> <br> (ひろば)
<b>立候補</b> <br> 彼は市長選挙に立候補しました。	[sound:s-2627_彼は市長選挙に立候補しました。.mp3] <br> かれはしちょうせんきょにりっこうほしました。 <br>He ran for mayor in the election.
[sound:s-2627_彼は市長選挙に立候補しました。.mp3]	<b>立候補</b> <br> 彼は市長選挙に立候補しました。<br> かれはしちょうせんきょにりっこうほしました <br>He ran for mayor in the election.
幅広い	[sound:k-2628_幅広い.mp3]<br>はばひろい <br> extensive, wide, broad
extensive, wide, broad	<b>幅広い<b> <br> はばひろい <br>[sound:k-2628_幅広い.mp3]
[sound:k-2628_幅広い.mp3]	extensive, wide, broad<br> <b>幅広い</b> <br> (はばひろい)
<b>補正予算</b> <br> 予算の補正が必要です。	[sound:s-2628_予算の補正が必要です。.mp3] <br> よさんのほせいがひつようです。 <br>Budget adjustment is necessary.
[sound:s-2628_予算の補正が必要です。.mp3]	<b>補正予算</b> <br> 予算の補正が必要です。<br> よさんのほせいがひつようです <br>Budget adjustment is necessary.
広大	[sound:k-2629_広大.mp3]<br>こうだい <br> huge, very large, vast, extensive, magnificent, grand
huge, very large, vast, extensive, magnificent, grand	<b>広大<b> <br> こうだい <br>[sound:k-2629_広大.mp3]
[sound:k-2629_広大.mp3]	huge, very large, vast, extensive, magnificent, grand<br> <b>広大</b> <br> (こうだい)
<b>補佐</b> <br> 彼は上司の補佐をしています。	[sound:s-2629_彼は上司の補佐をしています。.mp3] <br> かれはじょうしのほさをしています。 <br>He is assisting his boss.
[sound:s-2629_彼は上司の補佐をしています。.mp3]	<b>補佐</b> <br> 彼は上司の補佐をしています。<br> かれはじょうしのほさをしています <br>He is assisting his boss.
内容	[sound:k-2630_内容.mp3]<br>ないよう <br> subject, contents, matter, substance, detail, import
subject, contents, matter, substance, detail, import	<b>内容<b> <br> ないよう <br>[sound:k-2630_内容.mp3]
[sound:k-2630_内容.mp3]	subject, contents, matter, substance, detail, import<br> <b>内容</b> <br> (ないよう)
<b>補給</b> <br> 軍隊は補給物資を運んでいます。	[sound:s-2630_軍隊は補給物資を運んでいます。.mp3] <br> ぐんたいはほきゅうぶっしをはこんでいます。 <br>The army is transporting supplies.
[sound:s-2630_軍隊は補給物資を運んでいます。.mp3]	<b>補給</b> <br> 軍隊は補給物資を運んでいます。<br> ぐんたいはほきゅうぶっしをはこんでいます <br>The army is transporting supplies.
容疑者	[sound:k-2631_容疑者.mp3]<br>ようぎしゃ <br> suspect (person)
suspect (person)	<b>容疑者<b> <br> ようぎしゃ <br>[sound:k-2631_容疑者.mp3]
[sound:k-2631_容疑者.mp3]	suspect<br> <b>person) (容疑者</b> <br> (ようぎしゃ)
<b>補強</b> <br> 家の補強工事が行われました。	[sound:s-2631_家の補強工事が行われました。.mp3] <br> いえのほきょうこうじがおこなわれました。 <br>Reinforcement work on the house was carried out.
[sound:s-2631_家の補強工事が行われました。.mp3]	<b>補強</b> <br> 家の補強工事が行われました。<br> いえのほきょうこうじがおこなわれました <br>Reinforcement work on the house was carried out.
容疑	[sound:k-2632_容疑.mp3]<br>ようぎ <br> suspect, charge
suspect, charge	<b>容疑<b> <br> ようぎ <br>[sound:k-2632_容疑.mp3]
[sound:k-2632_容疑.mp3]	suspect, charge<br> <b>容疑</b> <br> (ようぎ)
<b>補正</b> <br> 彼はテストの補正を行います。	[sound:s-2632_彼はテストの補正を行います。.mp3] <br> かれはてすとのほせいをおこないます。 <br>He conducts corrections on the test.
[sound:s-2632_彼はテストの補正を行います。.mp3]	<b>補正</b> <br> 彼はテストの補正を行います。<br> かれはてすとのほせいをおこないます <br>He conducts corrections on the test.
容易	[sound:k-2633_容易.mp3]<br>ようい <br> easy, simple, plain
easy, simple, plain	<b>容易<b> <br> ようい <br>[sound:k-2633_容易.mp3]
[sound:k-2633_容易.mp3]	easy, simple, plain<br> <b>容易</b> <br> (ようい)
<b>補欠</b> <br> 彼は試合の補欠選手です。	[sound:s-2633_彼は試合の補欠選手です。.mp3] <br> かれはしあいのほけんせんしゅです。 <br>He is a substitute player for the game.
[sound:s-2633_彼は試合の補欠選手です。.mp3]	<b>補欠</b> <br> 彼は試合の補欠選手です。<br> かれはしあいのほけんせんしゅです <br>He is a substitute player for the game.
容認	[sound:k-2634_容認.mp3]<br>ようにん <br> approval
approval	<b>容認<b> <br> ようにん <br>[sound:k-2634_容認.mp3]
[sound:k-2634_容認.mp3]	approval<br> <b>容認</b> <br> (ようにん)
<b>車</b> <br> 彼は新しい車を買いました。	[sound:s-2634_彼は新しい車を買いました。.mp3] <br> かれはあたらしいくるまをかいました。 <br>He bought a new car.
[sound:s-2634_彼は新しい車を買いました。.mp3]	<b>車</b> <br> 彼は新しい車を買いました。<br> かれはあたらしいくるまをかいました <br>He bought a new car.
容器	[sound:k-2635_容器.mp3]<br>ようき <br> container, vessel
container, vessel	<b>容器<b> <br> ようき <br>[sound:k-2635_容器.mp3]
[sound:k-2635_容器.mp3]	container, vessel<br> <b>容器</b> <br> (ようき)
<b>自動車</b> <br> 自動車の安全性が向上しました。	[sound:s-2635_自動車の安全性が向上しました。.mp3] <br> じどうしゃのあんぜんせいがこうじょうしました。 <br>The safety of automobiles has improved.
[sound:s-2635_自動車の安全性が向上しました。.mp3]	<b>自動車</b> <br> 自動車の安全性が向上しました。<br> じどうしゃのあんぜんせいがこうじょうしました <br>The safety of automobiles has improved.
収容	[sound:k-2636_収容.mp3]<br>しゅうよう <br> accommodation, reception, housing; seating; custody; admission; entering (in a dictionary)
accommodation, reception, housing; seating; custody; admission; entering (in a dictionary)	<b>収容<b> <br> しゅうよう <br>[sound:k-2636_収容.mp3]
[sound:k-2636_収容.mp3]	accommodation, reception, housing; seating; custody; admission; entering<br> <b>in a dictionary) (収容</b> <br> (しゅうよう)
<b>下車</b> <br> 次の駅で下車します。	[sound:s-2636_次の駅で下車します。.mp3] <br> つぎのえきでげしゃします。 <br>I will get off at the next station.
[sound:s-2636_次の駅で下車します。.mp3]	<b>下車</b> <br> 次の駅で下車します。<br> つぎのえきでげしゃします <br>I will get off at the next station.
収容所	[sound:k-2637_収容所.mp3]<br>しゅうようじょ <br> home, asylum, camp
home, asylum, camp	<b>収容所<b> <br> しゅうようじょ <br>[sound:k-2637_収容所.mp3]
[sound:k-2637_収容所.mp3]	home, asylum, camp<br> <b>収容所</b> <br> (しゅうようじょ)
<b>乗用車</b> <br> 乗用車を運転するのは楽しいです。	[sound:s-2637_乗用車を運転するのは楽しいです。.mp3] <br> じょうようしゃをうんてんするのはたのしいです。 <br>Driving a passenger car is enjoyable.
[sound:s-2637_乗用車を運転するのは楽しいです。.mp3]	<b>乗用車</b> <br> 乗用車を運転するのは楽しいです。<br> じょうようしゃをうんてんするのはたのしいです <br>Driving a passenger car is enjoyable.
全容	[sound:k-2638_全容.mp3]<br>ぜんよう <br> full portrait, whole aspect, full story
full portrait, whole aspect, full story	<b>全容<b> <br> ぜんよう <br>[sound:k-2638_全容.mp3]
[sound:k-2638_全容.mp3]	full portrait, whole aspect, full story<br> <b>全容</b> <br> (ぜんよう)
<b>自転車</b> <br> 彼は自転車で学校に通っています。	[sound:s-2638_彼は自転車で学校に通っています。.mp3] <br> かれはじてんしゃでがっこうにかよっています。 <br>He commutes to school by bicycle.
[sound:s-2638_彼は自転車で学校に通っています。.mp3]	<b>自転車</b> <br> 彼は自転車で学校に通っています。<br> かれはじてんしゃでがっこうにかよっています <br>He commutes to school by bicycle.
容量	[sound:k-2639_容量.mp3]<br>ようりょう <br> capacity, electrical capacitance
capacity, electrical capacitance	<b>容量<b> <br> ようりょう <br>[sound:k-2639_容量.mp3]
[sound:k-2639_容量.mp3]	capacity, electrical capacitance<br> <b>容量</b> <br> (ようりょう)
<b>車両</b> <br> 電車の車両数が増えました。	[sound:s-2639_電車の車両数が増えました。.mp3] <br> でんしゃのしゃりょうすうがふえました。 <br>The number of train cars has increased.
