同日に会議があります。 <br><br> (同日)	<b>どうじつにかいぎがあります。</b> <br> There is a meeting on the same day. <br> [sound:4c-s-同日に会議があります。.mp3]
その事実は明らかです。 <br><br> (明らか)	<b>そのじじつはあきらかです。</b> <br> That fact is clear. <br> [sound:4c-s-その事実は明らかです。.mp3]
政府は公式声明を発表しました。 <br><br> (声明)	<b>せいふはこうしきせいめいをはっぴょうしました。</b> <br> The government issued an official statement. <br> [sound:4c-s-政府は公式声明を発表しました。.mp3]
この問題について説明します。 <br><br> (説明)	<b>このもんだいについてせつめいします。</b> <br> I will explain this issue. <br> [sound:4c-s-この問題について説明します。.mp3]
原因はまだ不明です。 <br><br> (不明)	<b>げんいんはまだふめいです。</b> <br> The cause is still unknown. <br> [sound:4c-s-原因はまだ不明です。.mp3]
彼は実力のある選手です。 <br><br> (実)	<b>かれはじつりょくのあるせんしゅです。</b> <br> He is a skilled athlete. <br> [sound:4c-s-彼は実力のある選手です。.mp3]
実は彼に会ったことがあります。 <br><br> (実は)	<b>じつはかれにあったことがあります。</b> <br> Actually, I have met him before. <br> [sound:4c-s-実は彼に会ったことがあります。.mp3]
実に素晴らしい結果でした。 <br><br> (実に)	<b>じつにすばらしいけっかでした。</b> <br> It was truly a wonderful result. <br> [sound:4c-s-実に素晴らしい結果でした。.mp3]
現実は厳しいことが多いです。 <br><br> (現実)	<b>げんじつはきびしいことがおおいです。</b> <br> Reality is often harsh. <br> [sound:4c-s-現実は厳しいことが多いです。.mp3]
円の形を描いてください。 <br><br> (円)	<b>えんのかたちをかいてください。</b> <br> Please draw a circular shape. <br> [sound:4c-s-円の形を描いてください。.mp3]
最近、円高が進んでいます。 <br><br> (円高)	<b>さいきん、えんだかがすすんでいます。</b> <br> Recently, the yen has been appreciating. <br> [sound:4c-s-最近、円高が進んでいます。.mp3]
円安の影響で輸入品が高くなっています。 <br><br> (円安)	<b>えんやすのえいきょうでゆにゅうひんがたかくなっています。</b> <br> Due to the depreciation of the yen, imported goods are becoming more expensive. <br> [sound:4c-s-円安の影響で輸入品が高くなっています。.mp3]
円相場が急に変動しました。 <br><br> (円相場)	<b>えんそうばがきゅうにへんどうしました。</b> <br> The yen exchange rate fluctuated suddenly. <br> [sound:4c-s-円相場が急に変動しました。.mp3]
この問題は国際関係に関わっています。 <br><br> (関)	<b>このもんだいはこくさいかんけいにかかわっています。</b> <br> This issue is related to international relations. <br> [sound:4c-s-この問題は国際関係に関わっています。.mp3]
日米関係は良好です。 <br><br> (関係)	<b>にちべいかんけいはりょうこうです。</b> <br> Japan-U.S. relations are good. <br> [sound:4c-s-日米関係は良好です。.mp3]
関係者が会議に出席しました。 <br><br> (関係者)	<b>かんけいしゃがかいぎにしゅっせきしました。</b> <br> Stakeholders attended the meeting. <br> [sound:4c-s-関係者が会議に出席しました。.mp3]
環境問題への関心が高まっています。 <br><br> (関心)	<b>かんきょうもんだいへのかんしんがたかまっています。</b> <br> Interest in environmental issues is increasing. <br> [sound:4c-s-環境問題への関心が高まっています。.mp3]
彼は決まって朝にランニングをします。 <br><br> (決まって)	<b>かれはきまってあさにランニングをします。</b> <br> He always goes running in the morning. <br> [sound:4c-s-彼は決まって朝にランニングをします。.mp3]
決して諦めないでください。 <br><br> (決して)	<b>けっしてあきらめないでください。</b> <br> Never give up. <br> [sound:4c-s-決して諦めないでください。.mp3]
問題を早く解決しましょう。 <br><br> (解決)	<b>もんだいをはやくかいけつしましょう。</b> <br> Let's solve the problem quickly. <br> [sound:4c-s-問題を早く解決しましょう。.mp3]
議会は新しい決議を採択しました。 <br><br> (決議)	<b>ぎかいはあたらしいけつぎをさいたくしました。</b> <br> The parliament adopted a new resolution. <br> [sound:4c-s-議会は新しい決議を採択しました。.mp3]
この子はとても元気です。 <br><br> (子)	<b>このこはとてもげんきです。</b> <br> This child is very energetic. <br> [sound:4c-s-この子はとても元気です。.mp3]
子供たちは公園で遊んでいます。 <br><br> (子供)	<b>こどもたちはこうえんであそんでいます。</b> <br> Children are playing in the park. <br> [sound:4c-s-子供たちは公園で遊んでいます。.mp3]
女子サッカーチームが試合に勝ちました。 <br><br> (女子)	<b>じょしサッカーチームがしあいにかちました。</b> <br> The women's soccer team won the match. <br> [sound:4c-s-女子サッカーチームが試合に勝ちました。.mp3]
男子バスケットボールの試合を観戦しました。 <br><br> (男子)	<b>だんしバスケットボールのしあいをかんせんしました。</b> <br> I watched the men's basketball game. <br> [sound:4c-s-男子バスケットボールの試合を観戦しました。.mp3]
彼は素早く動きます。 <br><br> (動)	<b>かれはすばやくうごきます。</b> <br> He moves quickly. <br> [sound:4c-s-彼は素早く動きます。.mp3]
市場の動きが不安定です。 <br><br> (動き)	<b>しじょうのうごきがふあんていです。</b> <br> The market movements are unstable. <br> [sound:4c-s-市場の動きが不安定です。.mp3]
運動をすることは健康に良いです。 <br><br> (運動)	<b>うんどうをすることはけんこうによいです。</b> <br> Exercising is good for health. <br> [sound:4c-s-運動をすることは健康に良いです。.mp3]
ボランティア活動に参加しました。 <br><br> (活動)	<b>ボランティアかつどうにさんかしました。</b> <br> I participated in volunteer activities. <br> [sound:4c-s-ボランティア活動に参加しました。.mp3]
京都は美しい都市です。 <br><br> (京)	<b>きょうとはうつくしいとしです。</b> <br> Kyoto is a beautiful city. <br> [sound:4c-s-京都は美しい都市です。.mp3]
東京は日本の首都です。 <br><br> (東京)	<b>とうきょうはにほんのしゅとです。</b> <br> Tokyo is the capital of Japan. <br> [sound:4c-s-東京は日本の首都です。.mp3]
北京で国際会議が開催されました。 <br><br> (北京)	<b>ぺきんでこくさいかいぎがかいさいされました。</b> <br> An international conference was held in Beijing. <br> [sound:4c-s-北京で国際会議が開催されました。.mp3]
京都には歴史的な寺院があります。 <br><br> (京都)	<b>きょうとにはれきしてきなじいんがあります。</b> <br> Kyoto has historical temples. <br> [sound:4c-s-京都には歴史的な寺院があります。.mp3]
この施設は安全に管理されています。 <br><br> (安全)	<b>このしせつはあんぜんにかんりされています。</b> <br> This facility is managed safely. <br> [sound:4c-s-この施設は安全に管理されています。.mp3]
プロジェクトの全体像を説明しました。 <br><br> (全体)	<b>プロジェクトのぜんたいぞうをせつめいしました。</b> <br> I explained the overall picture of the project. <br> [sound:4c-s-プロジェクトの全体像を説明しました。.mp3]
全国でこの映画が上映されています。 <br><br> (全国)	<b>ぜんこくでこのえいががじょうえいされています。</b> <br> This movie is being shown nationwide. <br> [sound:4c-s-全国でこの映画が上映されています。.mp3]
国の安全保障が重要な課題です。 <br><br> (安全保障)	<b>くにのあんぜんほしょうがじゅうようなかだいです。</b> <br> National security is an important issue. <br> [sound:4c-s-国の安全保障が重要な課題です。.mp3]
このプロジェクトの目的は環境保護です。 <br><br> (目的)	<b>このプロジェクトのもくてきはかんきょうほごです。</b> <br> The purpose of this project is environmental protection. <br> [sound:4c-s-このプロジェクトの目的は環境保護です。.mp3]
彼は目標を達成しました。 <br><br> (目標)	<b>かれはもくひょうをたっせいしました。</b> <br> He achieved his goal. <br> [sound:4c-s-彼は目標を達成しました。.mp3]
彼の才能に注目が集まっています。 <br><br> (注目)	<b>かれのさいのうにちゅうもくがあつまっています。</b> <br> His talent is attracting attention. <br> [sound:4c-s-彼の才能に注目が集まっています。.mp3]
この報告書には重要な項目が含まれています。 <br><br> (項目)	<b>このほうこくしょにはじゅうようなこうもくがふくまれています。</b> <br> This report contains important items. <br> [sound:4c-s-この報告書には重要な項目が含まれています。.mp3]
会議の資料を表にまとめました。 <br><br> (表)	<b>かいぎのしりょうをひょうにまとめました。</b> <br> I summarized the meeting materials in a table. <br> [sound:4c-s-会議の資料を表にまとめました。.mp3]
彼はチームの代表です。 <br><br> (代表)	<b>かれはチームのだいひょうです。</b> <br> He is the representative of the team. <br> [sound:4c-s-彼はチームの代表です。.mp3]
新しい製品が発表されました。 <br><br> (発表)	<b>あたらしいせいひんがはっぴょうされました。</b> <br> A new product was announced. <br> [sound:4c-s-新しい製品が発表されました。.mp3]
彼の表現はとてもユニークです。 <br><br> (表現)	<b>かれのひょうげんはとてもユニークです。</b> <br> His expression is very unique. <br> [sound:4c-s-彼の表現はとてもユニークです。.mp3]
彼らは厳しい戦いを続けています。 <br><br> (戦い)	<b>かれらはきびしいたたかいをつづけています。</b> <br> They continue a tough battle. <br> [sound:4c-s-彼らは厳しい戦いを続けています。.mp3]
戦争の悲惨さを忘れてはいけません。 <br><br> (戦争)	<b>せんそうのひさんさをわすれてはいけません。</b> <br> We must not forget the horrors of war. <br> [sound:4c-s-戦争の悲惨さを忘れてはいけません。.mp3]
戦後、日本は急速に発展しました。 <br><br> (戦後)	<b>せんご、にほんはきゅうそくにはってんしました。</b> <br> After the war, Japan developed rapidly. <br> [sound:4c-s-戦後、日本は急速に発展しました。.mp3]
軍は新しい作戦を準備しています。 <br><br> (作戦)	<b>ぐんはあたらしいさくせんをじゅんびしています。</b> <br> The military is preparing a new operation. <br> [sound:4c-s-軍は新しい作戦を準備しています。.mp3]
彼は長い間、経済の研究を続けています。 <br><br> (経)	<b>かれはながいあいだ、けいざいのけんきゅうをつづけています。</b> <br> He has been researching economics for a long time. <br> [sound:4c-s-彼は長い間、経済の研究を続けています。.mp3]
彼は会社の経営を任されています。 <br><br> (経営)	<b>かれはかいしゃのけいえいをまかされています。</b> <br> He is entrusted with the management of the company. <br> [sound:4c-s-彼は会社の経営を任されています。.mp3]
経済の成長が続いています。 <br><br> (経済)	<b>けいざいのせいちょうがつづいています。</b> <br> Economic growth is continuing. <br> [sound:4c-s-経済の成長が続いています。.mp3]
この仕事で多くの経験を積みました。 <br><br> (経験)	<b>このしごとでおおくのけいけんをつみました。</b> <br> I have gained a lot of experience in this job. <br> [sound:4c-s-この仕事で多くの経験を積みました。.mp3]
この通りには多くの店があります。 <br><br> (通り)	<b>このとおりにはおおくのみせがあります。</b> <br> There are many shops on this street. <br> [sound:4c-s-この通りには多くの店があります。.mp3]
通信技術が急速に進化しています。 <br><br> (通信)	<b>つうしんぎじゅつがきゅうそくにしんかしています。</b> <br> Communication technology is evolving rapidly. <br> [sound:4c-s-通信技術が急速に進化しています。.mp3]
経済の見通しは明るいです。 <br><br> (見通し)	<b>けいざいのみとおしはあかるいです。</b> <br> The economic outlook is bright. <br> [sound:4c-s-経済の見通しは明るいです。.mp3]
私たちには共通の目標があります。 <br><br> (共通)	<b>わたしたちにはきょうつうのもくひょうがあります。</b> <br> We have a common goal. <br> [sound:4c-s-私たちには共通の目標があります。.mp3]
外で遊ぶのが好きです。 <br><br> (外)	<b>そとであそぶのがすきです。</b> <br> I like playing outside. <br> [sound:4c-s-外で遊ぶのが好きです。.mp3]
海外旅行を計画しています。 <br><br> (海外)	<b>かいがいりょこうをけいかくしています。</b> <br> I'm planning an overseas trip. <br> [sound:4c-s-海外旅行を計画しています。.mp3]
外交関係が改善されました。 <br><br> (外交)	<b>がいこうかんけいがかいぜんされました。</b> <br> Diplomatic relations have improved. <br> [sound:4c-s-外交関係が改善されました。.mp3]
外国の文化に興味があります。 <br><br> (外国)	<b>がいこくのぶんかにきょうみがあります。</b> <br> I'm interested in foreign cultures. <br> [sound:4c-s-外国の文化に興味があります。.mp3]
これは最も重要な課題です。 <br><br> (最も)	<b>これはもっともじゅうようなかだいです。</b> <br> This is the most important issue. <br> [sound:4c-s-これは最も重要な課題です。.mp3]
最近、新しい趣味を始めました。 <br><br> (最近)	<b>さいきん、あたらしいしゅみをはじめました。</b> <br> Recently, I started a new hobby. <br> [sound:4c-s-最近、新しい趣味を始めました。.mp3]
最後まで諦めないことが大切です。 <br><br> (最後)	<b>さいごまであきらめないことがたいせつです。</b> <br> It's important to never give up until the end. <br> [sound:4c-s-最後まで諦めないことが大切です。.mp3]
これは最高の経験でした。 <br><br> (最高)	<b>これはさいこうのけいけんでした。</b> <br> This was the best experience. <br> [sound:4c-s-これは最高の経験でした。.mp3]
彼は言わば、リーダーのような存在です。 <br><br> (言わば)	<b>かれはいわば、リーダーのようなそんざいです。</b> <br> He is, so to speak, like a leader. <br> [sound:4c-s-彼は言わば、リーダーのような存在です。.mp3]
彼は正直に言うタイプです。 <br><br> (言う)	<b>かれはしょうじきにいうタイプです。</b> <br> He is the type to speak honestly. <br> [sound:4c-s-彼は正直に言うタイプです。.mp3]
彼の言葉はとても感動的でした。 <br><br> (言)	<b>かれのことばはとてもかんどうてきでした。</b> <br> His words were very moving. <br> [sound:4c-s-彼の言葉はとても感動的でした。.mp3]
彼の言葉に励まされました。 <br><br> (言葉)	<b>かれのことばにはげまされました。</b> <br> I was encouraged by his words. <br> [sound:4c-s-彼の言葉に励まされました。.mp3]
田中氏は会社の代表です。 <br><br> (氏)	<b>たなかしはかいしゃのだいひょうです。</b> <br> Mr. Tanaka is the company representative. <br> [sound:4c-s-田中氏は会社の代表です。.mp3]
申請書に氏名を記入してください。 <br><br> (氏名)	<b>しんせいしょにしめいをきにゅうしてください。</b> <br> Please fill in your name on the application form. <br> [sound:4c-s-申請書に氏名を記入してください。.mp3]
同氏は重要な発言をしました。 <br><br> (同氏)	<b>どうしはじゅうようなはつげんをしました。</b> <br> The same person made an important statement. <br> [sound:4c-s-同氏は重要な発言をしました。.mp3]
両氏は会議に参加しました。 <br><br> (両氏)	<b>りょうしはかいぎにさんかしました。</b> <br> Both individuals attended the meeting. <br> [sound:4c-s-両氏は会議に参加しました。.mp3]
彼は現在、海外で働いています。 <br><br> (現在)	<b>かれはげんざい、かいがいではたらいています。</b> <br> He is currently working abroad. <br> [sound:4c-s-彼は現在、海外で働いています。.mp3]
現実を受け入れることが重要です。 <br><br> (現実)	<b>げんじつをうけいれることがじゅうようです。</b> <br> Accepting reality is important. <br> [sound:4c-s-現実を受け入れることが重要です。.mp3]
現場で問題を解決しました。 <br><br> (現場)	<b>げんばでもんだいをかいけつしました。</b> <br> I solved the problem at the scene. <br> [sound:4c-s-現場で問題を解決しました。.mp3]
現地での調査が行われました。 <br><br> (現地)	<b>げんちでのちょうさがおこなわれました。</b> <br> An investigation was conducted on-site. <br> [sound:4c-s-現地での調査が行われました。.mp3]
物理学を学ぶのが好きです。 <br><br> (理)	<b>ぶつりがくをまなぶのがすきです。</b> <br> I like studying physics. <br> [sound:4c-s-物理学を学ぶのが好きです。.mp3]
彼はプロジェクトの管理を担当しています。 <br><br> (管理)	<b>かれはプロジェクトのかんりをたんとうしています。</b> <br> He is in charge of project management. <br> [sound:4c-s-彼はプロジェクトの管理を担当しています。.mp3]
彼は会社の理事を務めています。 <br><br> (理事)	<b>かれはかいしゃのりじをつとめています。</b> <br> He serves as the company director. <br> [sound:4c-s-彼は会社の理事を務めています。.mp3]
彼が遅れた理由を説明してください。 <br><br> (理由)	<b>かれがおくれたりゆうをせつめいしてください。</b> <br> Please explain the reason why he was late. <br> [sound:4c-s-彼が遅れた理由を説明してください。.mp3]
彼は新しい情報を調べています。 <br><br> (調べ)	<b>かれはあたらしいじょうほうをしらべています。</b> <br> He is looking up new information. <br> [sound:4c-s-彼は新しい情報を調べています。.mp3]
環境問題の調査を実施しました。 <br><br> (調査)	<b>かんきょうもんだいのちょうさをじっししました。</b> <br> I conducted a survey on environmental issues. <br> [sound:4c-s-環境問題の調査を実施しました。.mp3]
計画を調整する必要があります。 <br><br> (調整)	<b>けいかくをちょうせいするひつようがあります。</b> <br> We need to adjust the plan. <br> [sound:4c-s-計画を調整する必要があります。.mp3]
チームは協調して作業を進めました。 <br><br> (協調)	<b>チームはきょうちょうしてさぎょうをすすめました。</b> <br> The team worked together cooperatively. <br> [sound:4c-s-チームは協調して作業を進めました。.mp3]
彼は健康な体を維持しています。 <br><br> (体)	<b>かれはけんこうなからだをいじしています。</b> <br> He maintains a healthy body. <br> [sound:4c-s-彼は健康な体を維持しています。.mp3]
具体的な例を挙げて説明します。 <br><br> (具体的)	<b>ぐたいてきなれいをあげてせつめいします。</b> <br> I will explain with a specific example. <br> [sound:4c-s-具体的な例を挙げて説明します。.mp3]
全体の計画を見直しました。 <br><br> (全体)	<b>ぜんたいのけいかくをみなおしました。</b> <br> I reviewed the overall plan. <br> [sound:4c-s-全体の計画を見直しました。.mp3]
新しい体制が導入されました。 <br><br> (体制)	<b>あたらしいたいせいがどうにゅうされました。</b> <br> A new system has been introduced. <br> [sound:4c-s-新しい体制が導入されました。.mp3]
チームの協力を強化する必要があります。 <br><br> (強化)	<b>チームのきょうりょくをきょうかするひつようがあります。</b> <br> We need to strengthen team cooperation. <br> [sound:4c-s-チームの協力を強化する必要があります。.mp3]
彼は日本文化に興味があります。 <br><br> (文化)	<b>かれはにほんぶんかにきょうみがあります。</b> <br> He is interested in Japanese culture. <br> [sound:4c-s-彼は日本文化に興味があります。.mp3]
市場の変化に対応しなければなりません。 <br><br> (変化)	<b>しじょうのへんかにたいおうしなければなりません。</b> <br> We must respond to market changes. <br> [sound:4c-s-市場の変化に対応しなければなりません。.mp3]
環境問題が悪化しています。 <br><br> (悪化)	<b>かんきょうもんだいがあっかしています。</b> <br> Environmental problems are worsening. <br> [sound:4c-s-環境問題が悪化しています。.mp3]
上田さんは新しいプロジェクトを担当しています。 <br><br> (上田)	<b>うえださんはあたらしいプロジェクトをたんとうしています。</b> <br> Mr. Ueda is in charge of a new project. <br> [sound:4c-s-上田さんは新しいプロジェクトを担当しています。.mp3]
この地域には広い水田があります。 <br><br> (水田)	<b>このちいきにはひろいすいでんがあります。</b> <br> This area has vast rice fields. <br> [sound:4c-s-この地域には広い水田があります。.mp3]
新しい油田が発見されました。 <br><br> (油田)	<b>あたらしいゆでんがはっけんされました。</b> <br> A new oil field has been discovered. <br> [sound:4c-s-新しい油田が発見されました。.mp3]
田舎の生活は静かで快適です。 <br><br> (田舎)	<b>いなかのせいかつはしずかでかいてきです。</b> <br> Rural life is peaceful and comfortable. <br> [sound:4c-s-田舎の生活は静かで快適です。.mp3]
当局が調査を開始しました。 <br><br> (当局)	<b>とうきょくがちょうさをかいししました。</b> <br> The authorities have started an investigation. <br> [sound:4c-s-当局が調査を開始しました。.mp3]
当時の状況は今とは異なります。 <br><br> (当時)	<b>とうじのじょうきょうはいまとはことなります。</b> <br> The situation at that time was different from now. <br> [sound:4c-s-当時の状況は今とは異なります。.mp3]
当初の計画は変更されました。 <br><br> (当初)	<b>とうしょのけいかくはへんこうされました。</b> <br> The original plan was changed. <br> [sound:4c-s-当初の計画は変更されました。.mp3]
彼はこのプロジェクトを担当しています。 <br><br> (担当)	<b>かれはこのプロジェクトをたんとうしています。</b> <br> He is in charge of this project. <br> [sound:4c-s-彼はこのプロジェクトを担当しています。.mp3]
八人が集まりました。 <br><br> (八)	<b>はちにんがあつまりました。</b> <br> Eight people gathered. <br> [sound:4c-s-八人が集まりました。.mp3]
彼は十八歳になりました。 <br><br> (十八)	<b>かれはじゅうはっさいになりました。</b> <br> He turned eighteen years old. <br> [sound:4c-s-彼は十八歳になりました。.mp3]
八月は暑いです。 <br><br> (八月)	<b>はちがつはあついです。</b> <br> August is hot. <br> [sound:4c-s-八月は暑いです。.mp3]
彼のおじいさんは八十歳です。 <br><br> (八十)	<b>かれのおじいさんははちじゅっさいです。</b> <br> His grandfather is eighty years old. <br> [sound:4c-s-彼のおじいさんは八十歳です。.mp3]
六時に起きます。 <br><br> (六)	<b>ろくじにおきます。</b> <br> I wake up at six o'clock. <br> [sound:4c-s-六時に起きます。.mp3]
六月は梅雨の季節です。 <br><br> (六月)	<b>ろくがつはつゆのきせつです。</b> <br> June is the rainy season. <br> [sound:4c-s-六月は梅雨の季節です。.mp3]
彼は六十歳で退職しました。 <br><br> (六十)	<b>かれはろくじゅっさいでたいしょくしました。</b> <br> He retired at sixty years old. <br> [sound:4c-s-彼は六十歳で退職しました。.mp3]
六十四分音符はとても短い音符です。 <br><br> (六十四分音符)	<b>ろくじゅうよんぶおんぷはとてもみじかいおんぷです。</b> <br> A sixty-fourth note is a very short note. <br> [sound:4c-s-六十四分音符はとても短い音符です。.mp3]
新しい契約を結びました。 <br><br> (契約)	<b>あたらしいけいやくをむすびました。</b> <br> I signed a new contract. <br> [sound:4c-s-新しい契約を結びました。.mp3]
その国々は条約を締結しました。 <br><br> (条約)	<b>そのくにぐにはじょうやくをていけつしました。</b> <br> The countries signed a treaty. <br> [sound:4c-s-その国々は条約を締結しました。.mp3]
彼は公約を守りました。 <br><br> (公約)	<b>かれはこうやくをまもりました。</b> <br> He kept his campaign promise. <br> [sound:4c-s-彼は公約を守りました。.mp3]
友達と約束をしました。 <br><br> (約束)	<b>ともだちとやくそくをしました。</b> <br> I made a promise with my friend. <br> [sound:4c-s-友達と約束をしました。.mp3]
この本は主に学生向けです。 <br><br> (主に)	<b>このほんはおもにがくせいむけです。</b> <br> This book is mainly for students. <br> [sound:4c-s-この本は主に学生向けです。.mp3]
喪主が挨拶をしました。 <br><br> (喪主)	<b>もしゅがあいさつをしました。</b> <br> The chief mourner gave a speech. <br> [sound:4c-s-喪主が挨拶をしました。.mp3]
民主主義は重要です。 <br><br> (民主)	<b>みんしゅしゅぎはじゅうようです。</b> <br> Democracy is important. <br> [sound:4c-s-民主主義は重要です。.mp3]
彼は平和主義を支持しています。 <br><br> (主義)	<b>かれはへいわしゅぎをしじしています。</b> <br> He supports pacifism. <br> [sound:4c-s-彼は平和主義を支持しています。.mp3]
課題を解決する必要があります。 <br><br> (課題)	<b>かだいをかいけつするひつようがあります。</b> <br> We need to solve the issue. <br> [sound:4c-s-課題を解決する必要があります。.mp3]
この問題は難しいです。 <br><br> (問題)	<b>このもんだいはむずかしいです。</b> <br> This problem is difficult. <br> [sound:4c-s-この問題は難しいです。.mp3]
その映画は話題になっています。 <br><br> (話題)	<b>そのえいがはわだいになっています。</b> <br> That movie is a hot topic. <br> [sound:4c-s-その映画は話題になっています。.mp3]
この本の題は何ですか？ <br><br> (題)	<b>このほんのだいはなんですか？ </b> <br> What is the title of this book? <br> [sound:4c-s-この本の題は何ですか？.mp3]
机の下に猫がいます。 <br><br> (下)	<b>つくえのしたにねこがいます。</b> <br> There is a cat under the desk. <br> [sound:4c-s-机の下に猫がいます。.mp3]
温度を下げてください。 <br><br> (下げる)	<b>おんどをさげてください。</b> <br> Please lower the temperature. <br> [sound:4c-s-温度を下げてください。.mp3]
税金の引き下げが議論されています。 <br><br> (引き下げ)	<b>ぜいきんのひきさげがぎろんされています。</b> <br> A tax reduction is being discussed. <br> [sound:4c-s-税金の引き下げが議論されています。.mp3]
山を下りるのは危険です。 <br><br> (下り)	<b>やまをおりるのはきけんです。</b> <br> Descending the mountain is dangerous. <br> [sound:4c-s-山を下りるのは危険です。.mp3]
彼は首を痛めました。 <br><br> (首)	<b>かれはくびをいためました。</b> <br> He hurt his neck. <br> [sound:4c-s-彼は首を痛めました。.mp3]
日本の首相が演説しました。 <br><br> (首相)	<b>にほんのしゅしょうがえんぜつしました。</b> <br> The Prime Minister of Japan gave a speech. <br> [sound:4c-s-日本の首相が演説しました。.mp3]
首脳会談が行われました。 <br><br> (首脳)	<b>しゅのうかいだんがおこなわれました。</b> <br> A summit meeting was held. <br> [sound:4c-s-首脳会談が行われました。.mp3]
東京は日本の首都です。 <br><br> (首都)	<b>とうきょうはにほんのしゅとです。</b> <br> Tokyo is the capital of Japan. <br> [sound:4c-s-東京は日本の首都です。.mp3]
彼の意見はとても参考になります。 <br><br> (意見)	<b>かれのいけんはとてもさんこうになります。</b> <br> His opinion is very helpful. <br> [sound:4c-s-彼の意見はとても参考になります。.mp3]
この言葉の意味を教えてください。 <br><br> (意味)	<b>このことばのいみをおしえてください。</b> <br> Please tell me the meaning of this word. <br> [sound:4c-s-この言葉の意味を教えてください。.mp3]
両者は合意に達しました。 <br><br> (合意)	<b>りょうしゃはごういにたっしました。</b> <br> Both parties reached an agreement. <br> [sound:4c-s-両者は合意に達しました。.mp3]
彼の意向を確認しました。 <br><br> (意向)	<b>かれのいこうをかくにんしました。</b> <br> I confirmed his intention. <br> [sound:4c-s-彼の意向を確認しました。.mp3]
憲法改正が議論されています。 <br><br> (憲法)	<b>けんぽうかいせいがぎろんされています。</b> <br> Constitutional amendments are being discussed. <br> [sound:4c-s-憲法改正が議論されています。.mp3]
良い方法を見つけました。 <br><br> (方法)	<b>よいほうほうをみつけました。</b> <br> I found a good method. <br> [sound:4c-s-良い方法を見つけました。.mp3]
新しい法案が提出されました。 <br><br> (法案)	<b>あたらしいほうあんがていしゅつされました。</b> <br> A new bill was submitted. <br> [sound:4c-s-新しい法案が提出されました。.mp3]
法人税が引き上げられました。 <br><br> (法人)	<b>ほうじんぜいがひきあげられました。</b> <br> Corporate taxes were raised. <br> [sound:4c-s-法人税が引き上げられました。.mp3]
不動産を購入しました。 <br><br> (不動産)	<b>ふどうさんをこうにゅうしました。</b> <br> I purchased real estate. <br> [sound:4c-s-不動産を購入しました。.mp3]
彼は結果に不満を持っています。 <br><br> (不満)	<b>かれはけっかにふまんをもっています。</b> <br> He is dissatisfied with the results. <br> [sound:4c-s-彼は結果に不満を持っています。.mp3]
原因はまだ不明です。 <br><br> (不明)	<b>げんいんはまだふめいです。</b> <br> The cause is still unknown. <br> [sound:4c-s-原因はまだ不明です。.mp3]
彼は心不全で入院しました。 <br><br> (心不全)	<b>かれはしんふぜんでにゅういんしました。</b> <br> He was hospitalized for heart failure. <br> [sound:4c-s-彼は心不全で入院しました。.mp3]
将来の夢を教えてください。 <br><br> (将来)	<b>しょうらいのゆめをおしえてください。</b> <br> Please tell me about your future dreams. <br> [sound:4c-s-将来の夢を教えてください。.mp3]
来年はもっと頑張ります。 <br><br> (来年)	<b>らいねんはもっとがんばります。</b> <br> I will work harder next year. <br> [sound:4c-s-来年はもっと頑張ります。.mp3]
本来の目的を忘れないでください。 <br><br> (本来)	<b>ほんらいのもくてきをわすれないでください。</b> <br> Don't forget the original purpose. <br> [sound:4c-s-本来の目的を忘れないでください。.mp3]
来月、旅行に行きます。 <br><br> (来月)	<b>らいげつ、りょこうにいきます。</b> <br> I will go on a trip next month. <br> [sound:4c-s-来月、旅行に行きます。.mp3]
作業が順調に進んでいます。 <br><br> (作業)	<b>さぎょうがじゅんちょうにすすんでいます。</b> <br> The work is progressing smoothly. <br> [sound:4c-s-作業が順調に進んでいます。.mp3]
彼の新しい作品を見ました。 <br><br> (作品)	<b>かれのあたらしいさくひんをみました。</b> <br> I saw his new work. <br> [sound:4c-s-彼の新しい作品を見ました。.mp3]
彼は有名な作家です。 <br><br> (作家)	<b>かれはゆうめいなさっかです。</b> <br> He is a famous writer. <br> [sound:4c-s-彼は有名な作家です。.mp3]
新しい作戦を立てました。 <br><br> (作戦)	<b>あたらしいさくせんをたてました。</b> <br> I devised a new strategy. <br> [sound:4c-s-新しい作戦を立てました。.mp3]
彼は明るい性格です。 <br><br> (性格)	<b>かれはあかるいせいかくです。</b> <br> He has a cheerful personality. <br> [sound:4c-s-彼は明るい性格です。.mp3]
この技術の必要性が高まっています。 <br><br> (必要性)	<b>このぎじゅつのひつようせいがたかまっています。</b> <br> The necessity of this technology is increasing. <br> [sound:4c-s-この技術の必要性が高まっています。.mp3]
この薬は細胞の活性を促進します。 <br><br> (活性)	<b>このくすりはさいぼうのかっせいをそくしんします。</b> <br> This medicine promotes cell activity. <br> [sound:4c-s-この薬は細胞の活性を促進します。.mp3]
彼の個性が際立っています。 <br><br> (個性)	<b>かれのこせいがきわだっています。</b> <br> His individuality stands out. <br> [sound:4c-s-彼の個性が際立っています。.mp3]
国際的な会議が開催されました。 <br><br> (国際的)	<b>こくさいてきなかいぎがかいさいされました。</b> <br> An international conference was held. <br> [sound:4c-s-国際的な会議が開催されました。.mp3]
基本的なルールを守ってください。 <br><br> (基本的)	<b>きほんてきなるーるをまもってください。</b> <br> Please follow basic rules. <br> [sound:4c-s-基本的なルールを守ってください。.mp3]
