[sound:4c-s-同日に会議があります。.mp3]	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> There is a meeting on the same day.
[sound:4c-s-新しい作戦を立てました。.mp3]	<b>新しい作戦を立てました。</b> <br> あたらしいさくせんをたてました。 <br><br> (作戦) <br> I devised a new strategy.
[sound:4c-s-彼は明るい性格です。.mp3]	<b>彼は明るい性格です。</b> <br> かれはあかるいせいかくです。 <br><br> (性格) <br> He has a cheerful personality.
[sound:4c-s-この技術の必要性が高まっています。.mp3]	<b>この技術の必要性が高まっています。</b> <br> このぎじゅつのひつようせいがたかまっています。 <br><br> (必要性) <br> The necessity of this technology is increasing.
[sound:4c-s-この薬は細胞の活性を促進します。.mp3]	<b>この薬は細胞の活性を促進します。</b> <br> このくすりはさいぼうのかっせいをそくしんします。 <br><br> (活性) <br> This medicine promotes cell activity.
[sound:4c-s-彼の個性が際立っています。.mp3]	<b>彼の個性が際立っています。</b> <br> かれのこせいがきわだっています。 <br><br> (個性) <br> His individuality stands out.
[sound:4c-s-国際的な会議が開催されました。.mp3]	<b>国際的な会議が開催されました。</b> <br> こくさいてきなかいぎがかいさいされました。 <br><br> (国際的) <br> An international conference was held.
[sound:4c-s-基本的なルールを守ってください。.mp3]	<b>基本的なルールを守ってください。</b> <br> きほんてきなるーるをまもってください。 <br><br> (基本的) <br> Please follow basic rules.
[sound:4c-s-公的な文書を提出しました。.mp3]	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> I submitted an official document.
[sound:4c-s-政治的な話題について議論しました。.mp3]	<b>政治的な話題について議論しました。</b> <br> せいじてきなわだいについてぎろんしました。 <br><br> (政治的) <br> We discussed political topics.
[sound:4c-s-彼は主要な役割を果たしました。.mp3]	<b>彼は主要な役割を果たしました。</b> <br> かれはしゅようなやくわりをはたしました。 <br><br> (主要) <br> He played a key role.
[sound:4c-s-この商品の需要が高まっています。.mp3]	<b>この商品の需要が高まっています。</b> <br> このしょうひんのじゅようがたかまっています。 <br><br> (需要) <br> Demand for this product is increasing.
[sound:4c-s-政府は協力を要請しました。.mp3]	<b>政府は協力を要請しました。</b> <br> せいふはきょうりょくをようせいしました。 <br><br> (要請) <br> The government requested cooperation.
[sound:4c-s-このシステムの必要性を説明してください。.mp3]	<b>このシステムの必要性を説明してください。</b> <br> このシステムのひつようせいをせつめいしてください。 <br><br> (必要性) <br> Please explain the necessity of this system.
[sound:4c-s-このプロジェクトの費用は高いです。.mp3]	<b>このプロジェクトの費用は高いです。</b> <br> このプロジェクトのひようはたかいです。 <br><br> (費用) <br> This project's cost is high.
[sound:4c-s-インターネットの利用が増えています。.mp3]	<b>インターネットの利用が増えています。</b> <br> インターネットのりようがふえています。 <br><br> (利用) <br> Internet usage is increasing.
[sound:4c-s-このシステムは適切に運用されています。.mp3]	<b>このシステムは適切に運用されています。</b> <br> このシステムはてきせつにうんようされています。 <br><br> (運用) <br> This system is being operated properly.
[sound:4c-s-彼は新しい乗用車を購入しました。.mp3]	<b>彼は新しい乗用車を購入しました。</b> <br> かれはあたらしいじょうようしゃをこうにゅうしました。 <br><br> (乗用車) <br> He purchased a new car.
[sound:4c-s-新しい経営体制が導入されました。.mp3]	<b>新しい経営体制が導入されました。</b> <br> あたらしいけいえいたいせいがどうにゅうされました。 <br><br> (体制) <br> A new management system has been introduced.
[sound:4c-s-国際制裁が強化されました。.mp3]	<b>国際制裁が強化されました。</b> <br> こくさいせいさいがきょうかされました。 <br><br> (制裁) <br> International sanctions have been strengthened.
[sound:4c-s-税制改革が進行中です。.mp3]	<b>税制改革が進行中です。</b> <br> ぜいせいかいかくがしんこうちゅうです。 <br><br> (税制) <br> Tax reform is in progress.
[sound:4c-s-彼は強制的に退職されました。.mp3]	<b>彼は強制的に退職されました。</b> <br> かれはきょうせいてきにたいしょくされました。 <br><br> (強制) <br> He was forced to resign.
[sound:4c-s-この地域は自治が認められています。.mp3]	<b>この地域は自治が認められています。</b> <br> このちいきはじちがみとめられています。 <br><br> (自治) <br> This area is granted autonomy.
[sound:4c-s-自治体が新しい政策を発表しました。.mp3]	<b>自治体が新しい政策を発表しました。</b> <br> じちたいがあたらしいせいさくをはっぴょうしました。 <br><br> (自治体) <br> The local government announced a new policy.
[sound:4c-s-政治的な決定は慎重に行われるべきです。.mp3]	<b>政治的な決定は慎重に行われるべきです。</b> <br> せいじてきなけっていはしんちょうにおこなわれるべきです。 <br><br> (政治的) <br> Political decisions should be made carefully.
[sound:4c-s-明治時代の文化を研究しています。.mp3]	<b>明治時代の文化を研究しています。</b> <br> めいじじだいのぶんかをけんきゅうしています。 <br><br> (明治) <br> I'm researching the culture of the Meiji era.
[sound:4c-s-彼の態度はとても丁寧です。.mp3]	<b>彼の態度はとても丁寧です。</b> <br> かれのたいどはとてもていねいです。 <br><br> (態度) <br> His attitude is very polite.
[sound:4c-s-何度も練習すれば上達します。.mp3]	<b>何度も練習すれば上達します。</b> <br> なんどもれんしゅうすればじょうたつします。 <br><br> (何度) <br> If you practice many times, you will improve.
[sound:4c-s-前年度の売上が発表されました。.mp3]	<b>前年度の売上が発表されました。</b> <br> ぜんねんどのうりあげがはっぴょうされました。 <br><br> (前年度) <br> Last year's sales figures have been announced.
[sound:4c-s-この年度の予算が決まりました。.mp3]	<b>この年度の予算が決まりました。</b> <br> このねんどのよさんがきまりました。 <br><br> (年度) <br> The budget for this fiscal year has been set.
[sound:4c-s-事務局が会議の準備を進めています。.mp3]	<b>事務局が会議の準備を進めています。</b> <br> じむきょくがかいぎのじゅんびをすすめています。 <br><br> (事務局) <br> The secretariat is preparing for the meeting.
[sound:4c-s-新しい事務所が開設されました。.mp3]	<b>新しい事務所が開設されました。</b> <br> あたらしいじむしょがかいせつされました。 <br><br> (事務所) <br> A new office has been established.
[sound:4c-s-彼の業務はデータ分析です。.mp3]	<b>彼の業務はデータ分析です。</b> <br> かれのぎょうむはデータぶんせきです。 <br><br> (業務) <br> His job is data analysis.
[sound:4c-s-常務が新しい戦略を発表しました。.mp3]	<b>常務が新しい戦略を発表しました。</b> <br> じょうむがあたらしいせんりゃくをはっぴょうしました。 <br><br> (常務) <br> The executive director announced a new strategy.
[sound:4c-s-毎日1時間勉強しています。.mp3]	<b>毎日1時間勉強しています。</b> <br> まいにちいちじかんべんきょうしています。 <br><br> (勉強) <br> I study for one hour every day.
[sound:4c-s-彼は自信を強めるために努力しています。.mp3]	<b>彼は自信を強めるために努力しています。</b> <br> かれはじしんをつよめるためにどりょくしています。 <br><br> (強める) <br> He is working hard to build his confidence.
[sound:4c-s-政府は強硬な対応を取ることを決定しました。.mp3]	<b>政府は強硬な対応を取ることを決定しました。</b> <br> せいふはきょうこうなたいおうをとることをけっていしました。 <br><br> (強硬) <br> The government decided to take a tough stance.
[sound:4c-s-このチームは非常に強力です。.mp3]	<b>このチームは非常に強力です。</b> <br> このチームはひじょうにきょうりょくです。 <br><br> (強力) <br> This team is extremely strong.
[sound:4c-s-彼の気持ちを理解したいです。.mp3]	<b>彼の気持ちを理解したいです。</b> <br> かれのきもちをりかいしたいです。 <br><br> (気持ち) <br> I want to understand his feelings.
[sound:4c-s-電気の使用量を減らしましょう。.mp3]	<b>電気の使用量を減らしましょう。</b> <br> でんきのしようりょうをへらしましょう。 <br><br> (電気) <br> Let's reduce electricity usage.
[sound:4c-s-病気の予防に気をつけています。.mp3]	<b>病気の予防に気をつけています。</b> <br> びょうきのよぼうにきをつけています。 <br><br> (病気) <br> I'm careful to prevent illness.
[sound:4c-s-彼は一気に本を読み終えました。.mp3]	<b>彼は一気に本を読み終えました。</b> <br> かれはいっきにほんをよみおえました。 <br><br> (一気) <br> He finished reading the book in one go.
[sound:4c-s-小学生は元気いっぱいです。.mp3]	<b>小学生は元気いっぱいです。</b> <br> しょうがくせいはげんきいっぱいです。 <br><br> (小学生) <br> Elementary school students are full of energy.
[sound:4c-s-中小企業の支援策が発表されました。.mp3]	<b>中小企業の支援策が発表されました。</b> <br> ちゅうしょうきぎょうのしえんさくがはっぴょうされました。 <br><br> (中小企業) <br> Support measures for small and medium-sized enterprises have been announced.
[sound:4c-s-彼は小学三年生です。.mp3]	<b>彼は小学三年生です。</b> <br> かれはしょうがくさんねんせいです。 <br><br> (小学) <br> He is a third-grade elementary school student.
[sound:4c-s-このカメラは小型で便利です。.mp3]	<b>このカメラは小型で便利です。</b> <br> このカメラはこがたでべんりです。 <br><br> (小型) <br> This camera is compact and convenient.
[sound:4c-s-七十歳の誕生日を祝いました。.mp3]	<b>七十歳の誕生日を祝いました。</b> <br> ななじゅっさいのたんじょうびをいわいました。 <br><br> (七十) <br> We celebrated his seventieth birthday.
[sound:4c-s-四十七士の物語は有名です。.mp3]	<b>四十七士の物語は有名です。</b> <br> しじゅうしちしのものがたりはゆうめいです。 <br><br> (四十七士) <br> The story of the Forty-Seven Ronin is famous.
[sound:4c-s-七つの異なる選択肢があります。.mp3]	<b>七つの異なる選択肢があります。</b> <br> ななつのことなるせんたくしがあります。 <br><br> (七つ) <br> There are seven different options.
[sound:4c-s-七七日の法要が行われました。.mp3]	<b>七七日の法要が行われました。</b> <br> しちしちにちのほうようがおこなわれました。 <br><br> (七七日) <br> The 49-day memorial service was held.
[sound:4c-s-新しい法案が成立しました。.mp3]	<b>新しい法案が成立しました。</b> <br> あたらしいほうあんがせいりつしました。 <br><br> (成立) <br> A new bill has been enacted.
[sound:4c-s-新しいチームの編成が完了しました。.mp3]	<b>新しいチームの編成が完了しました。</b> <br> あたらしいチームのへんせいがかんりょうしました。 <br><br> (編成) <br> The formation of the new team is complete.
[sound:4c-s-新しいバンドが結成されました。.mp3]	<b>新しいバンドが結成されました。</b> <br> あたらしいバンドがけっせいされました。 <br><br> (結成) <br> A new band has been formed.
[sound:4c-s-この組織は五つの部門で構成されています。.mp3]	<b>この組織は五つの部門で構成されています。</b> <br> このそしきはいつつのぶもんでこうせいされています。 <br><br> (構成) <br> This organization consists of five departments.
[sound:4c-s-早期治療が重要です。.mp3]	<b>早期治療が重要です。</b> <br> そうきちりょうがじゅうようです。 <br><br> (早期) <br> Early treatment is important.
[sound:4c-s-長期計画を立てましょう。.mp3]	<b>長期計画を立てましょう。</b> <br> ちょうきけいかくをたてましょう。 <br><br> (長期) <br> Let's create a long-term plan.
[sound:4c-s-提出期限は来週です。.mp3]	<b>提出期限は来週です。</b> <br> ていしゅつきげんはらいしゅうです。 <br><br> (期限) <br> The submission deadline is next week.
[sound:4c-s-次期大統領選挙について議論されています。.mp3]	<b>次期大統領選挙について議論されています。</b> <br> じきだいとうりょうせんきょについてぎろんされています。 <br><br> (次期) <br> The next presidential election is being discussed.
[sound:4c-s-公共交通機関を利用しましょう。.mp3]	<b>公共交通機関を利用しましょう。</b> <br> こうきょうこうつうきかんをりようしましょう。 <br><br> (公共) <br> Let's use public transportation.
[sound:4c-s-公式発表が行われました。.mp3]	<b>公式発表が行われました。</b> <br> こうしきはっぴょうがおこなわれました。 <br><br> (公式) <br> An official announcement was made.
[sound:4c-s-公明党の代表が演説しました。.mp3]	<b>公明党の代表が演説しました。</b> <br> こうめいとうのだいひょうがえんぜつしました。 <br><br> (公明党) <br> A representative of the Komeito Party gave a speech.
[sound:4c-s-公的な文書を提出しました。.mp3]	<b>公的な文書を提出しました。</b> <br> こうてきなぶんしょをていしゅつしました。 <br><br> (公的) <br> I submitted an official document.
[sound:4c-s-彼の持ち物を管理しています。.mp3]	<b>彼の持ち物を管理しています。</b> <br> かれのもちものをかんりしています。 <br><br> (持ち) <br> I am managing his belongings.
[sound:4c-s-彼は強い信念を持っています。.mp3]	<b>彼は強い信念を持っています。</b> <br> かれはつよいしんねんをもっています。 <br><br> (持つ) <br> He has strong beliefs.
[sound:4c-s-食べ物を持ち込まないでください。.mp3]	<b>食べ物を持ち込まないでください。</b> <br> たべものをもちこまないでください。 <br><br> (持ち込む) <br> Please do not bring food inside.
[sound:4c-s-このデータは安全に保持されています。.mp3]	<b>このデータは安全に保持されています。</b> <br> このデータはあんぜんにほじされています。 <br><br> (保持) <br> This data is securely stored.
[sound:4c-s-野党が新しい法案を提出しました。.mp3]	<b>野党が新しい法案を提出しました。</b> <br> やとうがあたらしいほうあんをていしゅつしました。 <br><br> (野党) <br> The opposition party submitted a new bill.
[sound:4c-s-与野党の協議が行われました。.mp3]	<b>与野党の協議が行われました。</b> <br> よやとうのきょうぎがおこなわれました。 <br><br> (与野党) <br> Discussions between the ruling and opposition parties were held.
[sound:4c-s-新鮮な野菜を買いました。.mp3]	<b>新鮮な野菜を買いました。</b> <br> しんせんなやさいをかいました。 <br><br> (野菜) <br> I bought fresh vegetables.
[sound:4c-s-上野動物園に行きました。.mp3]	<b>上野動物園に行きました。</b> <br> うえのどうぶつえんにいきました。 <br><br> (上野) <br> I went to Ueno Zoo.
[sound:4c-s-両国は新しい協定を結びました。.mp3]	<b>両国は新しい協定を結びました。</b> <br> りょうこくはあたらしいきょうていをむすびました。 <br><br> (協定) <br> Both countries signed a new agreement.
[sound:4c-s-皆で協力して問題を解決しました。.mp3]	<b>皆で協力して問題を解決しました。</b> <br> みんなできょうりょくしてもんだいをかいけつしました。 <br><br> (協力) <br> We worked together to solve the problem.
[sound:4c-s-協調して作業を進めましょう。.mp3]	<b>協調して作業を進めましょう。</b> <br> きょうちょうしてさぎょうをすすめましょう。 <br><br> (協調) <br> Let's proceed with our work cooperatively.
[sound:4c-s-両者は妥協案に合意しました。.mp3]	<b>両者は妥協案に合意しました。</b> <br> りょうしゃはだきょうあんにごういしました。 <br><br> (妥協) <br> Both parties agreed on a compromise.
[sound:4c-s-ドアの取っ手を修理しました。.mp3]	<b>ドアの取っ手を修理しました。</b> <br> ドアのとってをしゅうりしました。 <br><br> (取っ手) <br> I repaired the door handle.
[sound:4c-s-彼は会社の取締役です。.mp3]	<b>彼は会社の取締役です。</b> <br> かれはかいしゃのとりしまりやくです。 <br><br> (取締役) <br> He is the company director.
[sound:4c-s-警察が事件の聴取を行いました。.mp3]	<b>警察が事件の聴取を行いました。</b> <br> けいさつがじけんのちょうしゅをおこないました。 <br><br> (聴取) <br> The police conducted an interview regarding the case.
[sound:4c-s-環境保護の取り組みが重要です。.mp3]	<b>環境保護の取り組みが重要です。</b> <br> かんきょうほごのとりくみがじゅうようです。 <br><br> (取り組み) <br> Environmental protection efforts are important.
[sound:4c-s-京都には美しい寺院があります。.mp3]	<b>京都には美しい寺院があります。</b> <br> きょうとにはうつくしいじいんがあります。 <br><br> (京都) <br> Kyoto has beautiful temples.
[sound:4c-s-首都の人口が増加しています。.mp3]	<b>首都の人口が増加しています。</b> <br> しゅとのじんこうがぞうかしています。 <br><br> (首都) <br> The population of the capital city is increasing.
[sound:4c-s-首都圏の交通が混雑しています。.mp3]	<b>首都圏の交通が混雑しています。</b> <br> しゅとけんのこうつうがこんざつしています。 <br><br> (首都圏) <br> Traffic in the metropolitan area is congested.
[sound:4c-s-都道府県の行政が発表されました。.mp3]	<b>都道府県の行政が発表されました。</b> <br> とどうふけんのぎょうせいがはっぴょうされました。 <br><br> (都道府県) <br> The prefectural government announced a new policy.
[sound:4c-s-規制の緩和が検討されています。.mp3]	<b>規制の緩和が検討されています。</b> <br> きせいのかんわがけんとうされています。 <br><br> (緩和) <br> Relaxation of regulations is being considered.
[sound:4c-s-朝鮮民主主義人民共和国の状況が報道されました。.mp3]	<b>朝鮮民主主義人民共和国の状況が報道されました。</b> <br> ちょうせんみんしゅしゅぎじんみんきょうわこくのじょうきょうがほうどうされました。 <br><br> (朝鮮民主主義人民共和国) <br> The situation in North Korea was reported.
[sound:4c-s-両者は和解しました。.mp3]	<b>両者は和解しました。</b> <br> りょうしゃはわかいしました。 <br><br> (和解) <br> Both parties reconciled.
[sound:4c-s-共和政体が採用されました。.mp3]	<b>共和政体が採用されました。</b> <br> きょうわせいたいがさいようされました。 <br><br> (共和) <br> A republican system was adopted.
[sound:4c-s-両社は統合されました。.mp3]	<b>両社は統合されました。</b> <br> りょうしゃはとうごうされました。 <br><br> (統合) <br> Both companies merged.
[sound:4c-s-統計データを分析しています。.mp3]	<b>統計データを分析しています。</b> <br> とうけいデータをぶんせきしています。 <br><br> (統計) <br> I am analyzing statistical data.
[sound:4c-s-その国の統治制度が改革されました。.mp3]	<b>その国の統治制度が改革されました。</b> <br> そのくにのとうちせいどがかいかくされました。 <br><br> (統治) <br> The governance system of that country has been reformed.
[sound:4c-s-伝統的な祭りに参加しました。.mp3]	<b>伝統的な祭りに参加しました。</b> <br> でんとうてきなまつりにさんかしました。 <br><br> (伝統的) <br> I participated in a traditional festival.
[sound:4c-s-以下のルールに従ってください。.mp3]	<b>以下のルールに従ってください。</b> <br> いかのルールにしたがってください。 <br><br> (以下) <br> Please follow the rules below.
[sound:4c-s-以後、注意してください。.mp3]	<b>以後、注意してください。</b> <br> いご、ちゅういしてください。 <br><br> (以後) <br> Please be careful from now on.
[sound:4c-s-以上のことを理解してください。.mp3]	<b>以上のことを理解してください。</b> <br> いじょうのことをりかいしてください。 <br><br> (以上) <br> Please understand the above points.
[sound:4c-s-この規則は来月以降適用されます。.mp3]	<b>この規則は来月以降適用されます。</b> <br> このきそくはらいげついこうてきようされます。 <br><br> (以降) <br> This rule will apply from next month onwards.
[sound:4c-s-このアプリには便利な機能があります。.mp3]	<b>このアプリには便利な機能があります。</b> <br> このアプリにはべんりなきのうがあります。 <br><br> (機能) <br> This app has useful features.
[sound:4c-s-彼と話す機会がありました。.mp3]	<b>彼と話す機会がありました。</b> <br> かれとはなすきかいがありました。 <br><br> (機会) <br> I had the opportunity to talk with him.
[sound:4c-s-新しい機械が導入されました。.mp3]	<b>新しい機械が導入されました。</b> <br> あたらしいきかいがどうにゅうされました。 <br><br> (機械) <br> A new machine was introduced.
[sound:4c-s-この機器の使い方を教えてください。.mp3]	<b>この機器の使い方を教えてください。</b> <br> このききのつかいかたをおしえてください。 <br><br> (機器) <br> Please explain how to use this equipment.
[sound:4c-s-太平洋を航海しました。.mp3]	<b>太平洋を航海しました。</b> <br> たいへいようをこうかいしました。 <br><br> (太平洋) <br> I sailed across the Pacific Ocean.
[sound:4c-s-平成時代に多くの技術が進歩しました。.mp3]	<b>平成時代に多くの技術が進歩しました。</b> <br> へいせいじだいにおおくのぎじゅつがしんぽしました。 <br><br> (平成) <br> Many technologies advanced during the Heisei era.
[sound:4c-s-平壌で国際会議が開催されました。.mp3]	<b>平壌で国際会議が開催されました。</b> <br> ぴょんやんでこくさいかいぎがかいさいされました。 <br><br> (平壌) <br> An international conference was held in Pyongyang.
[sound:4c-s-全ての人に平等な機会が与えられるべきです。.mp3]	<b>全ての人に平等な機会が与えられるべきです。</b> <br> すべてのひとにびょうどうなきかいがあたえられるべきです。 <br><br> (平等) <br> Everyone should be given equal opportunities.
[sound:4c-s-総合的な計画を策定しました。.mp3]	<b>総合的な計画を策定しました。</b> <br> そうごうてきなけいかくをさくていしました。 <br><br> (総合) <br> I developed a comprehensive plan.
[sound:4c-s-総額を計算してください。.mp3]	<b>総額を計算してください。</b> <br> そうがくをけいさんしてください。 <br><br> (総額) <br> Please calculate the total amount.
[sound:4c-s-総長が声明を発表しました。.mp3]	<b>総長が声明を発表しました。</b> <br> そうちょうがせいめいをはっぴょうしました。 <br><br> (総長) <br> The Secretary-General issued a statement.
[sound:4c-s-総務部が新しい規則を発表しました。.mp3]	<b>総務部が新しい規則を発表しました。</b> <br> そうむぶがあたらしいきそくをはっぴょうしました。 <br><br> (総務) <br> The general affairs department announced a new regulation.
[sound:4c-s-人口が増加しています。.mp3]	<b>人口が増加しています。</b> <br> じんこうがぞうかしています。 <br><br> (増加) <br> The population is increasing.
[sound:4c-s-イベントの参加者は500人です。.mp3]	<b>イベントの参加者は500人です。</b> <br> イベントのさんかしゃはごひゃくにんです。 <br><br> (参加者) <br> The event has 500 participants.
[sound:4c-s-新しい機能が追加されました。.mp3]	<b>新しい機能が追加されました。</b> <br> あたらしいきのうがついかされました。 <br><br> (追加) <br> A new feature has been added.
[sound:4c-s-彼は新しいクラブに加入しました。.mp3]	<b>彼は新しいクラブに加入しました。</b> <br> かれはあたらしいクラブにかにゅうしました。 <br><br> (加入) <br> He joined a new club.
[sound:4c-s-山形県は美しい自然があります。.mp3]	<b>山形県は美しい自然があります。</b> <br> やまがたけんはうつくしいしぜんがあります。 <br><br> (山形) <br> Yamagata Prefecture has beautiful nature.
[sound:4c-s-週末に登山を楽しみました。.mp3]	<b>週末に登山を楽しみました。</b> <br> しゅうまつにとざんをたのしみました。 <br><br> (登山) <br> I enjoyed mountain climbing over the weekend.
[sound:4c-s-山岳地帯の天気は変わりやすいです。.mp3]	<b>山岳地帯の天気は変わりやすいです。</b> <br> さんがくちたいのてんきはかわりやすいです。 <br><br> (山岳) <br> The weather in mountainous areas is unpredictable.
[sound:4c-s-小山の上から景色を楽しみました。.mp3]	<b>小山の上から景色を楽しみました。</b> <br> こやまのうえからけしきをたのしみました。 <br><br> (小山) <br> I enjoyed the scenery from the top of a small hill.
[sound:4c-s-彼の意思を尊重します。.mp3]	<b>彼の意思を尊重します。</b> <br> かれのいしをそんちょうします。 <br><br> (意思) <br> I respect his wishes.
[sound:4c-s-彼の思想はとても興味深いです。.mp3]	<b>彼の思想はとても興味深いです。</b> <br> かれのしそうはとてもきょうみぶかいです。 <br><br> (思想) <br> His ideology is very interesting.
[sound:4c-s-彼の思惑が明らかになりました。.mp3]	<b>彼の思惑が明らかになりました。</b> <br> かれのおもわくがあきらかになりました。 <br><br> (思惑) <br> His intentions became clear.
[sound:4c-s-思い切って新しいことに挑戦しました。.mp3]	<b>思い切って新しいことに挑戦しました。</b> <br> おもいきってあたらしいことにちょうせんしました。 <br><br> (思い切って) <br> I boldly challenged myself with something new.
[sound:4c-s-政治家が演説を行いました。.mp3]	<b>政治家が演説を行いました。</b> <br> せいじかがえんぜつをおこないました。 <br><br> (政治家) <br> The politician gave a speech.
[sound:4c-s-彼は有名な作家です。.mp3]	<b>彼は有名な作家です。</b> <br> かれはゆうめいなさっかです。 <br><br> (作家) <br> He is a famous writer.
[sound:4c-s-専門家が意見を述べました。.mp3]	<b>専門家が意見を述べました。</b> <br> せんもんかがいけんをのべました。 <br><br> (専門家) <br> An expert gave their opinion.
[sound:4c-s-農家が新しい農法を導入しました。.mp3]	<b>農家が新しい農法を導入しました。</b> <br> のうかがあたらしいのうほうをどうにゅうしました。 <br><br> (農家) <br> A farmer introduced a new farming method.
[sound:4c-s-この映画は話題になっています。.mp3]	<b>この映画は話題になっています。</b> <br> このえいがはわだいになっています。 <br><br> (話題) <br> This movie is trending.
[sound:4c-s-問題について話し合いをしました。.mp3]	<b>問題について話し合いをしました。</b> <br> もんだいについてはなしあいをしました。 <br><br> (話し合い) <br> We had a discussion about the issue.
[sound:4c-s-彼と日本語で会話をしました。.mp3]	<b>彼と日本語で会話をしました。</b> <br> かれとにほんごでかいわをしました。 <br><br> (会話) <br> I had a conversation with him in Japanese.
[sound:4c-s-彼は子供たちの世話をしています。.mp3]	<b>彼は子供たちの世話をしています。</b> <br> かれはこどもたちのせわをしています。 <br><br> (世話) <br> He is taking care of the children.
[sound:4c-s-世論は政府の政策に影響を与えます。.mp3]	<b>世論は政府の政策に影響を与えます。</b> <br> よろんはせいふのせいさくにえいきょうをあたえます。 <br><br> (世論) <br> Public opinion affects government policy.
[sound:4c-s-彼の研究は世界的に評価されています。.mp3]	<b>彼の研究は世界的に評価されています。</b> <br> かれのけんきゅうはせかいてきにひょうかされています。 <br><br> (世界的) <br> His research is recognized worldwide.
[sound:4c-s-21世紀の技術は急速に進歩しています。.mp3]	<b>21世紀の技術は急速に進歩しています。</b> <br> にじゅういっせいきのぎじゅつはきゅうそくにしんぽしています。 <br><br> (世紀) <br> The technology of the 21st century is advancing rapidly.
[sound:4c-s-日本では小さい世帯が増えています。.mp3]	<b>日本では小さい世帯が増えています。</b> <br> にほんではちいさいせたいがふえています。 <br><br> (世帯) <br> Small households are increasing in Japan.
[sound:4c-s-彼は文学賞を受賞しました。.mp3]	<b>彼は文学賞を受賞しました。</b> <br> かれはぶんがくしょうをじゅしょうしました。 <br><br> (受賞) <br> He received a literary award.
[sound:4c-s-この会社は多くの注文を受注しています。.mp3]	<b>この会社は多くの注文を受注しています。</b> <br> このかいしゃはおおくのちゅうもんをじゅちゅうしています。 <br><br> (受注) <br> This company receives many orders.
[sound:4c-s-彼の言葉を真剣に受け止めました。.mp3]	<b>彼の言葉を真剣に受け止めました。</b> <br> かれのことばをしんけんにうけとめました。 <br><br> (受け止める) <br> I took his words seriously.
[sound:4c-s-新しい環境を受け入れました。.mp3]	<b>新しい環境を受け入れました。</b> <br> あたらしいかんきょうをうけいれました。 <br><br> (受け入れる) <br> I accepted the new environment.
[sound:4c-s-区内の公園で遊びました。.mp3]	<b>区内の公園で遊びました。</b> <br> くないのこうえんであそびました。 <br><br> (区内) <br> I played in the park within the district.
[sound:4c-s-この区域には入れません。.mp3]	<b>この区域には入れません。</b> <br> このくいきにははいれません。 <br><br> (区域) <br> You cannot enter this area.
[sound:4c-s-この区間は工事中です。.mp3]	<b>この区間は工事中です。</b> <br> このくかんはこうじちゅうです。 <br><br> (区間) <br> This section is under construction.
[sound:4c-s-区長が新しい政策を発表した。.mp3]	<b>区長が新しい政策を発表した。</b> <br> くちょうがあたらしいせいさくをはっぴょうした。 <br><br> (区長) <br> The district mayor announced a new policy.
[sound:4c-s-科学の領域で働きたい。.mp3]	<b>科学の領域で働きたい。</b> <br> かがくのりょういきではたらきたい。 <br><br> (領域) <br> I want to work in the field of science.
[sound:4c-s-党の綱領を説明してください。.mp3]	<b>党の綱領を説明してください。</b> <br> とうのこうりょうをせつめいしてください。 <br><br> (綱領) <br> Please explain the party's platform.
[sound:4c-s-領内に入るには許可が必要です。.mp3]	<b>領内に入るには許可が必要です。</b> <br> りょうないにはいるにはきょかがひつようです。 <br><br> (領内) <br> You need permission to enter the territory.
[sound:4c-s-国はその島の領有を主張している。.mp3]	<b>国はその島の領有を主張している。</b> <br> くにはそのしまのりょうゆうをしゅちょうしている。 <br><br> (領有) <br> The country claims ownership of the island.
[sound:4c-s-今年の大会で最多得点を獲得した。.mp3]	<b>今年の大会で最多得点を獲得した。</b> <br> ことしのたいかいでさいたとくてんをかくとくした。 <br><br> (最多) <br> This year's tournament saw the highest score.
[sound:4c-s-彼は多額の資金を投資した。.mp3]	<b>彼は多額の資金を投資した。</b> <br> かれはたがくのしきんをとうしした。 <br><br> (多額) <br> He invested a large sum of money.
[sound:4c-s-多彩な文化が共存する都市です。.mp3]	<b>多彩な文化が共存する都市です。</b> <br> たさいなぶんかがきょうそんするとしです。 <br><br> (多彩) <br> It is a city where diverse cultures coexist.
[sound:4c-s-この商品には多少の傷があります。.mp3]	<b>この商品には多少の傷があります。</b> <br> このしょうひんにはたしょうのきずがあります。 <br><br> (多少) <br> This product has some minor damage.
[sound:4c-s-県内の観光地を訪れました。.mp3]	<b>県内の観光地を訪れました。</b> <br> けんないのかんこうちをおとずれました。 <br><br> (県内) <br> I visited tourist spots within the prefecture.
[sound:4c-s-都道府県ごとに規則が異なります。.mp3]	<b>都道府県ごとに規則が異なります。</b> <br> とどうふけんごとにきそくがことなります。 <br><br> (都道府県) <br> Regulations vary by prefecture.
[sound:4c-s-県議会で新しい条例が決まりました。.mp3]	<b>県議会で新しい条例が決まりました。</b> <br> けんぎかいであたらしいじょうれいがきまりました。 <br><br> (県議) <br> A new ordinance was decided in the prefectural assembly.
[sound:4c-s-県立大学に通っています。.mp3]	<b>県立大学に通っています。</b> <br> けんりつだいがくにかよっています。 <br><br> (県立) <br> I attend a prefectural university.
